date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
10/9/2020,ARKK,"TESLA INC",TSLA,88160R101,2335461.00,1013590074.00,10.03
10/9/2020,ARKK,"INVITAE CORP",NVTA,46185L103,17697147.00,943434906.57,9.34
10/9/2020,ARKK,"SQUARE INC - A",SQ,852234103,3573280.00,669203878.40,6.62
10/9/2020,ARKK,"ROKU INC",ROKU,77543R102,2541160.00,569092782.00,5.63
10/9/2020,ARKK,"CRISPR THERAPEUTICS AG",CRSP,H17182108,5271618.00,517989184.68,5.13
10/9/2020,ARKK,"PROTO LABS INC",PRLB,743713109,2426610.00,365859989.70,3.62
10/9/2020,ARKK,"ZILLOW GROUP INC - C",Z,98954M200,3024669.00,315351989.94,3.12
10/9/2020,ARKK,"SLACK TECHNOLOGIES INC- CL A",WORK,83088V102,10146664.00,314546584.00,3.11
10/9/2020,ARKK,"2U INC",TWOU,90214J101,8166273.00,307460178.45,3.04
10/9/2020,ARKK,"LENDINGTREE INC","TREE UW",52603B107,850464.00,277702009.92,2.75
10/9/2020,ARKK,"PURE STORAGE INC - CLASS A",PSTG,74624M102,15196618.00,267004578.26,2.64
10/9/2020,ARKK,"TELADOC HEALTH INC",TDOC,87918A105,1183134.00,258053356.74,2.55
10/9/2020,ARKK,"SERES THERAPEUTICS INC",MCRB,81750R102,7977045.00,253670031.00,2.51
10/9/2020,ARKK,"EDITAS MEDICINE INC",EDIT,28106W103,7180572.00,237605127.48,2.35
10/9/2020,ARKK,"MATERIALISE NV-ADR",MTLS,57667T100,4854285.00,218442825.00,2.16
10/9/2020,ARKK,"PAGERDUTY INC",PD,69553P100,6816975.00,201373441.50,1.99
10/9/2020,ARKK,"ILLUMINA INC",ILMN,452327109,576571.00,195480631.84,1.93
10/9/2020,ARKK,"COMPUGEN LTD",CGEN,M25722105,11001519.00,192856628.07,1.91
10/9/2020,ARKK,"IOVANCE BIOTHERAPEUTICS INC",IOVA,462260100,5945819.00,185450094.61,1.84
10/9/2020,ARKK,"SPOTIFY TECHNOLOGY SA",SPOT,L8681T102,742241.00,185560250.00,1.84
10/9/2020,ARKK,"INTELLIA THERAPEUTICS INC",NTLA,45826J105,6860952.00,180511647.12,1.79
10/9/2020,ARKK,"VERACYTE INC",VCYT,92337F107,4033885.00,167244872.10,1.66
10/9/2020,ARKK,"TWILIO INC - A",TWLO,90138F102,501642.00,153622846.08,1.52
10/9/2020,ARKK,"TAIWAN SEMICONDUCTOR-SP ADR",TSM,874039100,1719210.00,152631463.80,1.51
10/9/2020,ARKK,"SPLUNK INC",SPLK,848637104,707312.00,150254288.16,1.49
10/9/2020,ARKK,"TWIST BIOSCIENCE CORP",TWST,90184D100,1579243.00,141563342.52,1.40
10/9/2020,ARKK,"CERUS CORP",CERS,157085101,19325753.00,131801635.46,1.30
10/9/2020,ARKK,"DOCUSIGN INC",DOCU,256163106,528196.00,119161017.60,1.18
10/9/2020,ARKK,"PINTEREST INC- CLASS A",PINS,72352L106,2609274.00,113216398.86,1.12
10/9/2020,ARKK,"STRATASYS LTD",SSYS,M85548101,7501980.00,111479422.80,1.10
10/9/2020,ARKK,"HUYA INC-ADR",HUYA,44852D108,4326451.00,111579171.29,1.10
10/9/2020,ARKK,"NANOSTRING TECHNOLOGIES INC",NSTG,63009R109,2708452.00,110139200.58,1.09
10/9/2020,ARKK,"SYNOPSYS INC",SNPS,871607107,454874.00,101355024.68,1.00
10/9/2020,ARKK,"ZSCALER INC",ZS,98980G102,645687.00,98118596.52,0.97
10/9/2020,ARKK,"INTERCONTINENTAL EXCHANGE IN",ICE,45866F104,948303.00,96148441.17,0.95
10/9/2020,ARKK,"IRIDIUM COMMUNICATIONS INC",IRDM,46269C102,3272431.00,94605980.21,0.94
10/9/2020,ARKK,"PACIFIC BIOSCIENCES OF CALIF",PACB,69404D108,6106381.00,82436143.50,0.82
10/9/2020,ARKK,"FACEBOOK INC-CLASS A",FB,30303M102,311079.00,82264841.55,0.81
10/9/2020,ARKK,"NINTENDO CO LTD-UNSPONS ADR",NTDOY,654445303,1011518.00,69572208.04,0.69
10/9/2020,ARKK,"SYROS PHARMACEUTICALS INC",SYRS,87184Q107,6564223.00,63344751.95,0.63
10/9/2020,ARKK,"XILINX INC",XLNX,983919101,518228.00,62674494.32,0.62
10/9/2020,ARKK,"UNITY SOFTWARE INC",U,91332U101,540646.00,53583425.06,0.53
