Date,Fund,Company,Ticker,CUSIP,Shares,Market_Value,Weight
2020-11-19,ARKF,SQUARE INC - A,SQ,852234103,615691.0,118003337.06,10.27
2020-11-19,ARKF,PINTEREST INC- CLASS A,PINS,72352L106,822887.0,54269397.65,4.72
2020-11-19,ARKF,MERCADOLIBRE INC,MELI,58733R102,36572.0,50114611.6,4.36
2020-11-19,ARKF,ZILLOW GROUP INC - C,Z,98954M200,426772.0,46727266.28,4.07
2020-11-19,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,449764.0,45381187.6,3.95
2020-11-19,ARKF,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,576103.0,43311423.54,3.77
2020-11-19,ARKF,SEA LTD-ADR,SE,81141R100,230324.0,39954304.28,3.48
2020-11-19,ARKF,ADYEN NV,ADYEN,BZ1HM42,20394.0,38564715.11,3.36
2020-11-19,ARKF,PAYPAL HOLDINGS INC,PYPL,70450Y103,201990.0,38559891.0,3.36
2020-11-19,ARKF,LENDINGTREE INC,TREE UW,52603B107,136879.0,36977861.85,3.22
2020-11-19,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,135752.0,35280587.28,3.07
2020-11-19,ARKF,MEITUAN-CLASS B,3690,BGJW376,919015.0,34851811.34,3.03
2020-11-19,ARKF,TWILIO INC - A,TWLO,90138F102,94807.0,28028741.48,2.44
2020-11-19,ARKF,AMAZON.COM INC,AMZN,023135106,8333.0,25974127.66,2.26
2020-11-19,ARKF,APPLE INC,AAPL,037833100,217014.0,25746540.96,2.24
2020-11-19,ARKF,SNAP INC - A,SNAP,83304A106,606952.0,25668000.08,2.23
2020-11-19,ARKF,FACEBOOK INC-CLASS A,FB,30303M102,93622.0,25553188.68,2.22
2020-11-19,ARKF,DOCUSIGN INC,DOCU,256163106,112894.0,24802811.8,2.16
2020-11-19,ARKF,ZHONGAN ONLINE P&C INSURAN-H,6060,BYZQ099,4974445.0,24799878.65,2.16
2020-11-19,ARKF,Z HOLDINGS CORP,4689,6084848,4033507.0,23831002.62,2.07
2020-11-19,ARKF,SPLUNK INC,SPLK,848637104,108370.0,21595973.6,1.88
2020-11-19,ARKF,INTUIT INC,INTU,461202103,56448.0,20402565.12,1.78
2020-11-19,ARKF,WORKDAY INC-CLASS A,WDAY,98138H101,85958.0,19839106.4,1.73
2020-11-19,ARKF,LIGHTSPEED POS INC-SUB VOTE,LSPD,BGHVW01,423396.0,18089966.92,1.57
2020-11-19,ARKF,GUIDEWIRE SOFTWARE INC,GWRE,40171V100,137638.0,16271564.36,1.42
2020-11-19,ARKF,PINDUODUO INC-ADR,PDD,722304102,116588.0,16049504.08,1.4
2020-11-19,ARKF,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,159778.0,15436152.58,1.34
2020-11-19,ARKF,SLACK TECHNOLOGIES INC- CL A,WORK,83088V102,524982.0,14557750.86,1.27
2020-11-19,ARKF,SCHWAB (CHARLES) CORP,SCHW,808513105,307099.0,14458220.92,1.26
2020-11-19,ARKF,JD.COM INC-ADR,JD,47215P106,150931.0,12986103.24,1.13
2020-11-19,ARKF,INTERACTIVE BROKERS GRO-CL A,IBKR,45841N107,237742.0,12693045.38,1.1
2020-11-19,ARKF,SOCIAL CAPITAL HEDOSOPHIA-A,IPOB,G8250T109,644051.0,12507470.42,1.09
2020-11-19,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,82837P408,397742.0,12278295.54,1.07
2020-11-19,ARKF,DISCOVERY LTD,DSY,6177878,1464296.0,12017055.01,1.05
2020-11-19,ARKF,LENDINGCLUB CORP,LC,52603A208,1879598.0,11973039.26,1.04
2020-11-19,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,12184.0,11779125.68,1.03
2020-11-19,ARKF,HDFC BANK LTD-ADR,HDB,40415F101,175691.0,11704534.42,1.02
2020-11-19,ARKF,NVIDIA CORP,NVDA,67066G104,21883.0,11764519.63,1.02
2020-11-19,ARKF,TRANSUNION,TRU,89400J107,120889.0,11644028.48,1.01
2020-11-19,ARKF,SBI HOLDINGS INC,8473,6309466,456362.0,11526691.74,1.0
2020-11-19,ARKF,YEAHKA LTD,9923,BL58D39,2054800.0,11370570.97,0.99
2020-11-19,ARKF,VERISK ANALYTICS INC,VRSK,92345Y106,48888.0,10057239.36,0.88
2020-11-19,ARKF,KE HOLDINGS INC,BEKE,482497104,143249.0,8501828.15,0.74
2020-11-19,ARKF,TELADOC HEALTH INC,TDOC,87918A105,30373.0,5807013.87,0.51
2020-11-19,ARKF,MARKETAXESS HOLDINGS INC,MKTX,57060D108,10629.0,5678224.38,0.49
2020-11-19,ARKF,ZSCALER INC,ZS,98980G102,643.0,89081.22,0.01
