Date,Fund,Company,Ticker,CUSIP,Shares,Market_Value,Weight
2020-10-30,ARKF,SQUARE INC - A,SQ,852234103,572766.0,88709998.08,9.91
2020-10-30,ARKF,PINTEREST INC- CLASS A,PINS,72352L106,886114.0,52236420.3,5.84
2020-10-30,ARKF,MERCADOLIBRE INC,MELI,58733R102,36339.0,44117362.95,4.93
2020-10-30,ARKF,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,495653.0,37838150.02,4.23
2020-10-30,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,386958.0,36528835.2,4.08
2020-10-30,ARKF,LENDINGTREE INC,TREE UW,52603B107,109632.0,35475818.88,3.96
2020-10-30,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,107340.0,32705424.6,3.65
2020-10-30,ARKF,SEA LTD-ADR,SE,81141R100,198137.0,31246204.9,3.49
2020-10-30,ARKF,ADYEN NV,ADYEN,BZ1HM42,17554.0,29592973.69,3.31
2020-10-30,ARKF,MEITUAN-CLASS B,3690,BGJW376,791215.0,29413500.55,3.29
2020-10-30,ARKF,ZILLOW GROUP INC - C,Z,98954M200,330442.0,29283770.04,3.27
2020-10-30,ARKF,PAYPAL HOLDINGS INC,PYPL,70450Y103,149500.0,27826435.0,3.11
2020-10-30,ARKF,Z HOLDINGS CORP,4689,6084848,3906812.0,27057924.27,3.02
2020-10-30,ARKF,SNAP INC - A,SNAP,83304A106,643988.0,25366687.32,2.83
2020-10-30,ARKF,AMAZON.COM INC,AMZN,023135106,7913.0,24025054.95,2.68
2020-10-30,ARKF,APPLE INC,AAPL,037833100,211037.0,22973487.82,2.57
2020-10-30,ARKF,TWILIO INC - A,TWLO,90138F102,81559.0,22752514.23,2.54
2020-10-30,ARKF,ZHONGAN ONLINE P&C INSURAN-H,6060,BYZQ099,4278045.0,22238660.24,2.48
2020-10-30,ARKF,FACEBOOK INC-CLASS A,FB,30303M102,80546.0,21192458.06,2.37
2020-10-30,ARKF,SPLUNK INC,SPLK,848637104,93235.0,18464259.4,2.06
2020-10-30,ARKF,INTUIT INC,INTU,461202103,48561.0,15281175.48,1.71
2020-10-30,ARKF,DOCUSIGN INC,DOCU,256163106,74003.0,14967106.75,1.67
2020-10-30,ARKF,WORKDAY INC-CLASS A,WDAY,98138H101,61339.0,12888550.68,1.44
2020-10-30,ARKF,LIGHTSPEED POS INC-SUB VOTE,LSPD,BGHVW01,366596.0,11727329.82,1.31
2020-10-30,ARKF,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,137466.0,11529273.42,1.29
2020-10-30,ARKF,PINDUODUO INC-ADR,PDD,722304102,128221.0,11537325.58,1.29
2020-10-30,ARKF,SLACK TECHNOLOGIES INC- CL A,WORK,83088V102,451662.0,11553513.96,1.29
2020-10-30,ARKF,GUIDEWIRE SOFTWARE INC,GWRE,40171V100,118385.0,11377982.35,1.27
2020-10-30,ARKF,SCHWAB (CHARLES) CORP,SCHW,808513105,264196.0,10861097.56,1.21
2020-10-30,ARKF,SBI HOLDINGS INC,8473,6309466,464074.0,10607279.07,1.18
2020-10-30,ARKF,HDFC BANK LTD-ADR,HDB,40415F101,178353.0,10244596.32,1.14
2020-10-30,ARKF,INTERACTIVE BROKERS GRO-CL A,IBKR,45841N107,204519.0,9728968.83,1.09
2020-10-30,ARKF,YEAHKA LTD,9923,BL58D39,1770800.0,9410765.56,1.05
2020-10-30,ARKF,NVIDIA CORP,NVDA,67066G104,18824.0,9437600.64,1.05
2020-10-30,ARKF,JD.COM INC-ADR,JD,47215P106,107648.0,8775464.96,0.98
2020-10-30,ARKF,LENDINGCLUB CORP,LC,52603A208,1879598.0,8777722.66,0.98
2020-10-30,ARKF,TRANSUNION,TRU,89400J107,103979.0,8282967.14,0.93
2020-10-30,ARKF,DISCOVERY LTD,DSY,6177878,1259773.0,8283014.73,0.93
2020-10-30,ARKF,VERISK ANALYTICS INC,VRSK,92345Y106,42066.0,7486486.02,0.84
2020-10-30,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,82837P408,274943.0,6147725.48,0.69
2020-10-30,ARKF,MARKETAXESS HOLDINGS INC,MKTX,57060D108,9138.0,4924011.3,0.55
2020-10-30,ARKF,ZSCALER INC,ZS,98980G102,32574.0,4421920.5,0.49
2020-10-30,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,4295.0,3974721.85,0.44
2020-10-30,ARKF,SOCIAL CAPITAL HEDOSOPHIA-A,IPOB,G8250T109,216144.0,3553407.36,0.4
