Date,Fund,Company,Ticker,CUSIP,Shares,Market_Value,Weight
2020-11-12,ARKG,INVITAE CORP,NVTA,46185L103,6276325.0,295865960.5,8.88
2020-11-12,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,2735103.0,278351432.31,8.36
2020-11-12,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,16321248.0,272972872.8,8.2
2020-11-12,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,1789937.0,189733322.0,5.7
2020-11-12,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,3353682.0,161379177.84,4.85
2020-11-12,ARKG,CAREDX INC,CDNA,14167L103,2357502.0,128318833.86,3.85
2020-11-12,ARKG,SERES THERAPEUTICS INC,MCRB,81750R102,3567728.0,122765520.48,3.69
2020-11-12,ARKG,TELADOC HEALTH INC,TDOC,87918A105,655722.0,122613456.78,3.68
2020-11-12,ARKG,PERSONALIS INC,PSNL,71535D106,4213127.0,121927895.38,3.66
2020-11-12,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,3134218.0,115370564.58,3.46
2020-11-12,ARKG,EXACT SCIENCES CORP,EXAS,30063P105,920629.0,112703402.18,3.38
2020-11-12,ARKG,FATE THERAPEUTICS INC,FATE,31189P102,1825840.0,94907163.2,2.85
2020-11-12,ARKG,VERACYTE INC,VCYT,92337F107,1906403.0,88380843.08,2.65
2020-11-12,ARKG,CELLECTIS - ADR,CLLS,15117K103,4677619.0,84150365.81,2.53
2020-11-12,ARKG,PURE STORAGE INC - CLASS A,PSTG,74624M102,4751368.0,82626289.52,2.48
2020-11-12,ARKG,COMPUGEN LTD,CGEN,M25722105,5936854.0,78782052.58,2.37
2020-11-12,ARKG,INCYTE CORP,INCY,45337C102,900964.0,74167356.48,2.23
2020-11-12,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,2409636.0,71590285.56,2.15
2020-11-12,ARKG,ILLUMINA INC,ILMN,452327109,201160.0,61214999.6,1.84
2020-11-12,ARKG,EDITAS MEDICINE INC,EDIT,28106W103,2026424.0,56334587.2,1.69
2020-11-12,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,1010376.0,49761018.0,1.49
2020-11-12,ARKG,CERUS CORP,CERS,157085101,8188288.0,49539142.4,1.49
2020-11-12,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,92532F100,223842.0,48866947.02,1.47
2020-11-12,ARKG,ACCOLADE INC,ACCD,00437E102,1300574.0,48121238.0,1.44
2020-11-12,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,848866.0,41331285.54,1.24
2020-11-12,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,292952.0,41004491.44,1.23
2020-11-12,ARKG,TAKEDA PHARMACEUTIC-SP ADR,TAK UN,874060205,2098194.0,35417514.72,1.06
2020-11-12,ARKG,SCHRODINGER INC,SDGR,80810D103,655701.0,34548885.69,1.04
2020-11-12,ARKG,GUARDANT HEALTH INC,GH,40131M109,296672.0,34408018.56,1.03
2020-11-12,ARKG,NOVARTIS AG-SPONSORED ADR,NVS,66987V109,383361.0,32823368.82,0.99
2020-11-12,ARKG,CASTLE BIOSCIENCES INC,CSTL,14843C105,612029.0,31696981.91,0.95
2020-11-12,ARKG,SYROS PHARMACEUTICALS INC,SYRS,87184Q107,3539004.0,31037065.08,0.93
2020-11-12,ARKG,PHREESIA INC,PHR,71944F106,723053.0,29674095.12,0.89
2020-11-12,ARKG,CODEXIS INC,CDXS,192005106,1790779.0,27291471.96,0.82
2020-11-12,ARKG,NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,560080.0,26183740.0,0.79
2020-11-12,ARKG,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,24900687.0,24900686.95,0.75
2020-11-12,ARKG,AQUABOUNTY TECHNOLOGIES,AQB,03842K200,4898850.0,19889331.0,0.6
2020-11-12,ARKG,PLURISTEM THERAPEUTICS INC,PSTI,72940R300,2092282.0,19269917.22,0.58
2020-11-12,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,544841.0,18709839.94,0.56
2020-11-12,ARKG,THERMO FISHER SCIENTIFIC INC,TMO,883556102,36020.0,17525891.2,0.53
2020-11-12,ARKG,REGENERON PHARMACEUTICALS,REGN,75886F107,28492.0,15863775.76,0.48
2020-11-12,ARKG,EVOGENE LTD,EVGN,M4119S104,4602387.0,11690062.98,0.35
2020-11-12,ARKG,BERKELEY LIGHTS INC,BLI,084310101,109509.0,9946702.47,0.3
2020-11-12,ARKG,REPARE THERAPEUTICS INC,RPTX,760273102,303210.0,8338275.0,0.25
2020-11-12,ARKG,SURFACE ONCOLOGY INC,SURF,86877M209,576260.0,5347692.8,0.16
2020-11-12,ARKG,ORGANOVO HOLDINGS INC,ONVO,68620A203,375748.0,3438094.2,0.1
