Date,Fund,Company,Ticker,CUSIP,Shares,Market_Value,Weight
2020-11-12,ARKQ,TESLA INC,TSLA,88160R101,204183.0,84074392.08,9.65
2020-11-12,ARKQ,MATERIALISE NV-ADR,MTLS,57667T100,1463042.0,58053506.56,6.67
2020-11-12,ARKQ,ALPHABET INC-CL C,GOOG,02079K107,23133.0,40479048.72,4.65
2020-11-12,ARKQ,2U INC,TWOU,90214J101,1209050.0,38883048.0,4.46
2020-11-12,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,05606L100,781125.0,36876911.25,4.23
2020-11-12,ARKQ,DEERE & CO,DE,244199105,136143.0,33764825.43,3.88
2020-11-12,ARKQ,JD.COM INC-ADR,JD,47215P106,375149.0,32405370.62,3.72
2020-11-12,ARKQ,TRIMBLE INC,TRMB,896239100,567161.0,32265789.29,3.7
2020-11-12,ARKQ,PROTO LABS INC,PRLB,743713109,249033.0,31706881.56,3.64
2020-11-12,ARKQ,XILINX INC,XLNX,983919101,235274.0,30032726.1,3.45
2020-11-12,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,904627.0,27645401.12,3.17
2020-11-12,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,50077B207,1402164.0,27230024.88,3.13
2020-11-12,ARKQ,CATERPILLAR INC,CAT,149123101,156656.0,26495229.28,3.04
2020-11-12,ARKQ,STRATASYS LTD,SSYS,M85548101,1704221.0,24114727.15,2.77
2020-11-12,ARKQ,WORKHORSE GROUP INC,WKHS,98138J206,1029652.0,21128459.04,2.43
2020-11-12,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,500458401,863442.0,20947102.92,2.41
2020-11-12,ARKQ,NXP SEMICONDUCTORS NV,NXPI,N6596X109,145323.0,20970108.9,2.41
2020-11-12,ARKQ,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,228136.0,20491175.52,2.35
2020-11-12,ARKQ,AEROVIRONMENT INC,AVAV,008073108,255334.0,20355226.48,2.34
2020-11-12,ARKQ,FLIR SYSTEMS INC,FLIR,302445101,572534.0,20324957.0,2.33
2020-11-12,ARKQ,BAIDU INC - SPON ADR,BIDU,056752108,136156.0,19398145.32,2.23
2020-11-12,ARKQ,SPLUNK INC,SPLK,848637104,96075.0,18422381.25,2.12
2020-11-12,ARKQ,SYNOPSYS INC,SNPS,871607107,77855.0,17420834.8,2.0
2020-11-12,ARKQ,VIRGIN GALACTIC HOLDINGS INC,SPCE,92766K106,708934.0,15327153.08,1.76
2020-11-12,ARKQ,TERADYNE INC,TER,880770102,149410.0,15012716.8,1.72
2020-11-12,ARKQ,NIU TECHNOLOGIES-SPONS ADR,NIU,65481N100,465523.0,14831562.78,1.7
2020-11-12,ARKQ,ANSYS INC,ANSS,03662Q105,40070.0,12968254.8,1.49
2020-11-12,ARKQ,AMAZON.COM INC,AMZN,023135106,3951.0,12288716.28,1.41
2020-11-12,ARKQ,INTUITIVE SURGICAL INC,ISRG,46120E602,16242.0,12031586.34,1.38
2020-11-12,ARKQ,EXONE CO/THE,XONE,302104104,1003858.0,10520431.84,1.21
2020-11-12,ARKQ,NVIDIA CORP,NVDA,67066G104,18208.0,9800820.16,1.13
2020-11-12,ARKQ,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,130202.0,9543806.6,1.1
2020-11-12,ARKQ,ELBIT SYSTEMS LTD,ESLT,M3760D101,80533.0,9236329.77,1.06
2020-11-12,ARKQ,APPLE INC,AAPL,037833100,72665.0,8662394.65,0.99
2020-11-12,ARKQ,AUTODESK INC,ADSK,052769106,34837.0,8559799.27,0.98
2020-11-12,ARKQ,ROCKWELL AUTOMATION INC,ROK,773903109,35112.0,8254128.96,0.95
2020-11-12,ARKQ,NANO DIMENSION LTD - ADR,NNDM,63008G203,2063172.0,7386155.76,0.85
2020-11-12,ARKQ,HONEYWELL INTERNATIONAL INC,HON,438516106,23532.0,4641451.68,0.53
2020-11-12,ARKQ,RAVEN INDUSTRIES INC,RAVN,754212108,170188.0,3931342.8,0.45
2020-11-12,ARKQ,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,2622112.0,2622112.27,0.3
2020-11-12,ARKQ,ORGANOVO HOLDINGS INC,ONVO,68620A203,198425.0,1815588.75,0.21
