Date,Fund,Company,Ticker,CUSIP,Shares,Market_Value,Weight
2020-11-12,ARKW,TESLA INC,TSLA,88160R101,702321.0,289187694.96,8.8
2020-11-12,ARKW,ROKU INC,ROKU,77543R102,1032069.0,238304732.1,7.25
2020-11-12,ARKW,SQUARE INC - A,SQ,852234103,1008535.0,180033582.85,5.48
2020-11-12,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,441283.0,114155499.27,3.47
2020-11-12,ARKW,TELADOC HEALTH INC,TDOC,87918A105,554940.0,103768230.6,3.16
2020-11-12,ARKW,GRAYSCALE BITCOIN TRUST BTC,GBTC,389637109,5405306.0,98592781.44,3.0
2020-11-12,ARKW,SLACK TECHNOLOGIES INC- CL A,WORK,83088V102,3646530.0,94408661.7,2.87
2020-11-12,ARKW,PURE STORAGE INC - CLASS A,PSTG,74624M102,5403731.0,93970882.09,2.86
2020-11-12,ARKW,LENDINGTREE INC,TREE UW,52603B107,294767.0,93052046.56,2.83
2020-11-12,ARKW,PINTEREST INC- CLASS A,PINS,72352L106,1532073.0,92322718.98,2.81
2020-11-12,ARKW,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,1238422.0,90776332.6,2.76
2020-11-12,ARKW,FACEBOOK INC-CLASS A,FB,30303M102,305251.0,83968445.08,2.56
2020-11-12,ARKW,PAGERDUTY INC,PD,69553P100,2812455.0,84148653.6,2.56
2020-11-12,ARKW,TWILIO INC - A,TWLO,90138F102,290246.0,82914574.82,2.52
2020-11-12,ARKW,SNAP INC - A,SNAP,83304A106,1956116.0,78831474.8,2.4
2020-11-12,ARKW,SEA LTD-ADR,SE,81141R100,432467.0,77312125.59,2.35
2020-11-12,ARKW,VERACYTE INC,VCYT,92337F107,1593076.0,73855003.36,2.25
2020-11-12,ARKW,HUYA INC-ADR,HUYA,44852D108,3378109.0,72156408.24,2.2
2020-11-12,ARKW,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,677736.0,66628226.16,2.03
2020-11-12,ARKW,NETFLIX INC,NFLX,64110L106,135602.0,66006985.54,2.01
2020-11-12,ARKW,ZILLOW GROUP INC - C,Z,98954M200,606760.0,65178159.2,1.98
2020-11-12,ARKW,2U INC,TWOU,90214J101,1917712.0,61673617.92,1.88
2020-11-12,ARKW,FASTLY INC - CLASS A,FSLY,31188V100,795608.0,60657153.92,1.85
2020-11-12,ARKW,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,222141.0,58714087.71,1.79
2020-11-12,ARKW,PAYPAL HOLDINGS INC,PYPL,70450Y103,290885.0,55006353.5,1.67
2020-11-12,ARKW,MERCADOLIBRE INC,MELI,58733R102,34750.0,45036000.0,1.37
2020-11-12,ARKW,HUBSPOT INC,HUBS,443573100,125470.0,44349880.9,1.35
2020-11-12,ARKW,TRADE DESK INC/THE -CLASS A,TTD,88339J105,58616.0,43375840.0,1.32
2020-11-12,ARKW,SOCIAL CAPITAL HEDOSOPHIA-A,IPOB,G8250T109,2316937.0,41426833.56,1.26
2020-11-12,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,294015.0,40368259.5,1.23
2020-11-12,ARKW,AMAZON.COM INC,AMZN,023135106,12435.0,38676331.8,1.18
2020-11-12,ARKW,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,422064.0,37909788.48,1.15
2020-11-12,ARKW,UNITY SOFTWARE INC,U,91332U101,359071.0,36531883.54,1.11
2020-11-12,ARKW,SPLUNK INC,SPLK,848637104,187829.0,36016210.75,1.1
2020-11-12,ARKW,CLOUDFLARE INC - CLASS A,NET,18915M107,561802.0,36039598.3,1.1
2020-11-12,ARKW,DOCUSIGN INC,DOCU,256163106,169181.0,35971264.22,1.09
2020-11-12,ARKW,ADYEN NV-UNSPON ADR,ADYEY,00783V104,873926.0,33689847.3,1.03
2020-11-12,ARKW,JD.COM INC-ADR,JD,47215P106,384091.0,33177780.58,1.01
2020-11-12,ARKW,NVIDIA CORP,NVDA,67066G104,60915.0,32788717.05,1.0
2020-11-12,ARKW,ATLASSIAN CORP PLC-CLASS A,TEAM,G06242104,169926.0,32795718.0,1.0
2020-11-12,ARKW,OKTA INC,OKTA,679295105,141701.0,31777866.26,0.97
2020-11-12,ARKW,SYNOPSYS INC,SNPS,871607107,141097.0,31571864.72,0.96
2020-11-12,ARKW,AGORA INC-ADR,API,00851L103,779357.0,30581968.68,0.93
2020-11-12,ARKW,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,71480.0,30639187.2,0.93
2020-11-12,ARKW,NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,470066.0,30244046.44,0.92
2020-11-12,ARKW,ADOBE INC,ADBE,00724F101,62922.0,29106458.76,0.89
2020-11-12,ARKW,LENDINGCLUB CORP,LC,52603A208,4690082.0,25607847.72,0.78
2020-11-12,ARKW,KE HOLDINGS INC,BEKE,482497104,226247.0,15303347.08,0.47
2020-11-12,ARKW,SHOPIFY INC - CLASS A,SHOP,82509L107,12907.0,11949300.6,0.36
2020-11-12,ARKW,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,4980689.0,4980688.75,0.15
2020-11-12,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,27071.0,394695.18,0.01
