Date,Fund,Company,Ticker,CUSIP,Shares,Market_Value,Weight
2020-11-12,IZRL,ONE SOFTWARE TECHNOLOGIES LT,ONE,6987709,13308.0,1380150.23,3.27
2020-11-12,IZRL,GAMIDA CELL LTD,GMDA,M47364100,206649.0,1299822.21,3.08
2020-11-12,IZRL,FATTAL HOLDINGS 1998 LTD,FTAL,BG1YKN5,15977.0,1234662.76,2.92
2020-11-12,IZRL,TOWER SEMICONDUCTOR LTD,TSEM,M87915274,54376.0,1228353.84,2.91
2020-11-12,IZRL,PARTNER COMMUNICATIONS CO,PTNR,6374420,271795.0,1203199.34,2.85
2020-11-12,IZRL,RADA ELECTRONIC INDS LTD,RADA,M81863124,158968.0,1189080.64,2.81
2020-11-12,IZRL,ITURAN LOCATION AND CONTROL,ITRN,M6158M104,77435.0,1165396.75,2.76
2020-11-12,IZRL,FIVERR INTERNATIONAL LTD,FVRR,M4R82T106,6928.0,1143812.8,2.71
2020-11-12,IZRL,GILAT SATELLITE NETWORKS LTD,GILT,M51474118,213829.0,1141846.86,2.7
2020-11-12,IZRL,NICE LTD - SPON ADR,NICE,653656108,4567.0,1130332.5,2.67
2020-11-12,IZRL,HILAN LTD,HLAN,6267230,24566.0,1118075.65,2.65
2020-11-12,IZRL,NOVA MEASURING INSTRUMENTS,NVMI,M7516K103,18441.0,1115864.91,2.64
2020-11-12,IZRL,UROGEN PHARMA LTD,URGN UQ,M96088105,47337.0,1111946.13,2.63
2020-11-12,IZRL,DANEL (ADIR YEOSHUA) LTD,DANE,6253433,8682.0,1112117.16,2.63
2020-11-12,IZRL,CELLCOM ISRAEL LTD,CEL,B23WQK8,276762.0,1112017.64,2.63
2020-11-12,IZRL,ALLOT LTD,ALLT,M0854Q105,105709.0,1100430.69,2.6
2020-11-12,IZRL,TARO PHARMACEUTICAL INDUS,TARO,M8737E108,17926.0,1100477.14,2.6
2020-11-12,IZRL,SILICOM LTD,SILC,M84116108,30203.0,1095462.81,2.59
2020-11-12,IZRL,TEVA PHARMACEUTICAL-SP ADR,TEVA,881624209,115244.0,1095970.44,2.59
2020-11-12,IZRL,CAMTEK LTD,CAMT,M20791105,58580.0,1087830.6,2.57
2020-11-12,IZRL,RADWARE LTD,RDWR,M81873107,43779.0,1078714.56,2.55
2020-11-12,IZRL,INMODE LTD,INMD,M5425M103,26404.0,1079923.6,2.55
2020-11-12,IZRL,ELBIT SYSTEMS LTD,ESLT,6308913,8984.0,1039794.48,2.46
2020-11-12,IZRL,MATRIX IT LTD,MTRX,6747754,44470.0,1039655.98,2.46
2020-11-12,IZRL,SAPIENS INTERNATIONAL CORP,SPNS,G7T16G103,35282.0,1031645.68,2.44
2020-11-12,IZRL,POLYPID LTD,PYPD,M8001Q118,99468.0,1025515.08,2.43
2020-11-12,IZRL,PERION NETWORK LTD,PERI,M78673114,138502.0,1024914.8,2.42
2020-11-12,IZRL,CYBERARK SOFTWARE LTD/ISRAEL,CYBR,M2682V108,9553.0,990741.63,2.34
2020-11-12,IZRL,CHECK POINT SOFTWARE TECH,CHKP,M22465104,8394.0,975802.5,2.31
2020-11-12,IZRL,CERAGON NETWORKS LTD,CRNT,M22013102,418302.0,966277.62,2.29
2020-11-12,IZRL,WIX.COM LTD,WIX,M98068105,3739.0,953706.73,2.26
2020-11-12,IZRL,BEZEQ THE ISRAELI TELECOM CO,BEZQ,6098032,884156.0,948381.33,2.24
2020-11-12,IZRL,PLURISTEM THERAPEUTICS INC,PSTI,72940R300,101615.0,935874.15,2.21
2020-11-12,IZRL,STRATASYS LTD,SSYS,M85548101,64709.0,915632.35,2.17
2020-11-12,IZRL,AUDIOCODES LTD,AUDC,M15342104,32097.0,889728.84,2.1
2020-11-12,IZRL,KAMADA LTD,KMDA,B0L2CR5,134943.0,884465.73,2.09
2020-11-12,IZRL,BATM ADVANCED COMMUNICATIONS,BATM,B85PTW0,717716.0,866614.13,2.05
2020-11-12,IZRL,REDHILL BIOPHARMA LTD-SP ADR,RDHL,757468103,106708.0,833389.48,1.97
2020-11-12,IZRL,COMPUGEN LTD,CGEN,M25722105,61976.0,822421.52,1.95
2020-11-12,IZRL,AYALA PHARMACEUTICALS INC,AYLA,05465V108,67226.0,711923.34,1.68
2020-11-12,IZRL,BIONDVAX PHARMACEUTICALS-ADR,BVXV,09073Q105,26541.0,70599.06,0.17
2020-11-12,IZRL,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,16853.0,16853.18,0.04
