Date,Fund,Company,Ticker,CUSIP,Shares,Market_Value,Weight
2020-11-12,PRNT,SLM SOLUTIONS GROUP AG,AM3D,BMHTHK2,281719.0,4796660.82,6.45
2020-11-12,PRNT,3D SYSTEMS CORP,DDD,88554D205,547875.0,4037838.75,5.43
2020-11-12,PRNT,STRAUMANN HOLDING AG-REG,STMN,7156832,3431.0,3990275.87,5.36
2020-11-12,PRNT,RENISHAW PLC,RSW,0732358,49226.0,3616851.88,4.86
2020-11-12,PRNT,HP INC,HPQ,40434L105,187880.0,3556568.4,4.78
2020-11-12,PRNT,MGI DIGITAL GRAPHIC TECHNOLO,ALMDG,B18FJV7,66525.0,3546502.33,4.77
2020-11-12,PRNT,TRIMBLE INC,TRMB,896239100,60408.0,3436611.12,4.62
2020-11-12,PRNT,PTC INC,PTC,69370C100,35877.0,3396834.36,4.56
2020-11-12,PRNT,ALTAIR ENGINEERING INC - A,ALTR,021369103,68787.0,3362996.43,4.52
2020-11-12,PRNT,PROTO LABS INC,PRLB,743713109,25370.0,3230108.4,4.34
2020-11-12,PRNT,EXONE CO/THE,XONE,302104104,295375.0,3095530.0,4.16
2020-11-12,PRNT,DASSAULT SYSTEMES SE,DSY,5330047,17096.0,3087461.86,4.15
2020-11-12,PRNT,MICROSOFT CORP,MSFT,594918104,14334.0,3088116.96,4.15
2020-11-12,PRNT,AUTODESK INC,ADSK,052769106,12446.0,3058106.66,4.11
2020-11-12,PRNT,MATERIALISE NV-ADR,MTLS,57667T100,75158.0,2982269.44,4.01
2020-11-12,PRNT,ANSYS INC,ANSS,03662Q105,8976.0,2904992.64,3.9
2020-11-12,PRNT,STRATASYS LTD,SSYS,M85548101,202763.0,2869096.45,3.86
2020-11-12,PRNT,ALIGN TECHNOLOGY INC,ALGN,016255101,2722.0,1232412.72,1.66
2020-11-12,PRNT,HEXAGON AB-B SHS,HEXAB,B1XFTL2,12158.0,994343.46,1.34
2020-11-12,PRNT,AMETEK INC,AME,031100100,8449.0,975437.05,1.31
2020-11-12,PRNT,FARO TECHNOLOGIES INC,FARO,311642102,14406.0,921407.76,1.24
2020-11-12,PRNT,GENERAL ELECTRIC CO,GE,369604103,92319.0,808714.44,1.09
2020-11-12,PRNT,ARCONIC CORP,ARNC,03966V107,27910.0,759152.0,1.02
2020-11-12,PRNT,KAISER ALUMINUM CORP,KALU,483007704,10066.0,728979.72,0.98
2020-11-12,PRNT,MICHELIN (CGDE),ML,4588364,5966.0,723454.64,0.97
2020-11-12,PRNT,LINCOLN ELECTRIC HOLDINGS,LECO,533900106,6370.0,708535.1,0.95
2020-11-12,PRNT,OC OERLIKON CORP AG-REG,OERL,4612757,81761.0,693177.49,0.93
2020-11-12,PRNT,MOOG INC-CLASS A,MOG/A,615394202,9742.0,691584.58,0.93
2020-11-12,PRNT,ULTRA CLEAN HOLDINGS INC,UCTT,90385V107,25979.0,675454.0,0.91
2020-11-12,PRNT,SIEMENS AG-REG,SIE,5727973,4922.0,660900.49,0.89
2020-11-12,PRNT,MEDTRONIC PLC,MDT UN,G5960L103,5935.0,650476.0,0.87
2020-11-12,PRNT,BERTRANDT AG,BDT,5130861,16997.0,641210.68,0.86
2020-11-12,PRNT,STRYKER CORP,SYK,863667101,2847.0,641201.34,0.86
2020-11-12,PRNT,UNITED PARCEL SERVICE-CL B,UPS,911312106,3716.0,606116.76,0.81
2020-11-12,PRNT,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,604570.0,604569.93,0.81
2020-11-12,PRNT,AEROJET ROCKETDYNE HOLDINGS,AJRD,007800105,16047.0,566298.63,0.76
2020-11-12,PRNT,NUVASIVE INC,NUVA,670704105,11946.0,559550.64,0.75
2020-11-12,PRNT,ALLEGHENY TECHNOLOGIES INC,ATI,01741R102,10275.0,119395.5,0.16
2020-11-12,PRNT,HEXCEL CORP,HXL,428291108,2614.0,109997.12,0.15
2020-11-12,PRNT,CARPENTER TECHNOLOGY,CRS,144285103,5144.0,109978.72,0.15
2020-11-12,PRNT,VOESTALPINE AG,VOE,4943402,3418.0,103114.7,0.14
2020-11-12,PRNT,EASTMAN CHEMICAL CO,EMN,277432100,1113.0,101004.75,0.14
2020-11-12,PRNT,SANDVIK AB,SAND,B1VQ252,4938.0,102591.25,0.14
2020-11-12,PRNT,TORAY INDUSTRIES INC,3402,6897143,20308.0,102993.54,0.14
2020-11-12,PRNT,3M CO,MMM,88579Y101,565.0,94383.25,0.13
2020-11-12,PRNT,HENKEL AG & CO KGAA VORZUG,HEN3,5076705,898.0,96318.8,0.13
2020-11-12,PRNT,EVONIK INDUSTRIES AG,EVK,B5ZQ9D3,3545.0,95393.37,0.13
2020-11-12,PRNT,DUPONT DE NEMOURS INC,DD,26614N102,1615.0,96867.7,0.13
2020-11-12,PRNT,SGL CARBON SE,SGL,4818351,27857.0,98840.85,0.13
2020-11-12,PRNT,XEROX HOLDINGS CORP,XRX UN,98421M106,4779.0,97539.39,0.13
2020-11-12,PRNT,KONINKLIJKE DSM NV,DSM,B0HZL93,563.0,96523.4,0.13
2020-11-12,PRNT,ARKEMA,AKE,B0Z5YZ2,874.0,92568.13,0.12
