Date,Fund,Company,Ticker,CUSIP,Shares,Market_Value,Weight
2020-11-13,ARKF,SQUARE INC - A,SQ,852234103,610352.0,108148270.88,10.08
2020-11-13,ARKF,PINTEREST INC- CLASS A,PINS,72352L106,834820.0,52025982.4,4.85
2020-11-13,ARKF,MERCADOLIBRE INC,MELI,58733R102,36116.0,47010752.56,4.38
2020-11-13,ARKF,ZILLOW GROUP INC - C,Z,98954M200,421351.0,44675846.53,4.16
2020-11-13,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,433810.0,43099023.5,4.02
2020-11-13,ARKF,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,555669.0,42486451.74,3.96
2020-11-13,ARKF,LENDINGTREE INC,TREE UW,52603B107,132025.0,42403789.5,3.95
2020-11-13,ARKF,SEA LTD-ADR,SE,81141R100,222146.0,40306170.24,3.76
2020-11-13,ARKF,ADYEN NV,ADYEN,BZ1HM42,19674.0,37921912.61,3.53
2020-11-13,ARKF,PAYPAL HOLDINGS INC,PYPL,70450Y103,194826.0,36748080.12,3.42
2020-11-13,ARKF,MEITUAN-CLASS B,3690,BGJW376,886615.0,34969447.26,3.26
2020-11-13,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,130934.0,34152824.56,3.18
2020-11-13,ARKF,Z HOLDINGS CORP,4689,6084848,5014514.0,29297853.31,2.73
2020-11-13,ARKF,AMAZON.COM INC,AMZN,023135106,8867.0,27743158.27,2.59
2020-11-13,ARKF,TWILIO INC - A,TWLO,90138F102,91443.0,25094702.49,2.34
2020-11-13,ARKF,APPLE INC,AAPL,037833100,209310.0,24962310.6,2.33
2020-11-13,ARKF,FACEBOOK INC-CLASS A,FB,30303M102,90298.0,25008031.1,2.33
2020-11-13,ARKF,ZHONGAN ONLINE P&C INSURAN-H,6060,BYZQ099,4797445.0,24317491.18,2.27
2020-11-13,ARKF,SNAP INC - A,SNAP,83304A106,585424.0,23668692.32,2.21
2020-11-13,ARKF,DOCUSIGN INC,DOCU,256163106,103940.0,21380458.0,1.99
2020-11-13,ARKF,SPLUNK INC,SPLK,848637104,104524.0,20199263.0,1.88
2020-11-13,ARKF,INTUIT INC,INTU,461202103,54444.0,19433785.8,1.81
2020-11-13,ARKF,WORKDAY INC-CLASS A,WDAY,98138H101,82904.0,18404688.0,1.72
2020-11-13,ARKF,PINDUODUO INC-ADR,PDD,722304102,112454.0,17013165.66,1.59
2020-11-13,ARKF,LIGHTSPEED POS INC-SUB VOTE,LSPD,BGHVW01,408996.0,16148837.65,1.51
2020-11-13,ARKF,GUIDEWIRE SOFTWARE INC,GWRE,40171V100,132748.0,14592987.64,1.36
2020-11-13,ARKF,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,154108.0,14365947.76,1.34
2020-11-13,ARKF,HDFC BANK LTD-ADR,HDB,40415F101,199964.0,13581554.88,1.27
2020-11-13,ARKF,SCHWAB (CHARLES) CORP,SCHW,808513105,296197.0,13625062.0,1.27
2020-11-13,ARKF,SBI HOLDINGS INC,8473,6309466,522374.0,13288351.93,1.24
2020-11-13,ARKF,SLACK TECHNOLOGIES INC- CL A,WORK,83088V102,506358.0,13038718.5,1.22
2020-11-13,ARKF,INTERACTIVE BROKERS GRO-CL A,IBKR,45841N107,229308.0,12286322.64,1.15
2020-11-13,ARKF,SOCIAL CAPITAL HEDOSOPHIA-A,IPOB,G8250T109,621200.0,11815224.0,1.1
2020-11-13,ARKF,DISCOVERY LTD,DSY,6177878,1412350.0,11448115.33,1.07
2020-11-13,ARKF,NVIDIA CORP,NVDA,67066G104,21103.0,11224263.64,1.05
2020-11-13,ARKF,JD.COM INC-ADR,JD,47215P106,120686.0,11112766.88,1.04
2020-11-13,ARKF,TRANSUNION,TRU,89400J107,116593.0,10839651.21,1.01
2020-11-13,ARKF,TCS GROUP HOLDING-GDR REG S,,87238U203,349573.0,10452232.7,0.97
2020-11-13,ARKF,LENDINGCLUB CORP,LC,52603A208,1879598.0,10375380.96,0.97
2020-11-13,ARKF,VERISK ANALYTICS INC,VRSK,92345Y106,47154.0,9605269.8,0.9
2020-11-13,ARKF,YEAHKA LTD,9923,BL58D39,1982800.0,9539024.28,0.89
2020-11-13,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,82837P408,308227.0,8728988.64,0.81
2020-11-13,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,8902.0,8174706.6,0.76
2020-11-13,ARKF,MARKETAXESS HOLDINGS INC,MKTX,57060D108,10251.0,5360555.43,0.5
2020-11-13,ARKF,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,2324371.0,2324371.03,0.22
2020-11-13,ARKF,ZSCALER INC,ZS,98980G102,615.0,81130.8,0.01
2020-11-13,ARKF,JAPANESE YEN,,CCTJPY,12478796.0,119248.85,0.01
