Date,Fund,Company,Ticker,CUSIP,Shares,Market_Value,Weight
2020-11-13,ARKK,TESLA INC,TSLA,88160R101,2487496.0,1016142116.0,9.17
2020-11-13,ARKK,INVITAE CORP,NVTA,46185L103,17614050.0,828212631.0,7.47
2020-11-13,ARKK,ROKU INC,ROKU,77543R102,2896763.0,660751640.3,5.96
2020-11-13,ARKK,SQUARE INC - A,SQ,852234103,3548023.0,628674195.37,5.67
2020-11-13,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,5976179.0,621283568.84,5.61
2020-11-13,ARKK,TELADOC HEALTH INC,TDOC,87918A105,2357656.0,431616083.92,3.89
2020-11-13,ARKK,PROTO LABS INC,PRLB,743713109,2750889.0,358991014.5,3.24
2020-11-13,ARKK,ZILLOW GROUP INC - C,Z,98954M200,3377846.0,358153011.38,3.23
2020-11-13,ARKK,SLACK TECHNOLOGIES INC- CL A,WORK,83088V102,13131102.0,338125876.5,3.05
2020-11-13,ARKK,LENDINGTREE INC,TREE UW,52603B107,1047583.0,336462707.94,3.04
2020-11-13,ARKK,PURE STORAGE INC - CLASS A,PSTG,74624M102,17227686.0,309409240.56,2.79
2020-11-13,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,1210242.0,306796347.0,2.77
2020-11-13,ARKK,SERES THERAPEUTICS INC,MCRB,81750R102,8573181.0,295431817.26,2.67
2020-11-13,ARKK,2U INC,TWOU,90214J101,8127927.0,263182276.26,2.37
2020-11-13,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,6485019.0,244614916.68,2.21
2020-11-13,ARKK,PAGERDUTY INC,PD,69553P100,7620667.0,230296556.74,2.08
2020-11-13,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,6817760.0,226554164.8,2.04
2020-11-13,ARKK,MATERIALISE NV-ADR,MTLS,57667T100,5503086.0,221279088.06,2.0
2020-11-13,ARKK,VERACYTE INC,VCYT,92337F107,4573037.0,213263580.5,1.92
2020-11-13,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,1957978.0,210208518.08,1.9
2020-11-13,ARKK,EDITAS MEDICINE INC,EDIT,28106W103,7146853.0,208902513.19,1.89
2020-11-13,ARKK,TWILIO INC - A,TWLO,90138F102,704837.0,193428417.91,1.75
2020-11-13,ARKK,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,1949072.0,181692491.84,1.64
2020-11-13,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,1425279.0,174895986.09,1.58
2020-11-13,ARKK,SPLUNK INC,SPLK,848637104,801854.0,154958285.5,1.4
2020-11-13,ARKK,COMPUGEN LTD,CGEN,M25722105,10949860.0,147713611.4,1.33
2020-11-13,ARKK,DOCUSIGN INC,DOCU,256163106,704752.0,144967486.4,1.31
2020-11-13,ARKK,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,1452157.0,144271797.95,1.3
2020-11-13,ARKK,NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,2635491.0,121786039.11,1.1
2020-11-13,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,1823399.0,119487336.47,1.08
2020-11-13,ARKK,CERUS CORP,CERS,157085101,19235009.0,116948854.72,1.06
2020-11-13,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,6922595.0,115884240.3,1.05
2020-11-13,ARKK,SYNOPSYS INC,SNPS,871607107,515627.0,116650296.21,1.05
2020-11-13,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,3709818.0,115783419.78,1.04
2020-11-13,ARKK,PINTEREST INC- CLASS A,PINS,72352L106,1746427.0,108837330.64,0.98
2020-11-13,ARKK,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,1400735.0,107100198.1,0.97
2020-11-13,ARKK,PAYPAL HOLDINGS INC,PYPL,70450Y103,564677.0,106509375.74,0.96
2020-11-13,ARKK,HUYA INC-ADR,HUYA,44852D108,4904788.0,105551037.76,0.95
2020-11-13,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,247864.0,100032953.12,0.9
2020-11-13,ARKK,STRATASYS LTD,SSYS,M85548101,7113304.0,98874925.6,0.89
2020-11-13,ARKK,UNITY SOFTWARE INC,U,91332U101,835597.0,95901467.69,0.87
2020-11-13,ARKK,SEA LTD-ADR,SE,81141R100,333226.0,60460525.44,0.55
2020-11-13,ARKK,SYROS PHARMACEUTICALS INC,SYRS,87184Q107,5102055.0,44796042.9,0.4
2020-11-13,ARKK,ZSCALER INC,ZS,98980G102,304118.0,40119246.56,0.36
2020-11-13,ARKK,EXONE CO/THE,XONE,302104104,1854756.0,19382200.2,0.17
2020-11-13,ARKK,DOUYU INTERNATIONAL HOLD-ADR,DOYU,25985W105,1172250.0,16657672.5,0.15
2020-11-13,ARKK,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,12897199.0,12897198.91,0.12
2020-11-13,ARKK,ORGANOVO HOLDINGS INC,ONVO,68620A203,836011.0,7682941.09,0.07
