Ticker,Date,open,high,low,close,volume
ACCD,2020-07-02,35.0,36.89,29.11,29.7,8507583.0
ACCD,2020-07-06,31.0,31.18,28.68,30.0,1781419.0
ACCD,2020-07-07,30.3,30.85,29.44,30.15,852073.0
ACCD,2020-07-08,30.25,34.57,30.08,34.31,1392790.0
ACCD,2020-07-09,33.96,35.5,32.94,34.0,1856673.0
ACCD,2020-07-10,33.75,35.33,33.07,34.9,488193.0
ACCD,2020-07-13,35.36,35.97,32.72,32.99,544929.0
ACCD,2020-07-14,32.99,32.99,30.32,31.54,855612.0
ACCD,2020-07-15,32.0,32.49,31.1,32.41,569305.0
ACCD,2020-07-16,32.01,32.47,31.33,32.21,422960.0
ACCD,2020-07-17,31.97,33.84,31.22,33.62,262800.0
ACCD,2020-07-20,33.97,33.97,31.97,32.72,161696.0
ACCD,2020-07-21,32.52,33.64,32.0,32.28,187572.0
ACCD,2020-07-22,31.91,32.49,31.48,32.21,199497.0
ACCD,2020-07-23,31.89,33.44,31.7,32.54,163361.0
ACCD,2020-07-24,32.01,33.29,31.71,32.94,188293.0
ACCD,2020-07-27,33.5,35.39,32.94,35.19,370593.0
ACCD,2020-07-28,35.3,35.3,33.2,33.67,103535.0
ACCD,2020-07-29,33.73,36.72,33.45,35.5,169096.0
ACCD,2020-07-30,35.49,35.64,32.69,33.69,148720.0
ACCD,2020-07-31,33.66,34.45,32.01,32.44,134548.0
ACCD,2020-08-03,32.57,33.86,32.35,33.03,112990.0
ACCD,2020-08-04,32.78,35.85,32.45,34.58,207343.0
ACCD,2020-08-05,34.61,38.7,34.61,37.97,328997.0
ACCD,2020-08-06,37.97,42.2,37.97,41.34,545206.0
ACCD,2020-08-07,41.4,41.8,36.91,37.0,279780.0
ACCD,2020-08-10,37.2,38.48,37.2,37.52,140801.0
ACCD,2020-08-11,37.3,38.29,34.52,36.15,221437.0
ACCD,2020-08-12,36.57,38.0,36.23,37.63,105273.0
ACCD,2020-08-13,37.15,37.67,36.55,37.27,117839.0
ACCD,2020-08-14,38.0,39.0,34.92,36.81,307008.0
ACCD,2020-08-17,36.95,38.99,36.45,37.9,191506.0
ACCD,2020-08-18,38.09,39.64,37.44,37.48,397076.0
ACCD,2020-08-19,37.58,39.75,37.58,38.74,137727.0
ACCD,2020-08-20,38.66,40.6,38.0,39.97,172814.0
ACCD,2020-08-21,39.85,40.85,39.21,39.69,161454.0
ACCD,2020-08-24,40.2,41.74,39.56,40.14,280473.0
ACCD,2020-08-25,40.26,41.5,37.08,38.23,191112.0
ACCD,2020-08-26,39.66,39.66,35.45,36.0,595666.0
ACCD,2020-08-27,36.41,37.21,35.25,35.28,424884.0
ACCD,2020-08-28,35.66,35.85,32.73,34.47,313776.0
ACCD,2020-08-31,34.47,34.68,32.2,33.61,318481.0
ACCD,2020-09-01,33.32,34.16,31.91,32.73,221643.0
ACCD,2020-09-02,33.04,35.1,32.46,34.47,286032.0
ACCD,2020-09-03,34.45,34.5,32.52,32.96,297011.0
ACCD,2020-09-04,32.69,33.81,30.42,32.6,306549.0
ACCD,2020-09-08,32.5,33.2,31.85,32.14,150471.0
ACCD,2020-09-09,32.4,34.34,32.09,33.56,267100.0
ACCD,2020-09-10,33.49,34.4,33.04,34.07,171838.0
ACCD,2020-09-11,34.2,35.35,32.65,32.65,212018.0
ACCD,2020-09-14,32.82,34.21,32.43,33.85,359338.0
