Ticker,Date,open,high,low,close,volume
ADBE,2020-01-02,330.0,334.48,329.17,334.43,1990496.0
ADBE,2020-01-03,329.17,332.98,328.69,331.81,1579371.0
ADBE,2020-01-06,328.29,333.91,328.19,333.71,1875122.0
ADBE,2020-01-07,334.15,334.79,332.31,333.39,2507261.0
ADBE,2020-01-08,333.81,339.23,333.4,337.87,2248531.0
ADBE,2020-01-09,340.14,341.81,338.19,340.45,1626380.0
ADBE,2020-01-10,342.05,343.36,339.62,339.81,1481141.0
ADBE,2020-01-13,341.54,345.73,341.22,345.63,2069555.0
ADBE,2020-01-14,347.01,347.27,343.15,344.63,2274687.0
ADBE,2020-01-15,346.42,347.5,342.46,342.94,2213374.0
ADBE,2020-01-16,345.98,345.99,342.76,345.38,2439600.0
ADBE,2020-01-17,349.0,349.95,346.38,349.74,2536157.0
ADBE,2020-01-21,346.37,352.37,345.62,350.0,2121335.0
ADBE,2020-01-22,352.6,354.28,349.96,350.06,1600485.0
ADBE,2020-01-23,351.02,352.16,347.85,351.76,2084658.0
ADBE,2020-01-24,354.1,355.69,349.2,351.37,1640163.0
ADBE,2020-01-27,341.04,349.9,340.4,346.9,2652030.0
ADBE,2020-01-28,349.0,355.66,347.12,354.63,2270756.0
ADBE,2020-01-29,356.7,356.7,351.36,351.66,1523203.0
ADBE,2020-01-30,349.69,356.82,349.69,356.74,1834931.0
ADBE,2020-01-31,355.84,355.84,348.3,351.14,3692938.0
ADBE,2020-02-03,353.41,358.67,352.29,358.0,2693989.0
ADBE,2020-02-04,363.43,367.44,360.45,366.74,3052967.0
ADBE,2020-02-05,373.99,374.48,362.31,365.55,2463385.0
ADBE,2020-02-06,366.16,368.25,363.01,367.46,2224882.0
ADBE,2020-02-07,366.0,369.34,364.38,366.09,2092872.0
ADBE,2020-02-10,365.44,370.81,365.22,370.0,2427076.0
ADBE,2020-02-11,373.03,373.7,367.25,369.28,2005005.0
ADBE,2020-02-12,370.64,374.43,367.15,374.29,2355797.0
ADBE,2020-02-13,372.56,377.71,372.39,374.84,1917119.0
ADBE,2020-02-14,376.28,379.83,375.85,379.67,1690561.0
ADBE,2020-02-18,380.2,382.59,378.59,378.85,2074715.0
ADBE,2020-02-19,383.83,385.0,381.48,383.28,2580455.0
ADBE,2020-02-20,384.0,386.75,373.48,378.96,3789340.0
ADBE,2020-02-21,378.02,378.34,368.75,372.95,2743135.0
ADBE,2020-02-24,355.39,363.46,349.0,357.41,3924013.0
ADBE,2020-02-25,361.0,363.97,346.28,347.8,4188112.0
ADBE,2020-02-26,349.4,360.07,348.6,351.34,3494105.0
ADBE,2020-02-27,340.0,352.24,337.27,337.52,4737676.0
ADBE,2020-02-28,324.42,345.46,324.0,345.12,6469131.0
ADBE,2020-03-02,349.81,360.75,342.61,360.28,5398135.0
ADBE,2020-03-03,361.76,364.95,344.04,348.34,4204501.0
ADBE,2020-03-04,354.38,364.27,350.08,363.85,4146282.0
ADBE,2020-03-05,355.06,360.45,347.19,351.03,3199006.0
ADBE,2020-03-06,340.45,344.16,326.6,336.77,5622911.0
ADBE,2020-03-09,311.68,322.44,305.33,305.79,5291910.0
ADBE,2020-03-10,318.98,332.94,309.31,332.38,5973672.0
ADBE,2020-03-11,324.32,326.36,309.0,315.23,4874326.0
ADBE,2020-03-12,290.41,310.13,283.0,285.0,7230152.0
ADBE,2020-03-13,312.88,336.0,298.0,335.5,8935220.0
ADBE,2020-03-16,288.36,307.11,283.25,286.03,7140139.0
ADBE,2020-03-17,291.2,312.95,278.35,311.81,6189140.0
ADBE,2020-03-18,290.0,296.87,255.13,294.61,7293306.0
ADBE,2020-03-19,291.77,318.71,281.1,307.51,6023835.0
ADBE,2020-03-20,312.92,324.8,293.77,295.34,7461753.0
ADBE,2020-03-23,296.67,312.49,287.78,307.27,6016822.0
ADBE,2020-03-24,322.96,326.99,301.59,310.0,6592213.0
ADBE,2020-03-25,308.0,317.65,298.13,305.91,4830363.0
ADBE,2020-03-26,305.99,324.43,305.69,322.67,4534399.0
ADBE,2020-03-27,311.7,314.29,300.63,305.83,4862124.0
ADBE,2020-03-30,308.89,322.97,308.01,318.39,4340463.0
ADBE,2020-03-31,316.41,326.33,312.68,318.24,6414549.0
ADBE,2020-04-01,307.0,309.61,298.32,301.21,3902957.0
ADBE,2020-04-02,297.76,306.5,293.18,303.96,3590071.0
ADBE,2020-04-03,302.06,303.47,289.71,293.61,3934718.0
ADBE,2020-04-06,306.56,320.51,299.96,319.13,5145092.0
ADBE,2020-04-07,327.41,328.32,306.3,308.93,5422270.0
ADBE,2020-04-08,313.88,317.72,308.2,317.18,4002545.0
ADBE,2020-04-09,318.65,320.78,310.79,318.7,3300177.0
ADBE,2020-04-13,315.94,320.9,313.75,320.65,1838954.0
ADBE,2020-04-14,328.77,342.1,328.47,340.77,3858854.0
ADBE,2020-04-15,335.34,339.22,329.65,332.55,2818631.0
ADBE,2020-04-16,339.71,345.52,336.04,342.7,3918632.0
ADBE,2020-04-17,350.09,350.38,340.5,344.11,3342418.0
ADBE,2020-04-20,340.79,348.5,338.75,344.88,2771970.0
ADBE,2020-04-21,340.9,342.76,325.21,328.99,3548202.0
ADBE,2020-04-22,337.41,339.38,332.8,336.77,2231819.0
ADBE,2020-04-23,338.9,341.75,334.8,335.37,2120251.0
ADBE,2020-04-24,338.0,344.7,333.5,344.1,2146162.0
ADBE,2020-04-27,348.8,349.96,345.12,348.5,2375636.0
ADBE,2020-04-28,353.09,353.45,332.57,333.45,3895571.0
ADBE,2020-04-29,339.53,351.25,335.44,349.17,5006415.0
ADBE,2020-04-30,348.01,356.23,346.55,353.64,3902173.0
ADBE,2020-05-01,347.24,350.31,340.26,343.84,2578615.0
ADBE,2020-05-04,340.74,350.6,340.0,349.11,2372392.0
ADBE,2020-05-05,353.38,359.7,352.39,356.13,2377555.0
ADBE,2020-05-06,357.92,366.79,357.13,362.52,2319702.0
ADBE,2020-05-07,368.82,369.5,365.5,366.78,2466063.0
ADBE,2020-05-08,370.0,371.1,365.41,367.51,2548366.0
ADBE,2020-05-11,365.84,373.63,364.5,371.42,2266282.0
ADBE,2020-05-12,371.46,372.72,364.55,365.1,2071782.0
ADBE,2020-05-13,366.45,367.43,352.71,358.56,3365501.0
ADBE,2020-05-14,354.0,357.0,348.01,355.39,2752031.0
ADBE,2020-05-15,351.57,365.48,351.53,365.3,2626904.0
ADBE,2020-05-18,371.59,375.49,367.21,367.97,2352319.0
ADBE,2020-05-19,369.88,376.0,368.89,372.2,2753685.0
ADBE,2020-05-20,377.21,384.4,377.06,383.63,2824862.0
ADBE,2020-05-21,382.0,385.12,380.6,382.17,2261384.0
ADBE,2020-05-22,381.39,386.52,380.95,385.26,1688159.0
ADBE,2020-05-26,391.0,391.27,374.81,376.63,3525983.0
ADBE,2020-05-27,373.24,375.7,361.44,375.17,3553278.0
ADBE,2020-05-28,372.5,386.9,372.5,379.83,2904450.0
ADBE,2020-05-29,382.62,389.05,377.08,386.6,5937467.0
ADBE,2020-06-01,387.08,389.99,382.9,389.68,2035186.0
ADBE,2020-06-02,389.92,390.91,382.03,390.44,2509555.0
ADBE,2020-06-03,390.82,391.14,387.46,389.92,2537092.0
ADBE,2020-06-04,389.5,395.72,382.28,385.8,2422986.0
ADBE,2020-06-05,384.64,396.17,382.0,392.9,2793982.0
ADBE,2020-06-08,391.0,398.1,385.84,397.78,2592963.0
ADBE,2020-06-09,397.03,402.31,394.15,397.16,2279327.0
ADBE,2020-06-10,399.59,409.98,399.49,406.82,3611582.0
ADBE,2020-06-11,400.0,404.2,387.37,387.67,4123651.0
ADBE,2020-06-12,409.3,411.72,395.41,406.54,8332571.0
ADBE,2020-06-15,398.8,406.11,397.0,401.34,3783968.0
ADBE,2020-06-16,407.83,414.68,405.48,411.67,3766685.0
ADBE,2020-06-17,414.0,417.46,411.36,413.49,2112320.0
ADBE,2020-06-18,413.5,420.84,413.0,420.46,2578409.0
ADBE,2020-06-19,423.76,429.27,419.65,428.01,3931569.0
ADBE,2020-06-22,428.96,438.95,428.54,438.64,3156280.0
ADBE,2020-06-23,440.07,446.15,436.01,440.55,3065927.0
ADBE,2020-06-24,440.0,442.67,427.47,431.68,3329423.0
ADBE,2020-06-25,430.01,437.99,427.58,436.95,2275241.0
ADBE,2020-06-26,436.0,438.18,424.71,426.92,3829731.0
ADBE,2020-06-29,427.11,428.48,416.03,424.2,2623877.0
ADBE,2020-06-30,426.68,436.91,423.86,435.31,2945149.0
ADBE,2020-07-01,434.8,442.05,433.62,439.81,2581983.0
ADBE,2020-07-02,445.0,448.16,441.36,442.95,2502970.0
ADBE,2020-07-06,448.0,455.53,444.69,452.59,2761224.0
ADBE,2020-07-07,452.59,459.44,448.72,449.36,2684565.0
ADBE,2020-07-08,453.76,458.24,452.0,457.68,1999227.0
ADBE,2020-07-09,460.44,463.8,451.88,460.84,2269815.0
ADBE,2020-07-10,460.83,467.21,455.48,466.2,3676513.0
ADBE,2020-07-13,469.77,470.61,440.64,442.47,3480659.0
ADBE,2020-07-14,435.74,437.21,416.29,433.78,5666716.0
ADBE,2020-07-15,434.91,439.63,428.73,433.01,2566648.0
ADBE,2020-07-16,428.43,430.59,418.51,426.29,2678060.0
ADBE,2020-07-17,428.12,433.5,423.7,432.42,2568205.0
ADBE,2020-07-20,434.06,456.89,433.0,455.27,3512508.0
ADBE,2020-07-21,456.07,456.99,441.75,444.28,2027852.0
ADBE,2020-07-22,447.55,449.37,441.76,445.05,1400685.0
ADBE,2020-07-23,445.04,448.81,430.3,431.74,2313874.0
ADBE,2020-07-24,425.0,435.0,423.44,430.31,1901029.0
ADBE,2020-07-27,431.77,438.36,431.01,437.1,1621956.0
ADBE,2020-07-28,436.83,438.26,431.33,432.26,1463467.0
ADBE,2020-07-29,435.16,440.48,435.04,436.3,1489294.0
ADBE,2020-07-30,429.98,440.5,426.81,438.88,1448955.0
ADBE,2020-07-31,441.98,444.44,434.8,444.32,2035254.0
ADBE,2020-08-03,449.84,450.74,442.28,447.97,2076479.0
ADBE,2020-08-04,448.26,449.08,440.7,446.92,2622566.0
ADBE,2020-08-05,449.09,454.04,446.35,449.51,2353535.0
ADBE,2020-08-06,451.35,464.37,449.13,464.11,2362002.0
ADBE,2020-08-07,460.87,461.79,445.09,449.57,3289685.0
ADBE,2020-08-10,450.37,451.13,436.5,443.29,1837078.0
ADBE,2020-08-11,440.26,444.48,431.59,435.23,1900223.0
ADBE,2020-08-12,437.37,447.93,437.37,445.36,2224424.0
ADBE,2020-08-13,446.07,455.9,446.07,450.02,2028199.0
ADBE,2020-08-14,451.39,452.81,444.43,447.6,1111145.0
ADBE,2020-08-17,450.0,456.1,449.2,451.58,1555942.0
ADBE,2020-08-18,454.79,464.5,452.84,463.51,2097690.0
ADBE,2020-08-19,464.29,468.11,457.59,462.01,2439150.0
ADBE,2020-08-20,460.99,479.8,458.89,478.48,2484983.0
ADBE,2020-08-21,477.09,477.28,470.34,473.22,2645579.0
ADBE,2020-08-24,478.14,480.02,469.52,476.3,1840607.0
ADBE,2020-08-25,476.67,484.65,474.43,484.43,3967365.0
ADBE,2020-08-26,496.95,533.7,492.23,528.49,7780346.0
ADBE,2020-08-27,519.01,523.32,504.46,510.32,3631779.0
ADBE,2020-08-28,512.33,518.8,510.94,516.44,1926261.0
ADBE,2020-08-31,513.86,516.73,507.77,513.39,2346705.0
ADBE,2020-09-01,515.0,528.54,514.48,527.95,2422061.0
ADBE,2020-09-02,536.25,536.88,521.41,533.8,2783438.0
ADBE,2020-09-03,526.04,527.63,493.42,507.8,5837638.0
ADBE,2020-09-04,504.65,511.35,471.71,491.94,3900326.0
ADBE,2020-09-08,471.9,481.48,461.18,462.13,4533544.0
ADBE,2020-09-09,473.91,483.49,462.48,479.46,3312148.0
ADBE,2020-09-10,491.15,501.85,473.5,476.26,4248135.0
ADBE,2020-09-11,487.08,489.41,464.48,471.35,4414226.0
ADBE,2020-09-14,484.99,490.44,476.87,485.91,4463826.0
ADBE,2020-09-15,493.74,499.69,491.49,497.67,5682447.0
ADBE,2020-09-16,505.5,505.5,475.5,476.0,8472420.0
ADBE,2020-09-17,464.44,475.17,460.5,474.3,4560776.0
ADBE,2020-09-18,477.4,478.34,452.52,467.55,7182302.0
ADBE,2020-09-21,460.31,475.86,456.73,475.64,3913745.0
ADBE,2020-09-22,479.31,487.2,469.56,486.78,2629133.0
ADBE,2020-09-23,486.88,488.0,468.23,470.39,2671337.0
ADBE,2020-09-24,466.93,471.43,460.27,467.67,2838781.0
ADBE,2020-09-25,469.23,481.58,466.01,479.78,2541114.0
ADBE,2020-09-28,487.97,489.39,481.18,488.51,2844778.0
ADBE,2020-09-29,489.94,493.45,484.17,489.33,2043887.0
ADBE,2020-09-30,488.13,497.24,486.22,490.43,3508159.0
ADBE,2020-10-01,497.43,501.5,495.76,499.51,2264603.0
ADBE,2020-10-02,487.99,496.78,478.64,478.99,2780946.0
ADBE,2020-10-05,483.25,486.69,478.99,486.47,1984130.0
ADBE,2020-10-06,485.0,491.51,477.5,478.98,2041545.0
ADBE,2020-10-07,484.35,493.98,481.43,493.15,2025769.0
ADBE,2020-10-08,499.05,499.49,487.56,490.84,1590732.0
ADBE,2020-10-09,491.77,502.17,491.18,502.16,1853780.0
ADBE,2020-10-12,508.26,516.0,499.54,510.89,3149650.0
ADBE,2020-10-13,512.19,519.6,511.9,514.31,2438132.0
ADBE,2020-10-14,514.34,516.95,501.6,506.31,2033159.0
ADBE,2020-10-15,499.26,502.5,491.85,501.15,2043107.0
ADBE,2020-10-16,504.0,510.34,500.7,502.82,2441382.0
ADBE,2020-10-19,507.75,507.75,493.2,495.2,1931403.0
ADBE,2020-10-20,495.25,500.17,491.91,494.58,1454449.0
ADBE,2020-10-21,492.05,499.81,490.57,495.96,1369735.0
ADBE,2020-10-22,496.72,496.86,479.4,483.6,2615048.0
ADBE,2020-10-23,486.41,488.51,479.51,488.5,1899599.0
ADBE,2020-10-26,480.88,488.78,470.13,475.2,2337431.0
ADBE,2020-10-27,479.78,481.89,473.47,478.56,1896459.0
ADBE,2020-10-28,469.17,470.97,455.88,456.97,2677304.0
ADBE,2020-10-29,459.32,464.73,457.28,461.11,2125281.0
ADBE,2020-10-30,458.32,459.5,442.51,447.1,3128709.0
ADBE,2020-11-02,451.0,456.19,438.94,444.94,2479005.0
ADBE,2020-11-03,448.99,457.84,445.67,454.02,1758640.0
ADBE,2020-11-04,477.93,494.94,474.47,487.23,4524341.0
ADBE,2020-11-05,499.27,502.53,489.8,496.47,2400994.0
ADBE,2020-11-06,494.95,498.72,483.0,494.63,1956305.0
ADBE,2020-11-09,494.7,499.41,470.76,471.14,3625298.0
ADBE,2020-11-10,466.72,468.01,446.0,452.0,4920340.0
ADBE,2020-11-11,458.49,470.12,457.5,467.75,2634159.0
ADBE,2020-11-12,473.49,474.93,461.15,462.58,2115319.0
ADBE,2020-11-13,467.45,470.6,459.0,469.34,2966003.0
ADBE,2020-11-16,460.43,469.53,458.25,460.95,2522187.0
ADBE,2020-11-17,461.66,469.91,460.0,467.95,2407597.0
ADBE,2020-11-18,466.71,467.9,459.26,459.47,2063159.0
ADBE,2020-11-19,460.0,471.04,459.26,466.41,3132704.0
ADBE,2020-11-20,465.16,470.0,462.36,462.92,1851107.0
ADBE,2020-11-23,464.63,467.0,456.17,460.61,2371433.0
