Ticker,Date,open,high,low,close,volume
ADPT,2020-01-02,30.0,30.0,28.67,29.37,582164.0
ADPT,2020-01-03,29.1,29.93,28.56,29.8,657090.0
ADPT,2020-01-06,29.32,29.69,28.55,29.6,872294.0
ADPT,2020-01-07,29.34,30.0,29.12,29.64,852015.0
ADPT,2020-01-08,29.67,30.36,29.43,29.99,934012.0
ADPT,2020-01-09,29.98,30.25,29.78,30.04,816250.0
ADPT,2020-01-10,29.95,30.1,29.01,29.85,980601.0
ADPT,2020-01-13,30.0,30.09,29.43,29.91,738227.0
ADPT,2020-01-14,29.86,29.86,29.04,29.19,802631.0
ADPT,2020-01-15,29.3,29.74,29.25,29.61,2164494.0
ADPT,2020-01-16,29.85,29.85,27.35,27.37,1179090.0
ADPT,2020-01-17,27.56,28.8,27.0,28.21,2032959.0
ADPT,2020-01-21,28.44,28.44,26.42,26.8,1178985.0
ADPT,2020-01-22,26.56,27.69,26.56,27.19,1875431.0
ADPT,2020-01-23,26.99,27.49,26.25,26.85,2541493.0
ADPT,2020-01-24,28.02,31.0,27.67,30.55,12075601.0
ADPT,2020-01-27,30.03,30.47,29.35,30.46,2123107.0
ADPT,2020-01-28,30.16,32.17,30.16,31.09,1325028.0
ADPT,2020-01-29,30.58,31.73,30.45,30.94,981378.0
ADPT,2020-01-30,30.48,30.9,30.01,30.83,814998.0
ADPT,2020-01-31,30.36,30.61,29.54,29.91,980568.0
ADPT,2020-02-03,30.04,30.16,29.58,30.0,591238.0
ADPT,2020-02-04,30.44,30.5,29.06,29.39,1170156.0
ADPT,2020-02-05,29.73,30.45,29.45,30.08,693455.0
ADPT,2020-02-06,30.0,31.66,29.85,31.47,1120902.0
ADPT,2020-02-07,31.69,32.89,31.51,32.32,1030176.0
ADPT,2020-02-10,32.2,32.4,30.81,31.33,831231.0
ADPT,2020-02-11,31.63,31.72,30.78,31.45,652469.0
ADPT,2020-02-12,31.61,31.78,30.8,31.39,592214.0
ADPT,2020-02-13,31.07,31.98,30.87,31.71,666019.0
ADPT,2020-02-14,31.8,31.92,30.78,31.47,741710.0
ADPT,2020-02-18,31.04,31.89,30.88,31.75,591104.0
ADPT,2020-02-19,32.28,33.69,31.58,33.52,1314344.0
ADPT,2020-02-20,33.59,34.11,32.31,33.8,1184133.0
ADPT,2020-02-21,33.55,34.6,33.55,34.16,825676.0
ADPT,2020-02-24,33.01,33.33,30.23,30.83,1159469.0
ADPT,2020-02-25,31.15,31.57,29.94,30.0,823243.0
ADPT,2020-02-26,30.02,30.74,28.91,29.65,2007493.0
ADPT,2020-02-27,29.09,29.92,27.21,28.32,2004571.0
ADPT,2020-02-28,27.19,28.61,27.1,28.1,1362635.0
ADPT,2020-03-02,28.45,28.5,26.33,26.8,1437864.0
ADPT,2020-03-03,26.85,28.49,25.41,25.72,1445971.0
ADPT,2020-03-04,26.5,29.15,26.12,28.72,1030510.0
ADPT,2020-03-05,28.09,28.94,27.3,27.52,588319.0
ADPT,2020-03-06,26.66,27.39,26.18,27.04,690654.0
ADPT,2020-03-09,25.46,25.6,23.5,24.6,1327618.0
ADPT,2020-03-10,25.56,26.04,23.42,24.97,993807.0
ADPT,2020-03-11,24.67,24.94,21.29,21.52,1322152.0
ADPT,2020-03-12,19.56,19.9,17.45,17.68,1177882.0
ADPT,2020-03-13,18.96,20.27,16.57,19.7,1403189.0
ADPT,2020-03-16,16.34,17.56,15.19,16.96,1379496.0
ADPT,2020-03-17,17.47,19.24,17.0,18.01,1080043.0
