Ticker,Date,open,high,low,close,volume
ADSK,2020-01-02,184.21,187.89,181.88,187.83,1515128.0
ADSK,2020-01-03,184.49,186.41,183.78,184.95,737862.0
ADSK,2020-01-06,183.78,187.25,183.16,187.12,1021917.0
ADSK,2020-01-07,186.13,188.17,185.1,187.5,897889.0
ADSK,2020-01-08,188.22,190.5,187.03,189.95,1314830.0
ADSK,2020-01-09,191.71,192.7,190.68,191.94,1164494.0
ADSK,2020-01-10,193.16,193.42,191.84,192.36,708850.0
ADSK,2020-01-13,190.0,193.37,190.0,192.45,1454238.0
ADSK,2020-01-14,192.25,193.13,190.63,191.11,1146466.0
ADSK,2020-01-15,190.94,192.17,190.01,190.79,1444325.0
ADSK,2020-01-16,192.51,193.12,191.5,192.5,2196018.0
ADSK,2020-01-17,192.38,194.24,191.31,193.35,2384909.0
ADSK,2020-01-21,194.01,197.55,193.7,195.84,1455400.0
ADSK,2020-01-22,197.47,198.72,194.62,194.73,1068602.0
ADSK,2020-01-23,195.39,198.91,193.76,198.6,1687276.0
ADSK,2020-01-24,199.43,200.9,197.91,199.19,2437185.0
ADSK,2020-01-27,195.77,197.15,192.96,195.87,1837765.0
ADSK,2020-01-28,196.26,200.43,195.68,200.03,1270143.0
ADSK,2020-01-29,200.92,201.57,198.86,199.74,838460.0
ADSK,2020-01-30,198.42,200.84,196.98,198.99,1521004.0
ADSK,2020-01-31,198.77,199.32,193.31,196.85,1616556.0
ADSK,2020-02-03,197.86,199.94,197.78,199.26,888698.0
ADSK,2020-02-04,202.0,204.19,200.51,203.94,1093377.0
ADSK,2020-02-05,206.72,207.19,200.79,202.08,1366488.0
ADSK,2020-02-06,203.62,206.92,202.46,206.0,1326371.0
ADSK,2020-02-07,205.58,210.13,204.64,207.01,1410217.0
ADSK,2020-02-10,207.24,207.76,205.34,206.1,1556983.0
ADSK,2020-02-11,207.35,207.99,204.52,205.8,1289730.0
ADSK,2020-02-12,206.76,207.72,205.45,207.11,1177216.0
ADSK,2020-02-13,206.34,208.47,206.34,207.51,897453.0
ADSK,2020-02-14,208.09,209.2,207.24,208.95,996939.0
ADSK,2020-02-18,209.47,209.82,206.9,207.06,1342962.0
ADSK,2020-02-19,209.33,211.18,208.64,210.76,1569936.0
ADSK,2020-02-20,210.44,211.58,205.07,206.67,1527322.0
ADSK,2020-02-21,205.0,206.27,199.85,201.91,1774916.0
ADSK,2020-02-24,195.56,197.29,192.43,194.37,2104856.0
ADSK,2020-02-25,196.47,197.42,185.74,186.73,2282521.0
ADSK,2020-02-26,188.59,194.15,187.66,190.67,2850215.0
ADSK,2020-02-27,184.24,188.49,180.07,180.65,2688333.0
ADSK,2020-02-28,176.57,191.36,175.05,190.88,4340064.0
ADSK,2020-03-02,190.67,191.97,183.27,190.83,2698908.0
ADSK,2020-03-03,187.85,190.0,177.82,180.55,2756240.0
ADSK,2020-03-04,183.9,191.68,182.13,191.42,2242924.0
ADSK,2020-03-05,185.47,192.73,182.83,184.04,2328656.0
ADSK,2020-03-06,177.83,179.68,168.55,173.42,3272212.0
ADSK,2020-03-09,157.82,164.81,156.71,160.05,3108606.0
ADSK,2020-03-10,165.6,166.5,157.1,164.48,3439444.0
ADSK,2020-03-11,159.55,161.75,152.36,154.4,2789599.0
ADSK,2020-03-12,143.79,148.5,135.7,136.0,5014108.0
ADSK,2020-03-13,146.0,158.17,138.45,158.03,3998375.0
ADSK,2020-03-16,140.99,153.49,135.24,148.08,4101260.0
ADSK,2020-03-17,149.69,157.95,140.05,154.92,4110652.0
ADSK,2020-03-18,145.22,154.38,125.38,141.82,4762375.0
ADSK,2020-03-19,141.45,152.27,134.98,149.23,3749324.0
ADSK,2020-03-20,151.46,156.06,145.38,148.02,4515807.0
ADSK,2020-03-23,147.81,151.84,138.1,144.14,3309178.0
ADSK,2020-03-24,151.25,153.4,141.43,149.96,2691644.0
ADSK,2020-03-25,149.4,154.97,142.32,149.99,2497272.0
ADSK,2020-03-26,150.85,163.15,150.65,160.88,2753388.0
ADSK,2020-03-27,155.83,156.62,140.32,141.57,2929303.0
ADSK,2020-03-30,142.74,157.18,141.29,155.91,3378468.0
ADSK,2020-03-31,154.0,158.91,152.83,156.1,3679702.0
ADSK,2020-04-01,147.53,150.47,137.86,139.22,3185117.0
ADSK,2020-04-02,136.97,142.14,135.52,137.05,2729652.0
ADSK,2020-04-03,136.89,141.54,136.28,139.0,2214656.0
ADSK,2020-04-06,146.12,153.52,144.61,152.32,2732670.0
ADSK,2020-04-07,157.73,157.8,147.27,148.7,2098172.0
ADSK,2020-04-08,150.79,161.78,149.46,159.21,3142061.0
ADSK,2020-04-09,160.71,170.81,160.17,164.9,3705174.0
ADSK,2020-04-13,162.37,163.99,156.91,160.92,1896505.0
ADSK,2020-04-14,165.17,174.76,164.0,172.22,1918063.0
ADSK,2020-04-15,168.57,172.54,167.44,169.14,2014700.0
ADSK,2020-04-16,171.46,173.49,168.12,171.0,1847485.0
ADSK,2020-04-17,176.08,182.0,173.97,180.94,2357706.0
ADSK,2020-04-20,178.19,181.52,176.44,177.87,1191987.0
ADSK,2020-04-21,175.96,177.16,166.86,170.02,2331901.0
ADSK,2020-04-22,176.05,177.33,173.36,175.37,1013487.0
ADSK,2020-04-23,172.99,178.98,172.22,175.55,1582439.0
ADSK,2020-04-24,177.26,180.97,174.19,180.35,1151076.0
ADSK,2020-04-27,182.24,186.56,182.24,182.51,1684183.0
ADSK,2020-04-28,185.53,185.79,176.27,177.31,1829452.0
ADSK,2020-04-29,180.61,189.86,180.0,187.9,1559298.0
ADSK,2020-04-30,187.0,189.55,185.14,187.13,1941415.0
ADSK,2020-05-01,179.22,181.54,172.22,174.9,2061724.0
ADSK,2020-05-04,174.78,179.33,173.13,177.8,1153457.0
ADSK,2020-05-05,179.57,184.87,179.28,180.49,972833.0
ADSK,2020-05-06,182.23,185.08,179.66,181.23,1011883.0
ADSK,2020-05-07,182.93,186.46,180.81,184.0,1632447.0
ADSK,2020-05-08,186.0,187.16,183.25,184.29,1005491.0
ADSK,2020-05-11,183.14,186.14,182.92,184.4,1112115.0
ADSK,2020-05-12,184.37,187.12,180.97,180.97,1097398.0
ADSK,2020-05-13,180.6,182.68,173.83,176.86,1164858.0
ADSK,2020-05-14,174.53,177.98,170.57,177.87,1222797.0
ADSK,2020-05-15,176.49,181.13,175.44,180.72,1077856.0
ADSK,2020-05-18,183.84,190.81,183.04,190.1,1437177.0
ADSK,2020-05-19,190.13,198.9,190.13,194.71,1519154.0
ADSK,2020-05-20,197.97,199.59,194.32,196.64,1028971.0
ADSK,2020-05-21,196.08,197.58,193.65,194.75,1261075.0
ADSK,2020-05-22,194.03,196.9,192.51,195.78,1534589.0
ADSK,2020-05-26,199.32,203.83,198.62,199.53,1662644.0
ADSK,2020-05-27,198.65,199.82,192.51,199.81,2192991.0
ADSK,2020-05-28,196.38,208.3,194.6,202.63,3709293.0
ADSK,2020-05-29,203.6,210.71,200.34,210.38,2750750.0
ADSK,2020-06-01,210.0,221.51,209.06,219.29,2746022.0
ADSK,2020-06-02,218.93,221.0,212.11,219.09,2479929.0
ADSK,2020-06-03,220.75,227.39,219.17,226.39,2025133.0
ADSK,2020-06-04,225.0,227.37,223.29,225.2,2177537.0
ADSK,2020-06-05,224.67,234.54,223.0,233.71,1956278.0
ADSK,2020-06-08,231.14,236.47,230.46,233.51,2273377.0
ADSK,2020-06-09,232.49,237.8,231.45,234.15,1916273.0
ADSK,2020-06-10,235.59,240.25,233.46,236.59,1810693.0
ADSK,2020-06-11,233.0,233.47,218.95,219.1,2798454.0
ADSK,2020-06-12,227.95,228.13,218.95,222.96,1865112.0
ADSK,2020-06-15,218.96,229.75,218.76,229.0,1522421.0
ADSK,2020-06-16,234.95,241.77,234.0,240.93,2385790.0
ADSK,2020-06-17,242.29,243.76,236.42,237.04,1127113.0
ADSK,2020-06-18,237.95,239.2,236.05,238.07,1181220.0
ADSK,2020-06-19,242.11,242.98,235.5,237.82,2023843.0
ADSK,2020-06-22,236.0,241.13,236.0,240.88,1203830.0
ADSK,2020-06-23,242.91,247.14,241.46,241.62,1461835.0
ADSK,2020-06-24,240.29,242.68,231.44,233.44,1863968.0
ADSK,2020-06-25,233.5,234.81,228.37,234.47,1782536.0
ADSK,2020-06-26,234.93,236.71,230.66,232.74,1510209.0
ADSK,2020-06-29,232.53,233.93,227.76,232.17,930460.0
ADSK,2020-06-30,232.95,239.95,231.2,239.19,1602535.0
ADSK,2020-07-01,239.94,242.67,237.8,241.22,1275289.0
ADSK,2020-07-02,242.51,244.4,239.18,240.15,1158173.0
ADSK,2020-07-06,243.32,248.35,243.07,244.36,1092704.0
ADSK,2020-07-07,243.12,245.6,238.8,238.94,993651.0
ADSK,2020-07-08,241.64,244.0,239.42,243.9,960268.0
ADSK,2020-07-09,250.3,251.39,242.07,248.2,1594049.0
ADSK,2020-07-10,248.22,248.89,243.0,244.24,1142858.0
ADSK,2020-07-13,246.17,246.73,231.26,231.86,2030573.0
ADSK,2020-07-14,228.86,234.68,226.55,234.6,2459437.0
ADSK,2020-07-15,236.0,237.16,231.5,235.58,1112348.0
ADSK,2020-07-16,233.86,235.39,229.25,234.03,1029230.0
ADSK,2020-07-17,235.8,238.06,232.67,237.7,1102440.0
ADSK,2020-07-20,239.05,246.96,237.43,246.04,1050325.0
ADSK,2020-07-21,246.64,247.3,237.34,239.69,987843.0
ADSK,2020-07-22,241.4,243.91,239.06,240.74,515059.0
ADSK,2020-07-23,241.29,245.16,235.73,237.34,1177010.0
ADSK,2020-07-24,234.14,236.03,230.24,232.88,1007657.0
ADSK,2020-07-27,234.96,239.97,233.31,239.69,731198.0
