Ticker,Date,open,high,low,close,volume
ADYEY,2020-01-02,16.71,16.86,16.59,16.83,15533.0
ADYEY,2020-01-03,16.34,16.76,16.28,16.72,87375.0
ADYEY,2020-01-06,16.6,16.63,16.4,16.63,135559.0
ADYEY,2020-01-07,16.67,16.67,16.46,16.6,373770.0
ADYEY,2020-01-08,16.5,16.57,16.35,16.57,208085.0
ADYEY,2020-01-09,16.66,16.77,16.47,16.62,18786.0
ADYEY,2020-01-10,16.67,16.79,16.6,16.65,24889.0
ADYEY,2020-01-13,16.71,16.97,16.71,16.89,19449.0
ADYEY,2020-01-14,16.9,17.0,16.82,16.9,18752.0
ADYEY,2020-01-15,17.08,17.16,17.01,17.08,17875.0
ADYEY,2020-01-16,17.47,17.47,17.21,17.44,30115.0
ADYEY,2020-01-17,17.47,17.47,17.2,17.28,35593.0
ADYEY,2020-01-21,17.46,17.57,17.38,17.57,31089.0
ADYEY,2020-01-22,17.73,17.85,17.73,17.85,29315.0
ADYEY,2020-01-23,17.94,18.16,17.92,18.14,2415387.0
ADYEY,2020-01-24,18.55,18.55,18.34,18.35,2045096.0
ADYEY,2020-01-27,18.03,18.06,17.87,17.9,685866.0
ADYEY,2020-01-28,18.05,18.32,18.0,18.32,224006.0
ADYEY,2020-01-29,18.41,18.58,18.4,18.5,1226157.0
ADYEY,2020-01-30,18.33,18.44,18.28,18.44,394819.0
ADYEY,2020-01-31,18.5,18.5,18.31,18.36,43846.0
ADYEY,2020-02-03,18.67,18.97,18.67,18.9,392895.0
ADYEY,2020-02-04,18.92,19.17,18.91,19.15,629900.0
ADYEY,2020-02-05,19.41,19.7,19.34,19.57,864106.0
ADYEY,2020-02-06,19.22,19.51,19.15,19.4,44736.0
ADYEY,2020-02-07,19.04,19.14,19.0,19.09,71721.0
ADYEY,2020-02-10,18.98,19.05,18.94,19.05,60780.0
ADYEY,2020-02-11,19.33,19.41,19.1,19.33,28567.0
ADYEY,2020-02-12,19.25,19.42,19.16,19.38,32656.0
ADYEY,2020-02-13,18.8,19.14,18.79,19.0,26210.0
ADYEY,2020-02-14,19.02,19.24,19.02,19.13,25090.0
ADYEY,2020-02-18,19.07,19.29,19.05,19.27,37421.0
ADYEY,2020-02-19,19.39,19.4,19.27,19.37,30194.0
ADYEY,2020-02-20,19.15,19.18,18.75,18.99,26403.0
ADYEY,2020-02-21,19.01,19.01,18.65,18.77,75187.0
ADYEY,2020-02-24,17.85,18.11,17.81,18.0,370609.0
ADYEY,2020-02-25,18.02,18.02,17.49,17.74,411106.0
ADYEY,2020-02-26,17.57,17.73,17.18,17.35,394589.0
ADYEY,2020-02-27,17.12,17.84,17.09,17.59,476921.0
ADYEY,2020-02-28,16.99,17.83,16.96,17.56,386668.0
ADYEY,2020-03-02,17.46,17.73,17.28,17.6,197653.0
ADYEY,2020-03-03,18.06,18.55,17.91,18.32,398811.0
ADYEY,2020-03-04,18.01,18.51,17.86,18.35,1227266.0
ADYEY,2020-03-05,18.42,18.5,18.07,18.1,294111.0
ADYEY,2020-03-06,18.13,18.44,17.99,18.03,230412.0
ADYEY,2020-03-09,17.25,17.74,17.01,17.5,117051.0
ADYEY,2020-03-10,17.59,17.84,17.05,17.66,62904.0
ADYEY,2020-03-11,16.72,17.14,16.4,16.67,84364.0
ADYEY,2020-03-12,15.64,16.5,15.32,15.69,90612.0
ADYEY,2020-03-13,16.72,17.33,16.07,16.85,110596.0
ADYEY,2020-03-16,15.17,16.2,15.0,15.89,165468.0
ADYEY,2020-03-17,15.71,16.66,15.33,16.34,107139.0
ADYEY,2020-03-18,14.54,15.64,14.26,15.12,169787.0
ADYEY,2020-03-19,15.0,15.67,14.68,15.05,2338085.0
ADYEY,2020-03-20,15.67,16.5,15.24,15.57,125762.0
ADYEY,2020-03-23,15.46,15.53,14.86,15.06,160427.0
ADYEY,2020-03-24,15.43,15.84,15.16,15.6,191014.0
ADYEY,2020-03-25,15.57,16.31,15.46,15.97,307930.0
ADYEY,2020-03-26,16.18,17.24,16.18,16.91,2653551.0
ADYEY,2020-03-27,16.97,17.89,16.9,17.67,969261.0
ADYEY,2020-03-30,17.1,17.67,16.84,17.45,1879085.0
ADYEY,2020-03-31,16.77,17.27,16.44,17.13,437266.0
ADYEY,2020-04-01,16.03,16.34,16.02,16.1,149888.0
ADYEY,2020-04-02,16.03,16.3,15.83,16.25,1279146.0
ADYEY,2020-04-03,15.16,15.18,14.73,15.01,678337.0
ADYEY,2020-04-06,15.59,16.12,15.58,16.12,135734.0
ADYEY,2020-04-07,16.72,16.99,16.19,16.5,75364.0
ADYEY,2020-04-08,16.79,17.04,16.7,17.03,112660.0
ADYEY,2020-04-09,17.1,17.44,16.67,16.91,78931.0
ADYEY,2020-04-13,16.5,17.63,16.5,17.08,128888.0
ADYEY,2020-04-14,17.32,17.4,16.92,17.04,687656.0
ADYEY,2020-04-15,16.65,17.39,16.5,17.07,117789.0
ADYEY,2020-04-16,16.99,17.08,16.5,16.56,132857.0
ADYEY,2020-04-17,16.96,17.35,16.68,17.3,94245.0
ADYEY,2020-04-20,17.25,17.71,16.99,17.36,129385.0
ADYEY,2020-04-21,18.42,19.0,18.41,18.95,120107.0
ADYEY,2020-04-22,18.46,18.46,18.11,18.4,102756.0
ADYEY,2020-04-23,18.18,18.72,18.01,18.3,94028.0
ADYEY,2020-04-24,18.77,19.01,18.66,18.9,77230.0
ADYEY,2020-04-27,18.93,19.34,18.9,19.34,102009.0
ADYEY,2020-04-28,18.97,19.2,18.82,18.9,138981.0
ADYEY,2020-04-29,19.1,19.3,19.07,19.25,52253.0
ADYEY,2020-04-30,19.81,19.82,19.43,19.74,228846.0
ADYEY,2020-05-01,18.85,20.0,18.85,19.19,89226.0
ADYEY,2020-05-04,19.0,19.75,19.0,19.74,296143.0
ADYEY,2020-05-05,19.89,20.36,19.8,19.82,216289.0
ADYEY,2020-05-06,20.49,20.8,20.38,20.4,131370.0
ADYEY,2020-05-07,20.33,20.79,20.24,20.62,137593.0
ADYEY,2020-05-08,21.12,21.51,21.09,21.29,95836.0
ADYEY,2020-05-11,21.46,22.02,21.43,21.56,86158.0
ADYEY,2020-05-12,21.2,21.49,20.94,21.24,156228.0
ADYEY,2020-05-13,22.38,22.64,21.86,21.88,132418.0
ADYEY,2020-05-14,20.97,21.48,20.95,21.31,76051.0
ADYEY,2020-05-15,21.51,21.64,21.18,21.37,100220.0
ADYEY,2020-05-18,22.44,22.86,22.32,22.8,110097.0
ADYEY,2020-05-19,22.4,23.13,22.36,22.94,73865.0
ADYEY,2020-05-20,23.52,23.98,23.49,23.91,128440.0
ADYEY,2020-05-21,23.93,23.96,23.47,23.7,52503.0
ADYEY,2020-05-22,24.16,25.24,24.16,25.07,521112.0
ADYEY,2020-05-26,24.82,24.83,24.34,24.35,223122.0
ADYEY,2020-05-27,23.44,23.94,23.19,23.88,126471.0
ADYEY,2020-05-28,24.58,25.11,24.44,24.8,103948.0
ADYEY,2020-05-29,25.71,26.28,25.43,26.2,160776.0
ADYEY,2020-06-01,26.16,26.84,26.1,26.84,192544.0
ADYEY,2020-06-02,26.91,27.14,26.84,26.99,719562.0
ADYEY,2020-06-03,26.83,27.18,26.79,27.16,112580.0
ADYEY,2020-06-04,26.6,27.07,26.48,26.77,101056.0
ADYEY,2020-06-05,26.0,26.18,25.85,26.04,793260.0
ADYEY,2020-06-08,25.65,26.21,25.5,26.21,447910.0
ADYEY,2020-06-09,25.92,26.35,25.7,26.07,162385.0
ADYEY,2020-06-10,26.71,27.35,26.58,27.2,133023.0
ADYEY,2020-06-11,27.39,27.46,26.76,26.76,102144.0
ADYEY,2020-06-12,27.08,27.11,26.3,26.91,136456.0
ADYEY,2020-06-15,27.04,27.81,26.99,27.75,87869.0
ADYEY,2020-06-16,28.09,28.14,27.83,28.07,108265.0
ADYEY,2020-06-17,28.33,28.91,28.33,28.76,86198.0
ADYEY,2020-06-18,28.77,28.81,28.41,28.58,252520.0
ADYEY,2020-06-19,28.79,28.97,28.27,28.52,117224.0
ADYEY,2020-06-22,28.97,29.21,28.75,29.15,88077.0
ADYEY,2020-06-23,29.85,29.85,29.4,29.4,139106.0
ADYEY,2020-06-24,29.21,29.25,28.21,28.41,108807.0
ADYEY,2020-06-25,28.81,29.16,28.55,29.1,117811.0
ADYEY,2020-06-26,29.27,29.36,28.82,29.0,127733.0
ADYEY,2020-06-29,29.63,29.63,29.06,29.3,174887.0
ADYEY,2020-06-30,28.73,29.29,28.73,29.25,1559353.0
ADYEY,2020-07-01,29.2,29.88,29.08,29.85,188987.0
ADYEY,2020-07-02,29.82,30.25,29.8,30.19,165145.0
ADYEY,2020-07-06,30.64,31.39,30.63,31.3,246287.0
ADYEY,2020-07-07,31.41,31.84,31.38,31.58,121793.0
ADYEY,2020-07-08,31.93,32.19,31.6,32.19,129232.0
ADYEY,2020-07-09,32.09,32.18,31.41,31.7,128682.0
ADYEY,2020-07-10,31.48,31.48,31.1,31.37,162443.0
ADYEY,2020-07-13,31.6,31.97,31.28,31.29,139258.0
ADYEY,2020-07-14,30.76,31.1,30.55,31.01,144202.0
ADYEY,2020-07-15,31.86,31.87,31.45,31.52,115834.0
ADYEY,2020-07-16,31.05,31.41,30.98,31.09,135182.0
ADYEY,2020-07-17,32.06,32.28,31.91,32.24,77012.0
ADYEY,2020-07-20,32.62,33.04,32.5,32.95,210732.0
ADYEY,2020-07-21,33.11,33.13,32.37,32.51,192042.0
ADYEY,2020-07-22,32.89,33.16,32.75,33.13,148604.0
ADYEY,2020-07-23,32.98,33.44,32.93,33.07,107684.0
ADYEY,2020-07-24,31.54,31.75,31.18,31.5,213696.0
