Ticker,Date,open,high,low,close,volume
AJRD,2020-01-02,45.94,46.87,45.76,46.87,312299.0
AJRD,2020-01-03,46.46,48.83,46.46,48.79,793658.0
AJRD,2020-01-06,49.67,49.67,48.48,48.9,763425.0
AJRD,2020-01-07,50.31,52.51,50.15,52.16,1228582.0
AJRD,2020-01-08,51.91,53.75,51.8,52.44,1737131.0
AJRD,2020-01-09,52.52,52.94,52.0,52.68,981433.0
AJRD,2020-01-10,52.68,53.36,52.03,52.25,741935.0
AJRD,2020-01-13,52.52,53.79,52.21,53.47,840888.0
AJRD,2020-01-14,53.42,53.61,52.81,52.88,552032.0
AJRD,2020-01-15,52.88,53.4,52.63,53.16,1832465.0
AJRD,2020-01-16,53.57,53.99,53.01,53.4,381743.0
AJRD,2020-01-17,53.63,53.68,52.93,53.13,856056.0
AJRD,2020-01-21,53.11,53.15,51.2,51.54,737986.0
AJRD,2020-01-22,51.63,52.08,51.21,51.77,535307.0
AJRD,2020-01-23,51.84,52.03,51.49,51.7,602221.0
AJRD,2020-01-24,52.0,52.0,51.15,51.58,345988.0
AJRD,2020-01-27,50.9,53.6,50.76,52.86,818451.0
AJRD,2020-01-28,53.11,53.77,52.92,53.29,309671.0
AJRD,2020-01-29,53.48,53.54,52.61,52.8,369385.0
AJRD,2020-01-30,52.41,53.19,52.26,52.83,336907.0
AJRD,2020-01-31,52.75,53.02,51.89,52.07,339842.0
AJRD,2020-02-03,52.1,52.46,51.39,51.51,416178.0
AJRD,2020-02-04,52.02,53.05,51.98,52.89,239257.0
AJRD,2020-02-05,53.22,53.73,52.68,53.71,309897.0
AJRD,2020-02-06,54.0,54.64,53.38,53.77,321878.0
AJRD,2020-02-07,53.8,54.45,53.4,53.97,266257.0
AJRD,2020-02-10,54.04,54.45,53.62,54.04,385329.0
AJRD,2020-02-11,54.53,54.96,53.81,54.15,659374.0
AJRD,2020-02-12,54.5,54.95,53.85,54.9,1046349.0
AJRD,2020-02-13,54.8,55.86,54.8,55.5,419427.0
AJRD,2020-02-14,55.7,56.46,55.45,55.96,460395.0
AJRD,2020-02-18,56.0,56.02,53.21,53.6,682767.0
AJRD,2020-02-19,53.6,54.2,52.87,53.13,417980.0
AJRD,2020-02-20,53.13,57.27,52.8,54.37,981593.0
AJRD,2020-02-21,54.2,54.49,53.1,54.19,387089.0
AJRD,2020-02-24,52.81,53.82,52.45,52.87,761695.0
AJRD,2020-02-25,52.8,53.32,50.74,51.14,858058.0
AJRD,2020-02-26,51.5,51.87,50.64,50.99,357536.0
AJRD,2020-02-27,50.27,52.42,49.78,50.42,797289.0
AJRD,2020-02-28,49.24,49.91,48.2,49.28,781144.0
AJRD,2020-03-02,49.63,51.11,49.22,50.99,607433.0
AJRD,2020-03-03,51.06,52.13,49.72,50.26,2292809.0
AJRD,2020-03-04,50.96,52.8,50.19,52.74,312639.0
AJRD,2020-03-05,51.47,51.82,49.22,49.87,484186.0
AJRD,2020-03-06,48.38,49.27,46.82,48.53,421947.0
AJRD,2020-03-09,45.0,46.47,44.35,45.3,1003709.0
AJRD,2020-03-10,46.65,46.8,44.04,45.31,444478.0
AJRD,2020-03-11,44.05,44.68,42.52,43.27,1075600.0
AJRD,2020-03-12,40.18,41.47,37.46,38.11,1038182.0
AJRD,2020-03-13,40.35,43.35,39.05,43.25,781706.0
AJRD,2020-03-16,39.36,41.6,35.32,35.59,940576.0
AJRD,2020-03-17,36.01,39.96,35.5,39.65,956500.0
AJRD,2020-03-18,36.76,40.35,35.81,38.95,1946107.0
AJRD,2020-03-19,38.83,41.88,36.03,40.77,1011329.0
AJRD,2020-03-20,41.01,41.97,37.81,38.62,1665074.0
AJRD,2020-03-23,38.28,39.56,34.01,38.09,2554527.0
AJRD,2020-03-24,39.78,40.94,37.49,40.44,644950.0
AJRD,2020-03-25,40.53,41.08,37.15,37.89,804056.0
AJRD,2020-03-26,38.9,43.23,38.32,42.98,1175006.0
AJRD,2020-03-27,41.72,42.37,40.37,40.88,773235.0
AJRD,2020-03-30,41.48,43.35,40.03,43.14,539201.0
AJRD,2020-03-31,42.9,43.66,41.15,41.83,591228.0
AJRD,2020-04-01,40.07,41.45,39.62,40.36,416275.0
AJRD,2020-04-02,39.87,42.35,39.43,41.56,436743.0
AJRD,2020-04-03,41.1,42.23,39.82,40.73,631652.0
AJRD,2020-04-06,42.03,44.24,42.03,43.93,483235.0
AJRD,2020-04-07,45.26,45.26,41.8,41.89,504413.0
AJRD,2020-04-08,42.72,43.99,41.57,43.5,440906.0
AJRD,2020-04-09,44.35,44.63,43.2,43.49,533513.0
AJRD,2020-04-13,42.91,43.37,41.92,42.74,460974.0
AJRD,2020-04-14,43.65,44.17,43.09,43.63,587813.0
