Ticker,Date,open,high,low,close,volume
ALLT,2020-01-02,8.59,9.06,8.59,9.06,103713.0
ALLT,2020-01-03,9.04,9.17,8.9,8.94,64782.0
ALLT,2020-01-06,8.95,9.16,8.95,9.13,99443.0
ALLT,2020-01-07,9.18,9.3,9.18,9.28,134152.0
ALLT,2020-01-08,9.24,9.34,9.11,9.23,61303.0
ALLT,2020-01-09,9.28,9.31,9.11,9.18,79732.0
ALLT,2020-01-10,9.14,9.22,9.1,9.22,31112.0
ALLT,2020-01-13,9.41,9.57,9.41,9.49,77318.0
ALLT,2020-01-14,9.47,9.6,9.42,9.48,56304.0
ALLT,2020-01-15,9.5,9.58,9.4,9.47,51077.0
ALLT,2020-01-16,9.58,9.62,9.49,9.62,50662.0
ALLT,2020-01-17,9.75,9.75,9.39,9.48,173257.0
ALLT,2020-01-21,9.72,9.9,9.61,9.62,48286.0
ALLT,2020-01-22,9.72,9.88,9.68,9.88,106123.0
ALLT,2020-01-23,10.05,10.05,9.48,9.65,510442.0
ALLT,2020-01-24,9.74,10.02,9.67,9.76,113184.0
ALLT,2020-01-27,9.84,9.84,9.43,9.48,64262.0
ALLT,2020-01-28,9.6,9.69,9.56,9.66,87241.0
ALLT,2020-01-29,9.72,9.75,9.63,9.68,45394.0
ALLT,2020-01-30,9.68,9.75,9.57,9.58,92250.0
ALLT,2020-01-31,9.33,9.63,9.33,9.59,170372.0
ALLT,2020-02-03,9.72,9.72,9.43,9.71,149119.0
ALLT,2020-02-04,11.65,12.75,11.43,12.31,2094413.0
ALLT,2020-02-05,12.37,13.0,12.13,12.88,686397.0
ALLT,2020-02-06,12.8,13.05,12.53,12.69,285910.0
ALLT,2020-02-07,12.1,12.62,12.03,12.46,231887.0
ALLT,2020-02-10,12.18,12.55,12.05,12.42,240758.0
ALLT,2020-02-11,12.43,12.77,12.31,12.66,205229.0
ALLT,2020-02-12,12.7,12.7,12.34,12.34,352538.0
ALLT,2020-02-13,12.29,12.5,12.15,12.31,119746.0
ALLT,2020-02-14,12.31,12.52,12.28,12.31,64658.0
ALLT,2020-02-18,12.18,12.32,12.02,12.13,110779.0
ALLT,2020-02-19,12.15,12.15,11.71,12.02,203801.0
ALLT,2020-02-20,11.89,12.24,11.66,12.2,180155.0
ALLT,2020-02-21,12.15,12.22,11.93,11.95,106983.0
ALLT,2020-02-24,11.25,11.44,11.14,11.2,187986.0
ALLT,2020-02-25,11.21,11.43,10.95,10.98,226861.0
ALLT,2020-02-26,10.99,11.22,10.82,11.02,179504.0
