Ticker,Date,open,high,low,close,volume
ALTR,2020-01-02,36.18,37.07,35.97,36.86,220424.0
ALTR,2020-01-03,36.13,36.86,36.13,36.81,120382.0
ALTR,2020-01-06,36.48,37.26,36.48,37.17,274844.0
ALTR,2020-01-07,37.19,37.34,36.87,37.06,226141.0
ALTR,2020-01-08,37.16,37.8,37.04,37.62,215564.0
ALTR,2020-01-09,38.0,38.0,37.38,37.66,200412.0
ALTR,2020-01-10,37.78,37.85,37.21,37.59,320260.0
ALTR,2020-01-13,37.86,38.53,37.66,38.53,179934.0
ALTR,2020-01-14,38.46,39.09,37.97,38.94,168167.0
ALTR,2020-01-15,38.98,39.74,38.98,39.41,387133.0
ALTR,2020-01-16,39.53,39.66,39.05,39.19,200823.0
ALTR,2020-01-17,39.52,39.65,38.92,39.1,398567.0
ALTR,2020-01-21,39.16,39.64,38.96,39.31,739562.0
ALTR,2020-01-22,39.51,39.67,39.23,39.35,229144.0
ALTR,2020-01-23,37.91,39.18,35.91,36.1,740900.0
ALTR,2020-01-24,36.25,36.74,35.93,36.38,393370.0
ALTR,2020-01-27,35.55,36.89,35.46,36.72,543701.0
ALTR,2020-01-28,37.1,38.45,36.91,37.67,326127.0
ALTR,2020-01-29,38.03,38.09,37.17,37.26,114290.0
ALTR,2020-01-30,37.0,38.06,36.79,38.04,278848.0
ALTR,2020-01-31,38.04,38.24,36.84,36.95,308654.0
ALTR,2020-02-03,37.37,38.57,37.02,38.49,142641.0
ALTR,2020-02-04,39.0,39.16,38.42,38.85,357981.0
ALTR,2020-02-05,39.39,39.39,38.72,38.75,321040.0
ALTR,2020-02-06,39.24,39.44,38.65,39.35,199432.0
ALTR,2020-02-07,39.18,39.47,38.85,38.97,178308.0
ALTR,2020-02-10,38.97,39.0,38.23,38.31,133030.0
ALTR,2020-02-11,38.62,38.86,37.61,37.63,161536.0
ALTR,2020-02-12,37.87,38.31,37.47,38.08,138712.0
ALTR,2020-02-13,37.93,39.24,37.85,38.87,205938.0
ALTR,2020-02-14,38.97,39.11,37.88,38.18,412088.0
ALTR,2020-02-18,38.29,38.58,37.99,38.06,256837.0
ALTR,2020-02-19,38.1,38.41,37.74,38.3,564492.0
ALTR,2020-02-20,38.32,38.66,37.76,37.79,319896.0
ALTR,2020-02-21,37.78,37.78,36.0,36.32,413503.0
ALTR,2020-02-24,34.95,36.08,34.81,35.87,621418.0
ALTR,2020-02-25,36.0,36.12,34.09,34.34,479630.0
ALTR,2020-02-26,34.48,35.61,34.3,34.8,327535.0
ALTR,2020-02-27,33.91,34.18,32.86,33.21,847356.0
ALTR,2020-02-28,34.87,36.49,33.0,34.8,1004821.0
ALTR,2020-03-02,35.01,35.17,33.31,35.14,437685.0
ALTR,2020-03-03,35.04,35.63,33.56,34.32,216243.0
ALTR,2020-03-04,34.99,35.23,33.19,33.3,1049752.0
ALTR,2020-03-05,32.66,33.5,30.95,31.3,439678.0
ALTR,2020-03-06,30.32,31.49,30.32,31.01,248335.0
ALTR,2020-03-09,28.83,29.87,27.98,28.21,312680.0
ALTR,2020-03-10,29.1,30.16,28.06,30.15,430776.0
ALTR,2020-03-11,29.39,30.2,28.71,29.21,313491.0
ALTR,2020-03-12,27.29,28.51,26.29,26.3,450877.0
ALTR,2020-03-13,27.75,29.27,25.36,29.22,690110.0
ALTR,2020-03-16,27.8,27.8,24.91,25.11,451095.0
ALTR,2020-03-17,24.6,29.8,23.81,29.67,552086.0
ALTR,2020-03-18,27.93,30.75,27.53,29.27,581785.0
ALTR,2020-03-19,29.14,32.44,27.73,27.94,601179.0
ALTR,2020-03-20,28.17,28.37,25.43,25.72,599246.0
ALTR,2020-03-23,26.22,27.1,24.76,25.16,278444.0
ALTR,2020-03-24,26.6,27.31,24.7,25.2,422811.0
ALTR,2020-03-25,25.1,26.34,24.26,24.49,409842.0
ALTR,2020-03-26,24.81,26.45,24.31,25.63,670841.0
ALTR,2020-03-27,25.17,26.13,24.4,24.96,461308.0
ALTR,2020-03-30,25.15,25.41,24.64,24.87,456058.0
ALTR,2020-03-31,24.73,27.22,24.68,26.5,655857.0
ALTR,2020-04-01,25.93,26.93,23.14,23.57,352834.0
ALTR,2020-04-02,23.57,24.58,23.04,23.44,340773.0
ALTR,2020-04-03,23.44,24.15,23.22,23.49,344049.0
ALTR,2020-04-06,24.64,25.65,24.38,25.31,725393.0
