Ticker,Date,open,high,low,close,volume
AME,2020-01-02,100.15,100.8,99.44,100.8,1050142.0
AME,2020-01-03,99.29,101.03,99.19,100.94,785478.0
AME,2020-01-06,100.31,101.09,99.89,101.05,1157760.0
AME,2020-01-07,100.5,101.78,100.31,101.63,1265629.0
AME,2020-01-08,101.54,102.31,101.0,101.86,874038.0
AME,2020-01-09,101.82,101.97,100.97,101.36,764168.0
AME,2020-01-10,101.61,101.61,100.59,100.76,840684.0
AME,2020-01-13,100.38,101.0,99.98,100.83,1181922.0
AME,2020-01-14,100.72,101.6,100.38,100.84,1007416.0
AME,2020-01-15,100.84,102.0,100.39,100.66,756611.0
AME,2020-01-16,100.16,100.77,99.84,100.19,1642586.0
AME,2020-01-17,100.47,102.07,100.19,101.78,1532594.0
AME,2020-01-21,101.36,101.99,100.88,101.26,1176063.0
AME,2020-01-22,101.78,102.3,100.23,100.27,1143511.0
AME,2020-01-23,99.85,100.93,99.29,100.78,1011969.0
AME,2020-01-24,101.16,101.23,99.2,99.57,826705.0
AME,2020-01-27,97.64,98.75,97.14,97.78,1301505.0
AME,2020-01-28,98.12,99.97,97.78,99.33,1120204.0
AME,2020-01-29,100.01,100.33,99.23,99.63,939210.0
AME,2020-01-30,98.63,99.46,97.98,99.33,1232683.0
AME,2020-01-31,98.65,98.65,96.54,97.15,1285762.0
AME,2020-02-03,97.63,98.83,97.29,97.72,1316902.0
AME,2020-02-04,99.24,100.07,98.96,99.11,1633644.0
AME,2020-02-05,98.0,101.47,96.7,100.03,2023389.0
AME,2020-02-06,100.35,100.35,97.64,98.68,1755201.0
AME,2020-02-07,98.35,99.91,98.07,98.3,1710962.0
AME,2020-02-10,98.07,98.61,97.61,98.6,1407922.0
AME,2020-02-11,99.0,100.88,98.79,100.15,1179804.0
AME,2020-02-12,101.0,102.0,100.66,101.77,1049258.0
AME,2020-02-13,101.18,101.83,100.95,101.44,1025925.0
AME,2020-02-14,101.64,101.78,100.55,101.34,776767.0
AME,2020-02-18,101.0,101.69,100.17,100.47,1757152.0
AME,2020-02-19,100.94,100.94,100.13,100.17,901525.0
AME,2020-02-20,99.77,101.15,99.07,100.55,1437247.0
AME,2020-02-21,99.9,100.14,98.82,99.34,3049855.0
AME,2020-02-24,96.3,96.48,94.34,95.36,2305648.0
AME,2020-02-25,95.81,96.09,91.57,91.75,1668456.0
AME,2020-02-26,92.19,93.52,91.05,91.11,1677761.0
AME,2020-02-27,89.3,91.47,87.34,87.36,1974540.0
AME,2020-02-28,84.5,86.0,83.24,86.0,2982196.0
AME,2020-03-02,86.53,90.43,86.07,90.02,3211447.0
AME,2020-03-03,90.01,91.92,86.78,87.32,2258396.0
AME,2020-03-04,88.81,91.28,87.63,91.01,1634659.0
AME,2020-03-05,88.56,89.92,87.79,89.07,1935783.0
AME,2020-03-06,86.01,88.9,85.86,88.52,2763880.0
AME,2020-03-09,79.99,84.73,74.73,76.26,3613436.0
AME,2020-03-10,78.77,82.31,77.39,82.26,3053880.0
AME,2020-03-11,79.41,80.2,76.45,77.25,2216337.0
AME,2020-03-12,70.76,74.69,66.75,67.52,3500011.0
AME,2020-03-13,71.49,74.7,67.47,74.6,2459653.0
AME,2020-03-16,65.84,67.21,61.59,62.54,2898632.0
AME,2020-03-17,64.04,66.77,60.25,65.9,3188236.0
AME,2020-03-18,60.55,67.32,54.82,65.65,3772101.0
AME,2020-03-19,64.81,70.21,61.84,69.01,3337974.0
AME,2020-03-20,70.71,70.71,63.1,63.37,3217764.0
AME,2020-03-23,62.5,62.9,56.69,58.21,2527206.0
AME,2020-03-24,62.01,69.46,61.15,67.94,3162861.0
AME,2020-03-25,68.15,74.49,65.6,71.0,3310246.0
AME,2020-03-26,72.37,74.44,69.72,72.41,2367526.0
AME,2020-03-27,68.75,73.64,67.88,71.01,2148124.0
AME,2020-03-30,70.97,74.1,69.81,73.72,1410516.0
AME,2020-03-31,73.02,73.71,70.57,72.02,2453616.0
AME,2020-04-01,68.45,70.42,68.02,69.81,2119765.0
AME,2020-04-02,69.31,71.68,68.61,71.09,1765482.0
AME,2020-04-03,70.8,72.36,69.72,71.29,1802694.0
AME,2020-04-06,75.44,76.28,74.41,75.43,1788739.0
