Ticker,Date,open,high,low,close,volume
AQB,2020-01-02,2.2,2.53,2.18,2.47,332501.0
AQB,2020-01-03,2.64,2.64,2.3,2.41,81540.0
AQB,2020-01-06,2.47,2.48,2.3,2.42,50489.0
AQB,2020-01-07,2.48,2.49,2.38,2.49,36616.0
AQB,2020-01-08,2.49,2.52,2.45,2.52,72005.0
AQB,2020-01-09,2.49,2.52,2.45,2.48,40289.0
AQB,2020-01-10,2.5,2.51,2.37,2.39,18462.0
AQB,2020-01-13,2.54,2.6,2.35,2.46,50273.0
AQB,2020-01-14,2.5,2.76,2.5,2.66,221484.0
AQB,2020-01-15,2.5,2.57,2.35,2.41,235014.0
AQB,2020-01-16,2.42,2.48,2.41,2.43,27738.0
AQB,2020-01-17,2.46,2.46,2.23,2.25,153843.0
AQB,2020-01-21,2.2,2.3,2.13,2.17,84923.0
AQB,2020-01-22,2.14,2.25,2.1,2.2,104902.0
AQB,2020-01-23,2.2,2.3,2.2,2.29,44177.0
AQB,2020-01-24,2.21,2.39,2.15,2.2,53024.0
AQB,2020-01-27,2.2,2.2,2.02,2.04,108333.0
AQB,2020-01-28,2.02,2.14,1.71,2.09,289286.0
AQB,2020-01-29,2.13,2.15,2.09,2.11,68244.0
AQB,2020-01-30,2.09,2.09,1.96,2.04,93888.0
AQB,2020-01-31,2.02,2.07,2.0,2.04,48488.0
AQB,2020-02-03,1.98,2.03,1.98,2.0,56514.0
AQB,2020-02-04,1.99,2.1,1.99,2.05,62529.0
AQB,2020-02-05,2.02,2.12,2.02,2.1,25794.0
AQB,2020-02-06,2.09,2.11,2.06,2.1,22338.0
AQB,2020-02-07,2.14,2.14,1.9,1.94,261632.0
AQB,2020-02-10,1.94,1.94,1.71,1.72,312905.0
AQB,2020-02-11,1.68,1.77,1.52,1.52,1548767.0
AQB,2020-02-12,1.55,1.85,1.52,1.7,686092.0
AQB,2020-02-13,1.72,1.79,1.62,1.76,129549.0
AQB,2020-02-14,1.8,1.87,1.65,1.65,129375.0
AQB,2020-02-18,1.76,1.98,1.76,1.87,294804.0
AQB,2020-02-19,2.05,2.05,1.77,1.8,270981.0
AQB,2020-02-20,1.74,1.79,1.7,1.72,152083.0
AQB,2020-02-21,1.72,1.81,1.72,1.81,164741.0
AQB,2020-02-24,1.81,1.97,1.81,1.96,193084.0
AQB,2020-02-25,2.0,2.12,1.96,2.03,243007.0
AQB,2020-02-26,2.08,2.08,1.82,1.85,139060.0
AQB,2020-02-27,1.82,1.82,1.7,1.78,129661.0
AQB,2020-02-28,1.73,1.79,1.7,1.76,77406.0
AQB,2020-03-02,2.01,2.43,1.9,2.26,1098438.0
AQB,2020-03-03,2.3,2.4,2.12,2.22,239743.0
AQB,2020-03-04,2.3,2.3,2.1,2.23,96344.0
AQB,2020-03-05,2.18,2.37,2.15,2.3,181431.0
AQB,2020-03-06,2.28,2.29,2.14,2.16,65484.0
AQB,2020-03-09,1.94,2.06,1.86,1.91,107454.0
AQB,2020-03-10,1.93,2.03,1.92,2.03,36913.0
AQB,2020-03-11,2.0,2.01,1.83,1.85,97675.0
AQB,2020-03-12,1.79,1.93,1.72,1.88,179100.0
AQB,2020-03-13,1.9,1.9,1.77,1.85,115975.0
AQB,2020-03-16,1.7,1.85,1.66,1.74,141152.0
AQB,2020-03-17,1.72,1.78,1.7,1.74,82966.0
AQB,2020-03-18,1.71,1.84,1.59,1.79,133632.0
AQB,2020-03-19,1.78,1.87,1.72,1.82,56675.0
AQB,2020-03-20,1.82,1.83,1.69,1.75,82679.0
AQB,2020-03-23,1.68,1.76,1.6,1.69,110219.0
AQB,2020-03-24,1.72,1.76,1.69,1.76,91324.0
AQB,2020-03-25,1.78,1.81,1.7,1.81,52140.0
AQB,2020-03-26,1.8,1.86,1.79,1.83,33643.0
AQB,2020-03-27,1.78,1.84,1.72,1.84,46839.0
AQB,2020-03-30,1.79,1.8,1.68,1.69,91226.0
AQB,2020-03-31,1.72,1.78,1.63,1.63,87285.0
AQB,2020-04-01,1.64,1.72,1.6,1.65,52547.0
AQB,2020-04-02,1.66,1.71,1.61,1.65,53029.0
AQB,2020-04-03,1.63,1.7,1.63,1.69,17994.0
AQB,2020-04-06,1.69,1.78,1.68,1.7,45758.0
AQB,2020-04-07,1.7,1.74,1.67,1.67,49407.0
AQB,2020-04-08,1.71,1.74,1.66,1.71,42377.0
AQB,2020-04-09,1.7,1.79,1.7,1.74,41246.0
AQB,2020-04-13,1.72,1.79,1.71,1.75,37457.0
AQB,2020-04-14,1.78,1.88,1.78,1.78,77572.0
AQB,2020-04-15,1.78,1.8,1.69,1.79,76963.0
AQB,2020-04-16,1.8,1.9,1.74,1.75,74260.0
AQB,2020-04-17,1.79,1.88,1.73,1.79,40772.0
AQB,2020-04-20,1.72,1.82,1.72,1.75,49081.0
AQB,2020-04-21,1.71,1.78,1.71,1.72,32493.0
AQB,2020-04-22,1.74,1.8,1.66,1.66,36407.0
AQB,2020-04-23,1.68,1.74,1.67,1.7,67749.0
AQB,2020-04-24,1.72,1.89,1.71,1.76,160397.0
AQB,2020-04-27,1.78,1.83,1.63,1.66,257188.0
AQB,2020-04-28,1.64,1.72,1.62,1.7,69044.0
AQB,2020-04-29,1.7,1.81,1.69,1.77,68645.0
AQB,2020-04-30,1.77,1.8,1.72,1.77,22251.0
AQB,2020-05-01,1.71,1.78,1.71,1.72,82227.0
AQB,2020-05-04,1.78,1.78,1.7,1.75,28187.0
AQB,2020-05-05,1.74,1.87,1.74,1.83,69676.0
AQB,2020-05-06,1.84,2.25,1.81,2.03,350001.0
AQB,2020-05-07,2.07,2.24,2.07,2.15,226430.0
AQB,2020-05-08,2.19,2.22,2.01,2.03,148246.0
AQB,2020-05-11,1.96,2.39,1.96,2.26,239189.0
AQB,2020-05-12,2.28,2.39,2.2,2.31,72865.0
AQB,2020-05-13,2.37,2.44,2.28,2.31,86879.0
AQB,2020-05-14,2.3,2.33,2.17,2.32,78814.0
AQB,2020-05-15,2.41,2.43,2.24,2.42,129074.0
AQB,2020-05-18,2.42,2.44,2.17,2.19,116231.0
AQB,2020-05-19,2.25,2.44,2.24,2.38,114195.0
AQB,2020-05-20,2.33,2.53,2.33,2.45,91462.0
AQB,2020-05-21,2.45,2.72,2.41,2.55,214225.0
AQB,2020-05-22,2.56,2.8,2.56,2.7,152449.0
AQB,2020-05-26,2.8,3.0,2.7,2.91,180906.0
AQB,2020-05-27,2.86,3.0,2.84,2.88,115117.0
AQB,2020-05-28,2.89,2.89,2.72,2.72,69031.0
AQB,2020-05-29,2.72,2.76,2.62,2.71,53663.0
AQB,2020-06-01,2.7,2.82,2.69,2.8,37253.0
AQB,2020-06-02,2.84,3.0,2.7,2.72,113815.0
AQB,2020-06-03,2.85,2.85,2.76,2.77,44218.0
AQB,2020-06-04,2.78,2.85,2.75,2.78,43392.0
AQB,2020-06-05,2.79,2.82,2.62,2.63,120890.0
AQB,2020-06-08,2.63,2.75,2.63,2.71,48065.0
AQB,2020-06-09,2.7,2.72,2.6,2.62,63729.0
AQB,2020-06-10,2.65,2.68,2.53,2.63,33825.0
AQB,2020-06-11,2.58,2.65,2.26,2.32,182451.0
AQB,2020-06-12,2.47,2.54,2.37,2.49,56298.0
AQB,2020-06-15,2.45,2.69,2.41,2.63,86465.0
AQB,2020-06-16,2.7,2.73,2.58,2.67,59507.0
AQB,2020-06-17,2.68,2.78,2.68,2.78,50773.0
AQB,2020-06-18,2.8,3.14,2.62,2.98,268533.0
AQB,2020-06-19,3.04,3.16,2.99,3.04,202616.0
AQB,2020-06-22,3.04,3.12,2.98,3.12,500235.0
AQB,2020-06-23,3.34,3.45,3.21,3.4,654633.0
AQB,2020-06-24,3.26,3.44,3.12,3.12,204725.0
AQB,2020-06-25,3.12,3.39,3.12,3.2,106569.0
AQB,2020-06-26,3.2,3.31,3.13,3.31,69963.0
AQB,2020-06-29,3.3,3.31,3.18,3.2,67547.0
AQB,2020-06-30,3.32,3.34,3.21,3.22,96929.0
AQB,2020-07-01,3.23,3.28,2.99,3.11,195205.0
AQB,2020-07-02,3.12,3.15,3.02,3.1,73729.0
AQB,2020-07-06,3.1,3.21,3.07,3.21,54183.0
AQB,2020-07-07,3.24,3.45,3.13,3.24,219594.0
AQB,2020-07-08,3.26,3.41,3.05,3.41,108127.0
AQB,2020-07-09,3.47,3.49,3.34,3.47,173036.0
AQB,2020-07-10,3.5,3.5,3.42,3.48,87245.0
AQB,2020-07-13,3.5,3.9,3.5,3.88,407895.0
AQB,2020-07-14,3.87,4.5,3.86,4.36,862313.0
AQB,2020-07-15,4.51,4.55,3.65,3.86,514364.0
AQB,2020-07-16,3.86,4.02,3.54,3.61,178781.0
AQB,2020-07-17,3.68,4.28,3.61,4.12,267385.0
AQB,2020-07-20,4.21,4.45,4.11,4.31,231066.0
AQB,2020-07-21,4.29,4.34,3.78,4.16,275646.0
AQB,2020-07-22,4.07,4.16,3.9,4.12,95588.0
AQB,2020-07-23,4.12,4.4,4.02,4.21,135798.0
AQB,2020-07-24,4.15,4.15,3.76,3.76,253625.0
AQB,2020-07-27,3.8,3.88,3.65,3.71,109909.0
AQB,2020-07-28,3.65,3.77,3.45,3.47,189125.0
AQB,2020-07-29,3.49,3.54,3.24,3.47,160127.0
AQB,2020-07-30,3.4,3.55,3.38,3.45,69073.0
AQB,2020-07-31,3.47,3.53,3.05,3.05,237749.0
AQB,2020-08-03,3.1,3.44,3.1,3.27,139900.0
AQB,2020-08-04,3.2,3.49,3.2,3.47,82834.0
AQB,2020-08-05,3.5,3.55,3.09,3.17,201536.0
AQB,2020-08-06,3.14,3.29,3.06,3.06,154362.0
AQB,2020-08-07,2.41,2.54,2.4,2.51,3496055.0
AQB,2020-08-10,2.53,2.53,2.41,2.51,655490.0
AQB,2020-08-11,2.5,2.53,2.42,2.51,553913.0
AQB,2020-08-12,2.55,2.58,2.48,2.49,769679.0
AQB,2020-08-13,2.53,2.53,2.4,2.51,461775.0
AQB,2020-08-14,2.6,2.61,2.49,2.55,1020374.0
