Ticker,Date,open,high,low,close,volume
ATI,2020-01-02,20.9,20.91,20.06,20.6,1531519.0
ATI,2020-01-03,20.15,20.85,20.15,20.51,1445480.0
ATI,2020-01-06,20.31,20.51,20.03,20.1,1176246.0
ATI,2020-01-07,19.99,20.34,19.82,20.32,1072700.0
ATI,2020-01-08,19.97,20.23,19.57,19.68,1875077.0
ATI,2020-01-09,19.68,19.76,18.94,19.11,2179393.0
ATI,2020-01-10,18.74,18.96,18.05,18.18,3000941.0
ATI,2020-01-13,18.24,18.49,17.96,18.48,2782891.0
ATI,2020-01-14,18.37,19.27,18.3,19.06,1587213.0
ATI,2020-01-15,18.92,19.25,18.74,18.88,2410070.0
ATI,2020-01-16,19.03,19.12,18.65,18.78,1417836.0
ATI,2020-01-17,18.96,19.11,18.48,18.67,1471462.0
ATI,2020-01-21,18.55,18.64,17.86,17.89,1540635.0
ATI,2020-01-22,17.98,18.0,17.63,17.68,3106231.0
ATI,2020-01-23,17.48,18.62,17.16,18.55,3129033.0
ATI,2020-01-24,18.49,18.49,17.66,18.16,2284040.0
ATI,2020-01-27,17.56,17.85,17.26,17.35,1909275.0
ATI,2020-01-28,17.59,17.84,17.25,17.43,1682171.0
ATI,2020-01-29,17.5,17.88,17.31,17.53,1293206.0
ATI,2020-01-30,17.33,17.89,17.31,17.81,903228.0
ATI,2020-01-31,17.5,17.69,17.13,17.25,1273595.0
ATI,2020-02-03,17.31,17.4,17.0,17.09,1871746.0
ATI,2020-02-04,17.8,20.09,16.65,19.78,4363297.0
ATI,2020-02-05,20.09,20.19,19.03,19.4,2410036.0
ATI,2020-02-06,19.68,19.92,19.45,19.62,1509032.0
ATI,2020-02-07,19.36,19.72,19.19,19.5,1386341.0
ATI,2020-02-10,19.33,19.82,19.33,19.57,739635.0
ATI,2020-02-11,19.83,20.08,19.57,19.57,888228.0
ATI,2020-02-12,19.86,20.41,19.77,20.15,1127649.0
ATI,2020-02-13,19.97,20.1,19.87,20.03,1707041.0
ATI,2020-02-14,19.92,20.03,19.73,20.01,1168920.0
ATI,2020-02-18,19.93,20.25,19.56,19.87,1511463.0
ATI,2020-02-19,19.97,20.45,19.82,20.36,1195655.0
ATI,2020-02-20,20.12,20.78,20.02,20.26,1098074.0
ATI,2020-02-21,20.14,20.47,19.87,20.41,1210917.0
ATI,2020-02-24,19.3,19.75,19.13,19.45,1128324.0
ATI,2020-02-25,19.55,19.68,18.35,18.59,1491487.0
ATI,2020-02-26,18.86,19.09,18.14,18.2,2049834.0
ATI,2020-02-27,17.63,18.78,17.47,17.72,2066529.0
ATI,2020-02-28,16.93,17.99,16.9,17.09,2731625.0
ATI,2020-03-02,17.35,17.39,16.49,16.93,2268388.0
ATI,2020-03-03,17.03,17.6,16.53,16.9,1796523.0
ATI,2020-03-04,17.3,17.33,16.88,17.07,2117129.0
ATI,2020-03-05,16.46,16.71,15.9,16.27,1569336.0
ATI,2020-03-06,15.69,16.0,15.28,15.49,2229481.0
ATI,2020-03-09,14.1,14.35,13.26,13.27,3083327.0
ATI,2020-03-10,14.3,14.65,12.94,13.66,3173222.0
ATI,2020-03-11,13.16,13.28,11.48,11.59,3510331.0
ATI,2020-03-12,10.4,11.14,9.89,10.0,2864334.0
ATI,2020-03-13,10.86,10.86,9.37,10.0,3341840.0
