Ticker,Date,open,high,low,close,volume
AUDC,2020-01-02,26.13,26.68,25.97,26.33,325714.0
AUDC,2020-01-03,26.06,26.2,25.57,25.61,209367.0
AUDC,2020-01-06,25.16,25.32,24.05,24.26,456105.0
AUDC,2020-01-07,24.55,24.99,24.32,24.95,178203.0
AUDC,2020-01-08,25.27,25.85,25.27,25.47,198417.0
AUDC,2020-01-09,25.75,25.8,25.32,25.5,131157.0
AUDC,2020-01-10,25.55,26.1,25.32,25.87,135517.0
AUDC,2020-01-13,26.17,27.66,26.13,27.47,491381.0
AUDC,2020-01-14,27.73,27.91,26.63,27.33,221264.0
AUDC,2020-01-15,27.33,27.53,26.94,27.12,150522.0
AUDC,2020-01-16,27.41,28.21,27.01,28.15,256990.0
AUDC,2020-01-17,28.22,28.58,27.24,27.46,238540.0
AUDC,2020-01-21,27.88,28.56,27.68,28.12,249052.0
AUDC,2020-01-22,28.51,28.73,28.03,28.49,205552.0
AUDC,2020-01-23,28.5,28.66,27.91,28.12,161327.0
AUDC,2020-01-24,28.12,28.48,27.68,28.02,189740.0
AUDC,2020-01-27,26.83,27.2,24.51,26.69,783773.0
AUDC,2020-01-28,27.38,27.48,22.81,24.4,1411147.0
AUDC,2020-01-29,24.71,24.88,22.21,22.33,1135587.0
AUDC,2020-01-30,22.35,23.16,22.12,23.05,819974.0
AUDC,2020-01-31,22.81,23.0,21.31,21.44,609042.0
AUDC,2020-02-03,21.09,21.3,19.93,21.13,1219860.0
AUDC,2020-02-04,21.84,22.64,21.78,21.95,513076.0
AUDC,2020-02-05,23.28,23.5,22.26,22.85,598054.0
AUDC,2020-02-06,22.63,23.44,22.58,22.69,603779.0
AUDC,2020-02-07,22.59,22.69,21.92,22.65,259670.0
AUDC,2020-02-10,22.38,22.47,21.62,22.05,306865.0
AUDC,2020-02-11,22.37,23.02,22.36,22.79,371904.0
AUDC,2020-02-12,22.93,23.33,22.73,23.31,204203.0
AUDC,2020-02-13,23.03,24.78,22.82,24.71,742861.0
AUDC,2020-02-14,24.71,24.73,23.89,24.15,217221.0
AUDC,2020-02-18,23.82,24.1,23.01,23.39,235868.0
AUDC,2020-02-19,23.62,24.22,23.62,23.94,170516.0
AUDC,2020-02-20,23.82,25.16,23.59,25.01,415962.0
AUDC,2020-02-21,25.01,25.3,24.39,25.12,271159.0
AUDC,2020-02-24,23.5,24.58,23.38,24.35,393148.0
AUDC,2020-02-25,24.68,24.85,24.02,24.23,341509.0
AUDC,2020-02-26,24.18,24.74,23.92,24.02,312924.0
AUDC,2020-02-27,23.0,23.18,22.04,22.22,458535.0
AUDC,2020-02-28,21.0,22.54,20.37,22.41,734216.0
AUDC,2020-03-02,22.3,23.13,21.83,22.95,402800.0
AUDC,2020-03-03,22.95,23.23,22.0,22.49,458869.0
AUDC,2020-03-04,22.83,23.15,22.14,23.08,285200.0
AUDC,2020-03-05,21.93,22.76,21.83,22.16,386202.0
AUDC,2020-03-06,21.48,22.0,20.96,21.79,722818.0
AUDC,2020-03-09,19.58,20.8,19.5,20.16,479708.0
AUDC,2020-03-10,20.81,21.23,20.1,20.86,228049.0
AUDC,2020-03-11,20.14,20.5,19.0,19.25,555273.0
AUDC,2020-03-12,17.89,17.93,16.54,16.96,479041.0
AUDC,2020-03-13,17.62,17.98,17.2,17.51,746714.0
AUDC,2020-03-16,15.77,17.43,9.0,16.38,498510.0
AUDC,2020-03-17,16.47,18.82,16.47,18.0,383183.0
AUDC,2020-03-18,16.66,18.33,16.21,17.06,298735.0
AUDC,2020-03-19,17.03,18.8,16.85,18.43,1425788.0
AUDC,2020-03-20,18.61,20.0,18.2,19.34,934829.0
AUDC,2020-03-23,19.46,19.96,18.08,18.54,339387.0
AUDC,2020-03-24,19.25,21.41,19.2,20.94,382847.0
AUDC,2020-03-25,21.04,22.5,20.84,21.86,289449.0
AUDC,2020-03-26,21.99,22.83,21.77,22.11,308416.0
AUDC,2020-03-27,21.62,22.14,20.55,21.54,242742.0
AUDC,2020-03-30,21.76,23.54,21.76,23.51,414614.0
AUDC,2020-03-31,24.01,25.79,23.19,23.89,592387.0
AUDC,2020-04-01,22.95,24.32,22.86,23.24,379445.0
