Ticker,Date,open,high,low,close,volume
AVAV,2020-01-02,62.15,62.99,61.95,62.97,124108.0
AVAV,2020-01-03,63.14,67.48,63.07,67.31,328606.0
AVAV,2020-01-06,71.52,71.6,66.4,66.73,497947.0
AVAV,2020-01-07,66.73,68.65,66.2,68.39,211117.0
AVAV,2020-01-08,68.89,69.5,68.17,68.56,402499.0
AVAV,2020-01-09,69.1,70.91,68.61,69.71,271750.0
AVAV,2020-01-10,69.9,70.38,68.95,69.63,187854.0
AVAV,2020-01-13,69.91,71.24,69.87,70.88,283152.0
AVAV,2020-01-14,70.88,72.54,70.2,71.75,197009.0
AVAV,2020-01-15,71.68,72.7,70.16,70.5,258356.0
AVAV,2020-01-16,70.5,71.74,70.5,71.51,145401.0
AVAV,2020-01-17,71.95,72.0,70.8,70.84,118109.0
AVAV,2020-01-21,70.32,71.11,68.57,69.52,207596.0
AVAV,2020-01-22,69.7,69.73,68.33,68.55,112636.0
AVAV,2020-01-23,68.3,68.63,67.62,68.01,143821.0
AVAV,2020-01-24,68.34,68.56,67.09,67.93,125450.0
AVAV,2020-01-27,66.79,67.88,66.25,67.38,375622.0
AVAV,2020-01-28,67.53,68.25,66.9,67.4,92195.0
AVAV,2020-01-29,67.71,67.77,66.11,66.93,136925.0
AVAV,2020-01-30,66.22,67.02,65.94,66.92,146986.0
AVAV,2020-01-31,66.56,66.87,66.0,66.61,171796.0
AVAV,2020-02-03,66.46,68.25,66.4,68.06,220087.0
AVAV,2020-02-04,69.12,70.42,68.63,70.35,167686.0
AVAV,2020-02-05,71.06,72.66,70.7,72.16,207984.0
AVAV,2020-02-06,72.17,72.7,69.47,69.47,184468.0
AVAV,2020-02-07,69.57,69.88,67.6,67.8,89911.0
AVAV,2020-02-10,67.75,68.66,67.75,68.19,78370.0
AVAV,2020-02-11,68.96,69.71,68.38,69.31,104384.0
AVAV,2020-02-12,69.65,70.04,68.27,69.46,115022.0
AVAV,2020-02-13,69.58,70.38,69.56,69.97,147797.0
AVAV,2020-02-14,65.1,65.56,62.5,63.82,707698.0
AVAV,2020-02-18,63.82,64.19,61.29,62.4,425270.0
AVAV,2020-02-19,62.57,64.17,62.57,62.63,213809.0
AVAV,2020-02-20,62.55,63.21,62.01,63.03,163844.0
AVAV,2020-02-21,62.85,64.17,62.3,64.03,193807.0
AVAV,2020-02-24,61.92,64.16,61.62,63.67,219741.0
AVAV,2020-02-25,63.84,63.9,59.31,59.42,303320.0
AVAV,2020-02-26,59.67,60.6,55.33,55.54,369070.0
AVAV,2020-02-27,54.41,56.3,52.53,54.06,380639.0
AVAV,2020-02-28,52.27,54.93,50.52,51.39,464158.0
AVAV,2020-03-02,51.83,54.47,50.3,54.32,279599.0
AVAV,2020-03-03,54.54,55.97,53.32,53.59,349963.0
AVAV,2020-03-04,50.72,58.88,50.6,58.71,469338.0
AVAV,2020-03-05,57.51,60.43,57.51,60.18,283278.0
AVAV,2020-03-06,58.6,61.28,58.45,61.15,354509.0
AVAV,2020-03-09,55.16,57.81,55.0,56.01,347874.0
AVAV,2020-03-10,58.14,58.86,54.4,56.41,252149.0
AVAV,2020-03-11,54.84,55.75,53.49,54.73,180448.0
AVAV,2020-03-12,50.42,52.08,46.11,46.72,494410.0
AVAV,2020-03-13,48.8,50.54,46.01,50.41,316426.0
AVAV,2020-03-16,45.36,52.19,45.0,51.01,448808.0
AVAV,2020-03-17,51.81,55.7,50.84,54.66,451822.0
AVAV,2020-03-18,51.74,54.41,46.79,53.0,369336.0
AVAV,2020-03-19,52.45,58.8,50.0,57.39,425235.0
AVAV,2020-03-20,57.69,59.13,53.28,53.45,376015.0
AVAV,2020-03-23,53.45,55.39,50.78,51.9,465405.0
AVAV,2020-03-24,54.84,56.0,52.03,54.14,369094.0
AVAV,2020-03-25,54.01,55.34,51.26,52.07,544013.0
AVAV,2020-03-26,52.75,58.5,52.17,58.04,286181.0
AVAV,2020-03-27,56.07,57.95,53.58,55.29,306277.0
AVAV,2020-03-30,55.61,60.5,52.96,60.14,460072.0
AVAV,2020-03-31,59.53,61.55,58.84,60.96,300202.0
AVAV,2020-04-01,57.97,58.96,53.8,54.43,215559.0
AVAV,2020-04-02,53.55,56.77,52.99,53.79,192410.0
AVAV,2020-04-03,53.45,55.69,52.58,53.72,297654.0
AVAV,2020-04-06,54.54,58.69,54.54,57.2,216332.0
AVAV,2020-04-07,59.43,59.8,54.57,54.78,187606.0
AVAV,2020-04-08,55.58,55.75,53.7,55.06,331514.0
AVAV,2020-04-09,56.62,59.37,56.51,59.0,138899.0
AVAV,2020-04-13,57.24,58.28,56.52,57.62,153110.0
AVAV,2020-04-14,58.5,60.77,57.65,60.23,198390.0
AVAV,2020-04-15,59.93,59.93,57.44,58.42,197845.0
AVAV,2020-04-16,58.14,58.88,53.15,53.53,365954.0
AVAV,2020-04-17,55.26,58.77,55.11,58.56,298283.0
AVAV,2020-04-20,57.28,58.55,55.79,56.03,156220.0
AVAV,2020-04-21,54.74,55.53,53.78,54.67,140569.0
AVAV,2020-04-22,54.35,56.92,54.26,56.17,114046.0
AVAV,2020-04-23,56.83,57.63,56.28,56.41,90402.0
AVAV,2020-04-24,57.03,57.03,55.05,55.67,80761.0
AVAV,2020-04-27,56.0,57.9,55.82,57.22,130801.0
AVAV,2020-04-28,58.24,59.28,57.11,58.87,195685.0
AVAV,2020-04-29,60.48,61.87,59.1,61.32,284203.0
AVAV,2020-04-30,60.23,60.67,58.61,60.26,226952.0
AVAV,2020-05-01,58.75,59.44,57.49,59.22,219597.0
AVAV,2020-05-04,58.48,59.62,57.62,59.54,186627.0
AVAV,2020-05-05,60.82,61.97,60.0,60.59,132899.0
AVAV,2020-05-06,61.0,61.8,59.62,59.62,106812.0
AVAV,2020-05-07,61.15,61.54,59.89,60.06,166880.0
AVAV,2020-05-08,61.16,62.19,60.51,61.27,122071.0
AVAV,2020-05-11,61.0,62.95,60.49,62.2,152866.0
AVAV,2020-05-12,62.67,63.74,61.54,61.61,230521.0
AVAV,2020-05-13,61.34,62.21,59.28,59.99,267456.0
AVAV,2020-05-14,59.35,60.41,57.61,60.13,202121.0
AVAV,2020-05-15,60.35,63.1,60.01,61.88,244927.0
AVAV,2020-05-18,62.91,66.59,62.91,65.56,299166.0
AVAV,2020-05-19,65.23,66.31,62.08,62.14,173800.0
AVAV,2020-05-20,63.17,65.58,63.17,64.72,152148.0
AVAV,2020-05-21,64.62,65.29,64.19,64.33,115873.0
AVAV,2020-05-22,64.85,65.35,63.82,65.35,108697.0
