Ticker,Date,open,high,low,close,volume
AYLA,2020-05-08,15.66,16.5,14.63,15.03,1728710.0
AYLA,2020-05-11,15.39,15.4,15.01,15.15,125498.0
AYLA,2020-05-12,15.18,15.36,14.83,15.0,194733.0
AYLA,2020-05-13,15.0,15.15,14.83,15.0,184381.0
AYLA,2020-05-14,15.0,15.2,14.9,15.0,125472.0
AYLA,2020-05-15,15.24,15.24,14.95,15.0,92079.0
AYLA,2020-05-18,15.24,16.05,15.0,15.92,118275.0
AYLA,2020-05-19,16.1,16.25,15.45,15.45,70962.0
AYLA,2020-05-20,15.75,15.78,15.09,15.69,54321.0
AYLA,2020-05-21,15.41,15.75,15.02,15.18,39376.0
AYLA,2020-05-22,15.17,15.53,15.0,15.26,84550.0
AYLA,2020-05-26,15.56,15.56,15.0,15.1,64447.0
AYLA,2020-05-27,15.01,15.22,14.9,15.06,13818.0
AYLA,2020-05-28,15.27,15.27,15.0,15.01,12063.0
AYLA,2020-05-29,15.0,15.23,15.0,15.08,13226.0
AYLA,2020-06-01,15.3,15.75,15.09,15.7,41505.0
AYLA,2020-06-02,15.86,16.0,15.6,15.69,91925.0
AYLA,2020-06-03,15.77,15.77,15.0,15.0,61891.0
AYLA,2020-06-04,15.09,15.5,15.0,15.42,14568.0
AYLA,2020-06-05,15.59,15.59,15.06,15.3,14306.0
AYLA,2020-06-08,15.36,15.57,15.13,15.16,27775.0
AYLA,2020-06-09,15.1,15.26,14.09,14.2,45804.0
AYLA,2020-06-10,14.66,14.99,14.02,14.2,40562.0
AYLA,2020-06-11,14.01,14.01,12.75,12.86,38201.0
AYLA,2020-06-12,12.99,13.98,12.91,13.98,20148.0
AYLA,2020-06-15,13.41,13.96,12.9,13.05,15762.0
AYLA,2020-06-16,13.36,13.4,13.05,13.16,9465.0
AYLA,2020-06-17,13.3,13.4,13.2,13.4,5305.0
AYLA,2020-06-18,13.4,13.4,13.0,13.04,12940.0
AYLA,2020-06-19,13.28,13.28,10.67,10.67,49712.0
AYLA,2020-06-22,11.96,11.96,11.17,11.51,33437.0
AYLA,2020-06-23,11.69,11.8,11.0,11.1,32262.0
AYLA,2020-06-24,11.01,11.48,11.01,11.48,8304.0
AYLA,2020-06-25,11.27,11.27,10.76,11.0,22397.0
AYLA,2020-06-26,10.92,11.25,10.0,10.0,32759.0
AYLA,2020-06-29,10.45,10.47,10.15,10.16,12919.0
AYLA,2020-06-30,10.4,10.48,10.02,10.1,19056.0
AYLA,2020-07-01,10.15,10.24,10.0,10.0,120494.0
AYLA,2020-07-02,10.16,10.16,9.61,9.7,21280.0
AYLA,2020-07-06,9.75,10.95,9.75,9.8,21512.0
AYLA,2020-07-07,9.9,10.0,9.15,9.15,8732.0
AYLA,2020-07-08,9.53,9.75,9.33,9.34,7548.0
AYLA,2020-07-09,9.5,9.95,9.32,9.35,55734.0
AYLA,2020-07-10,9.43,10.37,9.43,10.0,7811.0
AYLA,2020-07-13,10.13,11.04,10.01,11.04,29931.0
AYLA,2020-07-14,11.5,11.59,10.35,10.54,20854.0
AYLA,2020-07-15,10.76,11.46,10.5,11.46,13250.0
AYLA,2020-07-16,11.12,11.87,10.87,11.66,32184.0
AYLA,2020-07-17,11.6,12.64,11.6,12.5,10585.0
AYLA,2020-07-20,12.8,13.0,12.76,12.99,28716.0
AYLA,2020-07-21,12.95,12.99,11.92,12.13,6836.0
AYLA,2020-07-22,12.76,12.9,12.43,12.43,11921.0
AYLA,2020-07-23,12.76,13.0,12.53,12.75,4702.0
AYLA,2020-07-24,12.2,12.2,12.17,12.2,2128.0
AYLA,2020-07-27,12.27,13.49,12.16,13.49,14213.0
AYLA,2020-07-28,12.79,13.2,12.79,13.05,6003.0
AYLA,2020-07-29,13.15,13.15,13.15,13.15,462.0
AYLA,2020-07-30,13.05,13.37,13.05,13.37,4157.0
AYLA,2020-07-31,13.01,13.41,13.0,13.33,3006.0
AYLA,2020-08-03,12.45,13.42,12.45,13.42,1537.0
AYLA,2020-08-04,13.42,13.64,12.83,13.07,3662.0
AYLA,2020-08-05,13.32,13.32,12.7,13.3,7082.0
AYLA,2020-08-06,13.05,13.38,12.8,13.11,8482.0
AYLA,2020-08-07,12.99,12.99,12.51,12.65,6234.0
AYLA,2020-08-10,12.62,12.84,12.46,12.46,771.0
AYLA,2020-08-11,11.34,13.29,11.34,12.45,12630.0
AYLA,2020-08-12,12.47,12.47,11.71,11.99,8825.0
AYLA,2020-08-13,11.55,11.55,10.8,10.91,12476.0
AYLA,2020-08-14,10.8,10.84,10.58,10.84,7890.0
AYLA,2020-08-17,10.79,11.45,10.79,11.45,5753.0
AYLA,2020-08-18,11.47,11.47,10.98,10.98,4006.0
AYLA,2020-08-19,11.06,12.99,10.98,12.45,11816.0
AYLA,2020-08-20,12.16,12.45,10.94,12.45,5700.0
AYLA,2020-08-21,12.3,12.3,12.28,12.28,1497.0
AYLA,2020-08-24,12.64,12.64,12.48,12.48,854.0
AYLA,2020-08-25,12.43,12.53,12.2,12.5,1856.0
AYLA,2020-08-26,12.59,12.59,12.15,12.15,1082.0
AYLA,2020-08-27,12.16,12.16,12.16,12.16,536.0
AYLA,2020-08-28,12.04,12.04,11.75,12.02,1677.0
AYLA,2020-08-31,11.45,11.85,11.45,11.85,3849.0
AYLA,2020-09-01,11.49,11.87,10.64,10.7,10612.0
AYLA,2020-09-02,11.18,11.24,10.02,10.05,9587.0
AYLA,2020-09-03,10.5,10.5,10.0,10.0,2502.0
AYLA,2020-09-04,10.24,10.24,8.7,8.8,30927.0
AYLA,2020-09-08,8.62,9.06,8.62,8.9,4451.0
AYLA,2020-09-09,9.61,10.8,9.61,10.17,9744.0
AYLA,2020-09-10,10.25,10.25,9.63,9.66,4855.0
AYLA,2020-09-11,9.9,10.0,9.56,9.86,3748.0
AYLA,2020-09-14,10.0,10.9,10.0,10.3,6258.0
AYLA,2020-09-15,10.5,12.1,10.01,11.51,24724.0
AYLA,2020-09-16,12.1,13.56,12.04,12.56,34130.0
AYLA,2020-09-17,12.13,14.94,12.13,14.55,62800.0
AYLA,2020-09-18,14.61,14.98,12.68,13.5,37486.0
AYLA,2020-09-21,12.28,12.94,12.17,12.64,13638.0
AYLA,2020-09-22,12.95,12.99,11.97,12.01,6132.0
AYLA,2020-09-23,12.49,12.49,11.22,12.18,6324.0
AYLA,2020-09-24,11.83,12.91,11.6,12.03,6059.0
AYLA,2020-09-25,12.18,12.95,12.18,12.86,6047.0
AYLA,2020-09-28,12.62,12.62,11.36,12.36,5663.0
AYLA,2020-09-29,12.46,12.6,11.83,12.21,2325.0
AYLA,2020-09-30,12.14,13.09,11.52,11.52,2501.0
