Ticker,Date,open,high,low,close,volume
BEAM,2020-02-06,24.0,25.26,18.55,18.75,5873277.0
BEAM,2020-02-07,19.19,21.9,19.0,20.62,1221500.0
BEAM,2020-02-10,21.37,22.15,21.1,22.1,727361.0
BEAM,2020-02-11,22.15,24.2,21.5,24.1,764473.0
BEAM,2020-02-12,24.4,27.6,24.1,27.6,862078.0
BEAM,2020-02-13,27.77,31.8,26.65,29.2,1403653.0
BEAM,2020-02-14,29.65,30.34,26.25,27.9,821731.0
BEAM,2020-02-18,27.88,29.63,27.5,27.8,289059.0
BEAM,2020-02-19,27.85,28.7,27.0,28.18,380876.0
BEAM,2020-02-20,28.28,28.5,26.77,26.91,249345.0
BEAM,2020-02-21,26.76,26.8,24.5,26.09,397347.0
BEAM,2020-02-24,24.98,25.45,24.0,24.2,247678.0
BEAM,2020-02-25,24.44,24.98,22.5,22.63,361491.0
BEAM,2020-02-26,22.73,24.91,22.73,24.45,239694.0
BEAM,2020-02-27,23.46,24.09,22.76,22.93,217006.0
BEAM,2020-02-28,22.9,22.9,21.5,22.49,157424.0
BEAM,2020-03-02,23.1,23.91,22.57,23.02,365221.0
BEAM,2020-03-03,23.11,24.63,22.76,23.51,366078.0
BEAM,2020-03-04,23.69,24.81,23.69,24.41,281497.0
BEAM,2020-03-05,24.31,24.79,23.28,23.81,340811.0
BEAM,2020-03-06,23.41,23.87,23.4,23.55,175937.0
BEAM,2020-03-09,21.97,23.37,21.5,22.6,178760.0
BEAM,2020-03-10,22.56,23.93,21.66,22.5,346924.0
BEAM,2020-03-11,22.32,23.77,20.77,21.25,228706.0
BEAM,2020-03-12,20.97,21.23,18.05,18.3,411252.0
BEAM,2020-03-13,19.7,19.7,16.02,17.38,347715.0
BEAM,2020-03-16,16.0,16.45,13.0,13.31,380895.0
BEAM,2020-03-17,13.68,15.81,13.5,15.01,304848.0
BEAM,2020-03-18,14.44,16.38,14.28,15.21,171522.0
BEAM,2020-03-19,15.29,18.39,15.2,16.86,279100.0
BEAM,2020-03-20,17.07,23.1,17.02,19.4,1920885.0
BEAM,2020-03-23,19.43,19.89,17.07,18.01,363898.0
BEAM,2020-03-24,18.5,20.11,18.11,19.16,222726.0
BEAM,2020-03-25,19.0,20.47,17.66,19.6,299791.0
BEAM,2020-03-26,19.45,20.45,18.64,19.0,172332.0
BEAM,2020-03-27,18.67,18.67,17.05,18.05,95772.0
BEAM,2020-03-30,18.0,18.32,17.22,18.0,106180.0
BEAM,2020-03-31,17.99,19.0,16.88,18.0,139598.0
BEAM,2020-04-01,17.31,17.6,16.0,16.12,173844.0
BEAM,2020-04-02,16.12,16.63,15.03,15.26,129688.0
BEAM,2020-04-03,15.24,16.47,15.1,16.11,227172.0
BEAM,2020-04-06,16.54,17.75,16.17,16.65,177498.0
BEAM,2020-04-07,17.3,17.5,15.55,15.81,128400.0
BEAM,2020-04-08,16.04,16.72,15.44,16.7,145289.0
BEAM,2020-04-09,16.83,17.2,16.08,16.62,179661.0
BEAM,2020-04-13,16.73,16.73,15.82,16.1,164839.0
BEAM,2020-04-14,16.5,17.21,16.19,17.07,296445.0
BEAM,2020-04-15,16.8,16.99,15.67,15.9,125434.0
BEAM,2020-04-16,16.23,16.23,15.34,16.17,139010.0
BEAM,2020-04-17,16.63,16.75,15.66,15.98,190818.0
BEAM,2020-04-20,15.99,16.94,15.8,16.56,345397.0
BEAM,2020-04-21,16.5,16.5,15.68,16.1,169282.0
BEAM,2020-04-22,16.38,16.99,15.82,16.66,123684.0
BEAM,2020-04-23,16.81,18.47,16.7,17.74,213937.0
BEAM,2020-04-24,17.88,18.46,17.8,18.15,220844.0
BEAM,2020-04-27,18.39,18.9,16.5,16.53,246711.0
BEAM,2020-04-28,16.8,17.19,15.66,16.3,221618.0
BEAM,2020-04-29,16.74,17.6,16.5,16.89,195780.0
BEAM,2020-04-30,16.64,16.8,15.6,15.95,239896.0
BEAM,2020-05-01,15.81,15.97,15.01,15.38,185838.0
BEAM,2020-05-04,15.08,15.8,14.8,15.76,128072.0
BEAM,2020-05-05,16.34,16.72,16.01,16.49,179853.0
BEAM,2020-05-06,16.35,16.55,15.85,16.08,150827.0
BEAM,2020-05-07,16.16,17.35,16.04,16.84,165805.0
BEAM,2020-05-08,17.05,17.2,16.7,16.89,80080.0
BEAM,2020-05-11,16.93,20.8,16.8,20.71,433338.0
BEAM,2020-05-12,20.6,21.88,18.81,19.95,335987.0
BEAM,2020-05-13,20.03,24.3,19.62,21.4,491398.0
BEAM,2020-05-14,20.88,21.0,19.26,19.51,271603.0
BEAM,2020-05-15,19.53,22.0,19.25,21.41,211707.0
BEAM,2020-05-18,22.5,23.79,21.11,21.49,299122.0
BEAM,2020-05-19,21.86,24.25,21.86,23.51,311030.0
BEAM,2020-05-20,23.95,27.25,23.75,25.58,365114.0
BEAM,2020-05-21,26.02,27.22,25.6,26.55,263462.0
BEAM,2020-05-22,26.42,26.54,24.52,25.62,321275.0
BEAM,2020-05-26,26.4,27.28,22.91,24.32,286928.0
BEAM,2020-05-27,24.54,24.78,22.5,24.59,140460.0
BEAM,2020-05-28,24.69,26.44,23.88,25.02,244945.0
BEAM,2020-05-29,24.99,25.76,23.96,25.55,271132.0
BEAM,2020-06-01,25.6,27.19,24.93,26.18,227965.0
BEAM,2020-06-02,26.19,28.27,25.52,28.05,236420.0
BEAM,2020-06-03,27.99,28.85,27.06,28.13,246155.0
BEAM,2020-06-04,27.9,28.18,26.57,27.28,225649.0
BEAM,2020-06-05,27.95,28.11,25.51,25.73,208961.0
BEAM,2020-06-08,26.42,28.44,26.15,27.76,314028.0
BEAM,2020-06-09,27.49,27.98,26.89,27.78,128566.0
BEAM,2020-06-10,27.77,27.96,26.06,26.74,190372.0
BEAM,2020-06-11,26.06,26.45,25.05,25.5,225299.0
BEAM,2020-06-12,26.24,26.24,24.23,24.94,239829.0
BEAM,2020-06-15,24.5,27.36,24.5,26.85,419603.0
BEAM,2020-06-16,27.53,27.53,26.51,27.0,281813.0
BEAM,2020-06-17,27.21,27.26,24.11,25.65,717779.0
BEAM,2020-06-18,25.47,27.1,25.01,26.6,628919.0
BEAM,2020-06-19,26.82,28.1,25.71,27.3,1179616.0
BEAM,2020-06-22,26.61,29.94,26.04,28.66,556382.0
BEAM,2020-06-23,29.09,30.16,26.02,26.36,568577.0
BEAM,2020-06-24,26.52,27.56,25.77,26.21,224730.0
BEAM,2020-06-25,26.2,26.92,25.85,26.51,126636.0
BEAM,2020-06-26,26.5,26.77,24.25,24.95,343772.0
BEAM,2020-06-29,26.56,27.61,25.65,27.46,228976.0
BEAM,2020-06-30,27.32,28.39,26.85,28.0,236403.0
BEAM,2020-07-01,28.19,28.93,27.63,28.51,236995.0
BEAM,2020-07-02,29.0,29.39,28.02,28.87,176436.0
BEAM,2020-07-06,29.35,30.98,29.15,29.42,320815.0
BEAM,2020-07-07,29.32,30.3,28.34,28.61,181662.0
BEAM,2020-07-08,28.74,29.62,28.25,29.01,160684.0
BEAM,2020-07-09,29.2,31.0,28.43,30.57,341191.0
BEAM,2020-07-10,30.7,30.7,26.24,26.73,470313.0
BEAM,2020-07-13,27.49,27.88,25.01,25.03,271819.0
BEAM,2020-07-14,25.03,25.94,23.13,25.09,628029.0
BEAM,2020-07-15,25.63,26.19,23.57,24.42,394024.0
BEAM,2020-07-16,24.48,24.51,23.09,23.74,388931.0
BEAM,2020-07-17,23.72,24.24,23.01,23.66,159628.0
BEAM,2020-07-20,23.95,24.15,22.51,23.2,204290.0
BEAM,2020-07-21,23.35,23.78,22.22,22.41,166943.0
BEAM,2020-07-22,22.34,22.88,22.1,22.52,128471.0
BEAM,2020-07-23,22.53,23.19,21.73,21.91,161306.0
BEAM,2020-07-24,21.72,21.86,20.85,21.16,122261.0
BEAM,2020-07-27,21.39,21.91,21.14,21.51,231192.0
BEAM,2020-07-28,21.67,21.72,20.75,20.82,176904.0
BEAM,2020-07-29,21.01,21.38,20.36,20.56,136415.0
BEAM,2020-07-30,20.0,20.86,19.9,20.37,192285.0
BEAM,2020-07-31,20.5,20.96,19.06,19.34,289319.0
BEAM,2020-08-03,20.7,20.7,18.76,19.01,701510.0
BEAM,2020-08-04,19.5,19.75,18.83,19.41,610167.0
BEAM,2020-08-05,20.05,21.48,19.5,21.28,795287.0
BEAM,2020-08-06,27.15,27.45,23.0,24.52,3152827.0
BEAM,2020-08-07,24.98,24.99,23.08,23.47,799282.0
BEAM,2020-08-10,24.49,24.5,23.86,24.1,655139.0
BEAM,2020-08-11,24.25,24.72,23.57,23.62,438389.0
BEAM,2020-08-12,24.03,24.48,22.02,22.28,783681.0
BEAM,2020-08-13,22.13,22.9,21.9,22.42,781481.0
BEAM,2020-08-14,22.35,22.67,21.34,22.48,537983.0
BEAM,2020-08-17,22.54,23.19,22.32,22.8,714557.0
BEAM,2020-08-18,23.79,25.83,23.5,25.63,937480.0
BEAM,2020-08-19,25.26,26.16,24.02,25.16,801386.0
BEAM,2020-08-20,24.9,25.55,24.82,25.34,255483.0
BEAM,2020-08-21,25.08,26.48,24.64,26.03,612974.0
BEAM,2020-08-24,26.04,27.41,25.28,25.66,736475.0
BEAM,2020-08-25,25.5,26.25,25.08,25.84,479830.0
BEAM,2020-08-26,25.78,26.21,24.85,25.16,321370.0
BEAM,2020-08-27,25.16,25.23,24.4,24.62,313542.0
BEAM,2020-08-28,24.2,24.96,24.02,24.94,336940.0
BEAM,2020-08-31,25.23,26.83,25.09,25.11,569101.0
BEAM,2020-09-01,25.0,26.5,25.0,26.12,509033.0
BEAM,2020-09-02,25.98,26.43,25.31,26.2,383221.0
BEAM,2020-09-03,26.17,26.21,23.5,23.93,602869.0
BEAM,2020-09-04,23.75,23.96,21.24,21.83,1295106.0
BEAM,2020-09-08,21.87,23.52,21.8,22.47,553535.0
BEAM,2020-09-09,22.96,25.61,22.75,25.16,439022.0
BEAM,2020-09-10,25.45,26.75,24.88,25.73,471417.0
