Ticker,Date,open,high,low,close,volume
BEKE,2020-08-13,35.06,37.49,31.79,37.44,49492408.0
BEKE,2020-08-14,33.81,35.95,32.5,33.0,10652165.0
BEKE,2020-08-17,33.45,39.0,33.4,38.72,8806517.0
BEKE,2020-08-18,40.13,43.0,38.11,40.5,7961931.0
BEKE,2020-08-19,40.5,48.1,39.9,42.37,13581216.0
BEKE,2020-08-20,44.15,45.18,40.06,40.75,6842934.0
BEKE,2020-08-21,40.07,42.8,40.0,41.87,3465579.0
BEKE,2020-08-24,42.48,46.2,42.33,46.06,5073926.0
BEKE,2020-08-25,46.42,52.63,46.17,51.2,5798112.0
BEKE,2020-08-26,50.47,53.15,48.15,49.77,3448596.0
BEKE,2020-08-27,49.42,49.76,46.03,46.9,2613266.0
BEKE,2020-08-28,48.58,49.88,47.02,49.75,2423873.0
BEKE,2020-08-31,50.11,52.57,49.25,51.29,12952887.0
BEKE,2020-09-01,51.0,54.0,50.5,54.0,2004346.0
BEKE,2020-09-02,54.41,54.6,48.6,49.5,3943939.0
BEKE,2020-09-03,48.4,49.4,45.58,46.69,2702989.0
BEKE,2020-09-04,46.2,47.33,43.78,45.44,2434230.0
BEKE,2020-09-08,44.17,44.87,42.94,44.07,4601854.0
BEKE,2020-09-09,44.59,47.67,44.42,45.79,2466668.0
BEKE,2020-09-10,46.3,50.0,46.0,49.64,3128348.0
BEKE,2020-09-11,50.0,52.5,48.01,48.53,1635763.0
BEKE,2020-09-14,49.31,53.07,49.31,52.71,1874750.0
BEKE,2020-09-15,52.71,54.19,51.86,54.18,1525542.0
BEKE,2020-09-16,53.8,62.0,52.6,60.72,6044332.0
BEKE,2020-09-17,57.56,60.25,55.9,57.55,5100872.0
BEKE,2020-09-18,60.0,60.02,56.1,58.37,2298274.0
BEKE,2020-09-21,56.58,56.58,52.01,53.51,1668241.0
BEKE,2020-09-22,53.75,56.6,50.73,52.38,1540047.0
BEKE,2020-09-23,53.0,54.95,52.5,53.98,1262719.0
BEKE,2020-09-24,52.35,56.5,52.28,56.22,1152816.0
BEKE,2020-09-25,56.04,57.73,55.06,56.97,845775.0
BEKE,2020-09-28,57.96,61.8,57.61,61.39,2175155.0
BEKE,2020-09-29,60.0,67.5,59.9,65.63,3549933.0
BEKE,2020-09-30,65.33,65.65,58.8,61.3,4509090.0
BEKE,2020-10-01,61.91,62.99,60.22,62.05,887726.0
BEKE,2020-10-02,60.87,61.0,58.96,59.0,1341301.0
BEKE,2020-10-05,60.46,60.57,58.52,60.0,2440383.0
BEKE,2020-10-06,60.35,65.13,59.1,64.18,2177199.0
BEKE,2020-10-07,64.2,65.22,62.0,62.66,863760.0
BEKE,2020-10-08,62.86,65.48,62.17,64.84,862449.0
BEKE,2020-10-09,65.0,66.6,63.72,66.45,871360.0
BEKE,2020-10-12,66.52,67.13,62.31,64.45,2782977.0
BEKE,2020-10-13,64.83,66.5,62.72,64.46,1183326.0
BEKE,2020-10-14,64.6,66.39,63.8,65.39,984175.0
BEKE,2020-10-15,64.02,71.4,63.51,69.72,1807009.0
BEKE,2020-10-16,70.0,73.78,70.0,71.34,1570713.0
BEKE,2020-10-19,71.8,74.74,68.12,69.57,1625683.0
BEKE,2020-10-20,70.01,71.8,68.26,69.45,1012242.0
BEKE,2020-10-21,69.45,72.65,69.15,71.13,1088196.0
BEKE,2020-10-22,70.99,76.5,70.27,75.76,1325892.0
BEKE,2020-10-23,75.3,75.3,69.16,69.99,1910025.0
BEKE,2020-10-26,69.68,72.23,68.5,69.84,1742199.0
BEKE,2020-10-27,70.5,71.77,69.72,70.6,1280333.0
BEKE,2020-10-28,69.62,74.29,68.9,73.05,1617775.0
BEKE,2020-10-29,73.2,73.21,69.6,71.58,1760917.0
BEKE,2020-10-30,71.0,72.11,68.1,69.75,2995946.0
BEKE,2020-11-02,71.08,71.8,68.83,69.82,1633493.0
BEKE,2020-11-03,69.82,70.47,65.1,66.82,1893456.0
BEKE,2020-11-04,67.35,75.44,67.35,75.32,1746559.0
BEKE,2020-11-05,77.02,77.37,70.83,72.69,1689129.0
BEKE,2020-11-06,73.0,76.13,71.6,75.65,1483631.0
BEKE,2020-11-09,75.27,75.41,70.65,72.0,1957264.0
BEKE,2020-11-10,70.6,71.97,67.02,67.7,2598061.0
BEKE,2020-11-11,69.69,69.96,67.02,69.6,2009853.0
BEKE,2020-11-12,71.19,72.4,67.64,67.64,2835512.0
BEKE,2020-11-13,71.58,74.48,70.5,72.53,3297109.0
BEKE,2020-11-16,75.0,79.4,72.15,73.56,4379945.0
BEKE,2020-11-17,70.1,71.81,66.68,67.6,5092608.0
BEKE,2020-11-18,68.21,68.28,60.89,61.17,4325588.0
BEKE,2020-11-19,57.75,62.38,57.62,59.35,15527513.0
BEKE,2020-11-20,61.74,63.46,60.0,60.8,8445376.0
BEKE,2020-11-23,62.47,63.15,61.6,62.97,5297492.0
