Ticker,Date,open,high,low,close,volume
BIDU,2020-01-02,129.49,138.64,129.44,138.22,7992913.0
BIDU,2020-01-03,134.58,137.16,133.78,133.8,5188450.0
BIDU,2020-01-06,132.78,136.74,132.51,135.94,3932431.0
BIDU,2020-01-07,138.19,139.47,135.4,136.7,4559872.0
BIDU,2020-01-08,136.74,139.17,135.7,137.83,3820801.0
BIDU,2020-01-09,141.0,142.48,140.02,140.86,6284222.0
BIDU,2020-01-10,142.62,144.76,140.86,144.51,6741172.0
BIDU,2020-01-13,147.0,147.38,141.75,142.26,6566583.0
BIDU,2020-01-14,140.68,142.2,138.01,140.04,4879955.0
BIDU,2020-01-15,139.57,141.17,138.39,139.4,3710423.0
BIDU,2020-01-16,142.61,142.62,138.8,139.49,4069928.0
BIDU,2020-01-17,140.61,140.99,138.35,139.61,4232607.0
BIDU,2020-01-21,136.49,139.0,134.4,137.1,4090571.0
BIDU,2020-01-22,138.55,138.87,134.72,134.8,4443965.0
BIDU,2020-01-23,132.22,134.38,131.17,134.2,4153937.0
BIDU,2020-01-24,134.25,134.4,128.31,130.0,4309815.0
BIDU,2020-01-27,122.0,127.39,121.0,126.28,5428566.0
BIDU,2020-01-28,128.05,128.3,125.82,126.93,2778502.0
BIDU,2020-01-29,127.97,128.18,126.08,126.47,2432514.0
BIDU,2020-01-30,123.3,126.11,122.32,125.74,2952050.0
BIDU,2020-01-31,123.2,123.88,122.0,123.56,4880940.0
BIDU,2020-02-03,127.15,133.78,126.9,130.49,7711243.0
BIDU,2020-02-04,134.7,134.95,131.11,131.37,3873181.0
BIDU,2020-02-05,134.52,134.58,129.46,130.75,3523235.0
BIDU,2020-02-06,132.25,133.74,130.34,133.16,3208189.0
BIDU,2020-02-07,131.02,131.84,129.7,130.91,2766136.0
BIDU,2020-02-10,129.26,131.69,129.2,131.05,3326694.0
BIDU,2020-02-11,133.51,136.82,132.72,133.99,3546057.0
BIDU,2020-02-12,136.73,138.5,134.66,137.49,3636580.0
BIDU,2020-02-13,135.02,136.3,133.23,135.18,3150270.0
