Ticker,Date,open,high,low,close,volume
CAMT,2020-01-02,11.25,11.28,10.96,11.18,103880.0
CAMT,2020-01-03,11.18,11.2,10.97,11.07,40989.0
CAMT,2020-01-06,10.95,11.08,10.91,10.96,37044.0
CAMT,2020-01-07,11.08,11.19,11.01,11.11,42993.0
CAMT,2020-01-08,11.12,11.35,11.12,11.3,79751.0
CAMT,2020-01-09,11.35,11.47,11.23,11.24,67020.0
CAMT,2020-01-10,11.25,11.38,11.16,11.23,40587.0
CAMT,2020-01-13,11.37,11.48,11.25,11.4,82245.0
CAMT,2020-01-14,11.45,12.74,11.45,12.68,241859.0
CAMT,2020-01-15,12.5,12.53,12.28,12.36,72520.0
CAMT,2020-01-16,12.52,12.65,12.37,12.65,46125.0
CAMT,2020-01-17,12.73,12.79,12.25,12.48,86279.0
CAMT,2020-01-21,14.1,14.24,13.04,13.14,256200.0
CAMT,2020-01-22,13.28,13.83,13.17,13.5,192297.0
CAMT,2020-01-23,13.52,13.75,13.41,13.46,118903.0
CAMT,2020-01-24,13.59,13.65,13.03,13.13,66660.0
CAMT,2020-01-27,12.85,12.85,12.36,12.36,162449.0
CAMT,2020-01-28,12.13,12.64,12.13,12.44,94121.0
CAMT,2020-01-29,12.5,12.56,12.22,12.22,49639.0
CAMT,2020-01-30,12.12,12.16,11.7,11.81,107482.0
CAMT,2020-01-31,11.79,11.79,11.25,11.33,84351.0
CAMT,2020-02-03,11.73,12.06,11.47,11.73,161849.0
CAMT,2020-02-04,11.98,12.06,11.75,11.98,155663.0
CAMT,2020-02-05,12.18,12.29,12.03,12.15,98892.0
CAMT,2020-02-06,12.18,12.18,11.99,12.07,59677.0
CAMT,2020-02-07,12.0,12.0,11.83,11.96,64608.0
CAMT,2020-02-10,11.8,11.92,11.64,11.75,134934.0
CAMT,2020-02-11,11.85,12.04,11.83,11.9,96092.0
CAMT,2020-02-12,11.97,11.98,11.79,11.8,152898.0
CAMT,2020-02-13,11.74,11.84,11.59,11.68,137893.0
CAMT,2020-02-14,11.67,12.08,11.61,12.05,113443.0
CAMT,2020-02-18,11.88,12.01,11.78,12.01,157845.0
CAMT,2020-02-19,11.82,12.14,11.81,12.12,200417.0
CAMT,2020-02-20,11.8,12.26,11.6,12.0,306690.0
CAMT,2020-02-21,11.91,12.2,11.78,12.01,148290.0
CAMT,2020-02-24,11.28,11.32,10.86,11.05,272743.0
CAMT,2020-02-25,11.28,11.48,10.77,10.8,177915.0
CAMT,2020-02-26,10.9,11.02,10.64,10.66,73220.0
CAMT,2020-02-27,10.16,10.72,9.91,10.48,275268.0
CAMT,2020-02-28,10.06,10.58,10.06,10.46,183078.0
CAMT,2020-03-02,10.55,10.68,10.15,10.5,77565.0
CAMT,2020-03-03,10.54,10.69,10.02,10.1,111718.0
CAMT,2020-03-04,10.19,10.27,9.97,10.14,134113.0
CAMT,2020-03-05,9.69,10.23,9.61,10.23,158246.0
CAMT,2020-03-06,9.98,10.19,9.95,10.07,158048.0
CAMT,2020-03-09,8.97,9.11,8.54,8.68,288437.0
CAMT,2020-03-10,9.0,9.27,8.83,9.19,100962.0
CAMT,2020-03-11,9.01,9.7,8.93,9.17,600720.0
CAMT,2020-03-12,8.38,8.62,8.02,8.02,173541.0
CAMT,2020-03-13,8.3,8.6,7.79,8.44,141883.0
CAMT,2020-03-16,7.63,7.63,7.2,7.31,131559.0
CAMT,2020-03-17,7.31,7.39,6.96,7.29,162331.0
CAMT,2020-03-18,6.93,7.08,6.27,6.48,116218.0
CAMT,2020-03-19,6.97,7.74,6.83,7.18,120352.0
CAMT,2020-03-20,7.29,8.04,7.0,7.04,139739.0
CAMT,2020-03-23,7.0,7.66,6.7,7.18,279983.0
CAMT,2020-03-24,7.82,8.73,7.72,8.43,241065.0
CAMT,2020-03-25,8.39,8.8,8.06,8.41,147520.0
CAMT,2020-03-26,8.45,8.97,8.45,8.74,121345.0
CAMT,2020-03-27,8.52,8.56,8.17,8.4,62347.0
CAMT,2020-03-30,8.53,8.82,8.33,8.47,101189.0
CAMT,2020-03-31,8.59,8.72,8.31,8.42,59032.0
CAMT,2020-04-01,8.39,8.67,8.25,8.34,87233.0
CAMT,2020-04-02,8.35,8.6,8.09,8.19,89376.0
CAMT,2020-04-03,8.19,8.44,7.65,7.9,175238.0
CAMT,2020-04-06,8.95,9.27,8.62,8.8,250726.0
CAMT,2020-04-07,9.56,9.92,9.19,9.29,203683.0
CAMT,2020-04-08,9.39,9.68,9.15,9.19,134250.0
CAMT,2020-04-09,9.37,9.67,9.16,9.47,108847.0
CAMT,2020-04-13,9.7,10.05,9.55,10.03,181190.0
CAMT,2020-04-14,10.19,10.5,9.68,10.24,106492.0
CAMT,2020-04-15,10.01,10.05,9.6,9.81,112598.0
CAMT,2020-04-16,9.91,9.91,9.33,9.77,268978.0
CAMT,2020-04-17,9.93,10.09,9.68,9.68,116939.0
CAMT,2020-04-20,9.7,9.74,9.49,9.49,94170.0
CAMT,2020-04-21,9.31,9.41,9.05,9.07,68334.0
CAMT,2020-04-22,9.28,9.72,9.25,9.68,80814.0
CAMT,2020-04-23,9.82,9.85,9.58,9.67,68255.0
CAMT,2020-04-24,9.78,9.86,9.56,9.86,47592.0
CAMT,2020-04-27,10.03,10.58,10.03,10.43,185817.0
CAMT,2020-04-28,10.6,10.88,10.35,10.69,113505.0
CAMT,2020-04-29,10.82,11.26,10.7,11.24,81201.0
CAMT,2020-04-30,11.09,11.09,10.47,10.53,119440.0
CAMT,2020-05-01,10.24,10.33,9.56,9.78,126618.0
CAMT,2020-05-04,9.83,10.14,9.71,10.1,101879.0
CAMT,2020-05-05,10.45,10.47,9.88,10.05,135966.0
CAMT,2020-05-06,10.5,11.1,10.49,10.93,196070.0
CAMT,2020-05-07,11.17,11.24,10.68,10.83,141707.0
CAMT,2020-05-08,11.01,11.25,10.91,11.18,88450.0
CAMT,2020-05-11,12.17,12.21,11.45,11.92,245887.0
CAMT,2020-05-12,12.25,12.25,11.37,11.54,271131.0
CAMT,2020-05-13,11.74,11.74,10.93,11.39,147280.0
CAMT,2020-05-14,11.16,11.53,10.83,11.43,105421.0
CAMT,2020-05-15,11.2,11.85,11.17,11.72,123919.0
CAMT,2020-05-18,12.12,12.6,12.12,12.57,231066.0
CAMT,2020-05-19,12.26,12.76,12.24,12.5,127294.0
CAMT,2020-05-20,12.88,13.19,12.71,12.89,187200.0
CAMT,2020-05-21,12.9,12.99,12.77,12.93,54710.0
CAMT,2020-05-22,12.89,12.94,12.6,12.9,73399.0
