Ticker,Date,open,high,low,close,volume
CBMG,2020-01-02,16.21,16.24,15.7,15.82,37127.0
CBMG,2020-01-03,15.6,15.72,15.19,15.24,50678.0
CBMG,2020-01-06,15.3,16.07,15.3,15.85,48348.0
CBMG,2020-01-07,16.0,17.35,16.0,16.8,88682.0
CBMG,2020-01-08,16.77,17.51,16.72,16.85,50385.0
CBMG,2020-01-09,17.0,17.37,17.0,17.32,64733.0
CBMG,2020-01-10,17.35,17.56,17.0,17.13,57591.0
CBMG,2020-01-13,17.18,17.43,17.18,17.38,65557.0
CBMG,2020-01-14,17.35,17.71,17.35,17.5,52805.0
CBMG,2020-01-15,17.51,17.52,17.35,17.5,32253.0
CBMG,2020-01-16,17.66,17.75,17.43,17.64,67831.0
CBMG,2020-01-17,17.84,17.91,17.46,17.48,58480.0
CBMG,2020-01-21,17.48,17.56,17.26,17.46,65391.0
CBMG,2020-01-22,17.38,17.54,17.02,17.09,33152.0
CBMG,2020-01-23,17.0,17.46,17.0,17.08,42654.0
CBMG,2020-01-24,17.09,17.14,17.01,17.1,43409.0
CBMG,2020-01-27,16.83,17.21,16.83,17.07,42408.0
CBMG,2020-01-28,17.1,17.48,17.02,17.09,15975.0
CBMG,2020-01-29,17.1,17.18,17.01,17.1,72941.0
CBMG,2020-01-30,17.01,17.13,17.0,17.08,31105.0
CBMG,2020-01-31,17.01,17.14,17.0,17.05,42230.0
CBMG,2020-02-03,17.02,17.46,16.96,17.05,60535.0
CBMG,2020-02-04,17.1,17.15,16.9,17.03,51709.0
CBMG,2020-02-05,17.16,17.21,16.98,17.09,39240.0
CBMG,2020-02-06,17.21,17.21,16.37,16.41,58306.0
CBMG,2020-02-07,16.44,16.89,16.36,16.82,36262.0
CBMG,2020-02-10,16.89,17.22,16.86,16.92,54176.0
CBMG,2020-02-11,17.03,17.07,16.66,16.74,40294.0
CBMG,2020-02-12,16.77,17.21,16.6,17.08,53004.0
CBMG,2020-02-13,16.69,17.1,16.69,16.9,22228.0
CBMG,2020-02-14,16.85,17.25,16.85,17.04,29992.0
CBMG,2020-02-18,16.87,17.21,16.35,17.1,46817.0
CBMG,2020-02-19,17.24,17.25,16.75,16.87,43618.0
CBMG,2020-02-20,16.92,16.92,16.5,16.53,26470.0
CBMG,2020-02-21,16.61,17.02,16.56,16.68,82953.0
CBMG,2020-02-24,16.5,16.96,16.2,16.86,85499.0
CBMG,2020-02-25,16.94,17.1,16.88,16.95,51359.0
CBMG,2020-02-26,16.99,17.3,16.64,16.78,46023.0
CBMG,2020-02-27,16.65,16.8,16.35,16.46,77052.0
CBMG,2020-02-28,16.11,17.28,15.96,15.96,100790.0
CBMG,2020-03-02,15.95,17.15,14.68,16.35,77629.0
CBMG,2020-03-03,16.3,17.17,16.3,16.78,57896.0
CBMG,2020-03-04,16.96,17.29,16.59,16.86,73046.0
CBMG,2020-03-05,16.27,17.07,16.23,16.39,54267.0
CBMG,2020-03-06,16.5,16.5,15.66,16.16,46561.0
CBMG,2020-03-09,15.45,15.91,14.72,14.85,73004.0
CBMG,2020-03-10,15.14,15.2,14.54,15.09,59089.0
CBMG,2020-03-11,15.07,15.14,14.36,14.49,59828.0
CBMG,2020-03-12,13.71,13.82,11.85,12.04,79983.0
CBMG,2020-03-13,12.5,13.59,12.5,13.53,69260.0
CBMG,2020-03-16,12.08,12.08,11.48,11.51,92995.0
CBMG,2020-03-17,11.73,13.39,11.66,13.37,65220.0
CBMG,2020-03-18,12.71,12.92,12.2,12.28,74039.0
CBMG,2020-03-19,12.28,13.99,12.28,13.87,73469.0
CBMG,2020-03-20,13.9,14.57,13.61,14.15,107333.0
CBMG,2020-03-23,14.06,15.24,14.01,14.7,75218.0
CBMG,2020-03-24,15.42,15.73,14.89,15.7,96589.0
CBMG,2020-03-25,15.61,16.24,15.36,15.56,159954.0
CBMG,2020-03-26,15.64,16.19,15.49,16.0,54427.0
CBMG,2020-03-27,15.5,15.88,15.26,15.36,56244.0
CBMG,2020-03-30,15.04,15.2,14.94,15.15,51090.0
CBMG,2020-03-31,15.08,15.86,15.06,15.82,58667.0
CBMG,2020-04-01,15.47,15.62,14.24,14.3,120024.0
CBMG,2020-04-02,14.13,15.61,14.13,15.42,44977.0
CBMG,2020-04-03,15.23,15.66,15.19,15.5,48650.0
CBMG,2020-04-06,15.44,15.99,15.2,15.46,67312.0
CBMG,2020-04-07,15.5,15.71,14.98,15.15,43472.0
CBMG,2020-04-08,15.34,15.5,15.18,15.48,32742.0
CBMG,2020-04-09,15.68,16.0,15.41,16.0,28860.0
CBMG,2020-04-13,15.81,15.92,15.32,15.51,31094.0
CBMG,2020-04-14,15.51,15.75,15.06,15.39,68251.0
CBMG,2020-04-15,15.07,15.16,14.34,14.63,99604.0
CBMG,2020-04-16,14.69,15.0,14.34,14.76,77715.0
CBMG,2020-04-17,15.08,15.63,14.8,15.56,78477.0
CBMG,2020-04-20,15.3,15.88,15.25,15.28,92346.0
CBMG,2020-04-21,15.02,15.07,14.51,14.82,121497.0
CBMG,2020-04-22,14.97,14.97,13.98,13.99,78219.0
CBMG,2020-04-23,13.93,14.88,13.93,14.49,64244.0
CBMG,2020-04-24,14.42,14.88,14.3,14.65,59155.0
CBMG,2020-04-27,14.86,15.57,14.75,15.21,67931.0
CBMG,2020-04-28,15.21,15.34,14.55,14.6,65393.0
CBMG,2020-04-29,14.93,15.2,14.8,14.9,100979.0
CBMG,2020-04-30,14.77,14.92,14.48,14.5,76105.0
CBMG,2020-05-01,14.41,14.58,13.74,13.74,105602.0
CBMG,2020-05-04,13.65,14.3,13.65,14.01,116520.0
CBMG,2020-05-05,14.2,14.41,13.95,14.0,72376.0
CBMG,2020-05-06,14.01,14.18,13.85,14.02,123536.0
CBMG,2020-05-07,14.27,14.27,13.5,14.0,67316.0
CBMG,2020-05-08,14.0,14.13,13.61,13.96,55567.0
CBMG,2020-05-11,13.75,14.76,13.6,14.57,84275.0
CBMG,2020-05-12,14.56,14.96,14.3,14.43,60873.0
CBMG,2020-05-13,14.4,14.7,13.02,13.35,89915.0
CBMG,2020-05-14,13.78,13.88,13.28,13.72,121494.0
CBMG,2020-05-15,13.76,14.48,13.61,14.42,160938.0
CBMG,2020-05-18,14.49,15.24,14.45,14.93,78734.0
CBMG,2020-05-19,14.77,15.24,14.73,14.85,62533.0
CBMG,2020-05-20,15.08,15.1,14.65,14.83,87408.0
CBMG,2020-05-21,14.89,14.98,14.74,14.77,78471.0
CBMG,2020-05-22,14.76,14.91,14.58,14.84,25862.0
CBMG,2020-05-26,14.85,14.9,14.41,14.45,150561.0
CBMG,2020-05-27,14.56,14.56,13.62,13.7,113424.0
CBMG,2020-05-28,13.85,14.2,13.77,13.8,79619.0
CBMG,2020-05-29,13.8,13.81,13.37,13.77,64154.0
CBMG,2020-06-01,13.67,13.67,13.12,13.13,76584.0
CBMG,2020-06-02,13.24,13.33,13.12,13.21,98765.0
CBMG,2020-06-03,13.33,13.43,13.17,13.31,78839.0
CBMG,2020-06-04,13.17,13.48,12.98,13.19,80705.0
CBMG,2020-06-05,13.46,13.46,12.6,12.71,79014.0
CBMG,2020-06-08,12.71,13.75,12.71,13.62,74807.0
CBMG,2020-06-09,13.42,13.56,12.86,12.98,47661.0
CBMG,2020-06-10,12.93,13.15,12.84,12.87,64150.0
CBMG,2020-06-11,12.77,12.94,11.9,12.15,87959.0
CBMG,2020-06-12,12.47,12.75,12.2,12.34,51837.0
CBMG,2020-06-15,12.06,12.48,11.93,12.42,128483.0
CBMG,2020-06-16,12.67,13.05,12.67,12.8,54797.0
CBMG,2020-06-17,12.79,12.98,12.54,12.69,33855.0
CBMG,2020-06-18,12.61,13.1,12.53,12.76,88379.0
CBMG,2020-06-19,13.0,13.28,12.83,13.24,71495.0
CBMG,2020-06-22,13.21,14.55,13.21,14.44,114786.0
CBMG,2020-06-23,14.66,15.76,14.55,15.63,89876.0
CBMG,2020-06-24,15.79,15.84,15.24,15.31,103934.0
CBMG,2020-06-25,15.31,15.96,15.27,15.48,53669.0
CBMG,2020-06-26,15.43,16.1,15.43,15.97,159822.0
CBMG,2020-06-29,16.29,16.29,14.52,14.89,78915.0
CBMG,2020-06-30,14.87,15.21,14.64,14.97,86915.0
CBMG,2020-07-01,14.99,16.7,14.99,16.56,206211.0
CBMG,2020-07-02,16.84,16.84,16.22,16.65,92671.0
CBMG,2020-07-06,16.79,16.98,16.14,16.48,63826.0
CBMG,2020-07-07,16.28,16.99,16.28,16.42,26893.0
CBMG,2020-07-08,16.33,16.33,15.2,15.61,93926.0
CBMG,2020-07-09,15.48,15.56,15.09,15.22,56356.0
CBMG,2020-07-10,15.21,15.26,14.77,14.9,75688.0
CBMG,2020-07-13,15.0,16.31,14.8,15.4,242809.0
CBMG,2020-07-14,15.22,15.46,14.69,15.23,149494.0
CBMG,2020-07-15,15.47,16.54,15.19,16.36,142524.0
CBMG,2020-07-16,16.49,16.68,15.82,15.99,67884.0
CBMG,2020-07-17,15.89,16.6,15.89,16.14,44308.0
CBMG,2020-07-20,16.15,16.18,15.57,16.12,32278.0
CBMG,2020-07-21,16.11,16.11,13.91,14.03,148741.0
CBMG,2020-07-22,14.02,14.67,14.0,14.21,58795.0
CBMG,2020-07-23,14.11,14.11,13.73,13.99,38044.0
CBMG,2020-07-24,13.97,13.98,13.12,13.38,54381.0
CBMG,2020-07-27,13.28,14.03,13.28,13.88,43220.0
CBMG,2020-07-28,13.31,13.93,13.27,13.34,80043.0
CBMG,2020-07-29,13.35,13.5,13.07,13.41,48010.0
CBMG,2020-07-30,13.23,13.5,13.08,13.26,33353.0
CBMG,2020-07-31,13.21,13.43,12.95,13.17,94502.0
CBMG,2020-08-03,13.31,14.17,13.14,13.86,64589.0
CBMG,2020-08-04,13.87,13.94,13.44,13.55,21399.0
CBMG,2020-08-05,13.8,14.06,13.41,13.98,44394.0
CBMG,2020-08-06,13.89,13.89,13.5,13.64,41706.0
CBMG,2020-08-07,13.64,14.55,13.61,14.42,43980.0
CBMG,2020-08-10,14.58,15.18,14.45,14.97,58715.0
CBMG,2020-08-11,15.1,15.27,14.18,14.27,53695.0
CBMG,2020-08-12,19.4,19.5,19.19,19.27,2321004.0
CBMG,2020-08-13,19.21,19.28,18.44,18.96,724818.0
CBMG,2020-08-14,18.9,18.9,18.22,18.51,256802.0
CBMG,2020-08-17,18.66,18.66,17.27,17.95,378236.0
CBMG,2020-08-18,17.9,18.5,17.82,18.39,193386.0
CBMG,2020-08-19,18.38,18.96,18.01,18.36,203817.0
CBMG,2020-08-20,18.29,18.62,18.15,18.49,110965.0
CBMG,2020-08-21,18.49,18.8,18.26,18.74,74787.0
CBMG,2020-08-24,18.79,18.85,18.33,18.85,66640.0
CBMG,2020-08-25,18.83,18.97,18.5,18.6,99405.0
CBMG,2020-08-26,18.6,18.96,18.29,18.8,90737.0
CBMG,2020-08-27,18.8,18.8,18.35,18.4,81255.0
CBMG,2020-08-28,18.43,18.83,18.25,18.79,199292.0
CBMG,2020-08-31,18.62,18.9,18.5,18.58,91547.0
CBMG,2020-09-01,18.55,18.55,17.89,18.55,342825.0
CBMG,2020-09-02,18.43,18.75,18.26,18.64,53792.0
CBMG,2020-09-03,18.51,18.75,18.13,18.31,67782.0
CBMG,2020-09-04,18.4,18.75,17.99,18.5,74125.0
CBMG,2020-09-08,18.27,18.37,18.04,18.14,118900.0
CBMG,2020-09-09,18.27,18.58,18.05,18.45,80946.0
CBMG,2020-09-10,18.44,18.44,18.13,18.28,76227.0
CBMG,2020-09-11,18.35,18.44,18.06,18.21,51263.0
