Ticker,Date,open,high,low,close,volume
CDNA,2020-01-02,21.8,21.97,21.01,21.15,582909.0
CDNA,2020-01-03,20.73,20.97,20.32,20.54,657063.0
CDNA,2020-01-06,20.24,21.19,19.8,20.91,561279.0
CDNA,2020-01-07,20.83,21.18,20.15,20.31,433527.0
CDNA,2020-01-08,20.3,20.58,19.75,19.79,940460.0
CDNA,2020-01-09,19.83,20.04,19.51,19.64,534144.0
CDNA,2020-01-10,19.84,20.58,19.79,19.81,1207656.0
CDNA,2020-01-13,21.0,22.5,20.46,22.45,1396948.0
CDNA,2020-01-14,22.57,22.89,21.91,22.68,725379.0
CDNA,2020-01-15,22.68,23.83,22.6,23.06,665768.0
CDNA,2020-01-16,23.31,23.72,22.61,23.51,472267.0
CDNA,2020-01-17,23.72,24.21,23.31,23.61,735339.0
CDNA,2020-01-21,23.53,23.53,21.94,22.35,832984.0
CDNA,2020-01-22,22.36,23.18,22.15,22.29,1454825.0
CDNA,2020-01-23,22.19,22.23,21.3,21.65,438413.0
CDNA,2020-01-24,21.65,21.79,21.32,21.67,984977.0
CDNA,2020-01-27,21.31,23.39,21.16,23.05,1129630.0
CDNA,2020-01-28,23.22,24.02,23.18,23.95,659174.0
CDNA,2020-01-29,24.0,24.48,23.28,24.41,614323.0
CDNA,2020-01-30,24.23,24.47,23.66,24.18,457370.0
CDNA,2020-01-31,24.07,24.42,23.09,24.16,855911.0
CDNA,2020-02-03,24.47,25.07,23.5,24.35,1013799.0
CDNA,2020-02-04,24.93,24.98,24.25,24.79,535965.0
CDNA,2020-02-05,24.92,25.57,24.88,25.15,786625.0
CDNA,2020-02-06,25.35,25.72,25.09,25.42,425417.0
CDNA,2020-02-07,25.34,25.43,24.05,24.13,589187.0
CDNA,2020-02-10,24.15,24.35,23.92,24.28,996431.0
CDNA,2020-02-11,24.49,25.1,23.5,24.86,840801.0
CDNA,2020-02-12,25.13,25.3,24.76,25.07,525544.0
CDNA,2020-02-13,24.95,25.26,24.7,24.96,469728.0
CDNA,2020-02-14,24.92,26.74,24.91,26.67,468950.0
CDNA,2020-02-18,26.6,27.29,26.32,27.15,633302.0
CDNA,2020-02-19,27.24,28.61,27.15,28.15,754046.0
CDNA,2020-02-20,28.16,28.94,27.3,28.2,743853.0
