Ticker,Date,open,high,low,close,volume
CDXS,2020-01-02,16.11,16.47,15.78,16.42,306293.0
CDXS,2020-01-03,16.19,16.68,16.08,16.51,351651.0
CDXS,2020-01-06,16.29,16.63,16.09,16.6,505513.0
CDXS,2020-01-07,16.53,16.8,16.35,16.66,406736.0
CDXS,2020-01-08,16.65,17.26,16.65,17.2,389165.0
CDXS,2020-01-09,17.26,17.58,17.22,17.48,581129.0
CDXS,2020-01-10,17.62,18.17,17.54,18.02,539556.0
CDXS,2020-01-13,18.0,18.55,17.96,18.5,298524.0
CDXS,2020-01-14,18.41,18.74,18.26,18.6,262296.0
CDXS,2020-01-15,18.63,18.87,18.43,18.5,379632.0
CDXS,2020-01-16,18.67,18.78,18.5,18.57,347737.0
CDXS,2020-01-17,18.61,18.69,17.99,18.11,338090.0
CDXS,2020-01-21,18.0,18.0,17.47,17.59,459766.0
CDXS,2020-01-22,17.71,17.73,17.47,17.5,271082.0
CDXS,2020-01-23,17.49,17.56,16.91,17.13,260138.0
CDXS,2020-01-24,17.27,17.34,16.86,16.88,419579.0
CDXS,2020-01-27,16.52,16.85,16.32,16.74,547237.0
CDXS,2020-01-28,16.86,16.97,16.45,16.46,268374.0
CDXS,2020-01-29,16.47,16.61,16.14,16.15,238092.0
CDXS,2020-01-30,16.04,16.17,15.73,16.02,235950.0
CDXS,2020-01-31,15.94,15.97,15.48,15.68,236039.0
CDXS,2020-02-03,15.78,16.06,15.78,16.02,207256.0
CDXS,2020-02-04,16.27,16.41,16.14,16.19,126593.0
CDXS,2020-02-05,16.33,16.58,16.27,16.29,253289.0
CDXS,2020-02-06,16.45,16.48,16.2,16.36,353719.0
CDXS,2020-02-07,16.31,16.31,15.81,15.88,257335.0
CDXS,2020-02-10,15.79,15.91,15.61,15.73,155813.0
CDXS,2020-02-11,15.81,16.22,13.98,14.43,1607961.0
CDXS,2020-02-12,14.2,14.39,13.97,14.3,652273.0
CDXS,2020-02-13,14.11,14.35,13.93,14.06,297142.0
CDXS,2020-02-14,14.01,14.09,13.92,14.03,185746.0
CDXS,2020-02-18,13.98,14.28,13.92,14.14,258573.0
CDXS,2020-02-19,14.1,14.18,13.94,13.98,248524.0
CDXS,2020-02-20,13.9,14.09,13.82,14.07,306651.0
CDXS,2020-02-21,14.04,14.09,13.84,14.0,414804.0
CDXS,2020-02-24,13.56,13.63,13.13,13.51,301345.0
CDXS,2020-02-25,13.55,13.59,12.89,12.95,313306.0
CDXS,2020-02-26,12.96,13.22,12.86,12.98,326474.0
CDXS,2020-02-27,12.84,13.38,12.46,13.27,560543.0
CDXS,2020-02-28,12.42,12.72,10.62,11.65,1488673.0
CDXS,2020-03-02,11.68,11.69,11.25,11.61,497590.0
CDXS,2020-03-03,11.63,11.98,11.27,11.4,537552.0
CDXS,2020-03-04,11.52,12.14,11.39,12.04,513944.0
CDXS,2020-03-05,11.78,11.98,11.66,11.95,429424.0
CDXS,2020-03-06,11.56,12.1,11.52,12.07,377084.0
CDXS,2020-03-09,11.55,11.79,11.15,11.43,337046.0
CDXS,2020-03-10,11.86,11.93,10.76,11.17,599123.0
CDXS,2020-03-11,10.81,11.01,9.92,10.12,497229.0
CDXS,2020-03-12,9.31,9.85,8.77,9.04,764297.0
CDXS,2020-03-13,9.59,9.88,8.43,9.8,408144.0
CDXS,2020-03-16,8.67,9.33,8.67,8.78,481314.0
CDXS,2020-03-17,9.0,10.33,8.51,10.29,557328.0
CDXS,2020-03-18,9.7,10.28,8.82,9.12,428758.0
CDXS,2020-03-19,9.16,10.23,8.94,9.45,339966.0
CDXS,2020-03-20,9.59,9.73,8.77,8.98,695970.0
CDXS,2020-03-23,9.12,10.22,9.0,9.97,663840.0
CDXS,2020-03-24,10.4,11.23,10.4,11.2,410961.0
CDXS,2020-03-25,11.15,11.49,9.94,10.11,414526.0
CDXS,2020-03-26,10.2,10.77,9.81,10.5,327958.0
CDXS,2020-03-27,10.05,10.38,9.33,10.31,381900.0
CDXS,2020-03-30,10.37,10.95,10.15,10.9,375199.0
CDXS,2020-03-31,10.87,11.33,10.66,11.16,551225.0
CDXS,2020-04-01,10.78,11.14,10.4,10.55,403436.0
CDXS,2020-04-02,10.47,10.83,10.23,10.4,315632.0
CDXS,2020-04-03,10.36,10.74,9.53,9.8,298430.0
CDXS,2020-04-06,9.95,10.53,9.89,10.45,289704.0
CDXS,2020-04-07,10.59,10.88,9.98,10.12,389044.0
CDXS,2020-04-08,10.26,10.67,9.91,10.56,246353.0
CDXS,2020-04-09,10.71,10.95,10.47,10.65,331878.0
CDXS,2020-04-13,10.61,11.1,10.47,10.93,354379.0
CDXS,2020-04-14,11.04,11.49,10.92,11.12,294746.0
CDXS,2020-04-15,10.74,11.03,10.01,10.33,274440.0
CDXS,2020-04-16,10.37,10.47,10.03,10.43,269198.0
CDXS,2020-04-17,10.87,10.96,10.56,10.87,321773.0
CDXS,2020-04-20,10.71,11.39,10.71,11.0,223040.0
CDXS,2020-04-21,10.58,10.88,10.4,10.75,256803.0
CDXS,2020-04-22,10.95,11.1,10.43,10.87,222747.0
CDXS,2020-04-23,10.9,11.32,10.87,11.24,260671.0
CDXS,2020-04-24,11.25,11.25,10.77,10.83,274140.0
CDXS,2020-04-27,10.91,11.87,10.91,11.5,319382.0
CDXS,2020-04-28,11.76,11.79,11.06,11.33,492208.0
CDXS,2020-04-29,11.58,11.95,11.24,11.81,549508.0
CDXS,2020-04-30,11.52,11.86,11.37,11.61,371058.0
CDXS,2020-05-01,11.39,11.39,10.72,11.02,370842.0
CDXS,2020-05-04,11.0,11.28,10.8,11.14,328352.0
CDXS,2020-05-05,11.43,12.1,11.24,11.79,367267.0
CDXS,2020-05-06,11.93,12.24,11.71,11.96,311427.0
CDXS,2020-05-07,12.03,12.63,12.03,12.28,275059.0
CDXS,2020-05-08,12.43,12.79,11.88,12.23,313699.0
CDXS,2020-05-11,11.98,12.21,11.67,11.96,391197.0
CDXS,2020-05-12,11.99,12.19,11.6,11.61,552583.0
CDXS,2020-05-13,11.53,11.64,10.86,11.19,409691.0
CDXS,2020-05-14,10.94,11.25,10.55,10.76,792467.0
