Ticker,Date,open,high,low,close,volume
CEL,2020-01-02,3.11,3.12,2.8,3.06,68716.0
CEL,2020-01-03,3.02,3.04,2.91,2.98,15979.0
CEL,2020-01-06,2.97,2.98,2.94,2.97,11968.0
CEL,2020-01-07,2.95,2.99,2.92,2.98,16101.0
CEL,2020-01-08,2.93,2.96,2.93,2.95,5809.0
CEL,2020-01-09,2.92,2.92,2.87,2.9,4826.0
CEL,2020-01-10,2.83,2.92,2.75,2.86,9092.0
CEL,2020-01-13,2.87,2.97,2.87,2.96,34820.0
CEL,2020-01-14,3.08,3.19,3.08,3.14,32544.0
CEL,2020-01-15,3.15,3.21,3.1,3.17,26207.0
CEL,2020-01-16,3.17,3.2,3.16,3.18,9814.0
CEL,2020-01-17,3.23,3.23,3.16,3.18,6409.0
CEL,2020-01-21,3.14,3.17,3.12,3.14,8351.0
CEL,2020-01-22,3.21,3.29,3.19,3.28,83804.0
CEL,2020-01-23,3.36,3.42,3.36,3.36,23867.0
CEL,2020-01-24,3.34,3.41,3.3,3.31,8413.0
CEL,2020-01-27,3.29,3.35,3.17,3.21,24593.0
CEL,2020-01-28,3.52,3.59,3.5,3.59,36636.0
CEL,2020-01-29,3.75,3.78,3.67,3.72,46383.0
CEL,2020-01-30,3.61,3.69,3.6,3.6,21696.0
CEL,2020-01-31,3.54,3.62,3.54,3.55,6793.0
CEL,2020-02-03,3.56,3.66,3.56,3.59,10603.0
CEL,2020-02-04,3.78,3.81,3.75,3.77,24837.0
CEL,2020-02-05,3.87,4.08,3.85,3.92,90840.0
CEL,2020-02-06,4.03,4.03,3.9,3.96,24581.0
CEL,2020-02-07,3.87,4.02,3.87,3.99,16367.0
CEL,2020-02-10,4.17,4.25,4.17,4.21,65611.0
CEL,2020-02-11,4.21,4.21,4.13,4.15,60654.0
CEL,2020-02-12,4.13,4.13,4.03,4.04,36243.0
CEL,2020-02-13,4.17,4.17,4.09,4.1,18178.0
CEL,2020-02-14,3.98,4.11,3.91,4.05,74748.0
CEL,2020-02-18,4.34,4.36,4.3,4.35,61664.0
CEL,2020-02-19,4.16,4.19,3.96,4.1,57307.0
CEL,2020-02-20,4.12,4.19,4.07,4.16,25567.0
CEL,2020-02-21,4.1,4.17,4.09,4.1,15892.0
CEL,2020-02-24,3.83,3.89,3.83,3.83,17471.0
CEL,2020-02-25,3.84,3.87,3.71,3.72,16515.0
CEL,2020-02-26,3.86,3.88,3.77,3.79,15416.0
CEL,2020-02-27,3.67,3.76,3.46,3.6,33166.0
CEL,2020-02-28,3.45,3.67,3.45,3.61,37057.0
CEL,2020-03-02,3.48,3.66,3.48,3.57,25634.0
CEL,2020-03-03,3.59,3.63,3.44,3.44,12843.0
CEL,2020-03-04,3.4,3.45,3.25,3.43,28775.0
CEL,2020-03-05,3.15,3.21,3.08,3.17,29206.0
CEL,2020-03-06,3.13,3.13,2.9,3.06,21464.0
CEL,2020-03-09,2.6,2.91,2.59,2.68,34856.0
CEL,2020-03-10,2.75,2.75,2.62,2.74,37898.0
CEL,2020-03-11,2.56,2.58,2.38,2.42,64720.0
CEL,2020-03-12,2.22,2.24,1.86,2.02,108782.0
CEL,2020-03-13,2.26,2.27,2.05,2.23,35775.0
