Ticker,Date,open,high,low,close,volume
CERS,2020-01-02,4.25,4.26,4.1,4.25,774251.0
CERS,2020-01-03,4.15,4.36,4.15,4.31,825816.0
CERS,2020-01-06,4.26,4.49,4.26,4.46,779941.0
CERS,2020-01-07,4.5,4.83,4.47,4.72,1950137.0
CERS,2020-01-08,4.71,4.78,4.5,4.52,667107.0
CERS,2020-01-09,4.52,4.69,4.45,4.6,624106.0
CERS,2020-01-10,4.66,4.74,4.54,4.68,974295.0
CERS,2020-01-13,4.78,4.82,4.29,4.31,1338328.0
CERS,2020-01-14,4.29,4.43,4.22,4.36,842926.0
CERS,2020-01-15,4.36,4.42,4.25,4.31,925252.0
CERS,2020-01-16,4.34,4.37,4.06,4.2,1281906.0
CERS,2020-01-17,4.24,4.28,4.02,4.07,1121007.0
CERS,2020-01-21,4.41,4.53,4.17,4.48,2306411.0
CERS,2020-01-22,4.48,4.52,4.25,4.3,1113825.0
CERS,2020-01-23,4.48,4.62,4.24,4.48,3550560.0
CERS,2020-01-24,4.5,4.69,4.48,4.57,1807498.0
CERS,2020-01-27,4.67,4.7,4.42,4.49,1484802.0
CERS,2020-01-28,4.49,4.52,4.12,4.15,1521258.0
CERS,2020-01-29,4.28,4.39,4.15,4.22,5995419.0
CERS,2020-01-30,4.17,4.28,4.12,4.17,2124568.0
CERS,2020-01-31,4.14,4.21,3.94,4.01,1699219.0
CERS,2020-02-03,4.07,4.39,4.07,4.28,1519043.0
CERS,2020-02-04,4.38,4.88,4.38,4.81,3161051.0
CERS,2020-02-05,4.87,4.97,4.66,4.94,3896401.0
CERS,2020-02-06,4.95,5.13,4.81,4.94,2260160.0
CERS,2020-02-07,4.98,5.04,4.88,4.96,2701023.0
CERS,2020-02-10,4.91,4.97,4.71,4.76,1407165.0
CERS,2020-02-11,4.77,4.82,4.66,4.72,1292048.0
CERS,2020-02-12,4.76,4.8,4.67,4.69,827760.0
CERS,2020-02-13,4.66,4.93,4.61,4.82,3157575.0
CERS,2020-02-14,4.83,4.99,4.74,4.9,1562688.0
CERS,2020-02-18,4.98,5.05,4.73,4.79,1282623.0
CERS,2020-02-19,4.83,5.24,4.73,5.21,2483082.0
CERS,2020-02-20,5.2,5.45,4.99,5.41,2317533.0
CERS,2020-02-21,5.27,5.4,5.06,5.16,1961127.0
CERS,2020-02-24,4.99,5.16,4.85,5.03,2670364.0
CERS,2020-02-25,5.1,5.13,4.81,4.9,2019735.0
CERS,2020-02-26,5.07,5.29,4.94,5.25,3921475.0
CERS,2020-02-27,5.5,5.5,5.05,5.18,2724986.0
CERS,2020-02-28,5.03,5.22,4.85,5.14,2708482.0
CERS,2020-03-02,5.19,5.19,4.86,5.11,2103426.0
CERS,2020-03-03,5.11,5.2,4.96,5.03,1476808.0
CERS,2020-03-04,5.09,5.45,5.04,5.37,2053742.0
CERS,2020-03-05,5.33,5.44,5.18,5.28,1476896.0
