Ticker,Date,open,high,low,close,volume
CGEN,2020-01-02,6.01,6.18,5.76,6.12,287689.0
CGEN,2020-01-03,6.05,6.08,5.75,5.82,189957.0
CGEN,2020-01-06,5.88,6.13,5.73,6.09,191383.0
CGEN,2020-01-07,6.11,6.17,5.95,6.02,159063.0
CGEN,2020-01-08,5.94,6.06,5.8,5.97,232145.0
CGEN,2020-01-09,6.1,6.45,6.05,6.2,507562.0
CGEN,2020-01-10,6.26,6.29,6.08,6.15,209876.0
CGEN,2020-01-13,6.2,6.2,5.88,6.02,268638.0
CGEN,2020-01-14,6.05,6.08,5.62,5.83,395822.0
CGEN,2020-01-15,5.89,6.02,5.77,5.79,306563.0
CGEN,2020-01-16,6.04,6.2,5.9,6.08,467604.0
CGEN,2020-01-17,6.03,6.2,6.01,6.12,297455.0
CGEN,2020-01-21,6.25,6.37,6.12,6.37,458120.0
CGEN,2020-01-22,6.44,6.45,6.1,6.2,341336.0
CGEN,2020-01-23,6.27,6.57,6.2,6.51,377444.0
CGEN,2020-01-24,6.6,6.7,6.4,6.6,469857.0
CGEN,2020-01-27,6.6,6.95,6.55,6.9,538649.0
CGEN,2020-01-28,7.05,7.3,7.0,7.21,644384.0
CGEN,2020-01-29,7.4,7.59,7.27,7.42,529569.0
CGEN,2020-01-30,7.33,7.38,6.86,7.25,457830.0
CGEN,2020-01-31,7.28,7.28,7.02,7.2,318028.0
CGEN,2020-02-03,7.4,7.64,7.4,7.63,530247.0
CGEN,2020-02-04,7.9,8.0,7.71,7.91,480036.0
CGEN,2020-02-05,8.09,8.4,7.97,8.29,891145.0
CGEN,2020-02-06,8.4,9.26,8.21,8.84,2232097.0
CGEN,2020-02-07,8.8,9.22,8.63,8.82,930795.0
CGEN,2020-02-10,8.6,8.68,8.35,8.58,531825.0
CGEN,2020-02-11,8.6,9.21,8.56,8.91,480285.0
CGEN,2020-02-12,9.02,9.22,8.83,9.1,448577.0
CGEN,2020-02-13,9.02,9.1,8.71,8.95,342550.0
CGEN,2020-02-14,9.05,9.24,8.87,9.02,397919.0
CGEN,2020-02-18,9.01,9.16,8.85,9.15,334554.0
CGEN,2020-02-19,9.18,10.32,9.14,9.78,1109528.0
CGEN,2020-02-20,10.3,10.59,9.81,10.51,1824085.0
CGEN,2020-02-21,10.0,10.4,9.92,10.0,1159635.0
CGEN,2020-02-24,9.5,9.67,8.82,9.12,771611.0
CGEN,2020-02-25,9.16,9.27,8.67,9.04,620055.0
CGEN,2020-02-26,9.33,9.43,8.35,8.45,621640.0
CGEN,2020-02-27,8.12,9.58,7.66,9.07,1959136.0
CGEN,2020-02-28,9.02,9.31,8.63,9.07,711465.0
CGEN,2020-03-02,9.2,9.5,8.95,9.5,887505.0
CGEN,2020-03-03,9.57,9.9,9.31,9.42,810984.0
CGEN,2020-03-04,9.76,9.88,9.52,9.85,508593.0
CGEN,2020-03-05,9.57,9.87,9.06,9.53,485987.0
CGEN,2020-03-06,8.95,9.52,8.93,9.36,351406.0
CGEN,2020-03-09,9.13,10.57,9.0,10.01,1372223.0
CGEN,2020-03-10,10.31,12.8,10.3,11.64,3148986.0
CGEN,2020-03-11,11.5,12.1,11.4,11.83,1117669.0
CGEN,2020-03-12,8.25,8.53,6.93,8.51,5783158.0
CGEN,2020-03-13,8.93,9.09,7.61,8.25,1731063.0
CGEN,2020-03-16,7.8,7.86,6.81,7.23,1435957.0
CGEN,2020-03-17,7.3,7.8,7.04,7.78,1363822.0
CGEN,2020-03-18,7.28,7.54,5.94,6.44,1137433.0
CGEN,2020-03-19,6.43,7.3,6.43,6.81,711530.0
CGEN,2020-03-20,7.08,7.32,6.43,6.72,796355.0
CGEN,2020-03-23,6.72,6.94,6.05,6.25,826009.0
CGEN,2020-03-24,6.86,7.29,6.48,7.14,879072.0
CGEN,2020-03-25,7.18,7.55,6.91,7.48,1306509.0
