Ticker,Date,open,high,low,close,volume
CLLS,2020-01-02,18.0,18.2,17.59,17.81,254645.0
CLLS,2020-01-03,17.43,17.7,17.15,17.22,97896.0
CLLS,2020-01-06,17.26,17.26,16.65,16.75,81779.0
CLLS,2020-01-07,16.95,17.22,16.67,17.1,87061.0
CLLS,2020-01-08,17.04,17.16,16.72,16.97,43762.0
CLLS,2020-01-09,17.57,17.63,17.03,17.32,72675.0
CLLS,2020-01-10,17.67,18.72,17.52,18.3,164954.0
CLLS,2020-01-13,18.32,18.32,17.58,17.96,104746.0
CLLS,2020-01-14,17.78,18.44,17.72,18.38,123166.0
CLLS,2020-01-15,18.35,18.8,18.31,18.5,128254.0
CLLS,2020-01-16,18.37,18.68,18.2,18.45,166858.0
CLLS,2020-01-17,18.64,18.67,18.09,18.24,243049.0
CLLS,2020-01-21,18.5,18.67,17.84,18.02,408200.0
CLLS,2020-01-22,18.11,18.11,17.5,17.53,112943.0
CLLS,2020-01-23,17.33,17.33,16.58,16.59,114404.0
CLLS,2020-01-24,17.09,17.13,16.33,16.39,129949.0
CLLS,2020-01-27,16.11,16.5,15.78,16.48,140513.0
CLLS,2020-01-28,16.7,16.87,16.19,16.5,86646.0
CLLS,2020-01-29,16.62,16.62,15.96,16.02,51397.0
CLLS,2020-01-30,15.93,16.04,15.59,15.66,74733.0
CLLS,2020-01-31,15.8,15.91,15.26,15.47,68648.0
CLLS,2020-02-03,15.48,16.02,15.48,15.93,96451.0
CLLS,2020-02-04,16.1,16.57,16.01,16.56,61512.0
CLLS,2020-02-05,16.63,17.2,16.43,16.9,82805.0
CLLS,2020-02-06,16.98,17.15,16.62,17.1,54332.0
CLLS,2020-02-07,16.64,17.13,16.55,17.11,124735.0
CLLS,2020-02-10,16.81,17.77,16.75,17.66,103248.0
CLLS,2020-02-11,17.66,17.99,17.44,17.71,86493.0
CLLS,2020-02-12,17.86,18.48,17.8,18.33,152868.0
CLLS,2020-02-13,17.91,18.1,17.4,17.46,111493.0
CLLS,2020-02-14,17.71,17.83,17.38,17.47,51576.0
CLLS,2020-02-18,17.15,17.15,16.9,17.03,48069.0
CLLS,2020-02-19,17.47,19.15,17.41,18.59,243554.0
CLLS,2020-02-20,18.59,18.83,18.44,18.77,100403.0
CLLS,2020-02-21,18.57,18.91,18.18,18.82,179305.0
CLLS,2020-02-24,17.48,17.56,16.6,17.03,152994.0
CLLS,2020-02-25,17.15,17.29,16.25,16.34,74462.0
CLLS,2020-02-26,16.76,16.82,16.26,16.74,123515.0
CLLS,2020-02-27,15.84,16.52,15.38,15.84,155234.0
CLLS,2020-02-28,15.04,15.72,14.9,15.62,180729.0
CLLS,2020-03-02,15.74,16.09,15.21,15.84,101597.0
CLLS,2020-03-03,16.22,16.31,15.29,15.69,71057.0
CLLS,2020-03-04,16.06,16.49,15.8,16.01,97049.0
CLLS,2020-03-05,15.27,15.8,14.7,15.74,142857.0
CLLS,2020-03-06,14.67,14.89,14.1,14.64,295690.0
CLLS,2020-03-09,12.6,13.12,12.11,12.11,186930.0
CLLS,2020-03-10,13.04,13.04,11.9,12.42,113472.0
CLLS,2020-03-11,11.99,12.1,11.26,11.43,87286.0
CLLS,2020-03-12,10.43,10.52,9.63,9.95,206464.0
CLLS,2020-03-13,10.53,10.55,9.38,10.27,139068.0
CLLS,2020-03-16,8.25,10.24,7.7,8.49,346656.0
CLLS,2020-03-17,8.71,9.62,8.6,9.09,394158.0
CLLS,2020-03-18,8.4,8.71,7.32,8.39,204443.0
CLLS,2020-03-19,8.4,8.71,8.0,8.22,120286.0
CLLS,2020-03-20,8.38,8.38,7.9,7.94,151157.0
CLLS,2020-03-23,7.9,8.17,7.55,7.81,174948.0
CLLS,2020-03-24,8.08,8.16,7.8,7.91,246266.0
CLLS,2020-03-25,8.25,9.33,8.25,8.64,175747.0
CLLS,2020-03-26,8.61,8.96,8.31,8.72,95887.0
CLLS,2020-03-27,8.5,9.0,8.18,8.6,99191.0
CLLS,2020-03-30,8.66,9.15,8.66,9.05,68542.0
CLLS,2020-03-31,9.21,9.49,9.02,9.2,95277.0
CLLS,2020-04-01,8.79,8.98,8.5,8.61,34105.0
CLLS,2020-04-02,8.31,8.88,8.21,8.21,143642.0
CLLS,2020-04-03,8.35,8.71,8.14,8.33,67853.0
CLLS,2020-04-06,8.56,8.99,8.5,8.85,156846.0
CLLS,2020-04-07,9.0,10.07,8.75,9.09,179385.0
CLLS,2020-04-08,9.41,9.75,9.27,9.46,55530.0
CLLS,2020-04-09,9.37,9.94,9.15,9.7,126004.0
CLLS,2020-04-13,9.9,11.12,9.6,10.48,78244.0
CLLS,2020-04-14,10.31,12.24,10.0,11.84,253963.0
CLLS,2020-04-15,10.88,11.4,10.65,10.89,248227.0
CLLS,2020-04-16,10.65,11.59,10.45,11.5,186994.0
CLLS,2020-04-17,11.86,12.85,11.75,12.85,284611.0
CLLS,2020-04-20,12.8,13.98,12.48,13.55,370210.0
CLLS,2020-04-21,13.59,13.59,11.67,12.75,248775.0
CLLS,2020-04-22,13.13,13.36,12.63,13.0,174973.0
CLLS,2020-04-23,12.73,13.51,12.51,12.66,158865.0
CLLS,2020-04-24,12.72,12.83,11.82,12.06,111729.0
CLLS,2020-04-27,12.4,13.47,12.15,13.14,244878.0
CLLS,2020-04-28,13.4,13.49,12.93,13.22,138166.0
CLLS,2020-04-29,13.4,14.4,13.34,14.23,140724.0
CLLS,2020-04-30,13.85,13.87,12.85,13.05,114600.0
CLLS,2020-05-01,12.97,13.02,11.88,12.06,88142.0
CLLS,2020-05-04,13.08,13.98,13.08,13.81,77947.0
CLLS,2020-05-05,14.29,14.48,13.93,14.2,63554.0
CLLS,2020-05-06,14.07,14.45,13.48,14.45,80793.0
CLLS,2020-05-07,14.11,15.1,13.69,14.58,73235.0
CLLS,2020-05-08,14.44,15.35,14.44,15.08,85751.0
CLLS,2020-05-11,14.92,16.02,14.92,15.22,117802.0
CLLS,2020-05-12,15.13,15.8,14.92,14.99,159605.0
CLLS,2020-05-13,14.73,14.94,13.17,13.7,157552.0
CLLS,2020-05-14,15.51,18.24,14.82,17.41,558489.0
CLLS,2020-05-15,18.02,20.24,17.83,19.32,369779.0
CLLS,2020-05-18,19.65,20.13,19.35,19.42,236055.0
CLLS,2020-05-19,17.83,20.0,17.66,19.19,413349.0
CLLS,2020-05-20,18.56,20.24,18.46,19.55,260260.0
CLLS,2020-05-21,19.56,21.72,19.27,20.88,309878.0
CLLS,2020-05-22,20.75,21.97,20.54,21.02,277472.0
CLLS,2020-05-26,20.59,20.88,19.27,19.38,286980.0
CLLS,2020-05-27,18.88,19.52,18.4,18.87,253035.0
CLLS,2020-05-28,18.81,19.51,18.05,18.1,306116.0
CLLS,2020-05-29,18.34,19.0,17.95,18.47,261412.0
CLLS,2020-06-01,18.04,19.02,17.88,18.69,282274.0
CLLS,2020-06-02,19.02,19.51,18.91,19.04,170700.0
CLLS,2020-06-03,18.75,19.0,17.69,17.73,358520.0
CLLS,2020-06-04,17.81,18.36,16.94,17.03,252974.0
CLLS,2020-06-05,17.8,17.8,16.27,16.37,311808.0
CLLS,2020-06-08,16.93,17.34,16.74,16.95,191079.0
CLLS,2020-06-09,16.72,17.57,16.59,16.92,251927.0
CLLS,2020-06-10,17.33,17.47,16.81,16.9,259283.0
CLLS,2020-06-11,16.55,16.71,15.78,15.78,356429.0
CLLS,2020-06-12,16.12,16.53,15.66,16.01,284373.0
CLLS,2020-06-15,15.88,16.55,15.62,16.34,245978.0
CLLS,2020-06-16,16.88,16.88,16.06,16.44,175408.0
CLLS,2020-06-17,16.54,16.73,16.2,16.32,106060.0
CLLS,2020-06-18,16.0,16.23,15.72,15.73,271927.0
CLLS,2020-06-19,16.1,17.65,15.96,17.44,376336.0
CLLS,2020-06-22,17.79,18.55,17.25,18.51,391997.0
CLLS,2020-06-23,18.45,19.6,18.45,18.81,361000.0
CLLS,2020-06-24,18.18,18.72,18.0,18.29,179495.0
CLLS,2020-06-25,18.3,18.8,18.06,18.54,113286.0
CLLS,2020-06-26,18.3,18.85,17.94,18.1,129065.0
CLLS,2020-06-29,18.1,18.28,17.72,17.94,102278.0
CLLS,2020-06-30,17.69,18.18,17.56,17.8,115536.0
CLLS,2020-07-01,17.59,18.37,17.57,18.06,126470.0
CLLS,2020-07-02,18.88,18.99,18.42,18.65,136328.0
CLLS,2020-07-06,18.85,19.27,18.66,19.05,165430.0
CLLS,2020-07-07,16.15,16.42,15.74,16.32,433579.0
CLLS,2020-07-08,17.25,17.93,16.91,17.65,222313.0
CLLS,2020-07-09,17.62,17.72,16.87,17.39,190440.0
CLLS,2020-07-10,17.53,17.58,16.81,16.92,110181.0
CLLS,2020-07-13,17.11,17.41,16.45,16.52,157072.0
CLLS,2020-07-14,16.4,16.65,16.25,16.55,193280.0
CLLS,2020-07-15,17.35,17.91,16.86,17.77,252805.0
CLLS,2020-07-16,17.3,17.39,16.78,16.81,173364.0
CLLS,2020-07-17,17.31,17.44,17.01,17.07,141035.0
CLLS,2020-07-20,18.0,18.23,17.59,17.93,201055.0
