Ticker,Date,open,high,low,close,volume
CRNT,2020-01-02,2.14,2.3,2.13,2.21,1400494.0
CRNT,2020-01-03,2.22,2.22,2.07,2.08,899062.0
CRNT,2020-01-06,2.06,2.22,2.01,2.21,993537.0
CRNT,2020-01-07,2.21,2.26,2.14,2.2,687917.0
CRNT,2020-01-08,2.21,2.28,2.2,2.25,1005041.0
CRNT,2020-01-09,2.28,2.3,2.2,2.23,1402988.0
CRNT,2020-01-10,2.26,2.26,2.15,2.21,592321.0
CRNT,2020-01-13,2.23,2.24,2.11,2.15,742645.0
CRNT,2020-01-14,2.15,2.18,2.06,2.11,524115.0
CRNT,2020-01-15,2.12,2.2,2.12,2.19,415129.0
CRNT,2020-01-16,2.19,2.26,2.18,2.24,591117.0
CRNT,2020-01-17,2.25,2.25,2.15,2.2,533227.0
CRNT,2020-01-21,2.22,2.25,2.2,2.25,545903.0
CRNT,2020-01-22,2.25,2.32,2.23,2.23,630622.0
CRNT,2020-01-23,2.24,2.31,2.18,2.31,406420.0
CRNT,2020-01-24,2.32,2.33,2.25,2.27,559293.0
CRNT,2020-01-27,2.23,2.25,2.13,2.16,1093580.0
CRNT,2020-01-28,2.17,2.25,2.16,2.22,387628.0
CRNT,2020-01-29,2.24,2.24,2.14,2.16,472349.0
CRNT,2020-01-30,2.12,2.14,2.08,2.12,550386.0
CRNT,2020-01-31,2.1,2.12,2.02,2.06,532048.0
CRNT,2020-02-03,2.05,2.07,2.01,2.02,356570.0
CRNT,2020-02-04,2.02,2.1,2.02,2.1,414115.0
CRNT,2020-02-05,2.1,2.2,2.09,2.18,536029.0
CRNT,2020-02-06,2.2,2.2,2.08,2.12,807100.0
CRNT,2020-02-07,2.1,2.12,2.06,2.08,453975.0
CRNT,2020-02-10,1.94,1.94,1.77,1.84,1657876.0
CRNT,2020-02-11,1.85,2.02,1.82,1.96,1069279.0
CRNT,2020-02-12,1.97,2.03,1.93,1.95,946927.0
CRNT,2020-02-13,1.91,1.93,1.86,1.9,469356.0
CRNT,2020-02-14,1.9,1.95,1.89,1.92,398427.0
CRNT,2020-02-18,1.95,2.01,1.92,1.99,621715.0
CRNT,2020-02-19,1.99,1.99,1.92,1.94,532210.0
CRNT,2020-02-20,1.92,1.99,1.89,1.99,452450.0
CRNT,2020-02-21,1.95,1.98,1.89,1.92,460379.0
CRNT,2020-02-24,1.89,1.98,1.8,1.95,766688.0
CRNT,2020-02-25,1.93,1.97,1.86,1.89,677072.0
CRNT,2020-02-26,1.89,1.98,1.86,1.86,555556.0
CRNT,2020-02-27,1.81,1.85,1.77,1.78,659744.0
CRNT,2020-02-28,1.75,1.76,1.65,1.69,1263294.0
CRNT,2020-03-02,1.72,1.78,1.68,1.71,610879.0
CRNT,2020-03-03,1.72,1.81,1.65,1.66,684109.0
CRNT,2020-03-04,1.71,1.79,1.68,1.75,481282.0
CRNT,2020-03-05,1.71,1.72,1.66,1.67,466527.0
CRNT,2020-03-06,1.65,1.7,1.61,1.63,547034.0
CRNT,2020-03-09,1.52,1.56,1.44,1.48,860300.0
CRNT,2020-03-10,1.48,1.53,1.44,1.51,875600.0
CRNT,2020-03-11,1.46,1.49,1.41,1.47,655935.0
CRNT,2020-03-12,1.35,1.4,1.13,1.23,2217510.0
CRNT,2020-03-13,1.25,1.32,1.15,1.21,657012.0
CRNT,2020-03-16,1.15,1.2,0.99,0.9942,1004758.0
CRNT,2020-03-17,1.04,1.18,1.0,1.18,725398.0
CRNT,2020-03-18,1.14,1.18,1.04,1.16,413882.0
CRNT,2020-03-19,1.16,1.32,1.13,1.32,530021.0
CRNT,2020-03-20,1.34,1.45,1.25,1.32,614743.0
CRNT,2020-03-23,1.34,1.37,1.21,1.25,319406.0
CRNT,2020-03-24,1.24,1.34,1.24,1.25,305593.0
CRNT,2020-03-25,1.28,1.33,1.26,1.28,356793.0
CRNT,2020-03-26,1.28,1.48,1.28,1.46,483970.0
CRNT,2020-03-27,1.4,1.4,1.31,1.33,182254.0
CRNT,2020-03-30,1.3,1.32,1.25,1.27,265111.0
CRNT,2020-03-31,1.28,1.3,1.25,1.26,111300.0
CRNT,2020-04-01,1.2,1.25,1.15,1.18,261658.0
CRNT,2020-04-02,1.17,1.28,1.17,1.22,180543.0
CRNT,2020-04-03,1.22,1.24,1.18,1.2,252336.0
CRNT,2020-04-06,1.3,1.6,1.27,1.55,1571582.0
CRNT,2020-04-07,1.6,1.74,1.55,1.56,987087.0
CRNT,2020-04-08,1.55,1.72,1.55,1.65,593335.0
CRNT,2020-04-09,1.63,1.8,1.62,1.77,934026.0
CRNT,2020-04-13,1.88,2.17,1.81,1.96,1549132.0
CRNT,2020-04-14,2.06,2.1,1.92,1.94,882126.0
CRNT,2020-04-15,1.9,2.03,1.86,1.95,794416.0
CRNT,2020-04-16,1.95,2.05,1.93,1.99,663613.0
CRNT,2020-04-17,2.15,2.19,2.01,2.04,836313.0
CRNT,2020-04-20,2.05,2.32,2.02,2.25,1258466.0
CRNT,2020-04-21,2.22,2.24,1.99,2.08,797733.0
CRNT,2020-04-22,2.15,2.22,2.08,2.1,393358.0
CRNT,2020-04-23,2.18,2.32,2.11,2.26,841635.0
CRNT,2020-04-24,2.26,2.45,2.18,2.36,891010.0
CRNT,2020-04-27,2.45,2.55,2.4,2.42,898040.0
CRNT,2020-04-28,2.49,2.49,2.26,2.32,578102.0
CRNT,2020-04-29,2.41,2.42,2.27,2.27,500400.0
CRNT,2020-04-30,2.3,2.42,2.27,2.32,565194.0
CRNT,2020-05-01,2.27,2.38,2.2,2.2,458060.0
CRNT,2020-05-04,2.1,2.52,2.0,2.21,1984059.0
CRNT,2020-05-05,2.27,2.3,2.16,2.2,365829.0
CRNT,2020-05-06,2.23,2.26,2.02,2.06,719967.0
CRNT,2020-05-07,2.08,2.18,2.06,2.12,428792.0
CRNT,2020-05-08,2.18,2.2,2.1,2.18,347621.0
CRNT,2020-05-11,2.2,2.31,2.18,2.27,546760.0
CRNT,2020-05-12,2.31,2.37,2.22,2.29,623741.0
CRNT,2020-05-13,2.29,2.32,2.12,2.17,520406.0
CRNT,2020-05-14,2.17,2.19,2.07,2.19,423852.0
CRNT,2020-05-15,2.16,2.26,2.13,2.21,270876.0
CRNT,2020-05-18,2.29,2.34,2.08,2.15,1136039.0
CRNT,2020-05-19,2.11,2.29,2.11,2.24,622386.0
CRNT,2020-05-20,2.26,2.36,2.22,2.34,762217.0
CRNT,2020-05-21,2.3,2.37,2.26,2.31,409262.0
CRNT,2020-05-22,2.34,2.35,2.29,2.32,227397.0
CRNT,2020-05-26,2.36,2.41,2.31,2.32,578238.0
CRNT,2020-05-27,2.36,2.39,2.28,2.34,516422.0
CRNT,2020-05-28,2.34,2.36,2.28,2.29,256108.0
CRNT,2020-05-29,2.29,2.35,2.24,2.35,320289.0
CRNT,2020-06-01,2.35,2.44,2.34,2.37,412636.0
CRNT,2020-06-02,2.36,2.39,2.28,2.29,558696.0
CRNT,2020-06-03,2.31,2.34,2.28,2.3,354532.0
CRNT,2020-06-04,2.31,2.34,2.23,2.25,387416.0
CRNT,2020-06-05,2.29,2.29,2.18,2.19,650909.0
CRNT,2020-06-08,2.21,2.31,2.18,2.3,1083340.0
