Ticker,Date,open,high,low,close,volume
CRSP,2020-01-02,60.69,60.7,57.21,59.32,1725262.0
CRSP,2020-01-03,58.01,60.28,57.36,59.44,1393924.0
CRSP,2020-01-06,58.75,60.28,58.11,59.95,1011497.0
CRSP,2020-01-07,59.55,61.14,59.32,60.35,880709.0
CRSP,2020-01-08,60.04,63.01,59.77,62.53,1511198.0
CRSP,2020-01-09,63.9,64.19,61.0,61.9,1162632.0
CRSP,2020-01-10,61.9,63.12,59.48,59.9,1292353.0
CRSP,2020-01-13,60.5,60.64,57.57,58.99,882022.0
CRSP,2020-01-14,58.79,60.33,57.6,59.68,1000577.0
CRSP,2020-01-15,59.93,61.17,59.26,59.56,844728.0
CRSP,2020-01-16,59.95,60.3,58.51,59.63,821422.0
CRSP,2020-01-17,60.13,60.28,57.81,58.33,1116590.0
CRSP,2020-01-21,58.43,59.4,57.3,58.12,1238737.0
CRSP,2020-01-22,58.18,59.32,57.7,58.39,647294.0
CRSP,2020-01-23,58.44,58.44,56.13,56.57,1032641.0
CRSP,2020-01-24,56.75,57.0,53.9,54.75,1225704.0
CRSP,2020-01-27,52.5,54.68,52.0,53.59,837970.0
CRSP,2020-01-28,54.11,55.85,53.61,55.34,845119.0
CRSP,2020-01-29,55.8,55.96,54.07,54.2,871820.0
CRSP,2020-01-30,53.61,53.81,52.01,52.42,951727.0
CRSP,2020-01-31,52.44,52.5,51.39,51.95,943324.0
CRSP,2020-02-03,50.52,52.88,50.5,52.71,889543.0
CRSP,2020-02-04,53.65,54.1,52.92,53.48,858153.0
CRSP,2020-02-05,54.23,55.64,53.25,54.84,900770.0
CRSP,2020-02-06,55.24,55.4,53.47,54.33,684423.0
CRSP,2020-02-07,54.45,54.7,51.92,52.32,1032940.0
CRSP,2020-02-10,52.62,57.09,52.59,56.62,1550633.0
CRSP,2020-02-11,58.14,58.35,55.08,57.0,1554600.0
CRSP,2020-02-12,57.72,58.74,57.33,57.75,997506.0
CRSP,2020-02-13,60.91,61.11,56.54,58.12,2198068.0
CRSP,2020-02-14,58.27,59.05,55.31,55.8,1623829.0
CRSP,2020-02-18,55.82,56.19,53.9,55.69,1037292.0
CRSP,2020-02-19,55.72,58.2,54.54,58.11,1355506.0
CRSP,2020-02-20,58.08,59.45,56.31,56.76,1237173.0
CRSP,2020-02-21,56.69,56.78,52.9,53.03,1155121.0
CRSP,2020-02-24,50.58,52.59,49.5,51.96,1220823.0
CRSP,2020-02-25,52.53,52.97,49.55,49.89,993661.0
CRSP,2020-02-26,49.97,52.7,49.62,50.88,918400.0
CRSP,2020-02-27,48.8,52.48,47.3,49.44,1385142.0
CRSP,2020-02-28,47.52,53.5,47.0,53.45,1641372.0
CRSP,2020-03-02,54.0,54.61,51.71,53.35,758248.0
CRSP,2020-03-03,53.44,54.18,49.62,51.15,927212.0
CRSP,2020-03-04,52.35,53.36,51.37,53.26,765499.0
CRSP,2020-03-05,51.84,53.92,50.66,53.41,1095583.0
CRSP,2020-03-06,52.64,53.33,49.16,50.86,1084096.0
CRSP,2020-03-09,45.75,47.35,44.07,44.3,1269752.0
CRSP,2020-03-10,46.51,47.0,42.28,44.67,901559.0
CRSP,2020-03-11,43.6,45.21,42.66,43.28,817799.0
CRSP,2020-03-12,39.99,41.61,38.0,38.12,1487504.0
