Ticker,Date,open,high,low,close,volume
CRS,2020-01-02,50.25,50.25,48.62,49.48,239746.0
CRS,2020-01-03,48.63,49.26,48.54,48.79,152983.0
CRS,2020-01-06,48.36,49.15,48.09,48.78,230063.0
CRS,2020-01-07,48.17,48.97,48.17,48.5,201502.0
CRS,2020-01-08,48.49,48.89,48.19,48.75,316297.0
CRS,2020-01-09,48.78,48.79,48.03,48.45,180534.0
CRS,2020-01-10,48.35,48.73,47.09,47.27,360130.0
CRS,2020-01-13,47.36,47.74,47.05,47.53,303611.0
CRS,2020-01-14,47.25,48.33,47.13,48.11,309619.0
CRS,2020-01-15,47.85,48.25,46.97,47.28,204456.0
CRS,2020-01-16,47.12,47.63,46.98,47.41,251443.0
CRS,2020-01-17,47.67,47.75,46.27,46.39,212544.0
CRS,2020-01-21,45.87,45.87,43.94,43.98,352472.0
CRS,2020-01-22,43.98,44.25,43.44,43.88,519628.0
CRS,2020-01-23,43.51,43.9,42.23,43.69,473074.0
CRS,2020-01-24,43.82,43.82,42.07,43.0,402934.0
CRS,2020-01-27,42.0,43.52,41.11,42.86,432012.0
CRS,2020-01-28,43.41,43.86,42.8,43.09,550301.0
CRS,2020-01-29,43.12,44.24,43.12,43.76,333632.0
CRS,2020-01-30,42.72,43.87,41.77,42.29,361535.0
CRS,2020-01-31,41.61,41.66,39.49,39.74,480595.0
CRS,2020-02-03,39.92,41.46,39.7,41.05,480976.0
CRS,2020-02-04,42.03,42.84,41.76,42.47,541928.0
CRS,2020-02-05,43.27,44.12,42.88,44.03,470178.0
CRS,2020-02-06,44.54,44.54,43.56,43.8,339883.0
CRS,2020-02-07,43.34,43.38,42.98,43.14,340627.0
CRS,2020-02-10,42.89,43.5,42.75,43.47,283450.0
CRS,2020-02-11,43.74,44.73,43.63,43.95,229731.0
CRS,2020-02-12,44.61,44.84,43.7,43.8,327447.0
CRS,2020-02-13,43.47,43.92,43.22,43.66,201270.0
CRS,2020-02-14,43.74,43.81,42.95,43.34,241867.0
CRS,2020-02-18,43.1,43.46,42.68,42.98,140641.0
CRS,2020-02-19,43.15,43.73,42.94,43.54,209812.0
CRS,2020-02-20,43.28,44.12,43.06,44.05,204727.0
CRS,2020-02-21,43.73,44.35,43.18,43.98,285065.0
CRS,2020-02-24,41.98,42.61,41.66,42.11,216059.0
CRS,2020-02-25,42.32,42.32,40.27,40.33,175837.0
CRS,2020-02-26,40.7,41.6,40.48,40.63,178741.0
CRS,2020-02-27,39.58,40.07,38.02,38.52,326846.0
CRS,2020-02-28,36.99,38.37,36.02,36.75,397083.0
CRS,2020-03-02,37.2,38.22,36.08,38.2,422531.0
CRS,2020-03-03,38.26,39.43,36.72,37.38,257526.0
CRS,2020-03-04,38.34,38.36,37.15,38.17,219799.0
CRS,2020-03-05,36.98,37.47,35.16,35.88,233096.0
CRS,2020-03-06,34.32,35.85,33.83,34.45,297279.0
CRS,2020-03-09,30.0,31.16,28.38,28.5,500243.0
CRS,2020-03-10,30.3,30.3,27.71,28.91,700439.0
CRS,2020-03-11,27.95,28.93,26.41,27.28,613116.0
CRS,2020-03-12,24.33,24.53,21.55,22.6,666511.0
CRS,2020-03-13,24.91,26.72,23.2,26.68,541418.0
CRS,2020-03-16,22.46,23.93,22.0,22.24,461704.0
CRS,2020-03-17,22.62,23.03,20.78,21.39,512109.0
CRS,2020-03-18,19.3,20.03,15.29,16.23,546445.0
CRS,2020-03-19,16.1,17.79,15.14,16.36,987700.0
CRS,2020-03-20,16.8,17.32,14.7,14.87,1026903.0
CRS,2020-03-23,15.2,17.49,13.6,16.49,933112.0
CRS,2020-03-24,17.92,19.36,17.47,19.36,825679.0
CRS,2020-03-25,19.9,21.33,18.29,20.4,725806.0
CRS,2020-03-26,20.63,21.68,19.83,21.15,763678.0
CRS,2020-03-27,20.31,20.38,18.94,19.22,682496.0
CRS,2020-03-30,19.73,19.73,18.11,18.63,914202.0
CRS,2020-03-31,18.75,20.25,18.44,19.5,1257726.0
CRS,2020-04-01,18.75,19.36,18.05,18.35,674167.0
CRS,2020-04-02,18.3,19.68,18.24,18.9,699509.0
CRS,2020-04-03,18.92,19.24,17.58,17.92,658850.0
CRS,2020-04-06,19.21,20.62,19.15,19.78,626922.0
CRS,2020-04-07,20.9,21.94,20.07,20.18,764903.0
CRS,2020-04-08,20.7,22.02,20.4,21.79,435152.0
CRS,2020-04-09,22.9,23.64,22.24,22.83,663162.0
CRS,2020-04-13,22.83,23.03,21.08,21.27,413747.0
CRS,2020-04-14,22.17,22.59,20.47,20.68,456062.0
CRS,2020-04-15,19.44,20.0,18.37,19.26,436304.0
CRS,2020-04-16,19.16,19.16,18.01,18.37,634435.0
CRS,2020-04-17,19.95,20.33,19.38,20.11,439569.0
CRS,2020-04-20,21.07,21.3,18.95,19.22,389135.0
CRS,2020-04-21,18.29,18.88,18.01,18.2,630896.0
CRS,2020-04-22,18.81,18.96,17.91,18.08,419960.0
CRS,2020-04-23,18.18,19.32,18.15,18.2,602574.0
CRS,2020-04-24,18.38,18.9,18.01,18.16,871429.0
CRS,2020-04-27,18.7,20.58,18.28,20.44,868501.0
CRS,2020-04-28,21.41,21.72,20.32,20.97,514921.0
CRS,2020-04-29,22.05,24.28,21.99,23.63,682745.0
CRS,2020-04-30,23.63,24.68,21.98,22.17,749454.0
CRS,2020-05-01,21.83,22.63,20.96,21.42,702320.0
CRS,2020-05-04,20.29,22.51,20.06,21.26,827063.0
CRS,2020-05-05,22.33,23.05,20.6,20.64,416349.0
CRS,2020-05-06,20.57,20.9,19.4,19.46,521154.0
CRS,2020-05-07,19.93,21.28,19.83,20.36,531061.0
CRS,2020-05-08,20.97,21.96,20.97,21.63,607969.0
CRS,2020-05-11,21.05,21.05,19.93,20.2,526880.0
CRS,2020-05-12,20.31,20.6,19.41,19.45,350904.0
CRS,2020-05-13,19.15,19.25,18.21,18.45,490645.0
CRS,2020-05-14,17.8,19.2,17.23,19.07,487152.0
CRS,2020-05-15,19.04,19.61,18.66,19.25,254775.0
CRS,2020-05-18,20.64,21.71,20.3,21.48,523768.0
CRS,2020-05-19,21.18,21.6,20.54,20.57,401119.0
CRS,2020-05-20,21.07,22.79,21.02,22.37,512124.0
CRS,2020-05-21,22.43,22.79,21.69,21.85,518797.0
CRS,2020-05-22,22.15,22.64,21.41,22.44,337237.0
CRS,2020-05-26,23.95,24.36,23.5,23.93,451210.0
CRS,2020-05-27,24.83,25.87,24.63,25.79,593201.0
CRS,2020-05-28,26.01,26.2,23.76,23.95,469462.0
CRS,2020-05-29,23.41,23.8,22.84,23.37,389595.0
CRS,2020-06-01,23.51,24.3,23.33,23.72,364174.0
CRS,2020-06-02,24.48,24.75,24.04,24.2,420454.0
CRS,2020-06-03,24.99,26.98,24.85,26.72,430063.0
CRS,2020-06-04,26.58,27.04,25.51,26.98,475859.0
CRS,2020-06-05,28.91,30.52,28.8,29.27,669262.0
CRS,2020-06-08,30.3,30.86,28.54,28.94,482518.0
CRS,2020-06-09,28.0,28.29,27.24,27.96,357698.0
CRS,2020-06-10,27.63,27.91,25.74,25.97,488132.0
CRS,2020-06-11,23.96,24.85,22.16,22.4,536710.0
CRS,2020-06-12,24.13,24.82,23.32,24.22,429466.0
CRS,2020-06-15,22.95,24.79,22.69,24.58,451754.0
CRS,2020-06-16,26.49,26.92,25.23,25.87,474763.0
CRS,2020-06-17,25.85,26.3,25.37,25.69,317673.0
CRS,2020-06-18,24.91,25.91,24.77,25.29,338409.0
CRS,2020-06-19,25.72,26.34,23.91,24.38,1321366.0
CRS,2020-06-22,24.5,24.65,23.56,24.54,341828.0
CRS,2020-06-23,25.1,25.1,24.02,24.37,377801.0
CRS,2020-06-24,23.69,24.16,22.8,22.99,431052.0
CRS,2020-06-25,22.48,23.62,22.0,23.59,516012.0
CRS,2020-06-26,23.51,23.67,22.26,22.99,646268.0
