Ticker,Date,open,high,low,close,volume
CRWD,2020-01-02,50.03,50.75,49.25,49.44,4427985.0
CRWD,2020-01-03,48.92,51.99,48.79,50.75,11256554.0
CRWD,2020-01-06,51.85,56.17,51.03,55.11,21771072.0
CRWD,2020-01-07,54.55,56.5,54.5,54.75,12638949.0
CRWD,2020-01-08,54.2,55.86,53.3,55.66,7526569.0
CRWD,2020-01-09,56.95,57.25,55.1,55.94,6521874.0
CRWD,2020-01-10,56.49,58.3,56.0,57.2,8155289.0
CRWD,2020-01-13,57.36,59.74,57.0,58.97,7045548.0
CRWD,2020-01-14,59.23,60.66,57.5,59.24,7789240.0
CRWD,2020-01-15,59.23,61.97,59.23,60.25,7973345.0
CRWD,2020-01-16,61.5,62.75,61.0,62.24,6164623.0
CRWD,2020-01-17,63.05,63.7,62.06,63.45,6255850.0
CRWD,2020-01-21,63.02,63.39,61.26,62.24,6086676.0
CRWD,2020-01-22,63.0,64.04,62.3,62.57,4257778.0
CRWD,2020-01-23,62.57,62.66,60.71,61.55,4071701.0
CRWD,2020-01-24,62.0,63.05,57.84,59.25,6580248.0
CRWD,2020-01-27,56.58,58.16,55.31,58.06,4425855.0
CRWD,2020-01-28,58.66,59.64,58.13,59.07,3073983.0
CRWD,2020-01-29,60.0,61.78,59.74,60.26,3483081.0
CRWD,2020-01-30,60.0,62.56,58.94,62.45,4162821.0
CRWD,2020-01-31,62.5,63.0,60.25,61.09,4062159.0
CRWD,2020-02-03,61.13,61.46,59.65,61.08,3706758.0
CRWD,2020-02-04,61.92,64.33,61.15,63.56,4618990.0
CRWD,2020-02-05,64.21,64.8,60.06,61.82,3998594.0
CRWD,2020-02-06,61.6,62.98,60.18,62.19,2259841.0
CRWD,2020-02-07,62.0,63.72,61.82,62.09,3055678.0
CRWD,2020-02-10,62.33,63.86,61.45,63.3,3877454.0
CRWD,2020-02-11,66.0,66.84,63.66,65.19,7978151.0
CRWD,2020-02-12,65.19,65.5,62.72,65.08,5448316.0
CRWD,2020-02-13,64.25,66.2,64.13,65.31,4124467.0
CRWD,2020-02-14,65.81,65.83,63.87,64.85,4202496.0
CRWD,2020-02-18,65.0,66.28,64.55,66.04,4326970.0
CRWD,2020-02-19,66.63,67.56,65.61,66.03,5306912.0
CRWD,2020-02-20,65.7,65.98,60.03,63.38,6179145.0
CRWD,2020-02-21,62.58,62.64,59.26,60.93,4629137.0
CRWD,2020-02-24,56.4,59.25,56.02,58.08,4638814.0
CRWD,2020-02-25,59.5,59.79,56.06,57.74,5337941.0
CRWD,2020-02-26,58.39,60.26,57.51,58.46,4429001.0
CRWD,2020-02-27,56.15,59.45,54.35,57.5,4874094.0
CRWD,2020-02-28,55.6,60.02,55.5,59.64,4450477.0
CRWD,2020-03-02,60.2,60.97,58.0,59.13,4013660.0
CRWD,2020-03-03,59.61,60.73,55.01,56.48,4071468.0
CRWD,2020-03-04,57.18,58.08,56.06,57.2,2320969.0
CRWD,2020-03-05,56.08,57.44,54.55,55.92,3212544.0
CRWD,2020-03-06,54.24,54.87,50.36,51.96,5119948.0
CRWD,2020-03-09,46.81,48.89,45.65,45.74,5816707.0
CRWD,2020-03-10,48.47,48.47,45.0,46.91,4569922.0
CRWD,2020-03-11,45.96,46.3,42.23,42.85,5395728.0
CRWD,2020-03-12,38.6,40.2,35.98,37.82,6636462.0
CRWD,2020-03-13,39.9,40.08,36.59,39.55,5015228.0
CRWD,2020-03-16,36.0,36.0,32.12,33.01,6816301.0
CRWD,2020-03-17,33.93,38.3,31.95,38.01,5664702.0
CRWD,2020-03-18,35.76,41.47,35.5,38.63,6358453.0
CRWD,2020-03-19,40.43,44.49,38.2,41.74,7442733.0
CRWD,2020-03-20,49.96,51.97,46.81,49.01,14253612.0
CRWD,2020-03-23,46.24,53.0,46.01,51.45,11127193.0
CRWD,2020-03-24,54.92,58.65,54.28,57.33,8087964.0
CRWD,2020-03-25,56.0,59.5,55.6,55.78,5517240.0
CRWD,2020-03-26,55.84,59.1,55.04,58.64,5840860.0
CRWD,2020-03-27,57.02,59.87,56.02,58.79,3826133.0
CRWD,2020-03-30,58.81,59.83,56.27,57.72,4449457.0
CRWD,2020-03-31,57.03,60.03,55.26,55.68,4925797.0
CRWD,2020-04-01,54.0,56.55,53.53,54.58,3113910.0
CRWD,2020-04-02,54.51,56.92,54.11,56.69,3058704.0
CRWD,2020-04-03,55.85,59.25,55.85,57.82,4555900.0
CRWD,2020-04-06,59.08,60.53,58.66,59.07,5008134.0
CRWD,2020-04-07,59.45,61.3,57.75,59.6,7472839.0
CRWD,2020-04-08,59.65,60.88,59.05,60.32,4337540.0
CRWD,2020-04-09,60.48,60.79,57.5,58.15,3752874.0
CRWD,2020-04-13,58.0,59.37,57.36,58.77,2867117.0
CRWD,2020-04-14,59.99,62.0,58.5,60.89,6485718.0
CRWD,2020-04-15,59.34,62.64,58.73,61.82,4196854.0
CRWD,2020-04-16,62.0,64.45,61.54,63.45,5002061.0
CRWD,2020-04-17,64.46,65.62,63.25,64.74,4139739.0
CRWD,2020-04-20,64.87,70.2,64.39,68.43,6529901.0
CRWD,2020-04-21,68.66,70.5,62.77,66.07,6950252.0
CRWD,2020-04-22,67.67,69.31,67.23,68.07,3734368.0
CRWD,2020-04-23,68.06,69.96,68.0,68.91,3064956.0
CRWD,2020-04-24,69.0,74.65,68.9,72.0,9725058.0
CRWD,2020-04-27,73.0,75.0,72.02,73.6,4360219.0
CRWD,2020-04-28,74.0,74.71,68.39,70.13,4634072.0
CRWD,2020-04-29,71.0,71.6,68.19,69.28,6111394.0
CRWD,2020-04-30,69.28,69.28,67.12,67.66,2216753.0
