Ticker,Date,open,high,low,close,volume
CSTL,2020-01-02,34.95,34.95,32.51,33.82,38575.0
CSTL,2020-01-03,33.33,34.7,32.51,33.02,127260.0
CSTL,2020-01-06,32.51,36.0,32.51,35.53,125762.0
CSTL,2020-01-07,35.54,36.39,33.94,34.37,114312.0
CSTL,2020-01-08,34.6,35.5,32.4,33.01,149774.0
CSTL,2020-01-09,32.93,33.77,32.47,33.32,95747.0
CSTL,2020-01-10,33.67,34.96,33.03,33.61,139788.0
CSTL,2020-01-13,33.88,34.25,32.61,33.21,69336.0
CSTL,2020-01-14,32.51,33.58,30.3,30.7,83301.0
CSTL,2020-01-15,30.72,32.46,30.72,31.97,67148.0
CSTL,2020-01-16,31.95,34.61,31.52,34.18,74200.0
CSTL,2020-01-17,34.14,34.14,30.7,32.39,123383.0
CSTL,2020-01-21,32.2,32.98,30.16,30.87,125456.0
CSTL,2020-01-22,30.53,32.73,30.02,32.12,165331.0
CSTL,2020-01-23,32.46,32.65,30.53,30.92,94106.0
CSTL,2020-01-24,30.0,30.84,29.55,29.89,115187.0
CSTL,2020-01-27,29.03,30.11,29.03,30.0,56902.0
CSTL,2020-01-28,30.31,30.31,29.32,29.98,174140.0
CSTL,2020-01-29,30.05,30.16,29.25,29.82,129892.0
CSTL,2020-01-30,29.61,30.17,29.21,30.04,86038.0
CSTL,2020-01-31,29.94,31.17,29.68,30.84,215627.0
CSTL,2020-02-03,30.85,32.0,29.53,30.26,165694.0
CSTL,2020-02-04,30.37,31.13,29.2,30.8,73409.0
CSTL,2020-02-05,30.79,31.25,30.55,30.92,89592.0
CSTL,2020-02-06,31.11,31.34,30.22,31.05,143209.0
CSTL,2020-02-07,30.99,31.37,30.38,30.98,78566.0
CSTL,2020-02-10,30.99,31.39,29.61,29.94,125650.0
CSTL,2020-02-11,29.94,30.6,29.51,30.25,161110.0
CSTL,2020-02-12,30.23,31.54,26.39,31.47,289803.0
CSTL,2020-02-13,31.37,32.37,30.99,31.73,177966.0
CSTL,2020-02-14,31.86,32.27,30.76,31.8,82857.0
CSTL,2020-02-18,31.66,32.11,31.0,31.85,73957.0
CSTL,2020-02-19,31.89,33.0,31.33,31.87,133078.0
CSTL,2020-02-20,31.76,33.5,31.0,33.34,100616.0
CSTL,2020-02-21,33.33,33.33,32.35,32.41,104777.0
CSTL,2020-02-24,31.83,32.25,28.83,30.0,95882.0
CSTL,2020-02-25,30.16,32.0,27.0,27.19,118970.0
CSTL,2020-02-26,26.93,28.24,25.92,26.82,126379.0
CSTL,2020-02-27,26.17,30.23,25.92,29.92,167514.0
CSTL,2020-02-28,29.17,32.55,28.93,29.94,198359.0
CSTL,2020-03-02,30.19,32.62,28.71,30.8,142229.0
CSTL,2020-03-03,30.95,31.78,29.19,29.64,150592.0
CSTL,2020-03-04,30.0,32.64,29.96,30.92,244549.0
CSTL,2020-03-05,30.4,32.88,30.1,32.51,178023.0
CSTL,2020-03-06,31.92,32.89,30.7,32.19,123974.0
CSTL,2020-03-09,30.87,32.58,28.46,29.42,105578.0
CSTL,2020-03-10,30.11,32.11,28.85,29.36,138965.0
CSTL,2020-03-11,33.37,33.37,28.9,28.97,582284.0
CSTL,2020-03-12,27.48,30.11,25.65,25.65,146890.0
CSTL,2020-03-13,27.01,27.09,22.25,24.07,209220.0
CSTL,2020-03-16,22.13,23.18,21.01,23.08,198992.0
CSTL,2020-03-17,23.5,29.13,22.84,27.45,133381.0
CSTL,2020-03-18,26.15,28.25,21.85,23.2,111994.0
CSTL,2020-03-19,23.3,27.34,23.3,24.52,112243.0
CSTL,2020-03-20,25.46,29.79,24.6,28.1,920980.0
CSTL,2020-03-23,28.04,29.49,24.51,25.79,144392.0
CSTL,2020-03-24,26.45,28.63,24.98,27.4,281697.0
CSTL,2020-03-25,27.87,28.62,25.23,26.47,189687.0
CSTL,2020-03-26,28.19,30.04,27.0,28.1,251563.0
CSTL,2020-03-27,26.99,31.39,26.52,28.27,253687.0
CSTL,2020-03-30,28.85,30.03,26.99,28.85,148445.0
CSTL,2020-03-31,28.75,30.71,27.87,29.81,135822.0
CSTL,2020-04-01,28.66,30.62,27.32,28.77,155106.0
CSTL,2020-04-02,28.59,28.94,25.71,27.74,124870.0
CSTL,2020-04-03,28.26,28.26,25.07,27.35,105352.0
CSTL,2020-04-06,28.46,30.68,27.5,30.19,129858.0
CSTL,2020-04-07,30.4,31.0,29.1,30.57,103480.0
CSTL,2020-04-08,30.84,31.85,28.26,28.93,63236.0
CSTL,2020-04-09,29.09,29.9,27.8,28.05,132303.0
CSTL,2020-04-13,27.97,29.5,27.42,28.54,65696.0
CSTL,2020-04-14,29.13,30.49,28.62,29.89,102508.0
CSTL,2020-04-15,29.45,30.05,27.55,29.69,115236.0
CSTL,2020-04-16,30.06,30.35,29.16,29.95,85562.0
CSTL,2020-04-17,30.69,31.85,28.84,29.6,133163.0
CSTL,2020-04-20,29.19,31.51,29.19,30.47,130712.0
CSTL,2020-04-21,29.61,30.47,28.83,29.24,109840.0
CSTL,2020-04-22,29.45,29.5,27.67,27.85,60845.0
CSTL,2020-04-23,28.57,29.82,28.13,28.97,136274.0
CSTL,2020-04-24,28.97,29.93,28.63,29.45,164479.0
CSTL,2020-04-27,29.5,29.66,28.11,28.79,183793.0
CSTL,2020-04-28,29.2,29.2,27.5,29.02,118346.0
CSTL,2020-04-29,29.75,30.76,28.67,30.5,217020.0
CSTL,2020-04-30,29.96,31.75,29.2,30.93,86610.0
CSTL,2020-05-01,30.24,31.61,27.99,28.34,138376.0
CSTL,2020-05-04,28.0,28.32,26.13,27.28,150611.0
CSTL,2020-05-05,27.47,29.69,27.37,28.35,141670.0
CSTL,2020-05-06,28.69,29.67,27.89,28.79,145189.0
CSTL,2020-05-07,29.24,31.76,29.0,31.39,127973.0
CSTL,2020-05-08,31.57,32.24,30.45,31.5,124533.0
CSTL,2020-05-11,30.94,32.69,30.88,32.5,274303.0
CSTL,2020-05-12,32.55,37.99,32.11,36.88,1140446.0
CSTL,2020-05-13,36.45,36.7,32.52,34.39,198231.0
CSTL,2020-05-14,33.0,35.98,30.7,35.4,367503.0
CSTL,2020-05-15,35.41,37.5,35.32,37.45,201398.0
CSTL,2020-05-18,38.0,39.0,35.23,35.65,197344.0
CSTL,2020-05-19,35.42,37.29,35.0,36.26,109946.0
CSTL,2020-05-20,36.44,37.58,36.1,37.44,146519.0
CSTL,2020-05-21,38.5,39.6,36.33,37.31,109656.0
CSTL,2020-05-22,37.94,38.32,35.8,37.93,153167.0
CSTL,2020-05-26,38.23,39.79,36.64,37.0,211013.0
CSTL,2020-05-27,37.01,38.46,34.98,38.25,191856.0
CSTL,2020-05-28,38.11,39.3,34.86,38.18,173098.0
CSTL,2020-05-29,38.25,38.63,36.47,38.43,209563.0
CSTL,2020-06-01,38.31,39.21,37.68,38.6,187154.0
CSTL,2020-06-02,38.63,39.08,37.6,38.45,220519.0
CSTL,2020-06-03,38.87,38.89,36.17,36.35,67893.0
CSTL,2020-06-04,36.09,38.19,36.0,37.5,90535.0
CSTL,2020-06-05,37.8,38.66,37.5,37.69,98197.0
CSTL,2020-06-08,37.88,38.0,36.91,37.62,48494.0
CSTL,2020-06-09,37.59,38.9,37.0,38.36,121628.0
CSTL,2020-06-10,38.57,39.01,37.72,38.55,151051.0
CSTL,2020-06-11,37.71,38.11,36.5,36.98,242426.0
CSTL,2020-06-12,37.86,38.09,35.78,37.02,101173.0
CSTL,2020-06-15,36.72,41.24,36.07,38.77,302380.0
CSTL,2020-06-16,39.41,39.91,36.54,38.94,286840.0
CSTL,2020-06-17,39.18,39.58,38.43,38.87,195067.0
CSTL,2020-06-18,38.41,43.36,38.41,42.95,503353.0
CSTL,2020-06-19,42.88,44.53,41.57,42.39,298277.0
CSTL,2020-06-22,42.38,43.2,39.81,41.88,598992.0
CSTL,2020-06-23,40.21,43.62,40.21,43.01,334491.0
CSTL,2020-06-24,43.11,43.11,39.39,39.41,247194.0
CSTL,2020-06-25,38.6,40.74,36.4,37.03,1420065.0
CSTL,2020-06-26,37.14,37.48,34.72,35.09,844431.0
CSTL,2020-06-29,35.24,36.74,35.11,36.21,174047.0
CSTL,2020-06-30,36.14,37.91,35.26,37.69,336103.0
CSTL,2020-07-01,38.5,39.86,37.51,39.12,221583.0
CSTL,2020-07-02,39.56,39.71,38.02,38.47,128794.0
CSTL,2020-07-06,38.64,40.22,38.17,39.71,97665.0
CSTL,2020-07-07,39.63,41.87,39.6,40.88,210110.0
CSTL,2020-07-08,41.2,42.21,40.84,41.99,147816.0
CSTL,2020-07-09,42.1,44.48,42.1,43.84,402253.0
CSTL,2020-07-10,44.22,44.23,41.15,41.75,107520.0
CSTL,2020-07-13,41.71,42.99,41.11,41.5,194498.0
CSTL,2020-07-14,41.14,43.01,40.18,42.97,180988.0
CSTL,2020-07-15,44.15,45.37,43.3,45.1,212226.0
CSTL,2020-07-16,45.06,45.62,42.55,43.03,122066.0
CSTL,2020-07-17,42.99,43.38,42.35,42.99,166396.0
CSTL,2020-07-20,43.37,43.85,42.2,42.6,130572.0
CSTL,2020-07-21,42.78,42.99,40.6,40.82,90828.0
CSTL,2020-07-22,40.86,41.01,38.58,40.05,153885.0
CSTL,2020-07-23,40.04,41.82,39.42,40.11,74823.0
CSTL,2020-07-24,39.5,40.39,37.71,39.04,120056.0
CSTL,2020-07-27,39.55,40.13,38.15,39.88,51154.0
CSTL,2020-07-28,39.76,40.45,39.16,39.65,127195.0
CSTL,2020-07-29,39.87,40.3,38.37,38.75,86563.0
CSTL,2020-07-30,38.63,39.48,37.72,39.3,76021.0
CSTL,2020-07-31,39.13,39.49,37.86,38.72,72888.0
CSTL,2020-08-03,38.84,40.73,36.15,40.32,97808.0
CSTL,2020-08-04,40.54,41.45,40.22,41.36,93536.0
CSTL,2020-08-05,41.68,42.3,41.11,42.18,86369.0
CSTL,2020-08-06,42.4,42.4,40.8,41.65,94658.0
CSTL,2020-08-07,41.11,42.16,41.03,41.8,91315.0
CSTL,2020-08-10,41.82,42.32,41.08,41.54,177546.0
CSTL,2020-08-11,44.01,44.96,38.41,41.85,406716.0
CSTL,2020-08-12,41.86,42.48,39.58,41.88,166808.0
CSTL,2020-08-13,41.78,41.83,40.53,41.05,138697.0
CSTL,2020-08-14,41.04,41.54,40.24,41.32,158764.0
CSTL,2020-08-17,41.53,43.82,40.72,43.67,177577.0
CSTL,2020-08-18,43.75,43.75,42.65,43.59,115204.0
CSTL,2020-08-19,43.56,45.99,43.0,45.79,363094.0
CSTL,2020-08-20,45.85,46.23,45.36,45.52,98242.0
CSTL,2020-08-21,45.46,45.99,45.21,45.78,96785.0
CSTL,2020-08-24,45.97,46.0,44.79,45.59,166159.0
CSTL,2020-08-25,45.85,46.15,45.39,45.86,100450.0
CSTL,2020-08-26,46.0,46.01,45.47,45.8,85686.0
CSTL,2020-08-27,45.71,46.09,44.9,45.8,138526.0
CSTL,2020-08-28,45.77,46.5,45.33,45.56,291090.0
CSTL,2020-08-31,45.49,45.99,43.96,45.73,133595.0
CSTL,2020-09-01,45.75,46.19,45.41,46.1,180108.0
CSTL,2020-09-02,46.01,46.15,44.76,45.82,131820.0
CSTL,2020-09-03,46.2,46.45,45.12,46.27,250427.0
CSTL,2020-09-04,46.5,49.0,43.79,48.05,477406.0
CSTL,2020-09-08,48.07,49.31,45.52,48.68,342731.0
CSTL,2020-09-09,49.3,52.32,48.75,50.09,263566.0
CSTL,2020-09-10,50.71,50.8,48.23,48.99,262170.0
CSTL,2020-09-11,49.69,50.25,48.08,48.6,126930.0
CSTL,2020-09-14,49.41,50.65,49.28,49.56,155585.0
CSTL,2020-09-15,50.0,50.28,48.08,48.48,143533.0
CSTL,2020-09-16,47.29,49.47,46.11,48.04,168524.0
CSTL,2020-09-17,47.5,49.06,47.2,48.58,87241.0
CSTL,2020-09-18,49.21,51.44,48.66,51.04,667794.0
CSTL,2020-09-21,49.65,52.32,48.56,52.03,160312.0
CSTL,2020-09-22,52.4,52.4,50.61,51.4,162232.0
CSTL,2020-09-23,51.5,52.41,50.04,50.29,130038.0
CSTL,2020-09-24,49.64,51.0,49.19,49.75,166122.0
CSTL,2020-09-25,52.19,52.19,49.38,49.62,159792.0
CSTL,2020-09-28,50.8,50.8,49.68,50.0,264206.0
CSTL,2020-09-29,50.12,51.23,49.8,50.53,227854.0
CSTL,2020-09-30,50.41,52.25,50.4,51.45,239234.0
