Ticker,Date,open,high,low,close,volume
CYBR,2020-01-02,118.19,119.8,117.44,118.76,394926.0
CYBR,2020-01-03,117.31,121.02,117.12,120.85,437788.0
CYBR,2020-01-06,120.37,127.98,119.66,126.78,1116364.0
CYBR,2020-01-07,127.71,128.72,125.78,128.08,889335.0
CYBR,2020-01-08,128.16,134.79,128.02,132.77,1406228.0
CYBR,2020-01-09,133.15,137.47,133.15,134.76,1200137.0
CYBR,2020-01-10,135.99,137.18,135.0,136.22,689672.0
CYBR,2020-01-13,137.14,141.47,136.62,141.0,794430.0
CYBR,2020-01-14,140.17,140.17,134.03,136.81,994277.0
CYBR,2020-01-15,136.59,139.69,136.25,137.47,669688.0
CYBR,2020-01-16,138.41,140.74,136.23,140.54,637419.0
CYBR,2020-01-17,140.97,141.3,138.56,140.0,652825.0
CYBR,2020-01-21,139.62,140.96,138.2,139.0,569561.0
CYBR,2020-01-22,140.58,142.67,139.45,139.91,516357.0
CYBR,2020-01-23,139.95,142.08,139.22,140.15,503519.0
CYBR,2020-01-24,141.57,142.99,139.71,140.41,582811.0
CYBR,2020-01-27,134.4,138.62,130.01,137.67,543754.0
CYBR,2020-01-28,138.38,140.88,138.31,140.22,458074.0
CYBR,2020-01-29,141.16,141.91,138.96,139.89,425500.0
CYBR,2020-01-30,139.21,141.51,137.82,141.05,384249.0
CYBR,2020-01-31,140.73,141.67,135.88,138.23,589956.0
CYBR,2020-02-03,138.95,140.38,138.2,138.94,297758.0
CYBR,2020-02-04,140.86,143.99,139.31,142.97,547554.0
CYBR,2020-02-05,144.75,144.9,136.64,138.87,682444.0
CYBR,2020-02-06,139.33,140.54,137.23,139.48,299555.0
CYBR,2020-02-07,139.64,140.43,138.25,138.9,384080.0
CYBR,2020-02-10,138.32,139.33,136.61,138.98,502709.0
CYBR,2020-02-11,140.0,140.45,137.0,138.6,865057.0
CYBR,2020-02-12,124.0,124.0,116.58,119.38,5601921.0
CYBR,2020-02-13,118.5,121.0,115.51,118.2,3470502.0
CYBR,2020-02-14,119.0,119.19,117.0,118.94,952347.0
CYBR,2020-02-18,117.03,120.48,117.01,119.72,817072.0
CYBR,2020-02-19,120.8,121.7,118.14,120.32,1127127.0
CYBR,2020-02-20,120.72,124.42,119.68,122.65,1161744.0
CYBR,2020-02-21,122.46,122.46,119.51,120.89,714639.0
CYBR,2020-02-24,115.08,116.85,113.14,114.88,960343.0
CYBR,2020-02-25,115.59,116.06,109.07,109.64,1060013.0
CYBR,2020-02-26,111.1,112.45,108.41,108.41,693612.0
CYBR,2020-02-27,104.83,109.67,104.0,105.62,962081.0
CYBR,2020-02-28,101.42,106.34,101.0,104.7,998093.0
CYBR,2020-03-02,105.85,107.17,103.35,106.85,635209.0
CYBR,2020-03-03,106.8,107.61,100.26,101.7,963802.0
CYBR,2020-03-04,104.01,106.78,102.88,106.37,630415.0
CYBR,2020-03-05,104.06,105.43,102.05,102.88,658678.0
CYBR,2020-03-06,100.0,102.77,95.48,98.1,883717.0
CYBR,2020-03-09,91.33,94.47,88.1,88.31,936536.0
CYBR,2020-03-10,91.75,93.63,88.59,91.3,808645.0
CYBR,2020-03-11,88.8,90.82,85.3,86.75,686992.0
CYBR,2020-03-12,79.42,86.32,77.79,78.6,969401.0
CYBR,2020-03-13,82.39,84.86,77.33,82.98,744361.0
CYBR,2020-03-16,73.46,79.59,71.51,75.5,823912.0
CYBR,2020-03-17,76.55,83.4,71.23,83.11,843454.0
CYBR,2020-03-18,77.14,80.45,69.51,72.78,745432.0
CYBR,2020-03-19,72.17,77.98,71.04,75.54,670095.0
CYBR,2020-03-20,76.1,80.67,74.89,76.77,808647.0
CYBR,2020-03-23,76.68,77.19,73.16,76.84,1099796.0
CYBR,2020-03-24,81.75,87.25,79.7,86.95,808069.0
CYBR,2020-03-25,86.57,93.5,85.48,90.09,639410.0
CYBR,2020-03-26,90.88,94.62,89.87,93.37,648044.0
CYBR,2020-03-27,91.71,91.93,87.05,89.08,340000.0
CYBR,2020-03-30,90.0,90.43,85.03,86.76,638544.0
CYBR,2020-03-31,86.04,91.06,84.85,85.56,589615.0
CYBR,2020-04-01,82.81,83.49,78.9,79.94,419989.0
