Ticker,Date,open,high,low,close,volume
DD,2020-01-02,64.8,65.16,63.48,63.5,5574058.0
DD,2020-01-03,62.75,62.95,61.88,62.16,6005592.0
DD,2020-01-06,61.88,62.47,61.7,61.72,5619176.0
DD,2020-01-07,61.92,61.92,60.36,60.77,9196902.0
DD,2020-01-08,61.38,61.8,60.86,61.5,6362729.0
DD,2020-01-09,61.46,61.79,60.87,60.95,5572279.0
DD,2020-01-10,61.11,61.24,59.55,59.71,6603219.0
DD,2020-01-13,59.54,60.42,59.31,60.4,8088729.0
DD,2020-01-14,60.55,60.94,59.67,60.17,7003790.0
DD,2020-01-15,60.17,62.09,60.02,61.14,5748653.0
DD,2020-01-16,61.41,62.51,61.13,61.7,8622075.0
DD,2020-01-17,61.85,62.03,61.21,61.56,7188424.0
DD,2020-01-21,61.42,61.91,61.21,61.78,6843153.0
DD,2020-01-22,61.72,61.8,60.47,60.78,5447464.0
DD,2020-01-23,60.76,60.92,60.01,60.54,5122986.0
DD,2020-01-24,60.54,60.59,59.29,59.39,4405344.0
DD,2020-01-27,58.21,58.49,57.37,57.39,6733913.0
DD,2020-01-28,57.84,58.41,57.57,57.94,4919740.0
DD,2020-01-29,58.16,58.89,57.57,57.69,4829739.0
DD,2020-01-30,55.24,55.31,51.72,52.72,22861018.0
DD,2020-01-31,52.2,52.33,50.94,51.18,11621077.0
DD,2020-02-03,51.46,52.08,50.8,51.81,11306104.0
DD,2020-02-04,52.43,53.06,51.86,52.7,9403565.0
DD,2020-02-05,53.27,54.48,52.76,54.08,9275798.0
DD,2020-02-06,54.5,54.5,53.18,53.81,7749921.0
DD,2020-02-07,53.27,53.34,52.13,52.55,5476044.0
DD,2020-02-10,52.31,52.7,51.49,51.78,5506180.0
DD,2020-02-11,52.1,53.6,52.08,52.69,5608968.0
DD,2020-02-12,52.91,53.87,52.88,53.55,3871971.0
DD,2020-02-13,53.16,53.65,52.73,53.27,4241895.0
DD,2020-02-14,53.35,53.64,52.63,53.1,5914394.0
DD,2020-02-18,53.42,54.05,52.57,53.44,8328465.0
DD,2020-02-19,53.65,53.94,53.29,53.5,6395463.0
DD,2020-02-20,53.25,53.65,52.26,52.55,4971916.0
DD,2020-02-21,52.22,52.62,52.02,52.43,4033527.0
DD,2020-02-24,50.6,50.99,49.6,50.45,7087787.0
DD,2020-02-25,50.5,50.5,47.02,47.47,10657867.0
DD,2020-02-26,48.25,48.29,46.64,47.26,9556179.0
DD,2020-02-27,45.82,47.17,45.03,45.07,8843584.0
DD,2020-02-28,43.12,43.7,42.06,42.9,13572098.0
DD,2020-03-02,43.06,44.99,42.51,44.95,9803712.0
DD,2020-03-03,44.92,46.26,43.47,43.64,10211130.0
DD,2020-03-04,44.6,44.6,42.47,44.16,15079821.0
DD,2020-03-05,42.63,43.75,42.27,42.42,8795391.0
DD,2020-03-06,41.04,42.12,39.91,40.5,14571897.0
DD,2020-03-09,36.97,37.93,35.01,35.15,16269512.0
DD,2020-03-10,37.01,38.24,35.97,38.12,9931371.0
DD,2020-03-11,36.63,37.61,36.07,36.66,10566314.0
DD,2020-03-12,34.3,35.52,32.93,33.28,12437148.0
DD,2020-03-13,35.32,37.17,34.18,37.1,10537274.0
DD,2020-03-16,32.9,35.97,31.63,34.25,9270472.0
DD,2020-03-17,35.08,37.29,33.27,36.01,8886159.0
DD,2020-03-18,33.45,34.75,29.06,32.06,8937106.0
DD,2020-03-19,31.74,33.63,30.12,31.66,6826312.0
DD,2020-03-20,32.53,33.99,30.28,31.47,9584985.0
DD,2020-03-23,30.35,31.08,28.33,28.46,7300024.0
DD,2020-03-24,30.36,32.86,30.0,32.46,10167938.0
DD,2020-03-25,32.75,35.44,31.63,33.23,7815314.0
DD,2020-03-26,33.53,36.13,32.51,35.95,8622862.0
DD,2020-03-27,34.13,34.8,33.14,33.83,5997180.0
DD,2020-03-30,33.29,33.8,32.1,33.62,6378119.0
DD,2020-03-31,35.17,36.63,33.9,34.1,8274794.0
DD,2020-04-01,32.39,33.52,32.25,32.52,7712581.0
DD,2020-04-02,32.48,34.35,31.89,32.51,6649071.0
DD,2020-04-03,32.49,33.47,31.52,31.87,5357119.0
DD,2020-04-06,33.99,35.63,33.48,35.39,7307638.0
DD,2020-04-07,37.55,38.75,37.16,37.26,9583431.0
DD,2020-04-08,37.75,39.18,37.17,38.86,6819668.0
DD,2020-04-09,40.2,41.55,39.87,40.78,9293705.0
DD,2020-04-13,40.21,40.42,37.96,38.32,5924598.0
DD,2020-04-14,39.46,40.04,38.15,38.43,4801364.0
DD,2020-04-15,37.09,37.14,35.5,35.57,5471838.0
DD,2020-04-16,35.63,36.32,34.83,36.22,5324823.0
DD,2020-04-17,37.49,38.76,37.33,38.36,7131233.0
DD,2020-04-20,38.88,40.65,38.36,39.72,7998816.0
DD,2020-04-21,38.54,39.44,38.28,39.07,5031190.0
DD,2020-04-22,40.02,40.4,39.31,39.87,3728603.0
DD,2020-04-23,40.16,41.98,40.01,41.2,5083573.0
DD,2020-04-24,41.7,42.24,41.02,41.9,5332198.0
DD,2020-04-27,42.25,44.29,42.06,43.82,5664940.0
DD,2020-04-28,45.0,47.0,45.0,46.41,9603391.0
DD,2020-04-29,47.89,49.13,47.56,48.17,8298339.0
DD,2020-04-30,47.09,48.1,46.54,47.02,6973447.0
DD,2020-05-01,46.02,46.82,44.81,45.07,4583095.0
DD,2020-05-04,44.51,44.77,43.63,44.72,5797663.0
DD,2020-05-05,45.98,47.17,44.4,44.69,7990834.0
DD,2020-05-06,44.8,45.58,43.85,44.04,5608464.0
DD,2020-05-07,44.46,45.3,44.36,44.76,4262957.0
DD,2020-05-08,45.29,47.05,45.04,46.93,4776730.0
DD,2020-05-11,46.08,46.62,45.01,46.2,4656950.0
DD,2020-05-12,46.48,47.56,45.65,45.68,3936708.0
DD,2020-05-13,45.12,45.34,43.38,43.9,4420946.0
DD,2020-05-14,42.9,45.29,41.83,45.25,7872813.0
DD,2020-05-15,44.76,45.84,44.4,45.45,2926657.0
DD,2020-05-18,47.15,48.58,47.08,48.1,11274332.0
DD,2020-05-19,47.8,48.91,46.78,47.78,6162424.0
DD,2020-05-20,48.63,49.17,48.46,48.87,5417055.0
DD,2020-05-21,48.84,49.87,48.31,48.87,6392304.0
DD,2020-05-22,48.49,48.83,47.7,48.69,2958726.0
DD,2020-05-26,50.35,51.12,50.06,50.37,5998522.0
DD,2020-05-27,50.97,51.73,49.26,49.46,6723671.0
DD,2020-05-28,49.76,51.09,48.24,50.5,7270539.0
DD,2020-05-29,50.21,50.85,49.43,50.73,6564786.0
DD,2020-06-01,50.34,51.1,50.05,50.88,5504488.0
DD,2020-06-02,50.95,52.65,50.82,52.65,7516336.0
DD,2020-06-03,53.36,55.07,53.26,54.58,6853052.0
DD,2020-06-04,54.15,55.05,54.08,54.98,3941866.0
DD,2020-06-05,56.09,58.67,56.0,56.14,11223840.0
DD,2020-06-08,56.62,57.25,55.82,57.04,7314953.0
DD,2020-06-09,55.94,57.07,55.3,55.93,6118524.0
DD,2020-06-10,55.93,56.01,53.62,53.68,8753651.0
DD,2020-06-11,51.12,52.17,49.14,49.98,8205799.0
DD,2020-06-12,52.17,52.24,49.79,51.01,5708775.0
DD,2020-06-15,49.4,52.38,49.01,51.99,5641385.0
