Ticker,Date,open,high,low,close,volume
DOCU,2020-01-02,74.31,76.83,74.11,75.9,2042562.0
DOCU,2020-01-03,74.87,75.81,73.68,75.56,1255463.0
DOCU,2020-01-06,74.38,75.46,73.72,75.39,2271257.0
DOCU,2020-01-07,75.67,75.67,74.01,75.24,2292843.0
DOCU,2020-01-08,75.13,76.9,74.81,76.27,3421473.0
DOCU,2020-01-09,76.49,77.01,75.53,75.8,1850848.0
DOCU,2020-01-10,75.55,75.85,74.36,74.83,2317253.0
DOCU,2020-01-13,73.69,74.83,72.81,74.15,1617136.0
DOCU,2020-01-14,73.96,74.36,71.68,72.8,2158944.0
DOCU,2020-01-15,73.0,75.14,72.72,73.03,1528836.0
DOCU,2020-01-16,73.2,74.09,72.63,73.08,1148299.0
DOCU,2020-01-17,73.43,73.71,72.27,72.53,1958335.0
DOCU,2020-01-21,72.35,74.83,72.04,73.13,1935941.0
DOCU,2020-01-22,73.7,75.19,73.7,74.42,1799050.0
DOCU,2020-01-23,74.61,74.74,73.15,74.33,1823944.0
DOCU,2020-01-24,74.72,75.98,73.09,74.18,1399607.0
DOCU,2020-01-27,72.41,73.29,70.55,72.77,1584305.0
DOCU,2020-01-28,73.06,75.2,72.78,74.93,1169360.0
DOCU,2020-01-29,75.3,77.77,74.93,76.92,2616267.0
DOCU,2020-01-30,76.7,79.26,76.27,79.11,2672817.0
DOCU,2020-01-31,78.83,80.26,77.16,78.51,2503001.0
DOCU,2020-02-03,79.1,80.74,79.04,80.63,1735051.0
DOCU,2020-02-04,81.46,83.2,80.46,82.02,2372699.0
DOCU,2020-02-05,82.91,83.3,79.93,80.74,1584756.0
DOCU,2020-02-06,80.7,82.0,80.59,81.44,825594.0
DOCU,2020-02-07,81.44,84.04,80.89,83.16,1517373.0
DOCU,2020-02-10,82.95,85.08,82.87,84.61,1839683.0
DOCU,2020-02-11,84.86,85.98,84.26,85.33,1125408.0
DOCU,2020-02-12,87.18,87.41,84.24,87.33,1623997.0
DOCU,2020-02-13,87.11,88.48,86.92,88.03,1770356.0
DOCU,2020-02-14,88.43,89.6,88.0,89.41,1122289.0
DOCU,2020-02-18,88.83,91.02,88.5,90.76,1167931.0
DOCU,2020-02-19,91.68,92.55,90.86,91.49,1599537.0
DOCU,2020-02-20,91.78,92.52,87.51,90.31,1806598.0
DOCU,2020-02-21,89.99,91.11,87.08,88.73,2239810.0
DOCU,2020-02-24,83.61,87.0,80.14,86.37,2206591.0
DOCU,2020-02-25,87.39,88.09,82.67,83.06,1962714.0
DOCU,2020-02-26,83.12,86.46,82.83,83.58,1909059.0
DOCU,2020-02-27,80.19,86.44,76.18,83.21,2854879.0
DOCU,2020-02-28,80.11,86.88,79.89,86.31,3016017.0
DOCU,2020-03-02,87.39,88.54,84.81,87.96,2521741.0
DOCU,2020-03-03,87.77,88.37,83.5,85.81,1965169.0
DOCU,2020-03-04,87.48,89.55,85.87,89.55,1988432.0
DOCU,2020-03-05,88.07,90.73,87.66,88.6,2102470.0
DOCU,2020-03-06,87.1,87.78,81.25,84.02,2573883.0
DOCU,2020-03-09,77.18,80.97,75.26,77.63,3110393.0
DOCU,2020-03-10,80.0,80.0,75.3,79.82,2338799.0
DOCU,2020-03-11,78.54,80.35,74.06,75.0,2712224.0
DOCU,2020-03-12,68.35,71.7,64.88,68.68,4354276.0
DOCU,2020-03-13,75.02,79.59,70.02,77.32,6006373.0
DOCU,2020-03-16,68.88,85.75,66.12,72.31,7014971.0
DOCU,2020-03-17,73.07,75.63,68.52,70.94,5056813.0
DOCU,2020-03-18,66.8,77.19,65.61,76.61,4420544.0
DOCU,2020-03-19,76.53,83.46,74.52,75.88,5673495.0
DOCU,2020-03-20,77.0,82.06,75.31,79.7,6081575.0
