Ticker,Date,open,high,low,close,volume
EVK,2020-01-02,1.52,1.67,1.52,1.67,1926.0
EVK,2020-01-03,0.0,0.0,0.0,1.67,63.0
EVK,2020-01-06,1.65,1.66,1.65,1.66,5318.0
EVK,2020-01-07,1.59,1.65,1.53,1.65,1475.0
EVK,2020-01-08,1.65,1.67,1.65,1.66,1236.0
EVK,2020-01-09,0.0,0.0,0.0,1.66,9.0
EVK,2020-01-10,1.5,1.5,1.5,1.5,456.0
EVK,2020-01-13,1.4,1.4,1.4,1.4,876.0
EVK,2020-01-14,1.43,1.43,1.4,1.4,1684.0
EVK,2020-01-15,1.45,1.5,1.45,1.48,1478.0
EVK,2020-01-16,0.0,0.0,0.0,1.48,7.0
EVK,2020-01-17,1.36,1.36,1.36,1.36,337.0
EVK,2020-01-21,1.4,1.4,1.33,1.33,9550.0
EVK,2020-01-22,1.33,1.33,1.33,1.33,401.0
EVK,2020-01-23,1.37,1.37,1.37,1.37,246.0
EVK,2020-01-24,1.33,1.33,1.32,1.32,484.0
EVK,2020-01-27,1.33,1.33,1.33,1.33,126.0
EVK,2020-01-28,0.0,0.0,0.0,1.33,9.0
EVK,2020-01-29,1.35,1.35,1.35,1.35,289.0
EVK,2020-01-30,0.0,0.0,0.0,1.35,2.0
EVK,2020-01-31,1.36,1.36,1.36,1.36,200.0
EVK,2020-02-03,0.0,0.0,0.0,1.36,20.0
EVK,2020-02-04,0.0,0.0,0.0,1.36,67.0
EVK,2020-02-05,1.52,1.52,1.52,1.52,284.0
EVK,2020-02-06,1.37,1.37,1.37,1.37,454.0
EVK,2020-02-07,0.0,0.0,0.0,1.37,239.0
EVK,2020-02-10,1.4,1.4,1.4,1.4,2158.0
EVK,2020-02-11,1.4,1.4,1.4,1.4,191.0
EVK,2020-02-12,0.0,0.0,0.0,1.4,37.0
EVK,2020-02-13,1.35,1.41,1.35,1.41,678.0
EVK,2020-02-14,0.0,0.0,0.0,1.41,2.0
EVK,2020-02-18,0.0,0.0,0.0,1.41,1.0
EVK,2020-02-19,0.0,0.0,0.0,1.41,7.0
EVK,2020-02-20,1.35,1.39,1.35,1.39,486.0
EVK,2020-02-21,0.0,0.0,0.0,1.39,27.0
EVK,2020-02-24,1.35,1.35,1.33,1.33,490.0
EVK,2020-02-25,1.33,1.33,1.33,1.33,691.0
EVK,2020-02-26,0.0,0.0,0.0,1.33,47.0
EVK,2020-02-27,0.0,0.0,0.0,1.33,2.0
EVK,2020-02-28,1.33,1.33,1.33,1.33,590.0
EVK,2020-03-02,1.32,1.32,1.32,1.32,240.0
EVK,2020-03-03,0.0,0.0,0.0,1.32,38.0
EVK,2020-03-04,0.0,0.0,0.0,1.32,120.0
EVK,2020-03-05,0.0,0.0,0.0,1.32,43.0
EVK,2020-03-06,1.32,1.32,1.32,1.32,735.0
EVK,2020-03-09,1.32,1.32,1.32,1.32,144.0
EVK,2020-03-10,1.34,1.36,1.34,1.36,1907.0
EVK,2020-03-11,1.37,1.37,1.37,1.37,553.0
EVK,2020-03-12,0.0,0.0,0.0,1.37,1.0
EVK,2020-03-13,1.25,1.25,1.25,1.25,1244.0
EVK,2020-03-16,0.0,0.0,0.0,1.25,85.0
EVK,2020-03-17,0.0,0.0,0.0,1.25,56.0
EVK,2020-03-18,1.01,1.01,1.01,1.01,139.0
EVK,2020-03-19,0.0,0.0,0.0,1.01,0.0
EVK,2020-03-20,1.05,1.05,1.01,1.01,518.0
EVK,2020-03-23,0.0,0.0,0.0,1.01,14.0
EVK,2020-03-24,0.0,0.0,0.0,1.01,16.0
EVK,2020-03-25,0.0,0.0,0.0,1.01,61.0
EVK,2020-03-26,1.0,1.15,1.0,1.15,679.0
EVK,2020-03-27,1.09,1.09,1.08,1.08,1070.0
EVK,2020-03-30,0.0,0.0,0.0,1.08,11.0
EVK,2020-03-31,1.03,1.03,1.03,1.03,737.0
EVK,2020-04-01,0.0,0.0,0.0,1.03,77.0
EVK,2020-04-02,0.0,0.0,0.0,1.03,4.0
EVK,2020-04-03,0.0,0.0,0.0,1.03,3.0
EVK,2020-04-06,0.0,0.0,0.0,1.03,35.0
EVK,2020-04-07,1.07,1.07,1.07,1.07,201.0
EVK,2020-04-08,1.15,1.15,1.0,1.04,2185.0
EVK,2020-04-09,0.0,0.0,0.0,1.04,99.0
EVK,2020-04-13,1.0,1.07,1.0,1.07,1468.0
EVK,2020-04-14,1.1,1.1,1.05,1.05,482.0
EVK,2020-04-15,1.12,1.46,1.05,1.07,50730.0
EVK,2020-04-16,1.04,1.11,0.86,0.9548,20103.0
EVK,2020-04-17,0.98,1.09,0.683,0.724,48129.0
EVK,2020-04-20,0.7602,0.9,0.76,0.85,35733.0
EVK,2020-04-21,0.81,0.81,0.67,0.7377,49941.0
EVK,2020-04-22,0.8256,0.8256,0.69,0.75,25715.0
EVK,2020-04-23,0.7244,0.75,0.6912,0.74,4996.0
EVK,2020-04-24,0.73,0.74,0.6948,0.74,5387.0
EVK,2020-04-27,0.7617,0.7617,0.6946,0.76,21115.0
EVK,2020-04-28,0.76,0.77,0.7549,0.77,10225.0
EVK,2020-04-29,0.8143,0.98,0.7136,0.78,47771.0
EVK,2020-04-30,0.8,0.84,0.7303,0.7812,6608.0
EVK,2020-05-01,0.82,0.836,0.81,0.82,6307.0
EVK,2020-05-04,0.8212,0.98,0.8001,0.8001,6511.0
EVK,2020-05-05,0.98,0.98,0.82,0.9157,15737.0
EVK,2020-05-06,0.82,0.8602,0.75,0.8382,20248.0
EVK,2020-05-07,0.83,0.83,0.75,0.7876,1862.0
EVK,2020-05-08,0.76,0.798,0.75,0.75,12703.0
EVK,2020-05-11,0.79,0.8001,0.79,0.7991,9785.0
EVK,2020-05-12,0.77,0.79,0.77,0.79,684.0
EVK,2020-05-13,0.82,0.82,0.7201,0.7423,12225.0
EVK,2020-05-14,0.0,0.0,0.0,0.7423,840.0
EVK,2020-05-15,0.72,0.8147,0.6815,0.69,29011.0
EVK,2020-05-18,0.7,0.78,0.698,0.735,2641.0
EVK,2020-05-19,0.735,0.779,0.69,0.7575,2452.0
EVK,2020-05-20,0.68,0.77,0.6068,0.65,4739.0
EVK,2020-05-21,0.779,0.779,0.6502,0.749,11782.0
EVK,2020-05-22,0.738,0.738,0.6501,0.6501,3925.0
EVK,2020-05-26,0.6502,0.66,0.6502,0.66,1915.0
EVK,2020-05-27,0.693,0.71,0.67,0.71,4107.0
EVK,2020-05-28,0.7356,0.7356,0.7325,0.7325,1950.0
EVK,2020-05-29,0.6185,0.74,0.6185,0.7197,2783.0
EVK,2020-06-01,0.738,0.738,0.6799,0.6799,2408.0
EVK,2020-06-02,0.7389,0.7389,0.67,0.672,2430.0
EVK,2020-06-03,0.67,0.71,0.67,0.7035,7124.0
EVK,2020-06-04,0.75,0.75,0.71,0.72,11607.0
EVK,2020-06-05,0.69,0.77,0.69,0.7493,4615.0
EVK,2020-06-08,0.71,0.8881,0.71,0.87,22930.0
EVK,2020-06-09,0.87,1.22,0.85,1.12,84043.0
EVK,2020-06-10,1.0,1.05,0.75,0.94,48079.0
EVK,2020-06-11,0.76,0.93,0.76,0.9099,7372.0
EVK,2020-06-12,1.05,3.25,0.85,1.26,1304905.0
EVK,2020-06-15,1.22,2.27,1.22,1.52,469720.0
EVK,2020-06-16,1.55,1.88,1.25,1.34,126757.0
EVK,2020-06-17,1.34,1.39,0.95,1.19,166319.0
EVK,2020-06-18,1.2,1.2,0.98,1.04,29093.0
EVK,2020-06-19,1.1,1.26,1.01,1.17,83244.0
EVK,2020-06-22,1.2,1.37,1.17,1.24,150734.0
EVK,2020-06-23,1.25,1.25,1.1,1.15,29267.0
EVK,2020-06-24,1.19,1.85,1.11,1.11,307297.0
EVK,2020-06-25,1.16,1.4,1.15,1.21,84233.0
EVK,2020-06-26,1.23,1.35,1.2,1.25,72498.0
EVK,2020-06-29,1.1,1.19,0.9751,1.04,71048.0
EVK,2020-06-30,1.13,1.18,1.05,1.05,15468.0
EVK,2020-07-01,1.04,1.06,0.9501,0.9841,31577.0
EVK,2020-07-02,0.9574,1.07,0.9574,0.9901,25623.0
EVK,2020-07-06,1.1,1.44,0.96,1.2,125503.0
EVK,2020-07-07,1.13,1.2,1.02,1.14,61155.0
EVK,2020-07-08,1.14,1.37,1.07,1.28,131981.0
EVK,2020-07-09,1.31,1.31,1.1,1.1,47537.0
EVK,2020-07-10,1.18,1.21,1.07,1.19,83802.0
EVK,2020-07-13,1.16,1.21,1.08,1.18,65725.0
EVK,2020-07-14,1.16,1.17,1.1,1.12,15957.0
EVK,2020-07-15,1.18,1.3,1.11,1.3,72809.0
EVK,2020-07-16,1.22,1.37,1.2,1.27,55628.0
EVK,2020-07-17,1.27,1.28,1.23,1.25,19614.0
EVK,2020-07-20,1.18,1.26,1.15,1.23,25611.0
EVK,2020-07-21,1.22,1.37,1.2,1.32,61984.0
EVK,2020-07-22,1.38,1.47,1.32,1.37,41801.0
EVK,2020-07-23,1.36,1.39,1.18,1.2,47377.0
EVK,2020-07-24,1.19,1.26,1.19,1.2,20255.0
EVK,2020-07-27,1.21,1.25,1.15,1.22,25966.0
EVK,2020-07-28,1.22,1.24,1.07,1.11,70728.0
EVK,2020-07-29,1.11,1.12,1.03,1.06,27425.0
EVK,2020-07-30,1.05,1.2,1.04,1.07,83752.0
EVK,2020-07-31,1.16,1.17,1.01,1.13,142150.0
EVK,2020-08-03,1.08,1.15,1.07,1.15,9002.0
