Ticker,Date,open,high,low,close,volume
EXAS,2020-01-02,93.47,96.44,92.75,95.58,1520631.0
EXAS,2020-01-03,94.2,95.3,92.49,94.94,1259437.0
EXAS,2020-01-06,94.01,99.75,94.0,99.59,2007094.0
EXAS,2020-01-07,100.56,102.35,99.15,100.22,2457583.0
EXAS,2020-01-08,100.01,102.36,99.24,101.25,1627149.0
EXAS,2020-01-09,102.0,104.01,100.2,103.55,2161116.0
EXAS,2020-01-10,104.66,105.56,103.66,104.44,2377723.0
EXAS,2020-01-13,95.51,95.95,90.0,90.16,7541786.0
EXAS,2020-01-14,91.5,94.2,90.14,93.0,3713547.0
EXAS,2020-01-15,93.3,94.98,89.3,89.69,2915529.0
EXAS,2020-01-16,90.45,92.55,89.33,89.78,2949043.0
EXAS,2020-01-17,90.01,90.4,86.85,88.06,2971947.0
EXAS,2020-01-21,87.99,88.19,85.66,85.9,2599261.0
EXAS,2020-01-22,87.19,96.2,87.1,94.96,4403973.0
EXAS,2020-01-23,94.49,94.49,90.91,92.18,2214460.0
EXAS,2020-01-24,92.42,92.73,87.7,89.57,1931875.0
EXAS,2020-01-27,87.77,89.15,86.05,87.93,2302675.0
EXAS,2020-01-28,88.64,91.28,87.78,90.71,1354720.0
EXAS,2020-01-29,90.87,92.45,90.1,91.03,1294153.0
EXAS,2020-01-30,90.0,93.98,89.45,93.58,1087606.0
EXAS,2020-01-31,93.09,93.67,90.27,93.28,1024944.0
EXAS,2020-02-03,93.36,95.06,93.12,94.56,980185.0
EXAS,2020-02-04,95.61,98.03,95.27,97.35,1140354.0
EXAS,2020-02-05,98.16,98.38,95.0,95.88,1162433.0
EXAS,2020-02-06,96.5,97.0,94.88,94.95,680792.0
EXAS,2020-02-07,95.0,97.24,94.99,95.28,861104.0
EXAS,2020-02-10,96.4,96.96,94.59,96.87,1387108.0
EXAS,2020-02-11,97.25,97.75,93.92,94.83,1771064.0
EXAS,2020-02-12,93.57,97.48,92.87,95.85,3434607.0
EXAS,2020-02-13,94.82,95.35,91.61,94.76,1455389.0
EXAS,2020-02-14,95.21,98.63,94.59,98.18,1477898.0
EXAS,2020-02-18,98.21,99.63,96.86,99.6,1394388.0
EXAS,2020-02-19,100.0,103.13,99.72,102.52,1584789.0
EXAS,2020-02-20,102.66,103.22,99.52,102.64,1290424.0
EXAS,2020-02-21,102.05,102.4,99.4,99.98,1035419.0
EXAS,2020-02-24,95.2,97.45,93.32,95.56,1767359.0
EXAS,2020-02-25,88.25,89.14,83.9,86.54,8399513.0
EXAS,2020-02-26,86.7,87.75,79.2,80.76,5029453.0
EXAS,2020-02-27,79.0,83.75,77.56,80.82,4786119.0
EXAS,2020-02-28,77.54,82.78,77.27,80.95,3250764.0
EXAS,2020-03-02,81.81,82.76,74.33,77.43,3809881.0
EXAS,2020-03-03,77.5,77.75,71.6,71.61,4222313.0
EXAS,2020-03-04,74.09,75.44,72.0,75.0,2742792.0
EXAS,2020-03-05,73.33,74.75,69.74,70.06,2523550.0
EXAS,2020-03-06,68.0,68.12,63.9,65.58,7124426.0
EXAS,2020-03-09,56.11,66.09,55.02,64.04,4379596.0
EXAS,2020-03-10,66.38,66.96,62.3,64.91,2811699.0
EXAS,2020-03-11,63.57,63.81,57.5,57.82,2910163.0
EXAS,2020-03-12,50.74,56.89,50.0,51.51,4159115.0
EXAS,2020-03-13,55.17,56.25,50.46,55.22,2848520.0
EXAS,2020-03-16,48.08,49.56,42.05,42.41,3347941.0
EXAS,2020-03-17,43.15,47.77,38.37,42.47,4461903.0
EXAS,2020-03-18,39.41,41.52,35.25,37.9,3066219.0
EXAS,2020-03-19,37.8,50.81,35.41,50.21,4004200.0
EXAS,2020-03-20,52.54,54.93,49.24,51.61,4608555.0
EXAS,2020-03-23,50.34,53.92,46.72,47.19,2831106.0
EXAS,2020-03-24,50.08,55.0,47.38,54.79,2977183.0
EXAS,2020-03-25,55.67,63.06,55.5,61.23,3025903.0
EXAS,2020-03-26,61.19,64.93,57.51,60.89,2702052.0
EXAS,2020-03-27,59.88,60.03,56.72,57.9,1848542.0
EXAS,2020-03-30,57.8,59.36,56.58,58.43,2079628.0
EXAS,2020-03-31,58.51,59.23,57.34,58.0,1625929.0
EXAS,2020-04-01,55.79,56.71,53.66,55.88,1932526.0
EXAS,2020-04-02,56.18,60.2,55.36,57.6,1989363.0
EXAS,2020-04-03,56.71,57.6,54.77,55.75,1694585.0
EXAS,2020-04-06,58.95,62.7,58.7,62.27,1691827.0
EXAS,2020-04-07,65.24,66.46,61.05,62.6,2172532.0
EXAS,2020-04-08,63.44,66.55,61.6,66.37,1960865.0
EXAS,2020-04-09,68.05,69.53,66.62,67.06,1814785.0
EXAS,2020-04-13,66.69,67.21,63.32,65.07,1053412.0
EXAS,2020-04-14,66.65,69.35,65.79,66.68,1321039.0
EXAS,2020-04-15,64.54,67.22,63.8,66.82,1230265.0
EXAS,2020-04-16,67.72,71.82,67.31,71.42,1700488.0
EXAS,2020-04-17,73.36,75.63,70.81,74.65,3834411.0
EXAS,2020-04-20,74.12,80.36,73.47,77.36,2707123.0
EXAS,2020-04-21,76.15,77.65,72.53,76.51,1925542.0
EXAS,2020-04-22,78.0,78.3,73.03,74.05,1843322.0
EXAS,2020-04-23,74.88,76.35,73.32,74.7,1278529.0
EXAS,2020-04-24,74.85,75.9,71.7,75.46,1831720.0
EXAS,2020-04-27,76.03,80.7,74.82,80.27,1997021.0
EXAS,2020-04-28,79.5,81.43,76.45,77.17,2488400.0
EXAS,2020-04-29,79.97,81.8,77.77,80.99,1599993.0
EXAS,2020-04-30,80.48,82.65,78.45,78.98,1602168.0
EXAS,2020-05-01,77.18,77.46,74.86,75.65,1157969.0
EXAS,2020-05-04,74.0,77.44,73.11,77.43,1582198.0
EXAS,2020-05-05,78.5,79.17,76.73,77.95,954146.0
EXAS,2020-05-06,78.39,79.96,77.64,77.9,988177.0
EXAS,2020-05-07,78.91,83.69,78.59,82.85,2113662.0
EXAS,2020-05-08,83.53,84.9,80.45,82.01,1807697.0
EXAS,2020-05-11,81.75,84.61,80.35,83.95,1715962.0
EXAS,2020-05-12,84.97,86.87,83.1,83.35,1534562.0
EXAS,2020-05-13,83.5,88.75,81.42,84.59,2644887.0
EXAS,2020-05-14,84.0,87.95,82.0,85.43,1282790.0
EXAS,2020-05-15,85.36,87.35,84.09,86.29,1349604.0
EXAS,2020-05-18,88.26,89.05,83.55,83.78,2103457.0
EXAS,2020-05-19,85.05,85.87,83.0,83.09,1000615.0
EXAS,2020-05-20,84.85,85.79,83.61,85.01,1440618.0
EXAS,2020-05-21,85.19,85.6,82.25,83.18,786174.0
EXAS,2020-05-22,83.01,84.66,81.64,83.59,809983.0
EXAS,2020-05-26,84.87,85.18,80.06,80.81,1567405.0
EXAS,2020-05-27,81.11,82.12,77.56,82.11,1734450.0
EXAS,2020-05-28,82.03,85.94,81.89,83.89,1153987.0
EXAS,2020-05-29,84.0,86.0,82.06,85.88,1302092.0
EXAS,2020-06-01,84.88,86.59,84.21,85.37,976627.0
EXAS,2020-06-02,85.97,86.55,83.7,86.23,1389393.0
EXAS,2020-06-03,86.86,89.99,85.96,89.34,1855654.0
EXAS,2020-06-04,88.46,89.92,83.93,84.8,1513240.0
EXAS,2020-06-05,86.63,88.61,84.0,86.73,1616366.0
EXAS,2020-06-08,86.81,91.57,86.37,90.51,1753111.0
EXAS,2020-06-09,89.44,91.57,89.42,91.36,1281472.0
EXAS,2020-06-10,91.23,92.91,90.81,92.75,1725290.0
EXAS,2020-06-11,89.37,90.69,88.07,88.3,3199366.0
EXAS,2020-06-12,90.27,90.98,81.88,85.37,1687545.0
EXAS,2020-06-15,83.6,89.98,82.67,89.16,1134421.0
EXAS,2020-06-16,91.66,92.0,86.0,86.59,1310415.0
EXAS,2020-06-17,87.32,88.64,85.62,87.2,1040578.0
EXAS,2020-06-18,87.26,88.81,85.56,86.09,662078.0
EXAS,2020-06-19,86.98,90.53,86.5,89.93,1800383.0
EXAS,2020-06-22,89.45,90.5,87.44,88.23,1001314.0
EXAS,2020-06-23,89.0,90.39,88.2,88.76,1382720.0
EXAS,2020-06-24,87.88,88.53,82.33,82.56,1764474.0
EXAS,2020-06-25,83.24,85.79,82.06,83.88,1567990.0
EXAS,2020-06-26,83.99,83.99,80.8,80.96,2230702.0
EXAS,2020-06-29,81.85,86.19,80.62,86.02,1317897.0
EXAS,2020-06-30,85.9,87.62,84.91,86.94,1055836.0
EXAS,2020-07-01,86.71,88.33,86.36,87.42,1090774.0
EXAS,2020-07-02,88.5,89.34,86.46,86.66,828302.0
EXAS,2020-07-06,87.66,89.4,87.0,89.01,1308879.0
EXAS,2020-07-07,88.79,90.42,86.0,86.3,1007338.0
EXAS,2020-07-08,87.33,92.35,87.31,91.66,1429680.0
EXAS,2020-07-09,91.85,92.98,88.75,92.75,1445546.0
EXAS,2020-07-10,92.75,93.85,91.25,92.08,845322.0
EXAS,2020-07-13,92.75,94.9,90.06,90.1,1377549.0
EXAS,2020-07-14,90.24,93.14,87.42,92.98,1317196.0
EXAS,2020-07-15,94.47,96.36,92.64,95.84,1351330.0
EXAS,2020-07-16,94.83,95.46,93.02,95.17,695151.0
EXAS,2020-07-17,94.75,98.77,94.68,97.9,1383822.0
EXAS,2020-07-20,98.45,101.75,98.35,100.36,1203864.0
EXAS,2020-07-21,101.15,102.06,99.3,99.55,964823.0
EXAS,2020-07-22,99.36,101.44,97.55,98.98,800017.0
EXAS,2020-07-23,99.57,103.02,97.44,97.74,1529239.0
EXAS,2020-07-24,96.2,96.72,93.63,95.39,1019268.0
EXAS,2020-07-27,95.35,96.66,93.57,96.39,898816.0
EXAS,2020-07-28,95.6,96.95,94.8,94.81,827377.0
EXAS,2020-07-29,95.17,96.92,94.06,94.62,958490.0
EXAS,2020-07-30,94.04,100.0,93.5,97.9,1758277.0
EXAS,2020-07-31,94.0,99.49,90.64,94.75,2653309.0
EXAS,2020-08-03,95.0,96.36,93.5,95.08,1116065.0
EXAS,2020-08-04,95.12,95.25,91.65,92.94,1272641.0
EXAS,2020-08-05,92.68,94.62,91.64,91.94,1026646.0
EXAS,2020-08-06,92.25,93.02,88.51,90.4,1200102.0
EXAS,2020-08-07,90.0,90.32,85.17,86.69,1545669.0
EXAS,2020-08-10,87.01,87.75,83.06,84.95,1488916.0
EXAS,2020-08-11,85.02,86.21,83.06,83.68,1002212.0
EXAS,2020-08-12,85.05,88.37,83.93,87.15,1166887.0
EXAS,2020-08-13,87.59,88.3,86.57,87.2,1128371.0
EXAS,2020-08-14,86.86,87.36,84.88,85.33,652627.0
EXAS,2020-08-17,85.7,86.37,84.39,86.02,937965.0
EXAS,2020-08-18,85.27,86.5,84.37,84.58,927710.0
EXAS,2020-08-19,84.5,85.04,81.5,81.61,1368448.0
EXAS,2020-08-20,81.61,82.64,80.53,81.88,1131038.0
EXAS,2020-08-21,81.56,81.99,79.73,80.17,1210629.0
EXAS,2020-08-24,80.81,81.88,79.71,80.21,1239719.0
EXAS,2020-08-25,79.9,80.72,77.69,78.28,1306043.0
EXAS,2020-08-26,78.27,78.57,75.67,76.18,1674115.0
