Ticker,Date,open,high,low,close,volume
FATE,2020-01-02,19.74,19.97,18.8,19.47,777498.0
FATE,2020-01-03,18.9,19.5,18.72,19.1,811953.0
FATE,2020-01-06,18.87,19.83,18.61,19.81,1112956.0
FATE,2020-01-07,19.98,21.05,19.53,21.01,1121037.0
FATE,2020-01-08,21.01,22.05,20.4,21.99,1466036.0
FATE,2020-01-09,21.38,22.4,21.27,21.95,1485303.0
FATE,2020-01-10,22.1,22.38,21.26,21.94,1329532.0
FATE,2020-01-13,21.89,21.95,21.02,21.69,872571.0
FATE,2020-01-14,21.68,24.82,21.42,24.28,2037288.0
FATE,2020-01-15,24.21,24.83,23.84,24.48,926739.0
FATE,2020-01-16,24.72,24.93,23.82,24.3,1540609.0
FATE,2020-01-17,24.68,25.83,24.31,25.65,1344437.0
FATE,2020-01-21,25.34,25.55,24.05,24.4,1051668.0
FATE,2020-01-22,24.46,25.54,24.33,24.55,880986.0
FATE,2020-01-23,24.65,25.06,24.19,24.84,516115.0
FATE,2020-01-24,24.94,25.17,24.0,24.16,662632.0
FATE,2020-01-27,23.39,24.59,22.27,24.33,606470.0
FATE,2020-01-28,24.66,25.71,24.54,25.58,549873.0
FATE,2020-01-29,25.46,26.23,25.35,26.03,537814.0
FATE,2020-01-30,25.77,25.95,25.03,25.86,720759.0
FATE,2020-01-31,25.77,26.25,24.87,25.36,798227.0
FATE,2020-02-03,25.59,27.23,25.22,27.12,897417.0
FATE,2020-02-04,27.38,27.93,26.5,27.05,814579.0
FATE,2020-02-05,27.25,27.68,26.35,26.58,749797.0
FATE,2020-02-06,26.85,26.85,25.75,26.47,680201.0
FATE,2020-02-07,26.39,26.72,25.42,25.86,918532.0
FATE,2020-02-10,25.86,26.96,25.86,26.73,777315.0
FATE,2020-02-11,27.05,27.23,26.31,27.11,331037.0
FATE,2020-02-12,27.66,28.95,27.5,28.39,638131.0
FATE,2020-02-13,28.15,28.38,27.09,28.12,499553.0
FATE,2020-02-14,28.36,28.97,27.76,28.88,530237.0
FATE,2020-02-18,28.73,29.2,28.09,28.93,477635.0
FATE,2020-02-19,28.88,29.8,28.84,29.61,607651.0
FATE,2020-02-20,29.49,29.87,28.6,29.36,638674.0
FATE,2020-02-21,29.36,31.0,29.2,30.94,874949.0
FATE,2020-02-24,29.85,30.88,29.61,30.67,992642.0
FATE,2020-02-25,30.96,31.22,29.61,30.37,1127427.0
FATE,2020-02-26,30.71,32.26,30.37,31.88,893429.0
FATE,2020-02-27,31.02,31.54,28.77,28.79,1466384.0
FATE,2020-02-28,27.62,29.34,27.08,29.2,1831053.0
FATE,2020-03-02,29.73,31.5,29.12,31.01,1706696.0
FATE,2020-03-03,31.79,32.39,28.16,28.25,1509152.0
FATE,2020-03-04,30.12,31.81,30.02,30.75,1968876.0
FATE,2020-03-05,29.95,31.87,29.7,30.57,740414.0
FATE,2020-03-06,29.33,30.29,28.61,29.46,979064.0
FATE,2020-03-09,27.67,27.7,24.07,24.84,1683950.0
FATE,2020-03-10,26.22,26.38,23.03,25.99,1134894.0
FATE,2020-03-11,25.42,25.94,23.21,23.79,1616374.0
FATE,2020-03-12,20.34,22.44,19.91,19.99,2106403.0
FATE,2020-03-13,21.77,22.21,16.75,20.73,1879198.0
FATE,2020-03-16,18.06,19.28,17.19,17.28,1683745.0
FATE,2020-03-17,17.77,23.64,16.81,22.2,2263522.0
FATE,2020-03-18,20.51,23.68,20.4,22.97,1508488.0
FATE,2020-03-19,23.0,28.04,22.03,24.46,2108898.0
FATE,2020-03-20,24.06,24.84,22.03,22.38,2079248.0
FATE,2020-03-23,22.72,23.7,20.8,22.28,1127679.0
FATE,2020-03-24,23.69,24.24,22.28,23.9,1210326.0
FATE,2020-03-25,23.9,25.11,22.97,23.4,1043961.0
FATE,2020-03-26,23.35,24.88,22.7,23.31,862000.0
FATE,2020-03-27,22.86,23.38,21.86,22.18,856229.0
FATE,2020-03-30,22.7,23.92,21.57,23.16,717917.0
FATE,2020-03-31,22.74,23.43,21.92,22.21,1368239.0
