Ticker,Date,open,high,low,close,volume
FVRR,2020-01-02,24.0,24.0,22.3,22.9,298685.0
FVRR,2020-01-03,22.7,23.7,22.59,23.19,180115.0
FVRR,2020-01-06,23.19,23.97,22.83,23.5,265423.0
FVRR,2020-01-07,23.6,24.43,23.03,24.24,222086.0
FVRR,2020-01-08,24.05,25.14,23.5,25.02,428030.0
FVRR,2020-01-09,25.05,26.07,24.11,24.39,274339.0
FVRR,2020-01-10,24.44,24.86,23.38,24.8,212757.0
FVRR,2020-01-13,24.92,26.04,24.68,25.87,293767.0
FVRR,2020-01-14,25.9,25.9,25.0,25.5,73515.0
FVRR,2020-01-15,25.51,26.38,25.45,25.69,185907.0
FVRR,2020-01-16,25.94,26.58,25.94,26.45,109275.0
FVRR,2020-01-17,26.66,27.5,26.47,26.95,247761.0
FVRR,2020-01-21,26.87,27.96,26.62,27.96,290948.0
FVRR,2020-01-22,28.0,28.0,26.46,26.93,299619.0
FVRR,2020-01-23,26.83,27.13,25.86,26.25,240574.0
FVRR,2020-01-24,26.41,26.8,25.46,25.99,183797.0
FVRR,2020-01-27,25.75,25.8,25.0,25.51,170724.0
FVRR,2020-01-28,25.76,26.17,25.28,25.6,162514.0
FVRR,2020-01-29,25.72,25.78,25.17,25.61,125546.0
FVRR,2020-01-30,25.76,25.78,25.21,25.6,101441.0
FVRR,2020-01-31,25.73,26.09,25.33,26.09,154159.0
FVRR,2020-02-03,25.99,26.92,25.28,25.59,198229.0
FVRR,2020-02-04,25.83,26.44,25.12,26.44,128101.0
FVRR,2020-02-05,26.64,26.64,25.31,25.59,145606.0
FVRR,2020-02-06,25.47,25.65,24.59,25.4,188881.0
FVRR,2020-02-07,25.33,25.95,25.01,25.72,105586.0
FVRR,2020-02-10,25.5,27.16,25.5,26.37,134958.0
FVRR,2020-02-11,26.28,26.71,25.55,26.11,116858.0
FVRR,2020-02-12,25.94,27.66,25.56,27.0,189214.0
FVRR,2020-02-13,26.99,27.74,26.34,27.35,217732.0
FVRR,2020-02-14,27.0,27.9,26.42,27.9,240415.0
FVRR,2020-02-18,27.67,28.0,26.76,28.0,431198.0
FVRR,2020-02-19,30.76,31.85,28.7,30.0,2269142.0
FVRR,2020-02-20,31.1,35.13,30.75,35.11,2003270.0
FVRR,2020-02-21,33.41,34.51,31.21,33.71,588487.0
FVRR,2020-02-24,31.72,32.99,31.07,32.76,372852.0
FVRR,2020-02-25,32.73,33.47,31.63,32.0,394945.0
FVRR,2020-02-26,32.0,33.39,32.0,32.9,286788.0
FVRR,2020-02-27,31.99,32.47,31.08,32.06,383860.0
FVRR,2020-02-28,31.09,31.9,30.11,31.48,369110.0
FVRR,2020-03-02,31.73,34.42,31.26,34.34,255837.0
FVRR,2020-03-03,34.49,34.49,31.32,32.0,452756.0
FVRR,2020-03-04,33.0,33.0,31.66,32.93,345992.0
FVRR,2020-03-05,32.23,32.99,31.65,32.0,360193.0
FVRR,2020-03-06,31.6,31.98,29.44,30.64,316833.0
FVRR,2020-03-09,28.9,29.46,25.6,27.87,328287.0
FVRR,2020-03-10,28.5,29.6,27.79,29.55,206261.0
FVRR,2020-03-11,29.18,29.19,27.08,27.16,352146.0
FVRR,2020-03-12,25.37,28.09,23.79,23.82,476226.0
FVRR,2020-03-13,24.82,26.0,24.5,26.0,361997.0
FVRR,2020-03-16,25.0,25.0,21.97,22.35,696765.0
FVRR,2020-03-17,23.0,24.12,22.89,23.41,401185.0
FVRR,2020-03-18,21.9,23.37,20.42,22.92,368322.0
FVRR,2020-03-19,24.57,35.0,21.2,23.32,957497.0
FVRR,2020-03-20,24.26,26.29,21.0,21.69,381446.0
FVRR,2020-03-23,21.79,23.45,20.66,23.24,361449.0
FVRR,2020-03-24,25.18,25.87,23.12,24.11,214376.0
FVRR,2020-03-25,24.0,25.76,23.33,24.03,257907.0
FVRR,2020-03-26,24.03,25.12,23.59,25.03,294444.0
FVRR,2020-03-27,23.85,26.98,23.0,26.35,432240.0
FVRR,2020-03-30,25.97,26.7,24.32,24.48,203824.0
FVRR,2020-03-31,24.48,25.56,24.39,25.17,157952.0
FVRR,2020-04-01,23.37,25.31,23.18,24.23,387097.0
FVRR,2020-04-02,24.15,25.24,23.2,24.24,415085.0
FVRR,2020-04-03,23.84,24.5,22.52,22.94,295454.0
FVRR,2020-04-06,23.55,25.2,23.27,23.77,440581.0
FVRR,2020-04-07,24.73,25.06,23.04,23.43,368381.0
FVRR,2020-04-08,25.5,30.33,25.5,30.31,1353580.0
FVRR,2020-04-09,29.55,31.11,28.25,30.41,562939.0
FVRR,2020-04-13,30.39,30.4,28.77,29.86,194443.0
FVRR,2020-04-14,30.53,31.58,29.52,30.35,579229.0
FVRR,2020-04-15,30.21,31.65,29.11,31.51,508986.0
FVRR,2020-04-16,32.49,32.63,30.13,30.47,515769.0
FVRR,2020-04-17,31.11,31.99,29.68,31.99,422234.0
FVRR,2020-04-20,31.5,37.3,31.5,36.28,1291111.0
FVRR,2020-04-21,36.44,37.6,33.36,34.94,690414.0
FVRR,2020-04-22,34.37,37.48,34.37,36.96,743488.0
FVRR,2020-04-23,37.27,37.84,35.87,36.09,476131.0
FVRR,2020-04-24,36.19,38.99,36.16,37.7,535623.0
FVRR,2020-04-27,38.1,38.56,37.37,37.94,511050.0
FVRR,2020-04-28,37.48,40.23,37.39,39.19,537488.0
FVRR,2020-04-29,40.0,42.98,39.64,41.95,619708.0
FVRR,2020-04-30,41.4,41.49,38.81,39.23,444583.0
FVRR,2020-05-01,37.25,40.36,36.91,39.51,852945.0
FVRR,2020-05-04,39.25,42.71,38.65,42.25,927789.0
FVRR,2020-05-05,42.85,42.9,39.6,42.23,849181.0
FVRR,2020-05-06,42.98,46.25,42.66,45.01,1221422.0
FVRR,2020-05-07,49.51,54.0,45.77,46.42,2116575.0
FVRR,2020-05-08,47.82,49.94,47.23,48.81,1235587.0
FVRR,2020-05-11,49.97,52.24,48.72,52.24,924553.0
