Ticker,Date,open,high,low,close,volume
GE,2020-01-02,11.23,11.96,11.23,11.93,87533889.0
GE,2020-01-03,11.57,12.0,11.53,11.97,85917189.0
GE,2020-01-06,11.84,12.21,11.84,12.14,111971423.0
GE,2020-01-07,12.15,12.24,11.92,12.05,71056182.0
GE,2020-01-08,11.99,12.05,11.87,11.94,55472798.0
GE,2020-01-09,12.07,12.09,11.83,11.91,39388376.0
GE,2020-01-10,11.84,11.91,11.59,11.67,58672011.0
GE,2020-01-13,11.74,12.15,11.68,12.12,66209642.0
GE,2020-01-14,12.16,12.19,11.99,12.03,45073236.0
GE,2020-01-15,12.02,12.02,11.83,11.87,46051029.0
GE,2020-01-16,11.94,11.98,11.82,11.84,36673591.0
GE,2020-01-17,11.85,11.93,11.76,11.81,46580731.0
GE,2020-01-21,11.74,11.8,11.61,11.66,43738186.0
GE,2020-01-22,11.71,11.71,11.35,11.37,61947833.0
GE,2020-01-23,11.73,11.85,11.6,11.77,73162894.0
GE,2020-01-24,11.88,11.89,11.62,11.71,59375767.0
GE,2020-01-27,11.45,11.59,11.38,11.44,47862566.0
GE,2020-01-28,11.52,11.82,11.47,11.73,62928610.0
GE,2020-01-29,12.57,13.0,12.49,12.94,220815133.0
GE,2020-01-30,12.89,12.99,12.5,12.73,95469310.0
GE,2020-01-31,12.68,12.74,12.34,12.45,77984002.0
GE,2020-02-03,12.46,12.68,12.25,12.26,50399270.0
GE,2020-02-04,12.49,12.62,12.39,12.58,44385209.0
GE,2020-02-05,12.76,12.86,12.57,12.86,50073948.0
GE,2020-02-06,12.94,13.0,12.83,12.95,63613884.0
GE,2020-02-07,13.02,13.09,12.81,12.83,66636634.0
GE,2020-02-10,12.84,12.97,12.77,12.91,33495495.0
GE,2020-02-11,12.95,12.98,12.78,12.85,40882296.0
GE,2020-02-12,12.95,13.26,12.88,13.16,65712883.0
GE,2020-02-13,13.08,13.16,12.9,12.94,51012339.0
GE,2020-02-14,12.97,13.07,12.75,12.83,36967105.0
GE,2020-02-18,12.71,12.95,12.67,12.75,44023162.0
GE,2020-02-19,12.7,12.94,12.59,12.61,54878271.0
GE,2020-02-20,12.65,12.68,12.41,12.53,39561915.0
GE,2020-02-21,12.45,12.46,12.22,12.25,42921245.0
GE,2020-02-24,11.69,12.06,11.6,11.86,70978009.0
GE,2020-02-25,11.97,12.0,11.18,11.32,81087407.0
GE,2020-02-26,11.37,11.54,10.8,10.95,93171377.0
GE,2020-02-27,10.62,10.95,10.31,10.39,94250493.0
GE,2020-02-28,9.95,11.19,9.86,10.88,151373243.0
GE,2020-03-02,11.21,11.34,10.76,11.21,124802207.0
GE,2020-03-03,11.25,11.38,10.67,10.88,109249218.0
GE,2020-03-04,11.06,11.12,10.7,10.95,83063093.0
GE,2020-03-05,10.6,10.73,9.95,10.08,108087248.0
GE,2020-03-06,9.74,9.76,9.18,9.4,148463537.0
GE,2020-03-09,8.33,8.67,8.11,8.21,122400682.0
GE,2020-03-10,8.78,8.85,8.16,8.85,98938885.0
GE,2020-03-11,8.62,8.66,8.16,8.21,103540414.0
GE,2020-03-12,7.23,7.78,6.83,7.23,157416080.0
GE,2020-03-13,7.8,8.04,7.19,7.85,110144631.0
GE,2020-03-16,6.99,7.15,6.65,6.66,115910727.0
GE,2020-03-17,6.91,7.33,6.3,7.08,120226045.0
GE,2020-03-18,6.51,6.8,5.9,6.6,138927007.0
GE,2020-03-19,6.4,6.91,6.15,6.48,98993744.0
GE,2020-03-20,7.01,7.05,6.45,6.52,126128657.0
GE,2020-03-23,6.45,6.63,6.03,6.11,105631137.0
GE,2020-03-24,6.66,7.06,6.47,7.01,119493833.0
GE,2020-03-25,7.45,8.0,6.96,7.56,137886458.0
GE,2020-03-26,7.63,8.3,7.51,8.12,123278589.0
GE,2020-03-27,7.68,7.87,7.54,7.62,93299019.0
GE,2020-03-30,7.54,7.94,7.35,7.89,86850184.0
GE,2020-03-31,7.87,8.18,7.82,7.94,121149889.0
GE,2020-04-01,7.52,7.55,7.0,7.04,99556876.0
GE,2020-04-02,7.02,7.39,6.77,6.9,97498380.0
GE,2020-04-03,7.03,7.05,6.58,6.73,97803257.0
GE,2020-04-06,7.07,7.3,6.94,7.23,98048627.0
GE,2020-04-07,7.69,7.75,7.0,7.03,96087784.0
GE,2020-04-08,7.18,7.38,7.06,7.3,92650709.0
GE,2020-04-09,7.45,7.54,7.09,7.14,128361777.0
GE,2020-04-13,7.13,7.13,6.76,7.02,94074487.0
GE,2020-04-14,7.1,7.24,6.84,6.93,107067193.0
GE,2020-04-15,6.73,6.73,6.35,6.5,138220834.0
GE,2020-04-16,6.48,6.54,6.2,6.24,165678212.0
GE,2020-04-17,6.47,6.94,6.34,6.84,165907834.0
GE,2020-04-20,6.61,6.75,6.46,6.51,99691614.0
GE,2020-04-21,6.39,6.58,6.3,6.48,77453062.0
GE,2020-04-22,6.59,6.64,6.4,6.43,76844099.0
GE,2020-04-23,6.46,6.74,6.43,6.52,82796111.0
GE,2020-04-24,6.59,6.6,6.25,6.26,155976769.0
GE,2020-04-27,6.38,6.47,6.33,6.43,107038189.0
GE,2020-04-28,6.57,6.92,6.57,6.8,140668593.0
GE,2020-04-29,6.68,6.9,6.52,6.58,225227990.0
GE,2020-04-30,6.56,6.82,6.41,6.8,175711114.0
GE,2020-05-01,6.67,6.74,6.41,6.5,120376502.0
GE,2020-05-04,6.3,6.31,6.15,6.21,136852351.0
GE,2020-05-05,6.28,6.46,6.16,6.2,116998471.0
GE,2020-05-06,6.2,6.25,5.97,5.98,117253558.0
GE,2020-05-07,6.06,6.26,6.06,6.11,100663261.0
GE,2020-05-08,6.21,6.33,6.16,6.29,93934568.0
GE,2020-05-11,6.24,6.25,6.13,6.19,71842990.0
GE,2020-05-12,6.22,6.28,6.0,6.0,95652153.0
GE,2020-05-13,6.0,6.02,5.48,5.79,235745314.0
GE,2020-05-14,5.62,5.9,5.48,5.7,140205418.0
GE,2020-05-15,5.61,5.66,5.48,5.49,128486212.0
GE,2020-05-18,5.74,6.49,5.74,6.27,255278693.0
GE,2020-05-19,6.29,6.37,6.09,6.21,108485062.0
GE,2020-05-20,6.33,6.47,6.29,6.42,91287373.0
GE,2020-05-21,6.42,6.55,6.33,6.48,98821118.0
GE,2020-05-22,6.48,6.48,6.27,6.41,69586159.0
GE,2020-05-26,6.79,6.94,6.79,6.8,129510664.0
GE,2020-05-27,7.25,7.43,7.09,7.29,147750905.0
GE,2020-05-28,7.49,7.49,6.74,6.78,138911499.0
GE,2020-05-29,6.56,6.72,6.44,6.57,129404442.0
GE,2020-06-01,6.58,6.82,6.49,6.76,75370411.0
GE,2020-06-02,6.9,7.18,6.86,7.05,113575388.0
GE,2020-06-03,7.22,7.42,7.18,7.36,122819506.0
GE,2020-06-04,7.31,7.75,7.17,7.74,125193927.0
GE,2020-06-05,8.45,8.56,7.83,7.88,167811633.0
GE,2020-06-08,8.22,8.57,8.11,8.46,158459066.0
GE,2020-06-09,8.19,8.21,7.9,8.02,117645230.0
GE,2020-06-10,7.97,7.98,7.52,7.61,116954543.0
GE,2020-06-11,7.06,7.35,6.84,6.95,124502906.0
GE,2020-06-12,7.34,7.43,7.08,7.25,100985656.0
GE,2020-06-15,6.95,7.35,6.85,7.24,102163750.0
GE,2020-06-16,7.73,7.74,7.29,7.47,98161390.0
GE,2020-06-17,7.5,7.53,7.2,7.24,75211297.0
GE,2020-06-18,7.13,7.32,7.02,7.28,78398241.0
GE,2020-06-19,7.42,7.45,7.09,7.15,88679534.0
