Ticker,Date,open,high,low,close,volume
GH,2020-01-02,78.59,79.86,77.56,79.41,656278.0
GH,2020-01-03,77.87,79.31,77.57,78.37,463395.0
GH,2020-01-06,77.93,81.09,77.85,79.12,1197806.0
GH,2020-01-07,79.91,83.07,78.21,81.57,902265.0
GH,2020-01-08,81.22,81.71,79.1,79.49,654537.0
GH,2020-01-09,80.55,80.55,77.61,78.01,772462.0
GH,2020-01-10,78.73,79.79,78.02,78.45,650758.0
GH,2020-01-13,78.64,79.19,76.25,77.54,762281.0
GH,2020-01-14,77.67,80.97,77.01,79.85,942689.0
GH,2020-01-15,79.55,81.85,79.55,80.59,890710.0
GH,2020-01-16,81.25,84.12,81.07,83.35,1196864.0
GH,2020-01-17,83.83,86.65,83.3,84.6,1628176.0
GH,2020-01-21,84.53,85.39,83.12,83.71,788221.0
GH,2020-01-22,84.38,85.5,83.78,84.61,801433.0
GH,2020-01-23,84.28,84.61,81.03,81.52,590741.0
GH,2020-01-24,82.45,82.45,78.21,80.04,646599.0
GH,2020-01-27,77.31,78.64,76.5,77.86,619595.0
GH,2020-01-28,78.51,79.4,77.86,78.64,396509.0
GH,2020-01-29,79.08,81.34,77.52,79.04,611205.0
GH,2020-01-30,78.68,79.72,76.61,79.04,494960.0
GH,2020-01-31,78.69,78.69,73.89,76.04,1139815.0
GH,2020-02-03,76.23,78.68,74.66,78.4,667914.0
GH,2020-02-04,79.55,81.67,79.46,80.35,581386.0
GH,2020-02-05,82.01,82.21,78.05,78.7,579130.0
GH,2020-02-06,78.9,79.4,77.62,79.16,494774.0
GH,2020-02-07,79.66,81.46,78.08,78.48,559154.0
GH,2020-02-10,78.42,80.24,78.01,78.95,607999.0
GH,2020-02-11,79.95,80.38,77.75,78.66,657321.0
GH,2020-02-12,79.38,83.42,78.1,82.8,720355.0
GH,2020-02-13,82.02,83.88,81.56,81.8,513934.0
GH,2020-02-14,82.12,84.9,81.67,84.3,741990.0
GH,2020-02-18,83.61,86.0,83.48,85.13,965960.0
GH,2020-02-19,85.7,87.97,85.53,86.66,715607.0
GH,2020-02-20,87.4,89.5,84.86,87.42,1120971.0
GH,2020-02-21,87.53,89.74,86.0,88.81,1126666.0
GH,2020-02-24,85.51,88.32,83.81,84.29,1614706.0
GH,2020-02-25,80.0,81.0,71.52,75.79,5013163.0
GH,2020-02-26,75.36,85.89,75.05,81.5,4237282.0
GH,2020-02-27,77.7,83.19,75.21,77.16,2707743.0
GH,2020-02-28,74.45,87.0,73.08,86.96,2892357.0
GH,2020-03-02,84.46,84.87,76.25,78.08,2265157.0
GH,2020-03-03,78.33,78.86,73.15,74.01,1580457.0
GH,2020-03-04,75.73,83.4,75.0,83.2,3015863.0
GH,2020-03-05,80.25,84.29,80.0,83.29,1374525.0
GH,2020-03-06,80.81,82.59,75.62,78.13,1458851.0
GH,2020-03-09,72.0,73.0,68.03,68.27,1890997.0
GH,2020-03-10,71.92,72.21,63.03,67.85,1739408.0
GH,2020-03-11,65.9,68.44,61.41,62.95,1594413.0
GH,2020-03-12,56.0,72.44,56.0,67.01,2993266.0
GH,2020-03-13,70.06,71.05,65.88,70.74,1986795.0
GH,2020-03-16,63.32,64.96,58.61,59.04,1719823.0
GH,2020-03-17,60.44,65.53,55.9,63.19,1650646.0
GH,2020-03-18,59.07,64.47,58.02,62.0,1107608.0
GH,2020-03-19,62.0,70.0,60.93,68.93,1291466.0
GH,2020-03-20,69.59,73.0,62.0,64.05,1193428.0
GH,2020-03-23,64.0,64.01,58.28,59.92,1254051.0
GH,2020-03-24,62.72,67.6,60.81,65.37,1091095.0
GH,2020-03-25,65.5,71.0,64.04,65.84,1333322.0
GH,2020-03-26,66.4,71.42,66.4,71.13,922883.0
GH,2020-03-27,69.29,71.97,67.01,67.79,842878.0
GH,2020-03-30,68.91,71.48,66.53,71.25,888961.0
GH,2020-03-31,70.77,71.43,68.42,69.6,828790.0
GH,2020-04-01,67.79,69.13,65.51,66.7,816389.0
GH,2020-04-02,66.69,69.4,64.33,65.12,733534.0
GH,2020-04-03,64.83,65.4,59.15,60.49,1147512.0
GH,2020-04-06,63.38,67.56,62.97,66.99,676348.0
GH,2020-04-07,68.72,69.36,63.52,63.98,683875.0
GH,2020-04-08,64.07,66.58,63.0,64.53,474366.0
GH,2020-04-09,67.3,69.0,65.15,68.87,906489.0
GH,2020-04-13,66.62,68.82,64.35,66.44,624610.0
GH,2020-04-14,68.16,70.58,67.89,69.3,892366.0
GH,2020-04-15,68.3,68.75,66.84,67.48,765925.0
GH,2020-04-16,68.29,70.09,67.31,69.32,760297.0
GH,2020-04-17,71.46,73.5,69.37,73.21,745467.0
GH,2020-04-20,73.65,75.91,71.53,74.0,865674.0
GH,2020-04-21,73.28,75.63,73.25,74.47,766250.0
GH,2020-04-22,74.73,77.0,74.52,75.18,482790.0
GH,2020-04-23,75.14,77.8,74.36,75.1,912445.0
GH,2020-04-24,75.15,76.68,75.12,76.19,530425.0
GH,2020-04-27,77.5,79.15,76.49,79.02,675930.0
GH,2020-04-28,80.25,80.25,76.5,76.98,801208.0
GH,2020-04-29,79.69,81.58,77.5,79.93,860401.0
GH,2020-04-30,79.57,79.81,75.69,76.96,621155.0
GH,2020-05-01,74.08,75.7,73.02,73.48,539508.0
GH,2020-05-04,72.17,74.0,71.41,73.86,536113.0
GH,2020-05-05,74.87,80.4,74.87,77.82,845273.0
GH,2020-05-06,78.9,82.85,78.25,80.85,997953.0
GH,2020-05-07,82.01,86.0,81.16,83.95,1545164.0
GH,2020-05-08,91.1,91.1,87.12,88.15,1671901.0
GH,2020-05-11,86.5,95.49,85.6,94.72,1946810.0
GH,2020-05-12,93.3,99.31,93.12,96.73,1431990.0
GH,2020-05-13,96.0,98.46,92.32,96.33,894481.0
GH,2020-05-14,95.19,96.33,91.11,92.43,842366.0
GH,2020-05-15,92.0,97.98,91.27,97.5,696168.0
GH,2020-05-18,98.49,100.0,93.37,94.42,789072.0
GH,2020-05-19,94.19,98.49,93.58,96.78,520775.0
GH,2020-05-20,97.99,99.25,95.99,96.4,432407.0
GH,2020-05-21,96.39,97.1,94.2,95.86,527273.0
GH,2020-05-22,94.87,97.19,94.84,96.91,375803.0
GH,2020-05-26,98.5,98.5,88.32,89.04,1214953.0
GH,2020-05-27,89.94,89.94,80.44,87.73,1068112.0
GH,2020-05-28,87.2,90.21,86.51,87.85,512068.0
GH,2020-05-29,88.68,90.5,87.24,90.39,785325.0
GH,2020-06-01,89.64,91.88,87.59,88.34,589839.0
GH,2020-06-02,82.25,88.67,82.0,87.38,7178418.0
GH,2020-06-03,87.52,88.1,84.26,84.89,2647599.0
GH,2020-06-04,85.22,85.44,81.79,82.67,1715114.0
GH,2020-06-05,83.46,84.52,81.85,83.22,1137516.0
