Ticker,Date,open,high,low,close,volume
GWRE,2020-01-02,110.25,111.32,109.52,110.08,809604.0
GWRE,2020-01-03,109.44,110.91,109.3,110.29,434432.0
GWRE,2020-01-06,109.69,111.28,109.39,110.45,1191306.0
GWRE,2020-01-07,110.53,111.85,109.85,111.34,556004.0
GWRE,2020-01-08,111.53,112.62,110.54,110.74,675380.0
GWRE,2020-01-09,111.39,112.42,110.16,111.09,910497.0
GWRE,2020-01-10,110.97,112.68,108.78,112.5,1229801.0
GWRE,2020-01-13,112.72,113.83,112.11,113.37,697930.0
GWRE,2020-01-14,113.59,113.87,112.21,112.41,1149839.0
GWRE,2020-01-15,112.55,113.83,112.4,113.0,630553.0
GWRE,2020-01-16,113.47,114.13,112.75,113.62,509495.0
GWRE,2020-01-17,113.72,113.76,112.82,113.02,437426.0
GWRE,2020-01-21,112.67,113.4,112.39,112.89,636792.0
GWRE,2020-01-22,113.32,113.9,112.06,112.37,621583.0
GWRE,2020-01-23,112.52,112.94,111.83,112.0,400652.0
GWRE,2020-01-24,112.91,113.36,111.38,111.81,526065.0
GWRE,2020-01-27,110.14,112.12,109.68,111.53,528836.0
GWRE,2020-01-28,110.95,111.77,110.21,111.0,428608.0
GWRE,2020-01-29,111.3,112.7,111.01,111.12,523884.0
GWRE,2020-01-30,111.07,113.23,110.63,113.21,437928.0
GWRE,2020-01-31,112.89,113.41,111.5,112.5,515337.0
GWRE,2020-02-03,112.99,114.49,112.82,114.06,334910.0
GWRE,2020-02-04,114.99,118.16,114.99,117.63,405850.0
GWRE,2020-02-05,118.75,119.26,116.45,116.84,436166.0
GWRE,2020-02-06,117.34,118.18,116.51,117.37,363050.0
GWRE,2020-02-07,117.23,119.09,116.65,117.99,332504.0
GWRE,2020-02-10,118.01,120.92,117.64,120.62,304590.0
GWRE,2020-02-11,121.0,121.4,120.34,121.0,411315.0
GWRE,2020-02-12,121.15,121.41,119.4,120.95,338679.0
GWRE,2020-02-13,120.45,122.0,120.31,121.26,390090.0
GWRE,2020-02-14,121.28,122.53,120.7,122.42,349315.0
GWRE,2020-02-18,122.22,122.58,121.36,122.22,340041.0
GWRE,2020-02-19,123.51,124.16,122.24,122.6,350060.0
GWRE,2020-02-20,122.45,123.84,120.53,122.07,375261.0
GWRE,2020-02-21,121.97,121.97,118.85,119.5,610625.0
GWRE,2020-02-24,116.82,117.84,114.33,115.03,629102.0
