Ticker,Date,open,high,low,close,volume
HDB,2020-01-02,63.86,64.19,63.3,63.7,1115663.0
HDB,2020-01-03,62.93,63.09,61.96,62.01,1491677.0
HDB,2020-01-06,61.0,61.3,60.37,60.91,2322961.0
HDB,2020-01-07,61.28,61.47,60.69,60.69,1238182.0
HDB,2020-01-08,60.71,61.63,60.7,61.34,1744246.0
HDB,2020-01-09,62.05,62.54,61.97,62.52,1455951.0
HDB,2020-01-10,62.71,62.81,61.88,61.9,1222418.0
HDB,2020-01-13,62.75,63.14,62.45,62.85,1726225.0
HDB,2020-01-14,62.85,63.23,62.52,62.81,1011199.0
HDB,2020-01-15,62.92,63.14,62.15,62.46,963243.0
HDB,2020-01-16,62.81,62.81,61.59,61.64,1721302.0
HDB,2020-01-17,61.7,61.86,61.35,61.74,1156105.0
HDB,2020-01-21,60.95,60.95,58.97,59.09,2682382.0
HDB,2020-01-22,59.59,59.97,58.8,58.9,2249328.0
HDB,2020-01-23,59.08,59.27,58.65,58.74,1506636.0
HDB,2020-01-24,59.35,59.98,59.01,59.23,1549138.0
HDB,2020-01-27,58.32,58.37,57.91,58.06,1081351.0
HDB,2020-01-28,58.2,58.43,57.47,58.0,1667492.0
HDB,2020-01-29,58.54,58.54,57.82,58.11,2261119.0
HDB,2020-01-30,57.71,57.84,57.2,57.59,1508848.0
HDB,2020-01-31,57.34,57.61,56.94,57.28,2356965.0
HDB,2020-02-03,57.21,57.71,57.07,57.56,1743955.0
HDB,2020-02-04,58.52,59.44,58.51,58.95,1770384.0
HDB,2020-02-05,59.78,59.79,58.68,58.98,1759613.0
HDB,2020-02-06,59.38,59.62,59.13,59.58,1032773.0
HDB,2020-02-07,59.22,59.42,58.73,58.76,948710.0
HDB,2020-02-10,58.65,59.22,58.65,58.85,631990.0
HDB,2020-02-11,59.46,60.33,59.23,59.54,1179762.0
HDB,2020-02-12,59.97,60.14,59.51,59.81,706266.0
HDB,2020-02-13,59.65,60.06,59.2,59.73,1210489.0
HDB,2020-02-14,58.95,59.0,58.45,58.74,1037902.0
HDB,2020-02-18,58.17,58.87,57.84,58.75,1357546.0
HDB,2020-02-19,58.97,59.02,58.23,58.44,1230448.0
HDB,2020-02-20,58.02,58.46,57.6,57.97,1612624.0
HDB,2020-02-21,57.8,58.07,57.18,57.52,1186592.0
HDB,2020-02-24,56.37,57.04,56.14,56.59,1864334.0
HDB,2020-02-25,57.24,57.41,55.7,55.72,1952048.0
HDB,2020-02-26,56.11,56.76,55.39,55.43,2548957.0
HDB,2020-02-27,55.48,55.83,54.82,54.99,3772229.0
HDB,2020-02-28,54.03,55.14,53.36,54.85,3037093.0
HDB,2020-03-02,53.74,54.72,53.72,54.65,2298238.0
HDB,2020-03-03,54.58,55.35,53.27,53.72,3279980.0
HDB,2020-03-04,53.05,53.28,52.67,52.98,3261390.0
HDB,2020-03-05,52.72,52.89,51.33,51.49,3500036.0
HDB,2020-03-06,50.72,51.61,50.3,51.4,5047600.0
HDB,2020-03-09,49.31,49.99,48.0,49.19,3550416.0
HDB,2020-03-10,50.28,50.81,48.96,50.69,3281992.0
HDB,2020-03-11,49.8,50.17,48.16,48.39,2632505.0
HDB,2020-03-12,44.79,45.55,43.45,44.75,3941793.0
HDB,2020-03-13,49.1,50.36,46.34,47.67,3731178.0
HDB,2020-03-16,43.0,45.43,42.89,43.14,3796038.0
HDB,2020-03-17,43.52,46.95,43.52,46.74,4635883.0
HDB,2020-03-18,40.95,41.92,38.53,41.22,5995986.0
HDB,2020-03-19,39.7,40.0,35.07,36.34,10068287.0
HDB,2020-03-20,37.0,37.52,35.59,35.78,7248133.0
HDB,2020-03-23,32.67,33.0,29.5,29.96,9778564.0
HDB,2020-03-24,32.58,35.27,31.39,32.99,9652718.0
HDB,2020-03-25,34.88,37.58,34.53,37.0,4702166.0
HDB,2020-03-26,38.51,41.58,38.51,41.22,5986948.0
HDB,2020-03-27,39.37,40.66,37.07,39.31,5284431.0
HDB,2020-03-30,37.96,38.82,36.61,38.76,3705834.0
HDB,2020-03-31,39.1,39.5,37.99,38.46,3072624.0
HDB,2020-04-01,36.54,37.14,35.59,36.06,2812567.0
HDB,2020-04-02,36.06,37.59,35.77,37.57,3112805.0
HDB,2020-04-03,36.98,37.05,33.86,34.59,3275779.0
HDB,2020-04-06,36.63,38.52,36.37,36.95,4605100.0
HDB,2020-04-07,39.33,39.45,36.8,37.02,3567873.0
HDB,2020-04-08,38.21,39.18,37.28,38.84,2623318.0
HDB,2020-04-09,39.6,41.67,39.51,40.76,2493473.0
HDB,2020-04-13,40.0,40.36,38.01,39.65,2034174.0
HDB,2020-04-14,41.25,41.51,39.93,41.0,1768991.0
HDB,2020-04-15,38.44,39.15,38.11,38.59,1994429.0
HDB,2020-04-16,39.32,39.5,36.94,37.7,3260599.0
HDB,2020-04-17,40.84,41.34,38.72,39.97,5134516.0
HDB,2020-04-20,40.81,42.33,40.55,41.39,2871346.0
HDB,2020-04-21,39.65,40.3,38.44,38.97,2718787.0
HDB,2020-04-22,40.93,41.05,39.95,40.78,2550414.0
HDB,2020-04-23,41.0,41.84,40.67,40.88,2234428.0
HDB,2020-04-24,40.72,40.8,39.7,39.95,1757267.0
HDB,2020-04-27,40.51,40.74,40.03,40.59,2211998.0
HDB,2020-04-28,41.78,42.37,40.81,40.84,2176941.0
HDB,2020-04-29,43.65,44.92,43.39,44.91,3336227.0
HDB,2020-04-30,44.85,44.85,42.67,43.35,2094498.0
HDB,2020-05-01,42.25,42.32,41.41,42.1,1402285.0
HDB,2020-05-04,40.52,40.96,39.85,40.7,2038574.0
HDB,2020-05-05,40.65,41.66,40.62,40.76,1290449.0
HDB,2020-05-06,41.57,41.69,40.7,40.74,1218346.0
HDB,2020-05-07,40.76,41.62,40.17,40.31,2188513.0
HDB,2020-05-08,41.42,41.67,40.25,40.59,2751836.0
HDB,2020-05-11,40.18,40.2,38.49,38.52,4495750.0
HDB,2020-05-12,39.59,41.75,38.45,40.38,7410102.0
HDB,2020-05-13,40.62,40.62,37.92,37.98,6679372.0
HDB,2020-05-14,37.36,38.41,36.51,37.59,7302080.0
HDB,2020-05-15,37.08,37.31,36.28,36.44,5783234.0
HDB,2020-05-18,36.71,36.99,36.44,36.53,7125261.0
HDB,2020-05-19,36.75,36.83,35.65,35.87,3889978.0
HDB,2020-05-20,36.73,37.96,36.6,37.77,2594486.0
HDB,2020-05-21,37.58,38.04,37.2,37.2,2601417.0
HDB,2020-05-22,36.42,36.73,36.25,36.72,1626040.0
HDB,2020-05-26,37.89,38.1,37.44,37.6,3692289.0
HDB,2020-05-27,39.76,40.9,39.28,40.82,5130349.0
HDB,2020-05-28,42.01,42.01,41.05,41.1,5337616.0
HDB,2020-05-29,40.79,41.99,40.78,41.83,3126775.0
HDB,2020-06-01,42.46,43.21,42.06,42.51,2316276.0
HDB,2020-06-02,43.62,44.68,43.49,44.6,3382839.0
HDB,2020-06-03,45.49,46.15,45.39,46.09,3884153.0
HDB,2020-06-04,45.72,46.22,44.98,45.38,3543679.0
HDB,2020-06-05,47.64,47.65,46.64,47.61,3363855.0
HDB,2020-06-08,46.81,47.0,45.65,45.83,2556407.0
HDB,2020-06-09,44.66,44.68,43.7,43.87,3039991.0
HDB,2020-06-10,44.2,44.38,43.52,43.63,1824642.0
HDB,2020-06-11,41.94,42.18,40.61,40.73,4015662.0
HDB,2020-06-12,42.7,43.09,41.71,42.33,2510655.0
HDB,2020-06-15,41.22,42.23,40.79,41.78,2270895.0
HDB,2020-06-16,43.0,43.47,42.48,42.72,1915806.0
HDB,2020-06-17,42.83,43.0,42.53,42.72,1523261.0
HDB,2020-06-18,43.51,44.41,43.4,43.75,1419496.0
HDB,2020-06-19,44.63,45.08,44.1,44.69,2611738.0
HDB,2020-06-22,44.59,45.12,44.36,44.72,1751895.0
HDB,2020-06-23,45.51,46.23,45.35,45.43,2453332.0
HDB,2020-06-24,44.8,44.8,43.65,44.11,1616515.0
HDB,2020-06-25,43.59,45.93,43.59,45.65,2481182.0
HDB,2020-06-26,45.35,46.0,44.93,45.09,2031183.0
HDB,2020-06-29,45.66,45.85,45.22,45.62,2149173.0
HDB,2020-06-30,45.53,45.63,44.98,45.46,1625036.0
HDB,2020-07-01,46.19,48.21,46.08,47.93,3797071.0
HDB,2020-07-02,48.48,48.72,47.63,47.76,1627756.0
HDB,2020-07-06,49.06,49.44,48.64,48.82,1209329.0
HDB,2020-07-07,49.0,49.04,47.79,47.92,1679483.0
HDB,2020-07-08,48.19,48.69,47.84,48.63,2009927.0
HDB,2020-07-09,48.63,48.86,48.01,48.55,1378530.0
HDB,2020-07-10,47.63,48.42,47.46,48.39,1337593.0
HDB,2020-07-13,47.54,47.72,46.74,47.02,2154322.0
HDB,2020-07-14,45.83,46.38,45.62,46.3,1714777.0
HDB,2020-07-15,46.7,47.41,46.6,46.73,1328266.0
HDB,2020-07-16,46.52,46.78,46.24,46.46,808056.0
HDB,2020-07-17,47.61,47.68,47.27,47.28,1230004.0
HDB,2020-07-20,49.16,51.82,48.97,51.51,4134011.0
HDB,2020-07-21,51.47,52.15,51.44,52.05,2112880.0
HDB,2020-07-22,50.61,51.06,49.89,50.12,1695465.0
HDB,2020-07-23,50.09,50.73,49.92,50.15,1174479.0
HDB,2020-07-24,49.89,50.26,49.54,50.25,2584073.0
HDB,2020-07-27,48.46,49.1,48.36,48.55,2870862.0
HDB,2020-07-28,48.04,48.71,47.93,48.5,1853767.0
