Ticker,Date,open,high,low,close,volume
HUYA,2020-01-02,18.35,20.09,18.31,20.02,7339363.0
HUYA,2020-01-03,19.77,19.77,19.11,19.24,4501356.0
HUYA,2020-01-06,19.0,20.23,18.95,19.83,4840612.0
HUYA,2020-01-07,19.95,20.98,19.71,20.82,5789978.0
HUYA,2020-01-08,20.68,21.12,20.45,20.95,3222354.0
HUYA,2020-01-09,21.54,21.73,20.78,20.98,5440323.0
HUYA,2020-01-10,21.09,21.18,20.28,20.39,4059028.0
HUYA,2020-01-13,20.76,21.28,20.54,21.04,3571873.0
HUYA,2020-01-14,20.98,21.07,20.32,20.59,3426267.0
HUYA,2020-01-15,20.53,20.82,20.3,20.68,2483930.0
HUYA,2020-01-16,20.6,21.02,20.35,20.5,2139916.0
HUYA,2020-01-17,20.46,20.59,20.08,20.43,1870559.0
HUYA,2020-01-21,20.3,20.56,19.86,20.48,2931317.0
HUYA,2020-01-22,20.7,20.74,18.29,18.39,8765810.0
HUYA,2020-01-23,18.22,19.3,18.03,19.0,5904765.0
HUYA,2020-01-24,19.03,19.08,18.06,18.15,3462992.0
HUYA,2020-01-27,17.3,18.28,17.3,17.93,3954956.0
HUYA,2020-01-28,18.24,18.4,17.98,18.21,3067591.0
HUYA,2020-01-29,18.41,18.47,17.96,18.42,1608196.0
HUYA,2020-01-30,18.1,18.15,17.67,18.14,2691960.0
HUYA,2020-01-31,17.94,18.2,17.58,17.88,2477781.0
HUYA,2020-02-03,17.98,18.99,17.93,18.6,2564423.0
HUYA,2020-02-04,19.08,19.37,18.68,18.87,2733204.0
HUYA,2020-02-05,19.19,19.22,18.31,18.65,2300632.0
HUYA,2020-02-06,18.87,19.44,18.8,19.06,3279631.0
HUYA,2020-02-07,19.12,19.2,18.68,19.09,1382937.0
HUYA,2020-02-10,19.18,20.39,19.12,20.31,4037895.0
HUYA,2020-02-11,20.54,21.48,20.33,20.39,4655707.0
HUYA,2020-02-12,20.85,21.24,20.46,20.99,2715895.0
HUYA,2020-02-13,20.25,20.81,19.92,20.54,2428178.0
HUYA,2020-02-14,20.98,21.12,20.65,21.05,2011889.0
HUYA,2020-02-18,21.0,21.05,20.18,20.58,2376870.0
HUYA,2020-02-19,20.56,20.88,20.43,20.61,1736553.0
HUYA,2020-02-20,20.75,21.07,20.41,20.93,2251578.0
HUYA,2020-02-21,20.74,20.77,19.86,20.05,2469874.0
HUYA,2020-02-24,19.12,19.82,18.87,19.49,2988737.0
HUYA,2020-02-25,19.99,20.17,19.27,19.27,3243127.0
HUYA,2020-02-26,19.19,19.84,18.91,19.6,1955617.0
HUYA,2020-02-27,19.31,19.31,17.72,18.58,3501101.0
HUYA,2020-02-28,17.92,19.88,17.92,19.81,4592812.0
HUYA,2020-03-02,19.85,19.85,18.93,19.39,2438432.0
HUYA,2020-03-03,19.41,19.9,18.7,19.21,2025948.0
HUYA,2020-03-04,19.4,20.68,19.29,20.38,2696876.0
HUYA,2020-03-05,20.23,20.48,19.5,20.1,2460941.0
HUYA,2020-03-06,19.76,20.0,19.3,19.9,2562235.0
HUYA,2020-03-09,18.38,19.59,17.81,18.99,3218597.0
HUYA,2020-03-10,19.5,19.55,18.07,18.84,2538881.0
HUYA,2020-03-11,18.25,19.19,17.56,17.75,2003712.0
HUYA,2020-03-12,16.74,16.74,14.58,15.46,6170018.0
HUYA,2020-03-13,16.22,16.38,14.51,15.4,4488150.0
HUYA,2020-03-16,14.01,15.13,13.85,14.44,3756042.0
HUYA,2020-03-17,14.97,15.15,13.01,14.85,6246998.0
HUYA,2020-03-18,13.89,14.36,11.78,12.36,6321011.0
HUYA,2020-03-19,12.36,13.87,12.27,13.04,3788149.0
HUYA,2020-03-20,13.8,13.99,13.15,13.36,2100386.0
HUYA,2020-03-23,13.07,13.59,12.41,13.49,2589092.0
HUYA,2020-03-24,14.27,14.71,13.57,14.18,4450798.0
HUYA,2020-03-25,14.52,16.38,14.5,14.98,4794711.0
HUYA,2020-03-26,15.5,17.18,15.4,16.7,4053552.0
HUYA,2020-03-27,15.97,17.05,15.79,16.49,2767409.0
HUYA,2020-03-30,16.6,16.97,16.1,16.9,2297773.0
HUYA,2020-03-31,16.93,17.59,16.54,16.95,2761829.0
HUYA,2020-04-01,16.59,17.75,16.46,16.7,2486246.0
HUYA,2020-04-02,16.53,17.3,16.1,16.99,1930863.0
HUYA,2020-04-03,18.02,18.54,15.7,15.97,6420143.0
HUYA,2020-04-06,16.59,16.84,16.06,16.13,2577339.0
HUYA,2020-04-07,16.61,16.75,14.5,15.08,5678722.0
HUYA,2020-04-08,14.71,15.74,14.7,15.37,3490355.0
HUYA,2020-04-09,15.5,15.85,15.03,15.62,2344346.0
HUYA,2020-04-13,15.56,16.12,15.33,15.95,2235480.0
HUYA,2020-04-14,16.39,16.88,16.05,16.58,3209152.0
HUYA,2020-04-15,16.2,16.8,15.66,16.54,2586428.0
HUYA,2020-04-16,16.61,16.82,15.82,16.05,2421231.0
HUYA,2020-04-17,16.46,16.61,15.91,16.55,2749092.0
HUYA,2020-04-20,16.3,16.74,15.95,16.18,2114595.0
HUYA,2020-04-21,15.82,15.94,14.76,15.17,3093049.0
HUYA,2020-04-22,15.49,15.53,14.87,15.44,2591741.0
HUYA,2020-04-23,15.28,15.74,15.2,15.39,2001723.0
HUYA,2020-04-24,15.59,16.32,15.3,16.21,2763663.0
HUYA,2020-04-27,16.45,16.72,16.27,16.32,3387531.0
HUYA,2020-04-28,16.6,16.6,15.51,15.71,1954714.0
HUYA,2020-04-29,15.92,16.09,15.41,15.99,1950421.0
HUYA,2020-04-30,16.03,16.98,15.76,16.23,2570982.0
HUYA,2020-05-01,15.68,15.85,14.53,15.11,3353719.0
HUYA,2020-05-04,14.81,15.25,14.75,15.1,1893888.0
HUYA,2020-05-05,15.46,15.82,14.64,14.7,2265549.0
HUYA,2020-05-06,15.13,15.34,14.87,15.04,1337198.0
HUYA,2020-05-07,15.22,15.57,15.02,15.5,1528416.0
HUYA,2020-05-08,15.58,16.21,15.42,15.85,1740162.0
HUYA,2020-05-11,15.8,16.14,15.64,16.1,1934433.0
HUYA,2020-05-12,16.4,16.57,15.8,15.84,1982893.0
HUYA,2020-05-13,16.0,16.23,15.57,16.03,1719566.0
HUYA,2020-05-14,15.8,16.39,15.31,16.34,1465110.0
HUYA,2020-05-15,16.12,17.25,16.1,17.13,2675565.0
HUYA,2020-05-18,17.72,18.41,17.33,17.5,4154756.0
HUYA,2020-05-19,17.96,19.18,17.75,18.75,4378154.0
HUYA,2020-05-20,19.14,20.12,18.62,19.15,7926565.0
HUYA,2020-05-21,17.57,17.98,16.51,17.09,8391744.0
HUYA,2020-05-22,16.52,16.52,15.31,15.54,6535194.0
HUYA,2020-05-26,16.0,16.88,16.0,16.32,4010693.0
HUYA,2020-05-27,16.5,16.75,15.84,16.3,2417357.0
HUYA,2020-05-28,16.08,16.25,15.52,15.61,2264372.0
HUYA,2020-05-29,15.6,15.82,14.98,15.52,2892205.0
HUYA,2020-06-01,15.5,16.16,15.36,16.05,3001456.0
HUYA,2020-06-02,16.0,16.9,15.92,16.57,3053479.0
HUYA,2020-06-03,16.5,16.9,16.05,16.82,3752242.0
HUYA,2020-06-04,16.91,17.43,16.72,16.93,2911974.0
HUYA,2020-06-05,16.56,16.74,15.88,16.68,4624469.0
HUYA,2020-06-08,16.86,17.13,16.51,16.59,2197610.0
HUYA,2020-06-09,16.5,16.5,15.86,15.91,2322393.0
HUYA,2020-06-10,16.0,16.33,15.46,16.04,2759338.0
HUYA,2020-06-11,16.15,17.88,16.05,17.25,8338199.0
HUYA,2020-06-12,17.7,17.73,16.39,16.48,3655747.0
HUYA,2020-06-15,16.35,17.8,16.16,17.44,3604231.0
HUYA,2020-06-16,18.2,18.55,17.8,18.49,3555696.0
HUYA,2020-06-17,18.88,19.3,18.63,19.03,3748190.0
HUYA,2020-06-18,18.99,19.99,18.84,19.47,2765937.0
HUYA,2020-06-19,19.87,20.78,19.79,20.22,4932431.0
HUYA,2020-06-22,20.1,20.15,19.08,19.5,2864536.0
HUYA,2020-06-23,18.47,18.87,18.17,18.52,4315212.0
HUYA,2020-06-24,18.23,18.28,17.72,17.98,2268547.0
HUYA,2020-06-25,18.25,18.7,18.05,18.54,1492905.0
HUYA,2020-06-26,18.52,18.91,18.22,18.63,1770110.0
HUYA,2020-06-29,18.86,19.6,18.61,18.83,2174200.0
HUYA,2020-06-30,18.99,19.4,18.58,18.67,3123521.0
HUYA,2020-07-01,18.86,19.59,18.8,19.49,1565184.0
HUYA,2020-07-02,19.84,20.0,19.33,19.48,1864491.0
HUYA,2020-07-06,20.4,22.5,20.22,22.48,5609484.0
HUYA,2020-07-07,22.42,22.71,21.79,22.42,2675171.0
HUYA,2020-07-08,22.8,23.94,22.52,23.66,3471209.0
HUYA,2020-07-09,24.19,24.73,23.75,24.31,4491580.0
HUYA,2020-07-10,24.12,24.62,23.81,24.4,1935820.0
HUYA,2020-07-13,25.0,25.47,23.71,23.74,2058698.0
HUYA,2020-07-14,22.75,23.99,22.15,23.97,2809909.0
HUYA,2020-07-15,24.0,24.09,22.76,23.74,2444468.0
HUYA,2020-07-16,22.5,23.74,22.32,23.55,1752048.0
HUYA,2020-07-17,23.66,24.51,23.45,24.28,2469327.0
HUYA,2020-07-20,24.48,25.38,24.3,24.82,2332641.0
HUYA,2020-07-21,24.8,26.44,24.79,24.97,7449100.0
HUYA,2020-07-22,24.34,24.83,23.27,23.79,2880099.0
HUYA,2020-07-23,24.0,24.2,22.66,22.79,2497823.0
HUYA,2020-07-24,22.05,22.62,21.65,22.47,2068595.0
HUYA,2020-07-27,22.54,22.68,22.04,22.37,1101509.0
HUYA,2020-07-28,22.52,23.66,22.26,22.78,1911024.0
HUYA,2020-07-29,23.13,23.77,22.88,23.46,1280489.0
HUYA,2020-07-30,23.14,23.52,22.99,23.43,1243513.0
HUYA,2020-07-31,23.71,24.61,23.43,24.32,3296292.0
HUYA,2020-08-03,24.55,24.71,23.7,24.1,2205691.0
HUYA,2020-08-04,24.29,25.23,24.29,25.11,2245231.0
HUYA,2020-08-05,28.01,28.13,26.58,27.06,6080251.0
HUYA,2020-08-06,27.57,28.47,27.5,28.01,4706256.0
HUYA,2020-08-07,26.69,27.69,26.08,26.66,2473282.0
HUYA,2020-08-10,27.44,28.59,23.32,24.04,7051931.0
HUYA,2020-08-11,24.15,24.88,22.34,24.06,6224197.0
HUYA,2020-08-12,24.18,25.73,23.92,25.73,3040143.0
HUYA,2020-08-13,25.3,25.94,24.28,24.72,2731532.0
HUYA,2020-08-14,24.48,24.68,24.0,24.12,3122714.0
HUYA,2020-08-17,24.54,24.99,24.27,24.8,1831854.0
HUYA,2020-08-18,24.99,26.15,24.92,25.5,1967275.0
HUYA,2020-08-19,25.5,25.86,24.71,24.84,1812078.0
HUYA,2020-08-20,24.8,25.41,24.54,24.59,1288017.0
HUYA,2020-08-21,24.75,25.07,24.55,24.69,776971.0
HUYA,2020-08-24,24.97,26.63,24.93,26.44,3335018.0
HUYA,2020-08-25,26.44,27.36,25.7,27.11,2663328.0
HUYA,2020-08-26,27.18,28.1,27.11,27.86,3203944.0
HUYA,2020-08-27,28.0,28.22,27.63,28.19,1783412.0
HUYA,2020-08-28,28.03,28.89,27.92,28.8,1875882.0
HUYA,2020-08-31,28.95,29.13,28.42,28.72,2728815.0
HUYA,2020-09-01,28.73,29.67,28.7,29.58,2859102.0
HUYA,2020-09-02,29.93,30.62,29.14,29.47,2672085.0
HUYA,2020-09-03,28.7,28.84,25.51,26.8,2989371.0
HUYA,2020-09-04,26.01,27.44,25.03,27.05,2141683.0
HUYA,2020-09-08,25.76,26.5,25.3,26.19,2007210.0
HUYA,2020-09-09,26.63,27.21,26.17,27.05,1281998.0
HUYA,2020-09-10,27.43,27.45,25.5,25.61,1646132.0
HUYA,2020-09-11,25.92,26.09,25.05,25.79,1361362.0
HUYA,2020-09-14,26.17,26.9,26.08,26.51,1517729.0
HUYA,2020-09-15,26.93,27.42,26.41,27.13,1674452.0
HUYA,2020-09-16,27.3,27.6,26.86,27.25,1172103.0
HUYA,2020-09-17,26.5,27.69,26.41,27.56,1409130.0
HUYA,2020-09-18,27.55,27.6,26.62,26.87,1968110.0
HUYA,2020-09-21,26.45,26.5,25.09,25.99,1647815.0
HUYA,2020-09-22,26.1,26.25,25.51,26.18,966853.0
HUYA,2020-09-23,26.14,26.27,25.01,25.14,1071231.0
HUYA,2020-09-24,24.71,25.42,24.43,25.09,880335.0
HUYA,2020-09-25,25.33,25.45,24.85,25.02,619801.0
HUYA,2020-09-28,25.66,25.71,24.21,24.8,1255793.0
HUYA,2020-09-29,24.88,24.95,23.55,23.7,1602052.0
HUYA,2020-09-30,23.78,24.23,23.34,23.95,2069081.0
HUYA,2020-10-01,23.96,25.26,23.96,24.97,1617376.0
HUYA,2020-10-02,24.38,25.86,24.33,25.55,1813997.0
HUYA,2020-10-05,25.6,25.8,24.14,24.36,1283601.0
HUYA,2020-10-06,24.7,25.2,24.14,24.36,1056239.0
HUYA,2020-10-07,24.49,24.78,24.31,24.6,913934.0
HUYA,2020-10-08,24.81,24.9,24.44,24.52,868084.0
HUYA,2020-10-09,24.79,25.87,24.61,25.79,1171968.0
HUYA,2020-10-12,23.74,24.37,22.36,22.91,19103237.0
HUYA,2020-10-13,23.53,23.57,21.42,22.34,10638658.0
HUYA,2020-10-14,22.4,22.53,21.83,22.24,4342881.0
HUYA,2020-10-15,21.93,22.38,21.85,22.15,2884313.0
HUYA,2020-10-16,22.39,22.44,21.83,22.19,2509558.0
HUYA,2020-10-19,22.35,23.0,21.92,23.0,3717897.0
HUYA,2020-10-20,23.09,23.11,21.8,21.89,2691441.0
HUYA,2020-10-21,22.16,22.21,21.71,21.75,1837117.0
HUYA,2020-10-22,21.85,22.1,21.02,21.2,2442974.0
HUYA,2020-10-23,21.24,21.77,21.12,21.68,1609080.0
HUYA,2020-10-26,21.45,21.94,21.15,21.4,1500915.0
HUYA,2020-10-27,21.27,22.03,21.22,21.99,1279463.0
HUYA,2020-10-28,21.33,21.35,20.23,20.79,3336223.0
HUYA,2020-10-29,20.95,22.09,20.95,22.0,2600081.0
HUYA,2020-10-30,21.68,22.46,21.49,22.4,4835654.0
HUYA,2020-11-02,22.3,22.45,21.63,22.05,2762638.0
HUYA,2020-11-03,21.94,22.54,21.47,22.15,5051633.0
HUYA,2020-11-04,22.16,22.75,22.02,22.64,4066101.0
HUYA,2020-11-05,23.15,23.15,21.31,22.67,5054028.0
HUYA,2020-11-06,22.43,22.86,21.83,22.0,2444783.0
HUYA,2020-11-09,22.12,22.19,20.57,21.02,5618596.0
HUYA,2020-11-10,21.04,21.23,19.75,19.91,5943344.0
HUYA,2020-11-11,20.08,21.08,19.16,20.6,5082041.0
HUYA,2020-11-12,21.0,22.17,20.98,21.36,4607463.0
HUYA,2020-11-13,21.86,22.07,21.3,21.52,1875773.0
HUYA,2020-11-16,21.84,22.14,21.37,21.6,2504045.0
HUYA,2020-11-17,21.7,21.82,21.16,21.73,2363445.0
HUYA,2020-11-18,21.59,21.6,20.48,20.91,3591247.0
HUYA,2020-11-19,20.74,21.48,20.48,20.99,3936452.0
HUYA,2020-11-20,21.49,21.49,20.77,20.97,5832782.0
HUYA,2020-11-23,20.8,21.61,20.7,21.61,3887318.0
