Ticker,Date,open,high,low,close,volume
HXL,2020-01-02,73.73,75.39,73.72,75.35,611972.0
HXL,2020-01-03,74.81,75.93,74.78,75.76,714518.0
HXL,2020-01-06,75.47,75.88,74.68,75.36,739030.0
HXL,2020-01-07,74.87,74.91,73.66,74.68,957963.0
HXL,2020-01-08,74.44,74.93,73.83,73.97,673245.0
HXL,2020-01-09,73.78,74.45,73.14,74.3,767815.0
HXL,2020-01-10,74.01,74.67,72.86,72.91,456810.0
HXL,2020-01-13,78.68,80.49,78.05,79.89,5953037.0
HXL,2020-01-14,79.71,80.0,77.52,78.15,4113116.0
HXL,2020-01-15,78.24,78.35,76.49,76.86,1686453.0
HXL,2020-01-16,77.09,78.29,76.94,78.18,1297369.0
HXL,2020-01-17,77.86,78.21,77.3,77.75,1046649.0
HXL,2020-01-21,77.55,78.23,75.93,76.93,1446117.0
HXL,2020-01-22,76.68,77.32,74.11,74.49,1948447.0
HXL,2020-01-23,74.55,74.85,73.68,74.45,1235472.0
HXL,2020-01-24,74.91,74.95,73.48,74.22,687041.0
HXL,2020-01-27,73.22,74.31,72.93,73.63,526764.0
HXL,2020-01-28,73.54,74.15,72.5,73.75,627350.0
HXL,2020-01-29,74.28,74.37,73.32,73.65,402647.0
HXL,2020-01-30,73.14,74.17,72.52,74.16,511391.0
HXL,2020-01-31,73.8,74.72,72.77,74.22,1019211.0
HXL,2020-02-03,74.55,75.08,73.57,73.8,548767.0
HXL,2020-02-04,75.83,77.29,74.42,74.66,1291224.0
HXL,2020-02-05,74.89,75.35,72.67,74.59,1175665.0
HXL,2020-02-06,74.61,75.62,74.15,74.74,952628.0
HXL,2020-02-07,74.63,74.75,73.9,74.24,576603.0
HXL,2020-02-10,74.06,74.5,73.73,73.74,625451.0
HXL,2020-02-11,73.88,74.3,73.17,73.22,368795.0
HXL,2020-02-12,73.54,74.65,72.45,74.5,855848.0
HXL,2020-02-13,73.92,75.21,73.92,75.11,1121254.0
HXL,2020-02-14,75.04,75.45,73.88,74.12,577940.0
HXL,2020-02-18,73.88,74.58,73.43,73.84,350356.0
HXL,2020-02-19,73.87,74.98,73.87,74.73,460550.0
HXL,2020-02-20,74.57,76.4,74.57,76.3,739979.0
HXL,2020-02-21,75.94,76.24,75.24,75.84,503718.0
HXL,2020-02-24,74.03,74.24,72.55,73.88,751846.0
HXL,2020-02-25,74.07,74.07,69.94,70.15,547574.0
HXL,2020-02-26,70.36,71.13,70.04,70.38,770999.0
HXL,2020-02-27,69.23,69.72,66.99,67.37,977946.0
HXL,2020-02-28,65.07,65.76,62.02,64.63,2208705.0
HXL,2020-03-02,64.63,67.14,63.31,67.11,1151025.0
HXL,2020-03-03,67.48,69.66,65.56,66.81,1126634.0
HXL,2020-03-04,67.7,70.27,66.04,69.44,1570699.0
HXL,2020-03-05,67.53,67.75,62.94,63.38,1053300.0
HXL,2020-03-06,61.41,63.66,60.76,62.32,1025836.0
HXL,2020-03-09,57.73,57.73,54.44,56.28,1334913.0
HXL,2020-03-10,58.48,59.17,56.02,59.03,1021910.0
HXL,2020-03-11,57.19,57.46,52.39,52.8,1646418.0
HXL,2020-03-12,45.38,50.11,44.14,48.48,2335328.0
HXL,2020-03-13,49.91,51.83,45.8,50.72,1297107.0
HXL,2020-03-16,46.05,46.73,38.63,40.11,1240867.0
HXL,2020-03-17,40.52,40.88,35.5,39.21,1615787.0
HXL,2020-03-18,34.6,36.5,30.0,31.32,1485449.0
HXL,2020-03-19,30.87,33.97,28.05,32.55,2150909.0
HXL,2020-03-20,33.2,35.17,31.1,32.01,2127864.0
HXL,2020-03-23,31.63,32.01,28.53,29.51,1746565.0
HXL,2020-03-24,31.36,34.96,31.04,33.63,1383248.0
HXL,2020-03-25,36.72,41.46,33.32,40.26,2363560.0
HXL,2020-03-26,40.65,44.88,40.5,44.19,2227826.0
HXL,2020-03-27,41.75,42.02,38.37,38.49,1888372.0
HXL,2020-03-30,37.92,38.25,35.63,36.16,1849379.0
HXL,2020-03-31,36.32,37.23,35.57,37.19,1981263.0
HXL,2020-04-01,34.88,35.63,33.28,33.61,968668.0
HXL,2020-04-02,33.22,34.99,32.09,32.74,1140697.0
HXL,2020-04-03,33.09,33.6,30.53,31.59,1644620.0
HXL,2020-04-06,34.27,34.55,30.4,31.29,4171683.0
HXL,2020-04-07,33.74,35.59,31.73,34.01,2840461.0
HXL,2020-04-08,34.76,36.83,34.14,36.38,1610066.0
HXL,2020-04-09,37.96,39.32,34.92,35.42,2801798.0
HXL,2020-04-13,34.98,35.24,31.52,32.37,1857035.0
HXL,2020-04-14,33.01,33.46,30.46,30.99,1998340.0
HXL,2020-04-15,30.0,31.17,28.79,31.03,2086305.0
HXL,2020-04-16,30.85,30.87,28.13,29.43,1738490.0
HXL,2020-04-17,31.75,33.27,31.51,32.31,1679542.0
HXL,2020-04-20,31.19,31.96,30.11,31.03,2030758.0
HXL,2020-04-21,29.51,31.34,28.13,28.57,1861994.0
HXL,2020-04-22,29.33,29.52,27.31,27.5,1726063.0
