Ticker,Date,open,high,low,close,volume
IBKR,2020-01-02,46.89,48.05,46.5,47.8,569433.0
IBKR,2020-01-03,47.19,47.47,46.5,47.22,547161.0
IBKR,2020-01-06,46.66,47.51,46.1,47.43,680759.0
IBKR,2020-01-07,47.55,47.59,47.04,47.17,390218.0
IBKR,2020-01-08,47.12,48.18,47.03,48.08,359001.0
IBKR,2020-01-09,48.45,48.83,48.0,48.61,243148.0
IBKR,2020-01-10,48.83,48.83,47.95,48.52,274989.0
IBKR,2020-01-13,48.57,49.24,48.15,49.04,349724.0
IBKR,2020-01-14,49.11,49.89,48.79,49.04,404422.0
IBKR,2020-01-15,48.98,49.38,48.1,48.56,330443.0
IBKR,2020-01-16,49.01,50.77,48.96,49.79,534537.0
IBKR,2020-01-17,50.11,50.72,49.77,50.15,483749.0
IBKR,2020-01-21,50.15,51.44,49.91,50.83,663237.0
IBKR,2020-01-22,49.97,50.5,48.56,49.19,986347.0
IBKR,2020-01-23,48.78,49.17,48.18,48.24,731106.0
IBKR,2020-01-24,48.18,48.37,47.31,47.65,671537.0
IBKR,2020-01-27,46.86,47.62,46.3,46.95,652560.0
IBKR,2020-01-28,47.05,47.66,46.48,46.95,501069.0
IBKR,2020-01-29,47.09,48.49,46.96,47.95,384492.0
IBKR,2020-01-30,47.47,48.59,47.47,48.58,304980.0
IBKR,2020-01-31,48.22,48.24,46.56,47.0,616938.0
IBKR,2020-02-03,47.41,51.24,47.38,51.17,1113813.0
IBKR,2020-02-04,51.46,54.57,51.46,53.36,1091927.0
IBKR,2020-02-05,54.3,54.3,51.75,52.14,558199.0
IBKR,2020-02-06,52.28,53.08,51.44,51.73,528868.0
IBKR,2020-02-07,51.54,51.91,51.13,51.75,197832.0
IBKR,2020-02-10,51.63,53.47,51.5,53.45,456370.0
IBKR,2020-02-11,54.08,55.29,53.52,55.24,856287.0
IBKR,2020-02-12,55.56,55.56,54.26,55.2,363995.0
IBKR,2020-02-13,55.09,55.32,54.51,55.27,291662.0
IBKR,2020-02-14,55.28,55.47,54.94,55.14,261960.0
IBKR,2020-02-18,54.89,55.54,54.42,54.82,347693.0
IBKR,2020-02-19,54.91,56.18,54.91,55.87,393299.0
IBKR,2020-02-20,57.6,58.5,56.38,57.0,1030897.0
IBKR,2020-02-21,56.74,56.74,54.38,55.04,611146.0
IBKR,2020-02-24,53.0,54.37,52.26,53.95,657268.0
IBKR,2020-02-25,54.0,54.14,51.45,52.28,586239.0
IBKR,2020-02-26,52.67,54.42,52.62,54.06,854549.0
IBKR,2020-02-27,52.61,55.41,51.58,51.64,1062205.0
IBKR,2020-02-28,50.3,51.99,49.07,51.1,1432314.0
IBKR,2020-03-02,51.4,54.64,50.38,54.23,1312101.0
IBKR,2020-03-03,54.27,54.99,51.47,51.66,1018720.0
IBKR,2020-03-04,52.01,52.08,49.66,50.59,1427505.0
IBKR,2020-03-05,49.2,50.07,47.57,48.23,1015988.0
IBKR,2020-03-06,46.54,48.26,45.73,48.0,1642588.0
IBKR,2020-03-09,44.16,44.71,40.7,43.91,1006895.0
IBKR,2020-03-10,45.12,46.97,44.96,46.66,899621.0
IBKR,2020-03-11,45.21,45.58,44.03,44.66,1018003.0
IBKR,2020-03-12,41.7,43.93,41.0,41.43,1365430.0
IBKR,2020-03-13,43.41,44.13,39.82,44.12,1516135.0
IBKR,2020-03-16,37.12,41.93,37.02,39.91,1073117.0
IBKR,2020-03-17,41.11,42.85,39.63,42.66,1109187.0
IBKR,2020-03-18,39.36,42.69,37.14,38.24,1576558.0
IBKR,2020-03-19,37.28,40.93,36.47,40.67,967298.0
IBKR,2020-03-20,40.29,42.84,37.44,37.9,1040722.0
IBKR,2020-03-23,37.97,37.97,33.7,35.28,1188434.0
IBKR,2020-03-24,37.25,40.99,36.46,40.74,991652.0
IBKR,2020-03-25,41.0,44.78,40.85,43.49,936337.0
IBKR,2020-03-26,43.4,44.92,41.77,43.12,578172.0
IBKR,2020-03-27,42.21,42.6,40.52,41.42,706729.0
IBKR,2020-03-30,41.72,42.95,41.05,42.2,631569.0
IBKR,2020-03-31,41.65,43.84,41.28,43.17,827658.0
IBKR,2020-04-01,42.45,43.77,41.83,43.25,1087470.0
IBKR,2020-04-02,43.2,45.16,42.67,44.44,764029.0
IBKR,2020-04-03,44.79,45.41,42.41,42.69,575121.0
IBKR,2020-04-06,44.05,45.38,43.91,45.25,638038.0
IBKR,2020-04-07,46.86,47.19,43.76,43.96,542057.0
IBKR,2020-04-08,44.29,45.41,43.69,45.2,338632.0
IBKR,2020-04-09,46.65,47.35,44.83,45.53,460664.0
IBKR,2020-04-13,45.33,45.62,44.11,44.49,330952.0
IBKR,2020-04-14,44.38,45.71,44.38,45.32,348434.0
IBKR,2020-04-15,44.1,45.38,44.0,44.74,297883.0
IBKR,2020-04-16,44.81,45.6,43.66,45.52,755486.0
IBKR,2020-04-17,46.88,47.16,45.38,45.93,448412.0
IBKR,2020-04-20,44.94,46.6,44.34,44.37,829746.0
IBKR,2020-04-21,44.34,44.65,41.94,43.19,957076.0
IBKR,2020-04-22,39.75,40.19,38.41,39.39,3574362.0
IBKR,2020-04-23,40.18,40.24,38.5,39.21,1239546.0
IBKR,2020-04-24,39.22,39.26,38.05,38.62,893997.0
IBKR,2020-04-27,38.95,40.37,38.26,40.12,1204013.0
IBKR,2020-04-28,41.1,41.11,39.15,39.51,1180888.0
IBKR,2020-04-29,40.14,42.04,39.88,41.65,1218473.0
IBKR,2020-04-30,41.2,41.22,40.34,41.0,643496.0
IBKR,2020-05-01,40.88,41.24,39.94,41.03,548271.0
IBKR,2020-05-04,40.53,41.05,40.17,40.59,423646.0
IBKR,2020-05-05,41.31,41.37,40.14,40.26,396157.0
IBKR,2020-05-06,40.64,41.01,40.01,40.17,531549.0
IBKR,2020-05-07,40.6,41.08,40.3,40.47,461752.0
IBKR,2020-05-08,40.76,41.37,40.35,41.13,670150.0
IBKR,2020-05-11,40.86,41.39,40.21,40.23,570059.0
IBKR,2020-05-12,40.34,40.64,38.53,38.61,585805.0
IBKR,2020-05-13,38.34,38.47,36.91,37.12,671933.0
IBKR,2020-05-14,36.62,37.75,36.25,37.68,613109.0
IBKR,2020-05-15,37.48,37.58,37.01,37.24,549814.0
IBKR,2020-05-18,37.79,39.39,37.79,39.1,623950.0
IBKR,2020-05-19,39.01,39.24,38.4,38.45,578947.0
IBKR,2020-05-20,39.9,39.97,38.79,39.19,656328.0
