Ticker,Date,open,high,low,close,volume
INCY,2020-01-02,86.91,87.97,85.36,85.97,1693476.0
INCY,2020-01-03,76.15,78.1,75.16,77.9,5529476.0
INCY,2020-01-06,77.27,77.43,75.52,77.34,2817215.0
INCY,2020-01-07,77.28,77.62,76.16,77.14,1536063.0
INCY,2020-01-08,77.29,77.45,76.08,76.53,1698561.0
INCY,2020-01-09,76.5,78.69,76.5,77.95,1977724.0
INCY,2020-01-10,77.7,78.25,76.32,76.47,1204044.0
INCY,2020-01-13,76.58,77.92,75.81,77.1,1938130.0
INCY,2020-01-14,77.38,81.64,77.1,81.47,2830830.0
INCY,2020-01-15,81.12,82.38,80.29,80.54,1105093.0
INCY,2020-01-16,81.08,81.57,80.29,80.62,1343488.0
INCY,2020-01-17,80.98,81.11,80.05,80.5,1418531.0
INCY,2020-01-21,80.17,80.26,78.46,78.65,1228460.0
INCY,2020-01-22,78.83,79.53,78.22,78.48,845417.0
INCY,2020-01-23,78.57,78.93,77.45,78.24,1167474.0
INCY,2020-01-24,78.15,78.76,75.83,76.74,1299022.0
INCY,2020-01-27,75.68,76.43,75.24,76.07,1097806.0
INCY,2020-01-28,79.0,79.06,75.37,76.46,2016290.0
INCY,2020-01-29,76.09,76.35,74.82,74.99,1270668.0
INCY,2020-01-30,74.55,74.55,72.97,73.14,1481950.0
INCY,2020-01-31,72.55,73.6,71.84,73.07,1480098.0
INCY,2020-02-03,73.95,74.1,72.57,72.94,1258258.0
INCY,2020-02-04,73.73,74.52,73.0,73.88,1066778.0
INCY,2020-02-05,74.56,77.33,74.5,76.0,1384659.0
INCY,2020-02-06,76.19,76.19,74.66,75.81,906759.0
INCY,2020-02-07,75.66,75.74,74.08,74.14,843084.0
INCY,2020-02-10,73.66,75.26,73.51,75.11,849740.0
INCY,2020-02-11,75.28,76.78,75.16,76.14,985510.0
INCY,2020-02-12,76.4,77.16,75.25,75.83,2120290.0
INCY,2020-02-13,77.6,78.44,75.01,78.05,2227536.0
INCY,2020-02-14,78.01,78.46,77.45,78.45,1370174.0
INCY,2020-02-18,79.0,79.33,78.13,79.3,1209877.0
INCY,2020-02-19,79.69,82.59,79.64,82.42,1895420.0
INCY,2020-02-20,82.0,83.12,80.93,82.77,2653348.0
INCY,2020-02-21,82.28,82.74,80.38,80.89,1413961.0
INCY,2020-02-24,79.88,80.31,77.42,78.87,1366786.0
INCY,2020-02-25,79.06,79.69,76.77,77.32,2174593.0
INCY,2020-02-26,78.06,79.22,76.97,77.97,1442275.0
INCY,2020-02-27,76.95,78.38,75.64,75.84,1641737.0
INCY,2020-02-28,73.69,76.44,73.5,75.41,2525548.0
INCY,2020-03-02,75.73,79.1,75.35,79.06,2261393.0
INCY,2020-03-03,78.55,79.77,76.63,77.8,1939411.0
INCY,2020-03-04,79.15,80.24,77.85,80.16,2043844.0
INCY,2020-03-05,78.35,80.15,78.0,78.61,1430221.0
INCY,2020-03-06,75.18,76.9,74.82,76.04,1800123.0
INCY,2020-03-09,72.47,73.49,71.02,71.09,2063140.0
INCY,2020-03-10,72.69,74.32,70.27,74.31,2933068.0
INCY,2020-03-11,72.18,73.89,70.97,71.9,2347053.0
INCY,2020-03-12,68.15,71.54,67.93,68.02,4007551.0
INCY,2020-03-13,69.55,74.0,69.55,73.84,3552462.0
INCY,2020-03-16,67.95,75.34,67.13,71.6,3589049.0
INCY,2020-03-17,73.11,76.48,69.87,70.37,3429631.0
INCY,2020-03-18,67.9,72.87,63.35,66.9,2668124.0
INCY,2020-03-19,66.3,67.81,63.95,66.51,2650695.0
INCY,2020-03-20,67.26,72.42,66.51,66.96,2726548.0
INCY,2020-03-23,67.7,68.6,62.48,63.18,2447223.0
INCY,2020-03-24,65.39,68.03,63.29,67.43,2793955.0
INCY,2020-03-25,66.75,71.48,65.71,69.59,2500098.0
INCY,2020-03-26,68.7,73.28,68.7,73.05,1855992.0
INCY,2020-03-27,71.2,72.16,68.55,68.96,1463870.0
INCY,2020-03-30,70.2,72.53,69.25,72.17,2023231.0
INCY,2020-03-31,71.44,73.89,70.52,73.23,1695265.0
INCY,2020-04-01,72.05,74.84,71.53,74.18,1966435.0
INCY,2020-04-02,73.51,77.42,73.51,77.07,1513547.0
INCY,2020-04-03,77.59,79.49,77.24,78.59,2222256.0
INCY,2020-04-06,80.55,85.25,80.25,85.11,3234069.0
INCY,2020-04-07,86.21,87.85,85.13,86.66,2971522.0
INCY,2020-04-08,86.74,88.59,85.95,87.75,2086107.0
INCY,2020-04-09,87.34,87.99,85.17,86.81,1810463.0
INCY,2020-04-13,85.68,88.24,85.68,88.01,1452276.0
INCY,2020-04-14,88.24,91.74,88.24,91.28,1937720.0
INCY,2020-04-15,89.22,91.79,88.93,90.95,1642214.0
INCY,2020-04-16,91.99,96.14,91.43,95.66,3501253.0
INCY,2020-04-17,97.83,100.27,96.16,100.0,3859345.0
INCY,2020-04-20,99.8,102.42,99.3,101.19,2422789.0
INCY,2020-04-21,99.5,100.75,97.9,99.46,2620919.0
INCY,2020-04-22,100.29,101.99,99.56,100.97,1612408.0
INCY,2020-04-23,101.41,104.2,100.55,101.9,1262702.0
INCY,2020-04-24,102.74,103.96,101.61,103.48,1535459.0
INCY,2020-04-27,104.0,104.81,102.4,102.98,1249723.0
INCY,2020-04-28,104.28,104.36,96.7,97.67,2779248.0
INCY,2020-04-29,98.14,98.94,95.18,95.96,1779975.0
INCY,2020-04-30,95.69,98.35,95.03,97.66,1564337.0
INCY,2020-05-01,97.25,98.21,96.2,97.3,1279344.0
INCY,2020-05-04,97.71,101.38,97.71,100.99,1502148.0
INCY,2020-05-05,99.35,100.52,97.01,98.82,1850059.0
INCY,2020-05-06,96.84,97.87,95.38,96.08,1556924.0
INCY,2020-05-07,97.16,97.82,95.6,96.47,1327838.0
INCY,2020-05-08,96.88,96.93,94.67,95.92,1198601.0
INCY,2020-05-11,96.09,99.65,95.66,99.33,1534449.0
INCY,2020-05-12,100.0,100.14,96.74,96.74,1618089.0
INCY,2020-05-13,96.98,98.66,95.33,96.45,1648886.0
INCY,2020-05-14,95.85,96.51,93.86,94.83,1085544.0
INCY,2020-05-15,94.09,96.15,93.22,96.12,1228817.0
INCY,2020-05-18,97.88,98.81,96.26,96.46,1160206.0
INCY,2020-05-19,97.33,97.48,94.36,94.92,961686.0
INCY,2020-05-20,95.43,98.49,93.64,98.32,1765947.0
INCY,2020-05-21,98.49,98.93,96.97,98.68,1462629.0
INCY,2020-05-22,97.67,99.8,97.45,99.37,1320517.0
INCY,2020-05-26,100.41,101.88,98.11,98.68,3190272.0
INCY,2020-05-27,98.73,99.81,96.62,98.22,2432560.0
INCY,2020-05-28,98.36,102.98,98.02,100.55,1659512.0
INCY,2020-05-29,101.21,102.57,99.57,101.91,3134069.0
INCY,2020-06-01,101.7,102.58,100.52,101.75,1345205.0
INCY,2020-06-02,101.12,102.17,99.17,100.9,1902041.0
INCY,2020-06-03,100.81,100.81,97.55,98.83,1630398.0
INCY,2020-06-04,98.19,99.35,93.48,93.8,1528729.0
INCY,2020-06-05,93.17,96.32,90.17,93.51,1599685.0
INCY,2020-06-08,91.87,94.6,91.05,94.58,1387509.0
INCY,2020-06-09,95.09,95.17,92.5,93.0,1199207.0
INCY,2020-06-10,94.19,95.04,92.97,93.04,1318323.0
INCY,2020-06-11,93.39,93.88,90.68,90.81,1934597.0
INCY,2020-06-12,92.35,93.69,89.96,92.07,1079781.0
INCY,2020-06-15,90.49,93.95,90.47,93.51,1281635.0
