Ticker,Date,open,high,low,close,volume
INMD,2020-01-02,40.0,40.49,37.83,38.11,1064087.0
INMD,2020-01-03,36.78,38.15,34.6,36.85,1131593.0
INMD,2020-01-06,35.89,36.5,34.75,35.04,1529710.0
INMD,2020-01-07,35.22,38.92,35.0,38.01,1576432.0
INMD,2020-01-08,38.09,38.66,36.8,38.04,883291.0
INMD,2020-01-09,38.62,41.5,38.5,41.23,1918507.0
INMD,2020-01-10,41.75,44.45,41.75,42.14,2717251.0
INMD,2020-01-13,42.83,45.35,42.75,44.74,1846460.0
INMD,2020-01-14,44.91,45.95,39.8,41.49,2226090.0
INMD,2020-01-15,41.75,43.66,41.38,42.36,1030390.0
INMD,2020-01-16,42.65,44.97,42.56,44.72,1215657.0
INMD,2020-01-17,45.12,47.18,43.56,45.05,2002186.0
INMD,2020-01-21,45.05,47.31,45.0,46.99,1436701.0
INMD,2020-01-22,47.75,47.95,45.16,46.15,1088374.0
INMD,2020-01-23,48.0,51.1,47.1,49.75,3064665.0
INMD,2020-01-24,51.27,53.2,46.6,48.9,2623329.0
INMD,2020-01-27,46.05,48.2,43.9,43.9,1841799.0
INMD,2020-01-28,46.23,47.55,45.05,47.27,1562702.0
INMD,2020-01-29,48.0,49.5,47.11,48.23,924607.0
INMD,2020-01-30,46.77,47.5,45.0,46.55,920254.0
INMD,2020-01-31,45.66,46.0,42.5,43.33,1201501.0
INMD,2020-02-03,43.74,44.91,42.64,44.5,849858.0
INMD,2020-02-04,45.95,48.87,45.95,48.87,1388185.0
INMD,2020-02-05,49.5,49.97,43.91,44.42,2490342.0
INMD,2020-02-06,44.34,45.5,42.56,42.91,1531730.0
INMD,2020-02-07,42.6,43.0,41.03,42.81,1361941.0
INMD,2020-02-10,42.6,45.2,42.31,45.19,1003748.0
INMD,2020-02-11,45.55,45.9,43.71,45.65,1075455.0
INMD,2020-02-12,46.0,46.25,43.6,44.17,1078239.0
INMD,2020-02-13,43.41,44.8,42.65,44.14,1029918.0
INMD,2020-02-14,44.3,44.8,43.44,43.96,970721.0
INMD,2020-02-18,47.1,48.6,40.01,40.69,7546691.0
INMD,2020-02-19,40.63,41.3,38.26,39.07,3282528.0
