Ticker,Date,open,high,low,close,volume
IONS,2020-01-02,60.89,61.02,60.0,60.89,939347.0
IONS,2020-01-03,59.98,61.16,59.78,60.44,729926.0
IONS,2020-01-06,59.87,60.64,59.25,60.51,669054.0
IONS,2020-01-07,60.51,61.62,60.15,61.19,692595.0
IONS,2020-01-08,60.95,62.65,60.95,62.44,684182.0
IONS,2020-01-09,62.78,64.34,62.68,63.27,706774.0
IONS,2020-01-10,63.45,64.32,62.56,62.68,675603.0
IONS,2020-01-13,62.6,63.01,61.66,62.78,968083.0
IONS,2020-01-14,62.46,63.92,62.03,63.4,676899.0
IONS,2020-01-15,63.41,64.26,61.95,62.06,810009.0
IONS,2020-01-16,62.58,62.58,60.8,61.46,1501888.0
IONS,2020-01-17,61.71,61.78,59.93,60.13,1916002.0
IONS,2020-01-21,59.94,60.52,58.69,60.02,1704190.0
IONS,2020-01-22,61.59,62.98,61.03,61.23,1090446.0
IONS,2020-01-23,61.25,61.36,60.34,60.4,657789.0
IONS,2020-01-24,60.53,61.0,59.13,59.42,821503.0
IONS,2020-01-27,58.82,59.79,58.25,59.09,834652.0
IONS,2020-01-28,59.54,60.43,59.54,59.91,487546.0
IONS,2020-01-29,59.99,61.23,59.59,60.69,495206.0
IONS,2020-01-30,60.17,60.51,58.86,59.55,1052485.0
IONS,2020-01-31,59.38,59.76,57.96,58.32,1016539.0
IONS,2020-02-03,58.7,58.86,58.03,58.44,542989.0
IONS,2020-02-04,59.16,59.97,58.82,58.99,760950.0
IONS,2020-02-05,59.5,59.91,58.66,58.98,884594.0
IONS,2020-02-06,62.55,62.9,59.81,61.28,1748018.0
IONS,2020-02-07,61.1,61.1,60.01,60.49,858682.0
IONS,2020-02-10,60.57,60.57,59.18,59.98,378230.0
IONS,2020-02-11,60.01,60.5,59.2,60.31,550232.0
IONS,2020-02-12,60.23,60.75,59.67,60.51,641951.0
IONS,2020-02-13,60.31,61.2,59.97,60.06,666726.0
IONS,2020-02-14,60.24,60.33,59.42,60.13,359104.0
IONS,2020-02-18,60.28,61.82,60.12,61.57,731118.0
IONS,2020-02-19,61.72,61.85,60.88,61.73,427898.0
IONS,2020-02-20,61.78,61.97,60.52,61.29,521928.0
IONS,2020-02-21,61.1,61.42,60.26,60.49,491341.0
IONS,2020-02-24,59.37,59.43,56.56,57.1,1030699.0
IONS,2020-02-25,57.39,58.13,55.1,55.3,1155959.0
IONS,2020-02-26,56.97,58.49,55.34,56.02,1355306.0
IONS,2020-02-27,55.47,55.88,53.27,53.29,1266965.0
IONS,2020-02-28,51.36,52.82,49.73,50.78,1999105.0
IONS,2020-03-02,51.0,52.85,50.02,52.3,1727887.0
IONS,2020-03-03,52.31,53.35,50.02,50.72,1237886.0
IONS,2020-03-04,52.48,54.61,50.87,54.59,1149778.0
IONS,2020-03-05,53.73,54.8,50.08,52.92,1398914.0
IONS,2020-03-06,51.08,54.04,51.0,53.88,1302195.0
IONS,2020-03-09,50.17,53.32,49.52,51.33,1315309.0
IONS,2020-03-10,52.81,52.98,49.02,52.82,1138381.0
IONS,2020-03-11,51.54,51.97,48.26,49.14,1314814.0
IONS,2020-03-12,45.06,47.38,44.3,44.33,1467674.0
IONS,2020-03-13,46.7,48.67,42.61,48.41,1491347.0
IONS,2020-03-16,41.82,47.11,41.55,43.25,1417601.0
IONS,2020-03-17,44.34,45.71,41.63,44.5,1780202.0
IONS,2020-03-18,41.73,45.56,41.2,43.46,1197925.0
IONS,2020-03-19,43.33,46.85,42.46,46.07,1064042.0
IONS,2020-03-20,45.62,46.82,42.72,43.58,1387537.0
IONS,2020-03-23,43.65,43.98,39.32,41.6,1342071.0
IONS,2020-03-24,42.53,45.39,42.36,44.83,1156606.0
IONS,2020-03-25,45.19,48.26,43.87,46.75,1131993.0
IONS,2020-03-26,45.73,49.78,45.73,49.75,1299217.0
IONS,2020-03-27,48.32,50.65,48.21,49.41,1024261.0
IONS,2020-03-30,49.65,50.66,47.78,48.21,970825.0
IONS,2020-03-31,48.0,48.64,46.88,47.28,710108.0
IONS,2020-04-01,45.56,49.11,45.12,46.85,760969.0
IONS,2020-04-02,45.93,49.18,45.93,49.01,1049212.0
IONS,2020-04-03,48.15,49.64,47.95,48.51,1038220.0
IONS,2020-04-06,49.28,51.74,48.16,51.46,965111.0
IONS,2020-04-07,52.79,53.19,49.88,50.07,1003773.0
IONS,2020-04-08,50.47,52.96,49.78,52.5,824747.0
IONS,2020-04-09,52.06,53.39,52.06,53.0,559195.0
IONS,2020-04-13,53.01,53.29,50.54,51.25,857775.0
IONS,2020-04-14,51.98,52.99,51.5,52.77,777432.0
IONS,2020-04-15,52.0,52.35,50.6,50.81,767314.0
IONS,2020-04-16,51.32,53.52,51.11,53.28,834493.0
IONS,2020-04-17,53.9,55.27,53.5,55.07,936775.0
