Ticker,Date,open,high,low,close,volume
IOVA,2020-01-02,27.96,27.96,26.24,26.68,1086263.0
IOVA,2020-01-03,26.26,26.53,25.52,25.54,1164434.0
IOVA,2020-01-06,25.19,25.81,24.4,25.78,1453937.0
IOVA,2020-01-07,25.85,26.38,24.89,26.0,1431213.0
IOVA,2020-01-08,25.95,27.23,25.67,27.0,1071658.0
IOVA,2020-01-09,27.0,27.95,26.92,27.92,1069269.0
IOVA,2020-01-10,27.89,28.2,27.12,27.15,1633585.0
IOVA,2020-01-13,26.12,26.5,23.15,23.93,3808846.0
IOVA,2020-01-14,23.67,25.11,23.38,24.34,1778976.0
IOVA,2020-01-15,24.31,24.67,23.52,23.68,1190699.0
IOVA,2020-01-16,23.35,23.98,23.3,23.74,893354.0
IOVA,2020-01-17,23.97,24.1,23.31,23.88,1218464.0
IOVA,2020-01-21,23.92,24.01,23.31,23.67,1160739.0
IOVA,2020-01-22,23.72,24.0,23.19,23.19,645052.0
IOVA,2020-01-23,23.12,23.25,22.68,22.7,714823.0
IOVA,2020-01-24,22.7,22.77,21.78,22.25,1215471.0
IOVA,2020-01-27,21.69,22.07,21.38,21.64,1176979.0
IOVA,2020-01-28,21.72,22.09,21.67,22.01,641567.0
IOVA,2020-01-29,22.01,22.61,22.0,22.6,752948.0
IOVA,2020-01-30,22.46,22.59,21.91,22.45,738164.0
IOVA,2020-01-31,22.3,22.35,21.35,21.74,908020.0
IOVA,2020-02-03,22.04,22.62,21.86,22.54,814224.0
IOVA,2020-02-04,23.05,23.9,22.68,23.49,1120502.0
IOVA,2020-02-05,23.68,23.92,23.38,23.62,894152.0
IOVA,2020-02-06,23.74,24.16,23.58,23.64,629403.0
IOVA,2020-02-07,23.46,23.7,22.63,22.96,826647.0
IOVA,2020-02-10,22.9,23.55,22.68,23.26,963899.0
IOVA,2020-02-11,23.38,23.82,23.17,23.34,591011.0
IOVA,2020-02-12,23.48,23.66,23.02,23.62,468873.0
IOVA,2020-02-13,23.41,23.9,23.2,23.71,456837.0
IOVA,2020-02-14,23.66,23.89,23.3,23.83,554212.0
IOVA,2020-02-18,23.82,24.25,23.59,24.1,922471.0
IOVA,2020-02-19,24.2,25.37,24.06,24.89,1245169.0
IOVA,2020-02-20,24.87,25.05,23.82,24.88,901468.0
IOVA,2020-02-21,24.76,26.07,24.65,25.98,1608629.0
IOVA,2020-02-24,24.95,25.21,24.1,24.69,1629998.0
IOVA,2020-02-25,24.81,34.46,24.53,31.46,11467563.0
IOVA,2020-02-26,31.03,33.88,29.54,33.65,4646031.0
IOVA,2020-02-27,33.0,34.25,31.92,33.03,3638313.0
IOVA,2020-02-28,31.0,33.83,30.3,32.91,2735427.0
IOVA,2020-03-02,33.07,36.25,32.91,35.99,3224355.0
IOVA,2020-03-03,35.85,36.15,34.43,35.79,2050813.0
IOVA,2020-03-04,36.5,37.99,35.5,36.39,2619340.0
IOVA,2020-03-05,36.0,37.27,35.5,36.38,1680366.0
IOVA,2020-03-06,35.78,38.92,35.55,38.85,2586100.0
IOVA,2020-03-09,36.02,36.21,31.31,32.04,3239811.0
IOVA,2020-03-10,33.15,33.74,29.0,31.93,2386889.0
IOVA,2020-03-11,31.1,32.2,29.0,29.58,1763462.0
IOVA,2020-03-12,27.37,27.6,24.09,24.11,2540205.0
IOVA,2020-03-13,25.74,26.99,22.1,25.14,2755761.0
IOVA,2020-03-16,22.17,23.63,19.52,19.54,2188772.0
IOVA,2020-03-17,20.08,21.18,18.7,19.98,2565353.0
IOVA,2020-03-18,18.82,22.41,18.7,22.16,2813017.0
