Ticker,Date,open,high,low,close,volume
ITRN,2020-01-02,25.19,25.32,25.08,25.26,42961.0
ITRN,2020-01-03,25.0,25.49,24.68,25.34,48172.0
ITRN,2020-01-06,25.26,25.45,24.88,25.35,33019.0
ITRN,2020-01-07,25.25,25.74,25.08,25.43,47309.0
ITRN,2020-01-08,25.33,25.54,25.19,25.39,40668.0
ITRN,2020-01-09,25.58,25.7,25.28,25.41,75578.0
ITRN,2020-01-10,25.5,25.87,25.3,25.68,56011.0
ITRN,2020-01-13,25.76,26.37,25.58,26.28,44847.0
ITRN,2020-01-14,26.23,26.25,25.63,25.94,52960.0
ITRN,2020-01-15,25.91,26.17,25.75,26.12,94943.0
ITRN,2020-01-16,26.23,26.35,25.64,25.92,62716.0
ITRN,2020-01-17,26.05,26.17,25.63,25.72,38590.0
ITRN,2020-01-21,25.72,26.0,25.67,25.8,56856.0
ITRN,2020-01-22,25.8,26.07,25.06,25.26,81908.0
ITRN,2020-01-23,25.27,25.43,24.95,24.95,28774.0
ITRN,2020-01-24,25.1,25.1,24.51,24.8,27166.0
ITRN,2020-01-27,24.49,24.65,24.26,24.55,30003.0
ITRN,2020-01-28,24.75,25.15,24.53,25.14,50841.0
ITRN,2020-01-29,25.14,25.14,24.7,24.81,37653.0
ITRN,2020-01-30,24.63,24.67,24.34,24.62,26050.0
ITRN,2020-01-31,24.56,25.68,24.56,25.48,59868.0
ITRN,2020-02-03,25.52,25.77,24.59,24.61,53888.0
ITRN,2020-02-04,24.71,24.71,24.08,24.1,52653.0
ITRN,2020-02-05,24.31,25.14,24.24,24.93,52286.0
ITRN,2020-02-06,25.0,25.39,24.76,25.11,64346.0
ITRN,2020-02-07,25.13,25.49,24.99,25.41,102258.0
ITRN,2020-02-10,25.41,25.56,25.03,25.46,28821.0
ITRN,2020-02-11,25.56,25.73,25.43,25.58,42000.0
ITRN,2020-02-12,26.18,26.22,25.64,26.14,32878.0
ITRN,2020-02-13,26.02,26.18,25.69,25.9,34057.0
ITRN,2020-02-14,25.68,25.94,25.58,25.74,25082.0
ITRN,2020-02-18,25.4,25.52,24.85,25.28,37706.0
ITRN,2020-02-19,25.25,25.98,25.25,25.98,18396.0
ITRN,2020-02-20,25.84,26.24,25.46,26.17,20343.0
ITRN,2020-02-21,26.1,26.1,25.53,25.71,19578.0
ITRN,2020-02-24,24.9,25.03,24.39,24.59,76498.0
ITRN,2020-02-25,24.77,24.92,23.59,23.6,46669.0
ITRN,2020-02-26,23.66,24.01,22.88,23.13,71359.0
ITRN,2020-02-27,22.71,23.57,22.03,22.35,66863.0
ITRN,2020-02-28,21.84,23.09,21.5,22.89,62363.0
ITRN,2020-03-02,22.9,23.54,22.13,23.54,26090.0
ITRN,2020-03-03,23.39,23.39,21.83,22.28,39065.0
ITRN,2020-03-04,21.57,21.62,19.96,20.01,116746.0
ITRN,2020-03-05,19.46,19.5,18.83,19.46,80115.0
ITRN,2020-03-06,19.06,20.54,19.06,19.56,115029.0
ITRN,2020-03-09,18.2,19.11,16.85,16.9,81815.0
ITRN,2020-03-10,17.2,18.27,17.1,17.99,122856.0
ITRN,2020-03-11,17.28,18.4,17.06,17.87,144149.0
ITRN,2020-03-12,16.85,17.11,16.08,16.78,163104.0
ITRN,2020-03-13,17.19,17.23,15.58,16.0,37822.0
ITRN,2020-03-16,14.23,15.44,12.06,12.35,92060.0
ITRN,2020-03-17,12.27,13.5,12.26,12.49,54729.0
ITRN,2020-03-18,12.0,12.34,11.01,11.58,177702.0
ITRN,2020-03-19,11.21,13.42,11.21,12.98,175451.0
ITRN,2020-03-20,12.93,14.67,12.5,14.66,106238.0
ITRN,2020-03-23,14.01,14.3,13.62,14.11,103527.0
ITRN,2020-03-24,14.5,15.42,14.31,15.18,107124.0
ITRN,2020-03-25,15.45,15.45,14.72,15.15,859109.0
ITRN,2020-03-26,15.19,15.77,15.12,15.63,84217.0
ITRN,2020-03-27,15.5,15.72,15.1,15.27,131980.0
ITRN,2020-03-30,15.37,15.37,13.93,14.07,78597.0
ITRN,2020-03-31,14.14,14.9,14.14,14.21,95840.0
ITRN,2020-04-01,13.98,14.23,13.52,13.8,151340.0
ITRN,2020-04-02,13.4,13.83,12.8,13.38,174542.0
ITRN,2020-04-03,13.36,13.92,13.08,13.1,86821.0
ITRN,2020-04-06,13.5,14.01,13.06,13.42,176653.0
ITRN,2020-04-07,13.85,15.5,13.52,15.07,101151.0
ITRN,2020-04-08,15.02,16.49,15.02,16.42,34890.0
ITRN,2020-04-09,16.84,17.23,16.45,17.03,71898.0
ITRN,2020-04-13,17.05,17.05,16.79,16.93,118176.0
ITRN,2020-04-14,17.25,17.44,16.88,17.26,73710.0
ITRN,2020-04-15,16.88,16.88,15.65,15.83,36573.0
ITRN,2020-04-16,16.03,16.03,15.18,15.66,50655.0
ITRN,2020-04-17,16.04,16.39,15.73,15.73,36319.0
ITRN,2020-04-20,15.56,15.78,14.74,15.57,62880.0
ITRN,2020-04-21,15.36,15.36,14.74,14.94,28931.0
ITRN,2020-04-22,15.0,15.12,14.73,14.73,42901.0
ITRN,2020-04-23,14.66,15.32,14.66,15.31,99253.0
ITRN,2020-04-24,15.51,15.72,15.33,15.6,34254.0
ITRN,2020-04-27,15.51,17.27,15.5,16.97,40102.0
ITRN,2020-04-28,17.49,17.9,17.08,17.51,53673.0
ITRN,2020-04-29,17.99,18.18,17.79,18.06,53306.0
ITRN,2020-04-30,17.97,18.15,17.1,17.7,30768.0
ITRN,2020-05-01,17.34,17.34,16.81,17.25,78598.0
ITRN,2020-05-04,17.25,17.25,16.33,16.46,23846.0
ITRN,2020-05-05,16.55,17.69,16.55,17.04,46877.0
ITRN,2020-05-06,17.03,17.03,16.29,16.41,34927.0
ITRN,2020-05-07,16.51,16.71,16.2,16.41,52525.0
ITRN,2020-05-08,16.63,16.9,16.49,16.7,77972.0
ITRN,2020-05-11,16.85,16.86,16.55,16.7,36269.0
ITRN,2020-05-12,16.79,17.04,16.35,16.88,53220.0
ITRN,2020-05-13,17.07,17.1,14.75,15.21,89363.0
ITRN,2020-05-14,15.0,15.06,14.23,14.58,101610.0
ITRN,2020-05-15,14.45,14.69,13.97,14.3,80267.0
ITRN,2020-05-18,14.32,15.69,14.3,15.38,92774.0
ITRN,2020-05-19,15.36,16.73,15.21,16.36,69009.0
ITRN,2020-05-20,16.48,16.68,16.35,16.6,38289.0
ITRN,2020-05-21,16.63,16.71,16.02,16.33,36747.0
ITRN,2020-05-22,16.43,17.09,15.97,16.51,30330.0
ITRN,2020-05-26,16.76,17.81,16.76,17.7,48312.0
ITRN,2020-05-27,18.0,18.0,17.07,17.3,25307.0
ITRN,2020-05-28,17.42,17.53,16.92,17.0,42253.0
ITRN,2020-05-29,16.92,17.19,16.31,17.11,69877.0
ITRN,2020-06-01,17.32,17.46,16.91,16.92,30321.0
ITRN,2020-06-02,17.01,17.23,16.92,17.01,16919.0
ITRN,2020-06-03,17.33,18.45,17.28,18.42,48537.0
ITRN,2020-06-04,18.31,18.85,18.07,18.81,39359.0
ITRN,2020-06-05,19.05,19.6,18.92,19.2,39326.0
ITRN,2020-06-08,18.86,19.66,18.86,19.39,59614.0
ITRN,2020-06-09,19.16,19.16,18.34,18.37,31964.0
ITRN,2020-06-10,18.28,19.1,17.61,18.4,38853.0
ITRN,2020-06-11,17.54,17.66,16.58,16.93,67703.0
ITRN,2020-06-12,17.32,18.15,17.18,17.5,35378.0
ITRN,2020-06-15,16.68,18.21,15.91,16.62,91423.0
ITRN,2020-06-16,17.4,18.19,15.81,16.61,115625.0
ITRN,2020-06-17,16.6,16.97,15.35,15.75,85632.0
ITRN,2020-06-18,15.56,16.56,15.56,16.49,48685.0
ITRN,2020-06-19,16.77,17.14,16.52,16.93,90927.0
ITRN,2020-06-22,16.93,17.5,16.72,17.05,56725.0
ITRN,2020-06-23,17.15,17.15,16.7,17.06,29163.0
ITRN,2020-06-24,16.88,16.95,16.29,16.92,43239.0
ITRN,2020-06-25,16.91,16.91,15.87,16.25,42073.0
ITRN,2020-06-26,16.15,16.5,15.83,16.5,24473.0
ITRN,2020-06-29,16.52,16.52,15.78,16.23,46531.0
ITRN,2020-06-30,16.09,16.19,15.71,16.02,34431.0
ITRN,2020-07-01,15.98,16.17,15.78,16.05,18118.0
ITRN,2020-07-02,16.25,16.58,15.9,16.14,25156.0
ITRN,2020-07-06,16.2,16.83,16.06,16.83,124309.0
ITRN,2020-07-07,16.61,16.61,15.64,16.17,43136.0
ITRN,2020-07-08,16.11,16.36,15.45,15.58,34308.0
ITRN,2020-07-09,15.49,15.89,14.82,14.9,26333.0
ITRN,2020-07-10,14.76,14.91,14.35,14.59,22102.0
ITRN,2020-07-13,14.76,14.99,14.64,14.84,29381.0
ITRN,2020-07-14,14.6,15.3,14.48,15.06,14508.0
ITRN,2020-07-15,15.12,15.71,15.1,15.19,49063.0
ITRN,2020-07-16,15.14,15.86,14.89,15.8,29234.0
ITRN,2020-07-17,15.71,15.83,15.12,15.37,16111.0
ITRN,2020-07-20,15.37,15.56,14.85,14.94,17143.0
ITRN,2020-07-21,15.1,15.55,14.84,15.13,48901.0
ITRN,2020-07-22,15.0,15.13,14.9,15.08,19508.0
ITRN,2020-07-23,15.05,15.15,14.81,14.97,9051.0
ITRN,2020-07-24,14.97,14.97,14.5,14.62,20950.0
ITRN,2020-07-27,14.54,14.94,13.5,13.87,40745.0
ITRN,2020-07-28,13.81,14.24,13.68,14.2,17944.0
ITRN,2020-07-29,14.17,14.37,13.69,13.83,13401.0
ITRN,2020-07-30,13.73,14.0,13.38,13.71,11768.0
