Ticker,Date,open,high,low,close,volume
KALU,2020-01-02,111.63,111.9,110.66,111.22,81542.0
KALU,2020-01-03,110.0,111.38,109.12,111.23,104380.0
KALU,2020-01-06,110.24,110.72,109.31,109.58,123302.0
KALU,2020-01-07,109.09,109.61,108.32,108.93,54451.0
KALU,2020-01-08,108.64,109.1,107.61,107.84,78301.0
KALU,2020-01-09,108.16,108.16,106.52,107.28,70530.0
KALU,2020-01-10,107.5,107.9,105.5,105.99,103220.0
KALU,2020-01-13,106.1,109.26,106.1,108.68,140690.0
KALU,2020-01-14,108.09,108.27,106.59,106.79,97612.0
KALU,2020-01-15,106.61,108.16,105.74,106.41,130103.0
KALU,2020-01-16,106.85,107.69,106.1,106.25,91367.0
KALU,2020-01-17,106.74,106.98,104.66,104.94,104312.0
KALU,2020-01-21,104.38,104.47,101.68,102.73,155004.0
KALU,2020-01-22,103.4,103.47,100.05,101.04,147858.0
KALU,2020-01-23,99.13,101.98,98.36,101.82,211203.0
KALU,2020-01-24,101.62,101.87,100.39,101.5,125076.0
KALU,2020-01-27,99.65,101.18,99.2,100.75,148752.0
KALU,2020-01-28,101.33,102.08,100.66,101.05,214013.0
KALU,2020-01-29,101.67,104.94,101.46,104.25,191755.0
KALU,2020-01-30,102.81,104.19,101.42,103.45,84303.0
KALU,2020-01-31,102.93,103.49,100.0,100.15,103409.0
KALU,2020-02-03,100.63,101.59,100.22,100.49,104689.0
KALU,2020-02-04,101.74,102.91,101.5,101.89,144492.0
KALU,2020-02-05,103.22,105.8,103.22,105.24,118283.0
KALU,2020-02-06,105.56,107.98,105.01,107.31,138364.0
KALU,2020-02-07,106.63,106.87,103.44,104.02,77753.0
KALU,2020-02-10,103.51,104.32,102.94,103.45,55066.0
KALU,2020-02-11,103.72,106.51,103.72,105.14,51379.0
KALU,2020-02-12,105.95,106.13,101.71,102.22,194172.0
KALU,2020-02-13,101.76,103.66,101.76,103.59,59515.0
KALU,2020-02-14,103.5,103.87,102.23,103.3,105736.0
KALU,2020-02-18,102.58,104.94,102.58,104.05,167249.0
KALU,2020-02-19,104.14,105.8,102.22,102.56,212044.0
KALU,2020-02-20,102.53,112.0,102.21,107.39,276658.0
KALU,2020-02-21,107.15,107.38,104.58,104.83,318259.0
KALU,2020-02-24,101.08,104.47,100.94,104.21,171568.0
KALU,2020-02-25,104.45,107.36,102.8,103.46,199146.0
KALU,2020-02-26,103.64,105.77,102.13,102.37,100650.0
KALU,2020-02-27,100.23,101.06,96.86,96.87,136756.0
KALU,2020-02-28,94.13,98.21,93.3,94.55,217637.0
KALU,2020-03-02,94.98,98.08,94.8,97.97,121156.0
KALU,2020-03-03,97.84,101.23,95.12,96.56,135915.0
KALU,2020-03-04,98.15,99.37,97.04,99.16,120464.0
KALU,2020-03-05,96.6,96.68,92.19,93.22,122974.0
KALU,2020-03-06,90.17,92.83,87.68,89.47,114339.0
KALU,2020-03-09,83.97,85.18,79.2,80.46,148592.0
KALU,2020-03-10,83.13,88.23,81.13,87.64,207965.0
KALU,2020-03-11,84.68,85.32,80.5,82.43,191988.0
KALU,2020-03-12,75.88,80.42,73.62,74.74,182265.0
KALU,2020-03-13,79.2,84.36,74.81,84.12,182081.0
KALU,2020-03-16,78.72,79.4,69.88,70.32,184335.0
KALU,2020-03-17,71.21,76.15,68.03,70.87,193474.0
KALU,2020-03-18,66.57,70.3,61.91,64.17,249239.0
KALU,2020-03-19,63.87,66.56,59.63,62.87,176401.0
KALU,2020-03-20,63.02,64.47,54.54,55.45,211321.0
KALU,2020-03-23,56.08,57.89,55.1,57.03,168665.0
KALU,2020-03-24,59.5,63.41,59.5,62.5,197018.0
KALU,2020-03-25,62.59,64.47,60.19,63.02,205764.0
KALU,2020-03-26,63.82,67.75,63.54,66.8,260380.0
KALU,2020-03-27,64.2,69.51,63.24,67.99,180258.0
KALU,2020-03-30,69.03,69.96,67.06,68.93,140830.0
KALU,2020-03-31,68.55,71.61,67.53,69.28,115429.0
KALU,2020-04-01,66.98,68.44,62.35,63.58,152093.0
KALU,2020-04-02,62.94,66.62,61.17,63.42,98365.0
KALU,2020-04-03,62.99,65.12,58.86,60.27,111867.0
KALU,2020-04-06,63.29,66.03,63.14,65.27,134867.0
KALU,2020-04-07,68.28,70.12,64.58,66.04,116911.0
KALU,2020-04-08,66.84,73.12,66.61,72.1,133562.0
KALU,2020-04-09,73.83,76.7,73.56,74.0,127827.0
KALU,2020-04-13,73.53,73.92,70.56,72.5,128944.0
KALU,2020-04-14,72.5,75.49,72.5,75.12,163569.0
KALU,2020-04-15,70.79,72.52,70.79,72.1,130122.0
KALU,2020-04-16,73.08,74.46,71.35,72.74,138070.0
KALU,2020-04-17,74.7,75.72,74.32,75.68,148786.0
KALU,2020-04-20,81.21,81.21,72.8,77.46,158540.0
KALU,2020-04-21,74.11,75.93,72.12,73.12,148088.0
KALU,2020-04-22,73.72,74.79,73.08,73.8,150685.0
KALU,2020-04-23,74.11,75.55,72.23,72.35,94027.0
KALU,2020-04-24,72.48,73.9,71.47,71.72,73770.0
KALU,2020-04-27,71.84,73.57,71.62,72.7,103062.0
KALU,2020-04-28,74.19,75.1,71.42,71.67,114388.0
KALU,2020-04-29,73.66,78.7,73.62,77.98,139748.0
KALU,2020-04-30,75.02,79.38,72.03,72.23,105590.0
KALU,2020-05-01,70.43,71.16,66.25,67.24,135770.0
KALU,2020-05-04,66.71,68.32,65.36,65.81,216564.0
KALU,2020-05-05,67.23,68.25,66.65,67.07,164369.0
KALU,2020-05-06,67.18,67.94,64.52,64.67,78625.0
KALU,2020-05-07,65.69,66.82,64.52,64.83,86836.0
KALU,2020-05-08,65.74,69.65,65.74,69.47,96242.0
KALU,2020-05-11,67.62,68.08,65.12,66.05,103519.0
KALU,2020-05-12,65.76,67.24,62.55,62.55,114627.0
KALU,2020-05-13,62.5,62.5,59.37,59.91,93431.0
KALU,2020-05-14,58.26,59.77,56.82,58.35,137649.0
KALU,2020-05-15,58.13,59.56,57.38,58.84,248924.0
KALU,2020-05-18,61.57,67.84,61.57,67.19,176093.0
KALU,2020-05-19,66.15,66.45,64.55,64.63,135933.0
KALU,2020-05-20,65.77,66.68,65.01,66.66,137315.0
KALU,2020-05-21,66.41,67.62,65.95,66.12,62770.0
KALU,2020-05-22,65.91,66.37,64.34,66.36,43974.0
KALU,2020-05-26,69.38,71.14,68.52,70.63,226121.0
KALU,2020-05-27,72.62,76.17,72.03,75.99,116712.0
KALU,2020-05-28,77.24,78.3,73.71,74.53,88667.0
KALU,2020-05-29,73.26,73.5,70.53,71.75,105512.0
KALU,2020-06-01,71.36,73.25,71.36,72.68,104735.0
KALU,2020-06-02,73.2,75.03,73.2,74.81,88335.0
KALU,2020-06-03,76.04,80.63,75.6,78.53,146719.0
KALU,2020-06-04,78.0,80.12,77.34,79.93,58979.0
KALU,2020-06-05,83.02,86.63,80.5,84.86,198126.0
KALU,2020-06-08,86.05,87.0,84.39,85.85,97118.0
KALU,2020-06-09,83.65,85.05,82.03,82.74,71382.0
KALU,2020-06-10,82.45,83.49,79.08,79.08,87317.0
KALU,2020-06-11,75.11,75.7,69.28,69.66,118608.0
KALU,2020-06-12,73.45,75.12,70.93,73.39,139084.0
KALU,2020-06-15,70.46,75.79,70.42,75.2,105622.0
KALU,2020-06-16,78.73,79.82,76.42,77.79,102089.0
KALU,2020-06-17,77.84,78.31,75.85,75.88,72013.0
KALU,2020-06-18,75.32,76.56,74.03,74.68,56146.0
KALU,2020-06-19,75.83,75.83,73.04,73.86,251697.0
KALU,2020-06-22,73.01,74.79,72.61,74.15,73930.0
KALU,2020-06-23,75.22,76.37,73.28,74.5,87724.0
KALU,2020-06-24,73.06,73.52,70.35,70.46,100787.0
KALU,2020-06-25,69.76,71.57,68.97,71.18,72722.0
KALU,2020-06-26,70.31,70.31,68.32,68.87,232628.0
KALU,2020-06-29,70.19,73.98,70.19,73.4,106800.0
KALU,2020-06-30,72.82,74.1,72.45,73.62,113060.0
KALU,2020-07-01,73.07,73.82,70.21,70.6,109329.0
KALU,2020-07-02,72.04,73.66,70.15,70.3,70073.0
KALU,2020-07-06,72.26,73.44,69.74,71.26,87807.0
KALU,2020-07-07,70.28,71.64,68.76,68.9,87021.0
KALU,2020-07-08,69.12,72.89,67.21,68.68,89246.0
KALU,2020-07-09,68.72,69.57,65.06,65.32,140622.0
KALU,2020-07-10,65.78,68.47,65.0,68.35,76938.0
KALU,2020-07-13,69.1,69.36,67.72,67.78,61975.0
KALU,2020-07-14,67.82,69.05,66.83,67.7,143333.0
KALU,2020-07-15,70.15,70.15,68.0,69.26,177568.0
KALU,2020-07-16,69.51,70.33,68.81,69.77,76168.0
KALU,2020-07-17,69.79,70.73,68.22,68.57,81966.0
KALU,2020-07-20,68.45,68.81,66.88,68.17,122347.0
KALU,2020-07-21,69.04,71.32,68.44,71.0,213569.0
KALU,2020-07-22,70.59,72.78,70.59,71.96,159858.0
KALU,2020-07-23,71.44,72.1,67.28,67.89,262148.0
KALU,2020-07-24,67.96,68.27,65.58,66.22,126300.0
KALU,2020-07-27,66.38,67.2,66.1,66.97,250876.0
KALU,2020-07-28,66.9,67.08,65.67,65.81,155044.0
KALU,2020-07-29,66.16,66.33,63.98,64.12,124532.0
KALU,2020-07-30,62.92,63.89,61.85,63.35,96274.0
KALU,2020-07-31,63.1,63.1,61.41,61.95,108156.0
KALU,2020-08-03,62.25,63.28,61.43,62.79,147593.0
KALU,2020-08-04,62.66,62.93,61.88,62.47,100696.0
KALU,2020-08-05,63.72,65.72,63.33,64.83,156298.0
KALU,2020-08-06,64.4,66.7,63.83,66.11,108998.0
KALU,2020-08-07,66.01,66.89,64.48,66.74,85292.0
KALU,2020-08-10,67.4,70.78,67.4,69.26,130612.0
KALU,2020-08-11,70.66,72.15,70.46,71.27,220149.0
KALU,2020-08-12,72.46,72.46,69.23,70.1,79370.0
KALU,2020-08-13,69.49,69.56,66.74,67.22,79561.0
KALU,2020-08-14,66.59,67.44,65.84,66.29,82634.0
KALU,2020-08-17,66.27,67.66,66.27,67.41,84016.0
KALU,2020-08-18,67.48,67.82,66.36,66.45,92789.0
KALU,2020-08-19,66.76,67.63,65.78,66.1,72034.0
KALU,2020-08-20,65.13,65.7,64.01,65.45,87016.0
KALU,2020-08-21,64.75,65.16,63.58,63.96,276494.0
KALU,2020-08-24,64.69,65.97,64.06,65.97,122755.0
KALU,2020-08-25,66.15,67.2,65.81,66.65,112953.0
KALU,2020-08-26,66.47,66.47,64.65,65.21,63027.0
KALU,2020-08-27,65.83,66.71,64.32,65.49,91488.0
KALU,2020-08-28,66.19,66.29,65.32,65.95,69373.0
KALU,2020-08-31,66.09,66.09,64.14,64.28,154404.0
KALU,2020-09-01,63.96,64.73,63.28,64.45,52687.0
KALU,2020-09-02,64.31,65.3,63.79,65.2,67345.0
KALU,2020-09-03,64.84,66.13,63.18,63.54,70958.0
KALU,2020-09-04,64.86,65.58,63.74,64.45,92478.0
KALU,2020-09-08,63.89,64.45,61.54,62.32,96525.0
KALU,2020-09-09,62.96,62.96,59.36,59.97,134301.0
KALU,2020-09-10,60.01,60.6,57.53,57.64,95171.0
KALU,2020-09-11,57.99,59.56,57.05,57.19,80209.0
KALU,2020-09-14,57.58,59.81,57.58,59.6,119039.0
KALU,2020-09-15,60.01,60.68,58.66,58.73,95163.0
KALU,2020-09-16,59.03,60.87,58.08,60.77,126497.0
KALU,2020-09-17,59.66,61.03,58.92,60.78,116311.0
KALU,2020-09-18,60.89,61.6,59.53,59.98,335048.0
KALU,2020-09-21,58.53,59.23,53.41,54.74,185576.0
KALU,2020-09-22,54.91,55.31,52.76,53.59,116722.0
KALU,2020-09-23,53.31,54.61,52.02,52.02,121564.0
KALU,2020-09-24,52.03,53.48,51.71,51.97,60564.0
KALU,2020-09-25,51.52,52.09,50.49,50.5,150098.0
KALU,2020-09-28,51.6,54.16,51.37,53.47,129308.0
KALU,2020-09-29,53.04,53.4,51.71,53.0,152066.0
KALU,2020-09-30,53.34,55.08,53.34,53.59,194035.0
KALU,2020-10-01,53.63,54.18,52.68,54.18,105118.0
KALU,2020-10-02,52.87,55.9,52.87,55.07,125367.0
KALU,2020-10-05,55.65,56.84,55.65,56.44,118653.0
KALU,2020-10-06,57.25,57.57,54.72,54.81,96806.0
KALU,2020-10-07,56.04,58.27,55.59,57.96,164401.0
KALU,2020-10-08,58.88,60.12,58.35,59.94,114604.0
KALU,2020-10-09,60.72,62.97,60.72,62.77,179375.0
KALU,2020-10-12,62.35,62.95,60.43,61.44,113247.0
KALU,2020-10-13,60.52,61.17,59.76,60.0,81958.0
KALU,2020-10-14,60.18,62.52,59.78,61.92,121594.0
KALU,2020-10-15,60.59,63.14,60.27,63.11,111378.0
KALU,2020-10-16,62.91,65.39,62.64,65.06,131351.0
KALU,2020-10-19,63.45,67.04,63.45,65.43,185708.0
KALU,2020-10-20,66.37,68.0,64.1,64.53,124925.0
KALU,2020-10-21,64.16,65.9,63.31,63.62,193848.0
KALU,2020-10-22,63.48,64.93,57.13,64.45,213424.0
KALU,2020-10-23,65.1,65.27,63.63,63.92,181877.0
KALU,2020-10-26,62.86,63.11,62.1,62.8,145615.0
KALU,2020-10-27,62.53,63.87,62.37,62.63,188040.0
KALU,2020-10-28,60.57,61.61,59.21,60.69,138585.0
KALU,2020-10-29,60.42,64.49,59.52,64.24,131558.0
KALU,2020-10-30,64.1,64.68,62.04,62.93,107643.0
KALU,2020-11-02,63.92,65.0,62.43,64.64,126974.0
KALU,2020-11-03,65.55,66.58,63.89,65.75,113181.0
KALU,2020-11-04,65.11,65.48,62.32,63.22,96288.0
KALU,2020-11-05,63.67,67.43,63.23,66.1,90531.0
KALU,2020-11-06,66.26,66.84,64.78,65.04,63797.0
KALU,2020-11-09,70.0,74.86,70.0,70.87,245522.0
KALU,2020-11-10,72.32,76.58,71.76,75.84,210262.0
KALU,2020-11-11,77.07,77.07,73.73,74.95,140067.0
KALU,2020-11-12,73.7,73.93,69.17,72.42,109422.0
KALU,2020-11-13,73.15,77.81,73.15,76.83,92891.0
KALU,2020-11-16,78.7,80.96,76.92,80.61,146450.0
KALU,2020-11-17,78.94,81.12,78.51,80.89,99877.0
KALU,2020-11-18,81.76,83.02,78.1,78.15,97436.0
KALU,2020-11-19,77.6,78.14,75.01,76.61,112305.0
KALU,2020-11-20,76.13,76.41,74.89,75.29,100298.0
KALU,2020-11-23,76.27,79.46,76.27,79.12,169129.0
