Ticker,Date,open,high,low,close,volume
KMDA,2020-01-02,6.94,7.02,6.87,7.0,54802.0
KMDA,2020-01-03,6.95,6.95,6.86,6.9,13151.0
KMDA,2020-01-06,6.81,6.81,6.64,6.64,81650.0
KMDA,2020-01-07,6.59,6.59,6.25,6.31,120283.0
KMDA,2020-01-08,6.22,6.33,6.22,6.28,44975.0
KMDA,2020-01-09,6.21,6.28,6.01,6.01,71515.0
KMDA,2020-01-10,6.12,6.5,6.12,6.35,105066.0
KMDA,2020-01-13,6.52,6.78,6.51,6.77,43126.0
KMDA,2020-01-14,6.68,6.68,6.37,6.53,86046.0
KMDA,2020-01-15,6.5,6.5,6.31,6.46,60795.0
KMDA,2020-01-16,6.45,6.54,6.4,6.5,33278.0
KMDA,2020-01-17,6.41,6.62,6.41,6.52,71133.0
KMDA,2020-01-21,6.71,6.9,6.63,6.85,194637.0
KMDA,2020-01-22,6.93,6.98,6.75,6.89,129439.0
KMDA,2020-01-23,6.91,6.91,6.78,6.84,19695.0
KMDA,2020-01-24,6.85,6.9,6.76,6.77,24064.0
KMDA,2020-01-27,6.72,6.72,6.5,6.52,34406.0
KMDA,2020-01-28,6.46,6.63,6.39,6.57,20409.0
KMDA,2020-01-29,6.56,6.69,6.56,6.58,29930.0
KMDA,2020-01-30,6.61,6.61,6.52,6.52,22830.0
KMDA,2020-01-31,6.51,6.51,6.41,6.5,23279.0
KMDA,2020-02-03,6.56,6.56,6.37,6.41,42892.0
KMDA,2020-02-04,6.62,6.62,6.47,6.52,39712.0
KMDA,2020-02-05,6.64,6.83,6.61,6.73,32295.0
KMDA,2020-02-06,7.01,7.12,6.88,6.96,78411.0
KMDA,2020-02-07,6.92,7.16,6.9,7.02,96759.0
KMDA,2020-02-10,6.97,7.15,6.93,7.13,104033.0
KMDA,2020-02-11,7.12,7.2,6.94,7.13,29044.0
KMDA,2020-02-12,6.9,6.9,6.45,6.7,148477.0
KMDA,2020-02-13,6.55,6.63,6.48,6.56,27090.0
KMDA,2020-02-14,6.66,6.66,6.43,6.51,15220.0
KMDA,2020-02-18,6.11,6.2,6.01,6.03,114607.0
KMDA,2020-02-19,6.0,6.43,6.0,6.11,57716.0
KMDA,2020-02-20,6.04,6.19,6.01,6.15,34449.0
KMDA,2020-02-21,6.09,6.13,5.94,6.03,52368.0
KMDA,2020-02-24,5.83,6.0,5.6,5.89,107723.0
KMDA,2020-02-25,6.02,6.26,5.72,6.01,78450.0
KMDA,2020-02-26,6.22,6.3,6.03,6.14,43077.0
KMDA,2020-02-27,6.03,6.07,5.81,5.92,45809.0
KMDA,2020-02-28,5.8,5.84,5.68,5.81,50970.0
KMDA,2020-03-02,5.72,5.79,5.51,5.71,100726.0
KMDA,2020-03-03,5.69,5.88,5.65,5.68,60112.0
KMDA,2020-03-04,5.67,5.88,5.66,5.71,31876.0
KMDA,2020-03-05,5.45,5.89,5.45,5.68,78484.0
KMDA,2020-03-06,5.6,5.69,5.55,5.69,94838.0
KMDA,2020-03-09,5.09,5.45,5.09,5.35,88241.0
KMDA,2020-03-10,5.4,5.47,5.21,5.46,85056.0
KMDA,2020-03-11,5.7,5.75,4.88,5.15,614018.0
KMDA,2020-03-12,4.42,4.68,4.42,4.57,123399.0
KMDA,2020-03-13,4.65,4.92,4.51,4.7,91394.0
KMDA,2020-03-16,4.5,4.74,4.4,4.64,160169.0
KMDA,2020-03-17,4.7,4.7,4.5,4.56,66789.0
KMDA,2020-03-18,4.59,4.73,4.5,4.61,84924.0
KMDA,2020-03-19,4.81,6.75,4.77,5.5,585288.0
KMDA,2020-03-20,5.55,5.79,5.3,5.36,137757.0
KMDA,2020-03-23,5.51,5.72,5.11,5.42,95218.0
KMDA,2020-03-24,5.54,5.73,5.49,5.64,88199.0
KMDA,2020-03-25,5.56,5.65,5.46,5.52,48559.0
KMDA,2020-03-26,5.52,5.6,5.36,5.54,47453.0
KMDA,2020-03-27,5.43,5.5,5.28,5.49,34169.0
KMDA,2020-03-30,5.67,5.76,5.5,5.76,86464.0
KMDA,2020-03-31,5.93,6.14,5.75,5.83,117136.0
KMDA,2020-04-01,5.69,5.73,5.36,5.37,55287.0
KMDA,2020-04-02,5.56,5.72,5.46,5.67,69938.0
KMDA,2020-04-03,5.66,5.73,5.56,5.72,24394.0
KMDA,2020-04-06,5.79,6.16,5.79,6.05,84315.0
KMDA,2020-04-07,6.26,6.26,5.92,6.1,68999.0
KMDA,2020-04-08,6.14,6.36,6.14,6.29,45857.0
KMDA,2020-04-09,6.34,6.55,6.25,6.45,49862.0
KMDA,2020-04-13,6.74,6.96,6.59,6.83,79527.0
KMDA,2020-04-14,6.95,6.95,6.7,6.74,52721.0
KMDA,2020-04-15,6.69,6.76,6.5,6.66,79408.0
KMDA,2020-04-16,6.81,6.81,6.52,6.64,40693.0
KMDA,2020-04-17,6.94,6.94,6.71,6.81,18140.0
KMDA,2020-04-20,6.83,7.0,6.79,6.88,49273.0
KMDA,2020-04-21,7.64,7.64,7.36,7.5,110663.0
KMDA,2020-04-22,7.37,7.37,7.17,7.23,50598.0
KMDA,2020-04-23,7.24,7.42,7.24,7.32,16192.0
KMDA,2020-04-24,7.3,7.45,7.15,7.4,27163.0
KMDA,2020-04-27,7.55,7.56,7.38,7.5,142065.0
KMDA,2020-04-28,7.64,7.7,7.1,7.29,94596.0
KMDA,2020-04-29,7.41,7.5,7.3,7.48,48215.0
KMDA,2020-04-30,7.5,7.5,7.38,7.5,35159.0
KMDA,2020-05-01,7.48,7.48,7.25,7.28,19193.0
KMDA,2020-05-04,7.33,7.53,7.33,7.44,34684.0
KMDA,2020-05-05,7.61,7.61,7.47,7.49,56213.0
KMDA,2020-05-06,7.48,7.5,7.4,7.4,27656.0
KMDA,2020-05-07,7.42,7.6,7.42,7.43,35235.0
KMDA,2020-05-08,7.52,7.52,7.47,7.5,19461.0
KMDA,2020-05-11,7.33,7.5,7.33,7.5,35127.0
KMDA,2020-05-12,7.5,7.7,7.46,7.46,57584.0
KMDA,2020-05-13,7.54,7.54,7.28,7.36,33354.0
KMDA,2020-05-14,7.35,7.4,7.22,7.39,36773.0
KMDA,2020-05-15,7.42,7.5,7.37,7.48,52438.0
KMDA,2020-05-18,7.5,7.5,6.81,6.97,229660.0
KMDA,2020-05-19,7.0,7.0,6.54,6.71,154533.0
KMDA,2020-05-20,6.91,7.35,6.91,7.32,76079.0
KMDA,2020-05-21,7.42,9.22,7.4,8.35,379566.0
KMDA,2020-05-22,9.2,9.75,8.5,8.58,353108.0
KMDA,2020-05-26,8.19,8.2,7.6,7.65,322059.0
KMDA,2020-05-27,7.62,8.41,7.08,7.86,378807.0
KMDA,2020-05-28,7.87,8.33,7.54,7.67,122272.0
KMDA,2020-05-29,7.69,8.09,7.61,7.85,136267.0
KMDA,2020-06-01,7.52,7.73,7.52,7.55,129059.0
KMDA,2020-06-02,7.54,7.67,7.45,7.56,81052.0
KMDA,2020-06-03,7.82,7.85,7.68,7.8,103398.0
KMDA,2020-06-04,8.04,8.24,7.8,7.83,99335.0
KMDA,2020-06-05,7.87,7.99,7.81,7.98,68597.0
KMDA,2020-06-08,8.15,8.15,7.95,8.06,80357.0
KMDA,2020-06-09,7.96,7.96,7.79,7.82,43964.0
KMDA,2020-06-10,7.95,8.05,7.66,7.79,35021.0
KMDA,2020-06-11,7.61,7.7,7.27,7.28,59570.0
KMDA,2020-06-12,7.36,7.74,7.36,7.71,104076.0
KMDA,2020-06-15,8.03,8.12,7.9,8.04,58746.0
KMDA,2020-06-16,8.25,8.42,8.15,8.41,64185.0
KMDA,2020-06-17,8.73,8.89,8.05,8.32,854910.0
KMDA,2020-06-18,8.45,8.86,8.45,8.7,147352.0
KMDA,2020-06-19,8.8,8.8,8.63,8.72,62409.0
KMDA,2020-06-22,8.76,8.76,8.29,8.35,92916.0
KMDA,2020-06-23,8.35,9.25,8.35,8.94,228147.0
KMDA,2020-06-24,9.91,9.91,9.16,9.45,789121.0
KMDA,2020-06-25,9.25,9.25,8.73,8.99,319369.0
KMDA,2020-06-26,9.01,9.1,8.71,8.74,114695.0
KMDA,2020-06-29,8.34,8.34,7.65,7.67,422020.0
KMDA,2020-06-30,7.48,7.86,7.48,7.76,171688.0
KMDA,2020-07-01,7.73,9.04,7.73,8.81,437579.0
KMDA,2020-07-02,8.76,9.14,8.6,8.83,340249.0
KMDA,2020-07-06,8.64,8.69,8.43,8.46,131467.0
KMDA,2020-07-07,8.36,8.59,8.18,8.28,144270.0
KMDA,2020-07-08,8.4,8.46,8.12,8.34,55413.0
KMDA,2020-07-09,8.61,8.63,8.4,8.54,68951.0
KMDA,2020-07-10,8.52,8.52,8.39,8.47,50256.0
KMDA,2020-07-13,8.54,8.6,8.41,8.5,198758.0
KMDA,2020-07-14,8.59,8.7,8.46,8.66,115108.0
KMDA,2020-07-15,8.7,8.8,8.68,8.78,119484.0
KMDA,2020-07-16,8.75,8.93,8.73,8.93,52630.0
KMDA,2020-07-17,9.03,9.15,8.97,9.08,134057.0
KMDA,2020-07-20,9.07,9.44,9.07,9.23,100277.0
KMDA,2020-07-21,9.24,9.5,9.24,9.4,108866.0
KMDA,2020-07-22,9.14,9.41,8.8,9.2,180154.0
KMDA,2020-07-23,9.09,9.23,8.9,8.93,114164.0
KMDA,2020-07-24,8.93,8.93,8.68,8.68,49418.0
KMDA,2020-07-27,8.67,8.78,8.51,8.51,110779.0
KMDA,2020-07-28,8.41,8.74,8.39,8.54,63184.0
KMDA,2020-07-29,8.53,8.59,8.45,8.5,91687.0
KMDA,2020-07-30,8.72,10.0,8.57,9.02,1518833.0
KMDA,2020-07-31,9.25,9.38,8.85,8.86,281347.0
KMDA,2020-08-03,8.94,9.19,8.88,9.02,96485.0
KMDA,2020-08-04,8.9,8.92,8.71,8.86,76586.0
KMDA,2020-08-05,8.96,8.99,8.77,8.94,103258.0
KMDA,2020-08-06,8.98,9.07,8.65,8.7,82547.0
KMDA,2020-08-07,8.58,8.87,8.5,8.7,63576.0
KMDA,2020-08-10,8.85,8.85,8.59,8.6,130435.0
KMDA,2020-08-11,8.6,8.66,8.46,8.51,106766.0
KMDA,2020-08-12,8.15,8.23,7.66,8.05,255948.0
KMDA,2020-08-13,9.04,9.59,8.84,9.0,1990898.0
KMDA,2020-08-14,10.68,12.1,9.7,9.95,4244679.0
KMDA,2020-08-17,9.98,11.56,9.75,11.26,1043196.0
KMDA,2020-08-18,11.19,11.92,10.72,11.53,1918526.0
KMDA,2020-08-19,10.7,10.85,9.85,10.29,882771.0
KMDA,2020-08-20,9.87,10.17,9.27,9.78,624538.0
KMDA,2020-08-21,9.7,10.47,9.64,10.0,550604.0
KMDA,2020-08-24,12.68,13.33,11.1,11.73,5569900.0
KMDA,2020-08-25,11.9,11.99,10.61,11.12,1261623.0
KMDA,2020-08-26,11.55,11.65,10.76,10.88,513520.0
KMDA,2020-08-27,10.72,10.88,9.79,10.08,487298.0
KMDA,2020-08-28,10.14,10.35,10.08,10.22,165427.0
KMDA,2020-08-31,10.2,10.29,9.63,9.92,307062.0
KMDA,2020-09-01,9.91,9.93,9.12,9.34,283042.0
KMDA,2020-09-02,9.16,9.81,8.94,9.39,521590.0
KMDA,2020-09-03,9.24,9.29,8.85,8.93,321489.0
KMDA,2020-09-04,8.89,8.91,8.35,8.77,317642.0
KMDA,2020-09-08,10.04,10.14,9.04,9.18,1157381.0
KMDA,2020-09-09,9.37,9.6,9.21,9.44,317378.0
KMDA,2020-09-10,9.07,9.1,8.71,8.81,363179.0
KMDA,2020-09-11,8.93,9.16,8.85,9.08,196331.0
KMDA,2020-09-14,9.1,9.19,8.85,9.01,167569.0
KMDA,2020-09-15,8.9,8.99,8.62,8.75,215340.0
KMDA,2020-09-16,8.51,8.94,8.5,8.69,210523.0
KMDA,2020-09-17,8.67,9.04,8.67,8.98,141676.0
KMDA,2020-09-18,8.98,9.03,8.62,8.77,96921.0
KMDA,2020-09-21,8.74,8.74,8.51,8.71,142104.0
KMDA,2020-09-22,8.84,8.84,8.53,8.69,125658.0
KMDA,2020-09-23,8.75,8.75,8.19,8.27,110574.0
KMDA,2020-09-24,8.18,8.37,7.97,8.24,112124.0
KMDA,2020-09-25,8.5,8.62,8.32,8.42,161917.0
KMDA,2020-09-28,8.42,8.59,7.96,8.14,228934.0
KMDA,2020-09-29,8.12,8.14,7.91,8.02,165623.0
KMDA,2020-09-30,8.33,8.77,8.24,8.36,277479.0
KMDA,2020-10-01,8.23,8.25,8.0,8.09,149670.0
KMDA,2020-10-02,8.2,8.27,7.96,8.01,157471.0
KMDA,2020-10-05,8.12,8.35,8.11,8.27,89915.0
KMDA,2020-10-06,8.32,8.45,8.09,8.13,95280.0
KMDA,2020-10-07,8.06,8.07,7.9,7.96,175665.0
KMDA,2020-10-08,8.03,8.1,7.92,8.03,103541.0
KMDA,2020-10-09,8.03,8.1,7.87,8.09,128682.0
KMDA,2020-10-12,8.02,8.02,7.82,7.88,145909.0
KMDA,2020-10-13,7.82,8.21,7.82,7.96,371497.0
KMDA,2020-10-14,8.09,8.09,7.9,7.9,69761.0
KMDA,2020-10-15,7.87,8.01,7.86,7.94,144821.0
KMDA,2020-10-16,8.0,8.13,7.94,7.95,173058.0
KMDA,2020-10-19,8.8,8.85,8.25,8.41,542065.0
KMDA,2020-10-20,8.75,8.78,8.4,8.46,211750.0
KMDA,2020-10-21,8.44,8.44,8.25,8.3,136853.0
KMDA,2020-10-22,8.2,8.38,8.13,8.33,62904.0
KMDA,2020-10-23,8.35,8.43,8.33,8.38,54420.0
KMDA,2020-10-26,8.04,8.09,7.82,7.86,183685.0
KMDA,2020-10-27,7.68,7.74,7.46,7.62,163935.0
KMDA,2020-10-28,7.27,7.3,6.89,7.23,279552.0
KMDA,2020-10-29,7.14,7.2,7.03,7.1,133721.0
KMDA,2020-10-30,7.09,7.24,6.96,7.15,127472.0
KMDA,2020-11-02,7.35,7.5,7.12,7.38,128850.0
KMDA,2020-11-03,7.45,7.47,7.21,7.29,66155.0
KMDA,2020-11-04,7.39,7.48,7.33,7.4,185052.0
KMDA,2020-11-05,7.46,7.46,7.26,7.32,245208.0
KMDA,2020-11-06,7.3,7.34,7.14,7.33,138992.0
KMDA,2020-11-09,7.03,7.03,6.45,6.57,515053.0
KMDA,2020-11-10,6.56,6.61,6.35,6.41,319785.0
KMDA,2020-11-11,6.66,6.66,6.22,6.39,363391.0
KMDA,2020-11-12,6.58,6.66,6.4,6.54,240991.0
KMDA,2020-11-13,6.53,6.8,6.51,6.66,137997.0
KMDA,2020-11-16,6.85,6.93,6.76,6.9,134163.0
KMDA,2020-11-17,6.7,6.84,6.51,6.66,186013.0
KMDA,2020-11-18,6.65,6.76,6.56,6.56,133861.0
KMDA,2020-11-19,6.64,6.77,6.61,6.68,97573.0
KMDA,2020-11-20,6.71,6.83,6.64,6.78,68692.0
KMDA,2020-11-23,6.76,6.78,6.59,6.64,153626.0
