Ticker,Date,open,high,low,close,volume
KMTUY,2020-01-02,25.15,25.15,23.58,24.43,57868.0
KMTUY,2020-01-03,23.66,24.25,23.66,24.1,75501.0
KMTUY,2020-01-06,23.72,24.41,23.72,24.25,128294.0
KMTUY,2020-01-07,23.95,24.05,23.88,23.88,51282.0
KMTUY,2020-01-08,24.17,24.17,23.75,23.99,29539.0
KMTUY,2020-01-09,23.68,23.78,23.63,23.71,71469.0
KMTUY,2020-01-10,23.93,24.01,23.73,23.79,143224.0
KMTUY,2020-01-13,23.55,23.95,23.27,23.93,87395.0
KMTUY,2020-01-14,24.21,24.21,23.93,24.01,95187.0
KMTUY,2020-01-15,23.45,24.19,23.45,23.8,71816.0
KMTUY,2020-01-16,24.0,24.0,23.9,23.95,46813.0
KMTUY,2020-01-17,23.95,24.14,23.95,24.13,54530.0
KMTUY,2020-01-21,24.21,24.21,24.02,24.02,141568.0
KMTUY,2020-01-22,24.05,24.05,23.82,23.93,80485.0
KMTUY,2020-01-23,23.89,23.97,23.65,23.97,90109.0
KMTUY,2020-01-24,24.21,24.21,23.64,23.72,153144.0
KMTUY,2020-01-27,23.62,23.62,23.2,23.26,59843.0
KMTUY,2020-01-28,23.49,23.49,23.0,23.22,53229.0
KMTUY,2020-01-29,22.89,23.27,22.89,22.99,97857.0
KMTUY,2020-01-30,22.77,22.9,22.56,22.88,82214.0
KMTUY,2020-01-31,22.5,22.5,22.0,22.12,66247.0
KMTUY,2020-02-03,22.0,22.5,21.92,22.09,61067.0
KMTUY,2020-02-04,21.99,22.3,21.99,22.28,65846.0
KMTUY,2020-02-05,22.25,22.53,22.25,22.51,85785.0
KMTUY,2020-02-06,22.5,22.5,21.99,22.05,1163535.0
KMTUY,2020-02-07,21.62,21.64,21.4,21.5,2267211.0
KMTUY,2020-02-10,21.46,21.53,21.4,21.48,53054.0
KMTUY,2020-02-11,21.56,21.79,21.56,21.72,123749.0
KMTUY,2020-02-12,21.2,21.7,21.15,21.3,2017162.0
KMTUY,2020-02-13,20.84,21.09,20.84,21.02,1871433.0
KMTUY,2020-02-14,21.19,21.22,21.02,21.05,96508.0
KMTUY,2020-02-18,20.88,21.02,20.76,20.93,72253.0
KMTUY,2020-02-19,20.82,21.24,20.75,20.76,95854.0
KMTUY,2020-02-20,20.78,20.78,20.48,20.56,60241.0
