Ticker,Date,open,high,low,close,volume
KTOS,2020-01-02,18.06,18.44,18.02,18.42,776289.0
KTOS,2020-01-03,18.99,20.45,18.81,20.42,2756871.0
KTOS,2020-01-06,21.3,21.39,20.02,20.2,2692973.0
KTOS,2020-01-07,20.2,20.58,19.93,20.26,1403736.0
KTOS,2020-01-08,20.35,20.83,19.79,19.9,1573014.0
KTOS,2020-01-09,19.92,20.18,19.57,20.08,810953.0
KTOS,2020-01-10,20.04,20.15,19.65,19.72,887523.0
KTOS,2020-01-13,19.71,20.05,19.67,19.72,877786.0
KTOS,2020-01-14,19.71,19.77,19.23,19.64,1480973.0
KTOS,2020-01-15,19.54,19.69,19.19,19.23,718805.0
KTOS,2020-01-16,19.53,19.78,19.4,19.5,800943.0
KTOS,2020-01-17,19.62,19.93,19.42,19.74,974264.0
KTOS,2020-01-21,19.72,19.85,18.26,18.8,1456997.0
KTOS,2020-01-22,18.78,19.04,18.78,18.91,814997.0
KTOS,2020-01-23,18.83,19.1,18.71,18.97,763223.0
KTOS,2020-01-24,19.01,19.16,18.67,18.83,754984.0
KTOS,2020-01-27,18.44,19.07,18.34,18.81,1785537.0
KTOS,2020-01-28,18.92,19.15,18.66,19.0,492262.0
KTOS,2020-01-29,19.17,19.2,18.71,18.8,631045.0
KTOS,2020-01-30,18.64,18.83,18.4,18.8,504365.0
KTOS,2020-01-31,18.73,18.74,18.27,18.34,602909.0
KTOS,2020-02-03,18.35,18.52,18.08,18.14,535802.0
KTOS,2020-02-04,18.34,18.89,18.29,18.83,591431.0
KTOS,2020-02-05,18.98,19.08,18.68,19.08,685854.0
KTOS,2020-02-06,19.08,19.64,19.07,19.63,719565.0
KTOS,2020-02-07,19.58,19.8,18.77,19.38,818987.0
KTOS,2020-02-10,19.27,19.72,19.1,19.72,397500.0
KTOS,2020-02-11,19.8,20.04,19.61,20.03,514907.0
KTOS,2020-02-12,20.15,20.44,19.92,20.36,569599.0
KTOS,2020-02-13,20.28,21.03,20.25,20.71,903210.0
KTOS,2020-02-14,20.75,20.75,19.9,20.42,619506.0
KTOS,2020-02-18,20.52,20.63,20.1,20.37,798001.0
