Ticker,Date,open,high,low,close,volume
LC,2020-01-02,12.8,12.8,12.11,12.25,548113.0
LC,2020-01-03,12.09,12.35,12.01,12.23,421594.0
LC,2020-01-06,12.14,12.24,11.62,12.1,644892.0
LC,2020-01-07,11.99,12.09,11.82,11.89,568405.0
LC,2020-01-08,11.87,11.99,11.72,11.93,555768.0
LC,2020-01-09,12.03,12.25,11.94,12.18,562307.0
LC,2020-01-10,12.19,12.2,11.83,11.87,365385.0
LC,2020-01-13,11.88,12.16,11.67,12.09,836115.0
LC,2020-01-14,12.06,12.58,12.01,12.4,418804.0
LC,2020-01-15,12.28,12.55,12.26,12.44,716451.0
LC,2020-01-16,12.61,12.8,12.52,12.64,669442.0
LC,2020-01-17,12.73,12.82,12.59,12.72,321632.0
LC,2020-01-21,12.65,12.66,12.45,12.47,387339.0
LC,2020-01-22,12.45,12.66,12.45,12.57,299925.0
LC,2020-01-23,12.59,12.68,12.27,12.55,386306.0
LC,2020-01-24,12.54,12.71,12.1,12.21,308448.0
LC,2020-01-27,11.89,11.89,11.72,11.72,254259.0
LC,2020-01-28,11.82,11.87,11.72,11.74,159756.0
LC,2020-01-29,11.76,12.15,11.69,11.89,664937.0
LC,2020-01-30,11.74,11.99,11.69,11.98,338375.0
LC,2020-01-31,11.87,11.9,11.53,11.72,427689.0
LC,2020-02-03,11.77,11.85,11.28,11.36,676711.0
LC,2020-02-04,11.55,11.56,11.1,11.48,1241844.0
LC,2020-02-05,11.64,12.24,11.58,12.22,823085.0
LC,2020-02-06,12.32,12.4,12.11,12.3,336606.0
LC,2020-02-07,12.2,12.24,11.94,12.04,261692.0
LC,2020-02-10,12.0,12.35,11.98,12.27,597161.0
LC,2020-02-11,12.39,13.3,12.39,13.29,1107887.0
LC,2020-02-12,13.45,13.53,13.15,13.37,559275.0
LC,2020-02-13,13.22,13.3,12.9,13.26,491256.0
LC,2020-02-14,13.26,13.38,13.08,13.17,300464.0
LC,2020-02-18,13.17,13.3,13.04,13.16,727170.0
LC,2020-02-19,13.04,13.67,11.66,12.98,1944534.0
LC,2020-02-20,12.84,13.37,12.71,13.09,951311.0
LC,2020-02-21,13.08,13.21,12.88,13.03,595552.0
LC,2020-02-24,12.25,12.35,11.73,11.87,1102877.0
LC,2020-02-25,11.97,11.97,11.1,11.13,1170775.0
LC,2020-02-26,11.2,11.26,10.38,10.42,1148914.0
LC,2020-02-27,10.1,10.88,9.86,10.33,1406028.0
LC,2020-02-28,9.95,11.01,9.95,11.01,936401.0
LC,2020-03-02,10.96,11.24,10.4,11.22,958759.0
LC,2020-03-03,11.3,11.38,10.48,10.63,701673.0
LC,2020-03-04,10.84,10.84,10.29,10.81,534860.0
LC,2020-03-05,10.4,10.51,10.03,10.25,626869.0
LC,2020-03-06,9.81,10.35,9.72,10.13,1295480.0
LC,2020-03-09,9.46,9.81,9.26,9.72,1062641.0
LC,2020-03-10,10.21,10.68,9.83,10.26,1609318.0
LC,2020-03-11,9.94,10.04,9.3,9.41,886020.0
LC,2020-03-12,8.55,9.13,7.84,8.56,1349575.0
LC,2020-03-13,9.1,9.1,7.96,9.03,1013365.0
LC,2020-03-16,7.88,8.32,7.1,7.96,2050971.0
LC,2020-03-17,8.04,9.07,7.56,9.02,2451755.0
LC,2020-03-18,8.11,9.0,7.76,8.38,1533168.0
LC,2020-03-19,8.21,9.48,7.83,9.45,810378.0
LC,2020-03-20,9.5,9.67,8.57,8.72,862712.0
LC,2020-03-23,8.63,8.96,7.5,7.9,1261119.0
LC,2020-03-24,8.21,9.1,8.2,8.72,656526.0
LC,2020-03-25,8.87,9.54,8.61,9.06,864616.0
LC,2020-03-26,9.06,9.79,8.77,9.22,670809.0
LC,2020-03-27,8.79,9.0,8.25,8.4,968887.0
LC,2020-03-30,8.3,8.6,7.91,8.21,907110.0
LC,2020-03-31,8.16,8.32,7.42,7.85,1645635.0
LC,2020-04-01,7.46,7.64,7.01,7.21,853710.0
LC,2020-04-02,7.09,7.65,7.01,7.19,501309.0
LC,2020-04-03,7.11,7.19,6.77,7.11,844814.0
LC,2020-04-06,7.42,7.72,7.35,7.41,666382.0
LC,2020-04-07,7.73,8.11,7.65,7.88,988270.0
LC,2020-04-08,8.06,8.29,7.91,8.04,546403.0
LC,2020-04-09,8.14,9.43,8.14,9.18,2161726.0
LC,2020-04-13,8.87,9.17,8.26,8.62,746835.0
LC,2020-04-14,8.57,8.82,7.97,8.1,1187042.0
LC,2020-04-15,7.63,8.0,7.32,7.54,1593754.0
LC,2020-04-16,7.44,7.7,7.0,7.39,1165908.0
LC,2020-04-17,7.58,8.12,7.55,7.85,861226.0
LC,2020-04-20,7.67,8.02,7.49,7.73,470406.0
LC,2020-04-21,7.47,7.62,7.32,7.39,832720.0
